,Concept_ID,it,ku
0,Auge::N,occhio,çav
1,Ohr::N,orecchio,guh
2,Nase::N,naso,bêvil
3,Mund::N,bocca,dev
4,Zahn::N,dente,didan
5,Zunge::N,lingua,ziman
6,Lippe::N,labbro,lêv
7,Wange::N,guancia,dêm
8,Wange::N,guancia,hinarik
9,Gesicht::N,viso,rû
10,Gesicht::N,faccia,rû
11,Stirn::N,fronte,enî
12,Haar::N,capello,por
13,Schnurrbart::N,baffi,simbêl
14,Schnurrbart::N,mustacchi,simbêl
15,Bart::N,barba,rih
16,Kinn::N,mento,zenî
17,Kiefer[Anatomie]::N,mascella,arguşk
18,Kehle::N,gola,qirik
19,Hals::N,collo,stû
20,Hals::N,collo,qirik
21,Genick::N,nuca,stû
22,Kopf::N,capo,serî
23,Kopf::N,testa,serî
24,Rücken::N,dorso,pişt
25,Rücken::N,schiena,pişt
26,Bauch::N,ventre,ûr
27,Bauch::N,ventre,zik
28,Nabel::N,ombelico,navik
29,Busen::N,seno,sîng
30,Brust::N,petto,sîng
31,Schulter::N,spalla,mil
32,Arm::N,braccio,çepil
33,Ellenbogen::N,gomito,enîşk
34,Hand::N,mano,dest
35,Handfläche::N,palma,kefadest
36,Finger::N,dito,tilî
37,Fingernagel::N,unghia,neynuk
38,Nagel[Anatomie]::N,unghia,bizmar
39,Zeh::N,dito del piede,tilî linga
40,Fuß::N,piede,ling
41,Ferse::N,tallone,pahnî
42,Ferse::N,calcagno,pahnî
43,Knie::N,ginocchio,kabok
44,Oberschenkel::N,fèmore,rahn
45,Bein::N,gamba,çip
46,Körper::N,corpo,laş
47,Körper::N,corpo,gowde
48,Haut::N,pelle,çerm
49,Blut::N,sangue,xwîn
50,Ader::N,vena,reh
51,Sehne::N,tèndine,reh
52,Knochen::N,osso,hestî
53,Gehirn::N,cervello,mêjî
54,Herz::N,cuore,dil
55,Magen::N,stòmaco,navêş
56,Leber::N,fegato,kezeb
57,Atem::N,fiato,hilm
58,Atem::N,respiro,hilm
59,Hunger::N,fame,birçîtî
60,Träne::N,làcrima,hêstir
61,Geschmack::N,gusto,tam
62,Geschmack::N,sapore,tam
63,Geruch::N,odore,bêhn
64,Schlaf::N,sonno,xew
65,Traum::N,sogno,xewn
66,Himmel::N,cielo,ezman
67,Sonne::N,sole,roj
68,Mond::N,luna,heyv
69,Stern::N,stella,stêrk
70,Luft::N,aria,ba
71,Wind::N,vento,ba
72,Welle::N,onda,şewl
73,Wasser::N,acqua,av
74,Stein::N,sasso,kevir
75,Stein::N,pietra,kevir
76,Boden::N,suolo,herd
77,Boden::N,terreno,herd
78,Erde::N,terra,ax
79,Staub::N,polvere,toz
80,Rauch::N,fumo,dû
81,Funke::N,scintilla,çirûşk
82,Feuer::N,fuoco,agir
83,Licht::N,luce,ronahî
84,Schatten::N,ombra,sî
85,Wetter::N,tempo,hewa
86,Nebel::N,nebbia,mij
87,Wolke::N,nube,ewr
88,Wolke::N,nùvola,ewr
89,Regen::N,pioggia,baran
90,Schnee::N,neve,berf
91,Eis::N,ghiaccio,qeşa
92,Frost::N,gelo,xûsik
93,Kälte::N,freddo,serma
94,Hitze::N,caldo,germayî
95,Hitze::N,calura,germayî
96,Raureif::N,brina,şext
97,Regenbogen::N,arcobaleno,heftreng
98,Donner::N,tuono,gire-gir
99,Strömung::N,corrente,şewl
100,Tropfen::N,goccia,dilop
101,Schaum::N,spuma,kef
102,Schaum::N,schiuma,kef
103,Schmutz::N,sudiciume,gemar
104,See::N,lago,gol
105,Sumpf::N,palude,hezek
106,Moor::N,torbiera,mafêl
107,Wiese::N,prato,sûrik
108,Wald::N,bosco,çiya
109,Wald::N,bosco,daristan
110,Wald::N,foresta,çiya
111,Wald::N,foresta,daristan
112,Hügel::N,colle,gir
113,Hügel::N,collina,gir
114,Anhöhe::N,altura,sere gir
115,Berg::N,monte,kaş
116,Berg::N,montagna,kaş
117,Gipfel::N,cima,sere gir
118,Höhle::N,grotta,şikeft
119,Höhle::N,caverna,şikeft
120,Abhang::N,pendìo,kaş
121,Quelle::N,sorgente,kanî
122,Bach::N,ruscello,çem
123,Fluss::N,fiume,çem
124,Fluss::N,fiume,rûbar
125,Ufer::N,riva,kevî
126,Küste::N,costa,berav
127,Festland::N,terraferma,bejahî
128,Meer::N,mare,behr
129,Bucht::N,cala,derav
130,Insel::N,ìsola,girav
131,Blume::N,fiore,kulînk
132,Gras::N,erba,giha
133,Wurzel::N,radice,reh
134,Baum::N,àlbero,dar
135,Stamm::N,tronco,bavik
136,Rinde::N,corteccia,qaqil
137,Ast::N,ramo,gulî
138,Zweig::N,ramo,şax
139,Blatt::N,foglia,pel
140,Birke::N,betulla,dara sipî
141,Kiefer[Baum]::N,pino,dara bî
142,Weide[Baum]::N,sàlice,dara belalûk
143,Tanne::N,abete,merx
144,Horn::N,corno,strô
145,Feder::N,penna,pîrtîk
146,Fell::N,manto,heyar
147,Fell::N,pelame,heyar
148,Flügel::N,ala,per
149,Klaue::N,grinfia,napîk
150,Kralle::N,unghia,dinik
151,Kralle::N,unghia,dirnax
152,Kralle::N,artiglio,dinik
153,Kralle::N,artiglio,dirnax
154,Schwanz::N,coda,dûv
155,Ei::N,uovo,hêk
156,Nest::N,nido,hêlîn
157,Bau::N,covo,avahî
158,Tier::N,bestia,heywan
159,Tier::N,animale,heywan
160,Herde::N,gregge,hoz
161,Kuh::N,vacca,çêlek
162,Bulle::N,toro,ga
163,Pferd::N,cavallo,hesp
164,Schaf::N,pècora,mîh
165,Schwein::N,porco,beraz
166,Schwein::N,maiale,beraz
167,Hund::N,cane,seh
168,Katze::N,gatta,pişîk
169,Bär::N,orso,hirç
170,Eichhörnchen::N,scoiàttolo,pilûr
171,Elch::N,alce,pazkovî
172,Fuchs::N,volpe,rovî
173,Hase::N,lepre,kîroşk
174,Maus::N,topo,mişk
175,Maus::N,sorcio,mişk
176,Wolf::N,lupo,gur
177,Vogel::N,uccello,çûk
178,Schwarm::N,stormo,lufik
179,Huhn::N,gallina,mirîşk
180,Hahn::N,gallo,dîk
181,Gans::N,oca,qaz
182,Adler::N,àquila,eylo
183,Ente::N,ànatra,werdek
184,Eule::N,gufo,bûm
185,Eule::N,gufo,kund
186,Eule::N,civetta,bûm
187,Eule::N,civetta,kund
188,Kranich::N,gru,quling
189,Krähe::N,cornacchia,qijik
190,Kuckuck::N,cuccù,pepûk
191,Kuckuck::N,cùculo,pepûk
192,Schwan::N,cigno,qû
193,Fisch::N,pesce,masî
194,Barsch::N,pèrsico,okûn
195,Hecht::N,luccio,mesîyê lûf
196,Schlange[Tier]::N,serpente,mar
197,Wurm::N,baco,kurm
198,Wurm::N,verme,kurm
199,Spinne::N,ragno,pîrê
200,Ameise::N,formica,mîro
201,Ameise::N,formica,gêrîk
202,Laus::N,pidocchio,spi
203,Mücke::N,zanzara,mêş
204,Fliege::N,mosca,mêş
205,Schmetterling::N,farfalla,perperîk
206,Beere::N,bacca,hirç
207,Apfel::N,mela,sêv
208,Pilz::N,fungo,bîrov
209,Zwiebel::N,cipolla,pîvaz
210,Saat::N,semente,tov
211,Korn::N,grano,dexl
212,Heu::N,fieno,sap
213,Schale::N,buccia,qaşik
214,Grube::N,cava,çahl
215,Grube::N,fossa,çahl
216,Falle::N,tràppola,dafik
217,Schlinge::N,laccio,dahf
218,Spur::N,traccia,rêç
219,Asche::N,cenere,xweli
220,Dreck::N,fango,gemarî
221,Eisen::N,ferro,hesing
222,Gold::N,oro,zêr
223,Silber::N,argento,zîv
224,Kohle::N,carbone,komir
225,Glas::N,vetro,qedeh
226,Lehm::N,argilla,kelpîç
227,Sand::N,arena,qûm
228,Sand::N,sabbia,qûm
229,Mensch::N,uomo,mirov
230,Mensch::N,èssere umano,mirov
231,Mann::N,uomo,mêr
232,Frau::N,donna,jin
233,Kind::N,bambino,zarok
234,Junge::N,ragazzo,kur
235,Mädchen::N,ragazza,keç
236,Mädchen::N,ragazza,keçik
237,Familie::N,famiglia,malbat
238,Großvater::N,nonno,bapîr
239,Großmutter::N,nonna,pîrik
240,Eltern::N,genitori,bavudê
241,Vater::N,padre,bav
242,Mutter::N,madre,dê
243,Mutter::N,madre,dayik
244,Sohn::N,figlio,kur
245,Tochter::N,figlia,keç
246,Bruder::N,fratello,bira
247,Schwester::N,sorella,xweh
248,Onkel::N,zio,am
249,Onkel::N,zio,xal
250,Tante::N,zia,metik
251,Tante::N,zia,xaltîk
252,Ehemann::N,marito,mêr
253,Ehefrau::N,moglie,kulfet
254,Freude::N,gioia,kêfxweşî
255,Freude::N,piacere,kêfxweşî
256,Gelächter::N,risata,pîrqînî
257,Glück::N,felicità,bext
258,Kummer::N,afflizione,derd
259,Wunsch::N,desiderio,daxwaz
260,Wunsch::N,desiderio,xwestek
261,Lust::N,voglia,şewq
262,Geist::N,mente,aqil
263,Geist::N,spìrito,aqil
264,Gedanke::N,idea,fikir
265,Gedanke::N,pensiero,fikir
266,Gedächtnis::N,memoria,aqil
267,Verstand::N,intelletto,fêm
268,Sinn::N,senso,aqil
269,Sinn::N,significato,aqil
270,Grund::N,causa,asas
271,Grund::N,motivo,asas
272,Grund::N,ragione,asas
273,Wahrheit::N,verità,rastî
274,Gespräch::N,discorso,guftûgo
275,Gespräch::N,conversazione,guftûgo
276,Märchen::N,fiaba,çirok
277,Märchen::N,fàvola,çirok
278,Erzählung::N,racconto,çirok
279,Erzählung::N,racconto,vegotin
280,Erzählung::N,narrazione,çirok
281,Erzählung::N,narrazione,vegotin
282,Nachricht::N,messaggio,nûçe
283,Neuigkeit::N,notizia,hewal
284,Name::N,nome,nav
285,Name::N,nome,paşnav
286,Rätsel::N,indovinello,tiştonek
287,Rede::N,discorso,gotar
288,Rede::N,discorso,axavtin
289,Sprache::N,lingua,ziman
290,Sprache::N,linguaggio,ziman
291,Stimme::N,voce,pejn
292,Wort::N,parola,gotin
293,Zeichen::N,segno,şanek
294,Zeichen::N,segnale,şanek
295,Ruf::N,chiamata,hawar
296,Lärm::N,chiasso,xarbalix
297,Lärm::N,strèpito,xarbalix
298,Laut::N,suono,deng
299,Laut::N,suono,hês
300,Ton::N,tono,awaz
301,Lied::N,canto,sitran
302,Lied::N,canzone,sitran
303,Ruhe::N,calma,rihetî
304,Ruhe::N,tranquillità,rihetî
305,Leute::N,gente,xelk
306,Volk::N,pòpolo,xelk
307,Arbeit::N,lavoro,xebat
308,Gast::N,òspite,mêvan
309,Gast::N,invitato,mêvan
310,Geschenk::N,regalo,diyarî
311,Spiel::N,gioco,lîstik
312,Gesellschaft::N,compagnìa,komal
313,Hilfe::N,aiuto,alîkarî
314,Hilfe::N,soccorso,alîkarî
315,Freund::N,amico,heval
316,Kamerad::N,camerata,heval
317,Angelegenheit::N,affare,pirsgirêk
318,Angelegenheit::N,faccenda,pirsgirêk
319,Anzahl::N,nùmero,çend
320,Anzahl::N,quantità,çend
321,Art::N,tipo,çeh
322,Art::N,specie,çeh
323,Stück::N,pezzo,lib
324,Stück::N,pezzo,parçe
325,Teil::N,parte,parçe
326,Hälfte::N,metà,nîvî
327,Kreis::N,cìrcolo,çemil
328,Kreuz::N,croce,xaç
329,Linie::N,lìnea,xezik
330,Strich::N,tratto,xezik
331,Abstand::N,distanza,dûrahî
332,Entfernung::N,distanza,dûrahî
333,Entfernung::N,lontananza,dûrahî
334,Gegend::N,regione,dever
335,Platz::N,posto,çih
336,Platz::N,spazio,çih
337,Ort::N,luogo,dever
338,Ort::N,località,dever
339,Seite::N,lato,rûpel
340,Seite::N,parte,rûpel
341,Mitte::N,mezzo,nav
342,Mitte::N,mezzo,nabênê
343,Mitte::N,centro,nav
344,Mitte::N,centro,nabênê
345,Gegenstand::N,oggetto,tişt
346,Sache::N,cosa,tişt
347,Rand::N,orlo,kevî
348,Rand::N,bordo,kevî
349,Kante::N,spìgolo,kevî
350,Ecke::N,canto,qunç
351,Spitze::N,punta,derzî
352,Ende::N,capo,talî
353,Ende::N,estremità,talî
354,Loch::N,buco,qul
355,Winkel::N,àngolo,kurnîşk
356,Muster::N,disegno,desen
357,Größe::N,taglia,mezinî
358,Größe::N,grandezza,mezinî
359,Länge::N,lunghezza,dirêjahî
360,Höhe::N,altezza,bilindayî
361,Gewicht::N,peso,giranî
362,Menge::N,quantità,qas
363,Haufen::N,cùmulo,lod
364,Haufen::N,mucchio,lod
365,Reihe::N,fila,rêz
366,Boot::N,barca,kelek
367,Boot::N,battello,kelek
368,Ruder::N,remo,bêrik
369,Schlitten::N,slitta,xîjik
370,Ski::N,sci,lakan
371,Lagerfeuer::N,falò,agir
