,Concept_ID,eu,lt
0,Auge::N,begi,akis
1,Ohr::N,belarri,ausis
2,Nase::N,sudur,nosis
3,Mund::N,aho,burna
4,Zahn::N,hortz,dantis
5,Zunge::N,mihi,liežuvis
6,Lippe::N,ezpain,lūpa
7,Wange::N,masail,žandas
8,Wange::N,masail,skruostas
9,Gesicht::N,aurpegi,veidas
10,Stirn::N,bekoki,kakta
11,Haar::N,ile,plaukai
12,Haar::N,bilo,plaukai
13,Schnurrbart::N,bibote,ūsai
14,Schnurrbart::N,sudurpeko,ūsai
15,Bart::N,bizar,barzda
16,Kinn::N,kokots,smakras
17,Kiefer[Anatomie]::N,masailezur,žandikaulis
18,Kehle::N,eztarri,gerklė
19,Hals::N,sama,kaklas
20,Genick::N,garondo,sprandas
21,Kopf::N,buru,galva
22,Rücken::N,bizkar,nugara
23,Bauch::N,sabel,pilvas
24,Nabel::N,zilbor,bamba
25,Busen::N,titi,krūtinė
26,Busen::N,ugatz,krūtinė
27,Brust::N,bular,krūtis
28,Schulter::N,besaburu,petys
29,Arm::N,beso,ranka
30,Ellenbogen::N,ukondo,alkūnė
31,Hand::N,esku,ranka
32,Hand::N,esku,plaštaka
33,Handfläche::N,ahur,delnas
34,Handfläche::N,ahur,plaštaka
35,Finger::N,hatz,pirštas
36,Fingernagel::N,azazkal,nagas
37,Nagel[Anatomie]::N,azazkal,nagas
38,Zeh::N,behatz,pirštas
39,Fuß::N,oin,pėda
40,Ferse::N,orpo,kulnas
41,Ferse::N,oinburu,kulnas
42,Knie::N,belaun,kelis
43,Oberschenkel::N,izter,kulšis
44,Oberschenkel::N,izter,šlaunis
45,Bein::N,zango,koja
46,Körper::N,soin,kūnas
47,Haut::N,azal,oda
48,Blut::N,odol,kraujas
49,Ader::N,zain,kraujagyslė
50,Sehne::N,gihar-zain,sausgyslė
51,Knochen::N,hezur,kaulas
52,Gehirn::N,garun,smegenys
53,Gehirn::N,burmuin,smegenys
54,Herz::N,bihotz,širdis
55,Magen::N,urdail,skrandis
56,Leber::N,gibel,kepenys
57,Atem::N,hats,kvapas
58,Atem::N,arnasa,kvapas
59,Hunger::N,gose,badas
60,Hunger::N,gose,alkis
61,Träne::N,malko,ašara
62,Geschmack::N,dasta,skonis
63,Geruch::N,usain,kvapas
64,Schlaf::N,lo,miegas
65,Traum::N,amets,sapnas
66,Himmel::N,zeru,dangus
67,Sonne::N,eguzki,saulė
68,Mond::N,ilargi,mėnulis
69,Stern::N,izar,žvaigždė
70,Luft::N,aire,oras
71,Wind::N,haize,vėjas
72,Welle::N,uhin,banga
73,Welle::N,uhin,vilnis
74,Welle::N,olatu,banga
75,Welle::N,olatu,vilnis
76,Wasser::N,ur,vanduo
77,Stein::N,harri,akmuo
78,Boden::N,lur,žemė
79,Boden::N,lur,dugnas
80,Boden::N,zoru,žemė
81,Boden::N,zoru,dugnas
82,Erde::N,lur,žemė
83,Staub::N,hauts,dulkės
84,Rauch::N,ke,dūmai
85,Funke::N,zirta,kibirkštis
86,Funke::N,txinparta,kibirkštis
87,Feuer::N,su,ugnis
88,Licht::N,argi,šviesa
89,Schatten::N,itzal,paūksmė
90,Schatten::N,geriza,paūksmė
91,Wetter::N,eguraldi,oras
92,Nebel::N,laino,migla
93,Nebel::N,laino,rūkas
94,Wolke::N,hodei,debesis
95,Regen::N,euri,lietus
96,Schnee::N,elur,sniegas
97,Eis::N,horma,ledas
98,Frost::N,izotzaldi,šalna
99,Kälte::N,hotz,šaltis
100,Hitze::N,bero,karštis
101,Raureif::N,antzigar,šerkšnas
102,Regenbogen::N,ostadar,vaivorykštė
103,Regenbogen::N,ortzadar,vaivorykštė
104,Donner::N,ostots,perkūnas
105,Donner::N,ostots,griaustinis
106,Donner::N,ihurtzuri,perkūnas
107,Donner::N,ihurtzuri,griaustinis
108,Strömung::N,laster,tėkmė
109,Tropfen::N,xorta,lašas
110,Schaum::N,bits,putos
111,Schmutz::N,lohi,purvas
112,Schmutz::N,zikin,purvas
113,See::N,laku,ežeras
114,See::N,aintzira,ežeras
115,Sumpf::N,zingira,klampynė
116,Sumpf::N,zingira,liūnas
117,Moor::N,zohikaztegi,pelkė
118,Wiese::N,larre,pieva
119,Wiese::N,belardi,pieva
120,Wald::N,baso,miškas
121,Wald::N,oihan,miškas
122,Hügel::N,muino,kalva
123,Hügel::N,pentoka,kalva
124,Anhöhe::N,garai,kauburys
125,Anhöhe::N,goragune,kauburys
126,Berg::N,mendi,kalnas
127,Gipfel::N,gain,viršūnė
128,Gipfel::N,tontor,viršūnė
129,Höhle::N,kobazulo,ola
130,Abhang::N,aldapa,šlaitas
131,Abhang::N,aldapa,nuokalnė
132,Quelle::N,iturri,versmė
133,Quelle::N,iturri,šaltinis
134,Quelle::N,iturbegi,versmė
135,Quelle::N,iturbegi,šaltinis
136,Bach::N,lats,upelis
137,Bach::N,erreka,upelis
138,Fluss::N,ibai,upė
139,Fluss::N,uhaitz,upė
140,Ufer::N,bazter,krantas
141,Küste::N,itsasalde,pajūris
142,Festland::N,lehor,sausuma
143,Meer::N,itsaso,jūra
144,Bucht::N,golko,įlanka
145,Bucht::N,golko,užutekis
146,Insel::N,irla,sala
147,Insel::N,uharte,sala
148,Blume::N,lili,gėlė
149,Gras::N,belar,žolė
150,Wurzel::N,zuztar,šaknis
151,Wurzel::N,sustrai,šaknis
152,Baum::N,zuhaitz,medis
153,Stamm::N,enbor,kamienas
154,Rinde::N,azal,žievė
155,Ast::N,adar,šaka
156,Zweig::N,abar,šakelė
157,Blatt::N,hosto,lapas
158,Birke::N,urki,beržas
159,Kiefer[Baum]::N,ler,pušis
160,Weide[Baum]::N,zume,karklas
161,Weide[Baum]::N,sahats,karklas
162,Tanne::N,izei,eglė
163,Tanne::N,izei,kėnis
164,Horn::N,adar,ragas
165,Feder::N,luma,plunksna
166,Feder::N,hegaki,plunksna
167,Fell::N,ile,kailis
168,Fell::N,larru,kailis
169,Flügel::N,hego,sparnas
170,Klaue::N,atzapar,kanopa
171,Kralle::N,erpe,nagas
172,Kralle::N,atzapar,nagas
173,Schwanz::N,isats,uodega
