,Concept_ID,sq,ta
0,Auge::N,sy,கண்
1,Ohr::N,vesh,காது
2,Nase::N,hundë,மூக்கு
3,Mund::N,gojë,வாய்
4,Zahn::N,dhëmb,பல்
5,Zunge::N,gjuhë,நாக்கு
6,Lippe::N,buzë,உதடு
7,Wange::N,faqe,கன்னம்
8,Wange::N,mollëz,கன்னம்
9,Gesicht::N,fytyrë,முகம்
10,Stirn::N,ballë,முன்னெற்றி
11,Haar::N,flokë,முடி
12,Schnurrbart::N,mustaqe,மீசை
13,Bart::N,mjekër,தாடி
14,Kinn::N,mjekër,கீழதாடை
15,Kiefer[Anatomie]::N,nofull,தாடை
16,Kehle::N,fyt,தொண்டை
17,Kehle::N,grykë,தொண்டை
18,Hals::N,qafë,கழுத்து
19,Genick::N,arrëz,கழுத்து
20,Kopf::N,kokë,தலை
21,Rücken::N,kurriz,முதுகு
22,Bauch::N,bark,வயிறு
23,Nabel::N,kërthizë,தொப்புள்
24,Busen::N,gji,மார்பகம்
25,Brust::N,gjoks, மார்பு
26,Brust::N,kraharor, மார்பு
27,Schulter::N,sup,தோள்பட்டை
28,Schulter::N,krah,தோள்பட்டை
29,Arm::N,krah,கரம்
30,Ellenbogen::N,bërryl,முழங்கை
31,Hand::N,dorë,கை
32,Handfläche::N,pëllëmbë,உள்ளங்கை
33,Finger::N,gisht,விரல்
34,Fingernagel::N,thua,விரல் நகம்
35,Nagel[Anatomie]::N,thua,நகம்
36,Zeh::N,gisht i këmbës,கால்விரல்
37,Fuß::N,këmbë,கால்
38,Ferse::N,thembër,குதிகால்
39,Knie::N,gju,முழங்கால்
40,Oberschenkel::N,kofshë,தொடை
41,Bein::N,këmbë,கால்
42,Körper::N,trup,உடல்
43,Haut::N,lëkurë,சருமம்
44,Blut::N,gjak,இரத்தம்
45,Ader::N,venë,நாளம்
46,Sehne::N,dell,தசைநார்
47,Knochen::N,asht,எலுமபு
48,Knochen::N,kockë,எலுமபு
49,Gehirn::N,tru,மூனை
50,Herz::N,zemër,இதயம
51,Magen::N,stomak,வயிறு
52,Leber::N,mëlçi,கல்லீரல்
53,Atem::N,frymë,மூச்சு
54,Hunger::N,uri,பசி
55,Träne::N,lot,கண்ணீர்
56,Geschmack::N,shije,நறுமணம்
57,Geruch::N,erë,துர்நாற்றம்
58,Schlaf::N,gjumë,தூக்கம்
59,Traum::N,ëndërr,கனவு
60,Himmel::N,qiell,வானம்
61,Sonne::N,diell,சூரியன்
62,Mond::N,hënë,சந்திரன்
63,Stern::N,yll,நட்சத்திரம்
64,Luft::N,ajër,காறறு
65,Wind::N,erë,காற்று
66,Welle::N,valë,அலை
67,Welle::N,dallgë,அலை
68,Wasser::N,ujë,நீர்
69,Stein::N,gur,கல்
70,Boden::N,tokë,தரை
71,Boden::N,truall,தரை
72,Erde::N,dhe,மண்
73,Erde::N,baltë,மண்
74,Staub::N,pluhur,தூசி
75,Rauch::N,tym,புகை
76,Funke::N,xixë,தீப்பொறி
77,Funke::N,shkëndijë,தீப்பொறி
78,Feuer::N,zjarr,தீ
79,Licht::N,dritë,வெளிச்சம்
80,Schatten::N,hije,நிழல்
81,Wetter::N,mot,வானிலை
82,Nebel::N,mjegull,பனிமூட்டம்
83,Wolke::N,re,மேகம்
84,Regen::N,shi,மழை
85,Schnee::N,borë,உறைபனி
86,Eis::N,akull,பனிக்கட்டி
87,Frost::N,ngricë,உறைபனி
88,Kälte::N,të ftohtë,குளிர்ந்த
89,Hitze::N,vapë,சூடு
90,Hitze::N,nxehtësi,சூடு
91,Raureif::N,cikmë,உறைபனி வெண்திரை
92,Regenbogen::N,ylber,வானவில்
93,Donner::N,gjëmim,இடி
94,Donner::N,bubullimë,இடி
95,Strömung::N,rrymë,நீரோட்டம்
96,Tropfen::N,pikë,துளி
97,Schaum::N,shkumë,நுரை
98,Schmutz::N,baltë,அழுக்கு
99,See::N,liqen,ஏரி
100,Sumpf::N,batak,சதுப்பு நிலம்
101,Moor::N,kënetë,முட்புதற்காடு
102,Wiese::N,livadh,பசும் புல்தரை
103,Wald::N,pyll,காடு
104,Hügel::N,kodër,குன்று
105,Anhöhe::N,bregore,பதுக்கை
106,Berg::N,mal,மலை
107,Gipfel::N,kulm,உச்சி மாநாடு
108,Höhle::N,shpellë,குகை
109,Höhle::N,zgafelle,குகை
110,Abhang::N,shpat,சரிவு
111,Abhang::N,tatëpjetë,சரிவு
112,Quelle::N,krua,மூலம்
113,Quelle::N,burim,மூலம்
114,Bach::N,virua,ஓடை
115,Fluss::N,lumë,ஆறு
116,Ufer::N,breg,நீர்க்கரை
117,Küste::N,anëdet,கடற்கரை
118,Küste::N,bregdet,கடற்கரை
119,Festland::N,kontinent,நிலம்
120,Meer::N,det,கடல்
121,Bucht::N,gji deti,சிறுகுடா
122,Insel::N,ishull,தீவு
123,Insel::N,ujdhesë,தீவு
124,Blume::N,lule,பூ
125,Gras::N,bar,புல்தரை
126,Wurzel::N,rrënjë,வேர்
127,Baum::N,pemë,மரம்
128,Stamm::N,trung,அடிமரம்
129,Rinde::N,lëvore,பட்டை
130,Rinde::N,lëvore,மரப்பட்டை
131,Ast::N,degë,கினை
132,Zweig::N,bisk,குச்சி
133,Blatt::N,fletë,இலை
134,Blatt::N,gjethe,இலை
135,Birke::N,mështekën,பிர்ச் மரம்
136,Kiefer[Baum]::N,pishë,தேவதாரு மரம்
137,Weide[Baum]::N,shelg,மர வகைகளுள் ஒன்று
138,Tanne::N,bredh,சாதிக்கய்
139,Horn::N,bri,கொம்பு
140,Feder::N,pupël,இறகு
141,Fell::N,lëkurë,மென்முடி
142,Flügel::N,krah,இறக்கை
143,Flügel::N,fletë,இறக்கை
144,Klaue::N,kthetër,நகம்
145,Kralle::N,thua,நகம்
146,Kralle::N,kthetër,நகம்
147,Schwanz::N,bisht,வால்
148,Ei::N,vezë,முட்டை
149,Nest::N,fole,கூடு
150,Bau::N,strofkë,குகை
151,Tier::N,kafshë,விலங்கு
152,Herde::N,kope,கூட்டம்
153,Herde::N,grigjë,கூட்டம்
154,Kuh::N,lopë,பசு
155,Bulle::N,dem,காளை
156,Pferd::N,kalë,குதிரை
157,Schaf::N,dele,செம்மறிஆடு
158,Schwein::N,derr,பன்றி
159,Hund::N,qen,நாய்
160,Katze::N,mace,பூனை
161,Bär::N,ari,கரடி
162,Eichhörnchen::N,ketër,அணில்
163,Elch::N,dre brilopatë,கடம்பை
164,Fuchs::N,dhelpër,நரி
165,Hase::N,lepur,முயல்
166,Maus::N,mi,எலி
167,Wolf::N,ujk,ஓநாய்
168,Vogel::N,zog,பறவை
169,Vogel::N,shpend,பறவை
170,Schwarm::N,luzmë,தொகுதி
171,Huhn::N,pulë,கோழிக்குஞசு
172,Hahn::N,gjel,சேவல்
173,Hahn::N,këndes,சேவல்
174,Gans::N,patë,பெண் வாத்து
175,Adler::N,shqiponjë,பருநது
176,Ente::N,rosë,வாத்து
177,Eule::N,buf,ஆந்தை
178,Kranich::N,lejlek,நாரை
179,Kranich::N,kurrillë,நாரை
180,Krähe::N,sorrë,காகம்
181,Kuckuck::N,qyqe,குயில்
182,Schwan::N,mjellmë,அன்னம்
183,Fisch::N,peshk,மீன்
184,Barsch::N,purtekë,பேர்ச்
185,Hecht::N,mlysh,கோலாச்சி மீன்
186,Schlange[Tier]::N,gjarpër,பாம்பு
187,Wurm::N,krimb,புழு
188,Spinne::N,marimangë,சிலந்தி
189,Ameise::N,thnegël,எறும்பு
190,Ameise::N,milingonë,எறும்பு
191,Laus::N,morr,பேன்
192,Mücke::N,kunup,கொசுவினப்பூச்சி
193,Mücke::N,mushkonjë,கொசுவினப்பூச்சி
194,Fliege::N,mizë,ஈ
195,Schmetterling::N,flutur,வண்ணத்துப்பூச்சி
196,Beere::N,frutë,சதைப்பழம்
197,Beere::N,manaferrë,சதைப்பழம்
198,Apfel::N,mollë,ஆப்பிள பழம்
199,Pilz::N,kërpudhë,காளான்
200,Zwiebel::N,qepë,வெங்காயம்
201,Saat::N,farë,விதை
202,Korn::N,grurë,தானியம்
203,Korn::N,kokërr,தானியம்
204,Heu::N,sanë,வைக்கோல்
205,Schale::N,lëkurë,தோல்
206,Grube::N,gropë,குழி
207,Falle::N,kurth,பொறி
208,Falle::N,grackë,பொறி
209,Schlinge::N,nyjë,கண்ணி
210,Spur::N,gjurmë,சுவடு
211,Asche::N,hi,சாம்பல்
212,Dreck::N,baltë,அழுக்கு
213,Eisen::N,hekur,இரும்பு
214,Gold::N,ar,தங்கம்
215,Gold::N,flori,தங்கம்
216,Silber::N,argjend,வெள்ளி
217,Kohle::N,qymyr,நிலக்கரி
218,Glas::N,qelq,கண்ணாடி
219,Lehm::N,argjilë,களிமண்
220,Sand::N,rërë,மணல்
221,Mensch::N,njeri,மனிதர்கள்
222,Mann::N,burrë,மனிதன்
223,Mann::N,mashkull,மனிதன்
224,Frau::N,grua,பெண்
225,Frau::N,femër,பெண்
226,Kind::N,kalama,குழந்தை
227,Junge::N,djalë,பையன்
228,Mädchen::N,gocë,சிறுமி
229,Mädchen::N,vajzë,சிறுமி
230,Familie::N,familje,குடும்பம்
231,Großvater::N,gjysh,தாத்தா
232,Großmutter::N,gjyshe,பாட்டி
233,Eltern::N,prindër,பெற்றோர்
234,Vater::N,atë,தந்தை
235,Mutter::N,nënë,தாய்
236,Sohn::N,bir,மகன்
237,Tochter::N,bijë,மகள்
238,Bruder::N,vëlla,சகோதரன்
239,Schwester::N,motër,அக்கா
240,Onkel::N,dajë,தாய் மாமன்
241,Onkel::N,xhaxha,தாய் மாமன்
242,Tante::N,teze,அத்தை
243,Tante::N,hallë,அத்தை
244,Ehemann::N,burrë,கணவன்
245,Ehemann::N,bashkëshort,கணவன்
246,Ehefrau::N,grua,மனைவி
247,Ehefrau::N,bashkëshorte,மனைவி
248,Freude::N,gaz,கொண்டாட்டம்
249,Freude::N,gëzim,கொண்டாட்டம்
250,Gelächter::N,qeshje,சிரிப்பு
251,Glück::N,lumturi,மகிழ்ச்சி
252,Kummer::N,brengë,துயரம்
253,Kummer::N,pikëllim,துயரம்
254,Wunsch::N,dëshirë,விருப்பம்
255,Lust::N,epsh,விருப்பம்
256,Lust::N,dashuri,விருப்பம்
257,Geist::N,frymë,ஆன்மா
258,Geist::N,shpirt,ஆன்மா
