,Concept_ID,bg,ko
0,Auge::N,око,눈
1,Ohr::N,ухо,귀
2,Nase::N,нос,코
3,Mund::N,уста,입
4,Zahn::N,зъб,이
5,Zunge::N,език,혀
6,Lippe::N,устна,입술
7,Wange::N,буза,뺨
8,Gesicht::N,лице,얼굴
9,Gesicht::N,образ,얼굴
10,Stirn::N,чело,이마
11,Haar::N,коса,털
12,Haar::N,косъм,털
13,Schnurrbart::N,мустаци,윗수몀
14,Schnurrbart::N,мустаци,코밑수염
15,Bart::N,брада,수엄
16,Kinn::N,брада,아래턱
17,Kinn::N,брадичка,아래턱
18,Kiefer[Anatomie]::N,челюст,턱
19,Kehle::N,гърло,인후
20,Hals::N,врат,목
21,Genick::N,тил,먹덜이
22,Kopf::N,глава,머리
23,Rücken::N,гръб,든
24,Bauch::N,корем,배
25,Nabel::N,пъп,배꼽
26,Busen::N,бозка,가슴속
27,Brust::N,гръд,가슴
28,Schulter::N,рамо,어깨
29,Schulter::N,плещи,어깨
30,Arm::N,ръка,팔
31,Ellenbogen::N,лакът,팔쿰치
32,Hand::N,ръка,손
33,Hand::N,китка,손
34,Handfläche::N,длан,손바닥
35,Finger::N,пръст,속가락
36,Fingernagel::N,нокът,손톱
37,Nagel[Anatomie]::N,нокът,손톱
38,Zeh::N,пръст на крак,발가락
39,Fuß::N,крак,발
40,Fuß::N,нога,발
41,Ferse::N,пета,발꿈치
42,Knie::N,коляно,무릎
43,Oberschenkel::N,бедро,허벅다리
44,Bein::N,крак,다리
45,Bein::N,нога,다리
46,Körper::N,тяло,구간
47,Haut::N,кожа,살갗
48,Blut::N,кръв,피
49,Ader::N,вена,정맥
50,Ader::N,артерия,정맥
51,Sehne::N,жила,현
52,Sehne::N,сухожилие,현
53,Knochen::N,кост,뼈
54,Gehirn::N,мозък,뇌
55,Gehirn::N,мозък,뇌수
56,Herz::N,сърце,염통
57,Magen::N,стомах,위
58,Leber::N,черен дроб,간
59,Atem::N,дишане,기식
60,Hunger::N,глад,공복
61,Träne::N,сълза,눈물
62,Geschmack::N,вкус,기호
63,Geruch::N,миризма,냄새
64,Schlaf::N,сън,수면
65,Traum::N,сън,쿰
66,Himmel::N,небе,하늘
67,Sonne::N,слънце,해
68,Mond::N,луна,달
69,Mond::N,месец,달
70,Stern::N,звезда,별
71,Luft::N,въздух,동준
72,Luft::N,въздух,가스채
73,Wind::N,вятър,바람
74,Welle::N,вълна,물결
75,Wasser::N,вода,물
76,Stein::N,камък,돌
77,Boden::N,земя,바닥
78,Boden::N,почва,바닥
79,Erde::N,земя,흙
80,Erde::N,почва,흙
81,Staub::N,прах,먼지
82,Rauch::N,дим,연기
83,Rauch::N,пушек,연기
84,Funke::N,искра,불티
85,Feuer::N,огън,불
86,Licht::N,светлина,불
87,Schatten::N,сянка,어스레함
88,Wetter::N,време,기상
89,Nebel::N,мъгла,안개
90,Wolke::N,облак,구름
91,Regen::N,дъжд,비
92,Schnee::N,сняг,눈
93,Eis::N,лед,얼음
94,Frost::N,мраз,혹한
95,Kälte::N,студ,추위
96,Kälte::N,студ,차가움
97,Hitze::N,жега,고온
98,Hitze::N,жега,더위
