,Concept_ID,tt,ar
0,Auge::N,күз,عين
1,Ohr::N,колак,أذن
2,Nase::N,борын,أنف
3,Mund::N,авыз,فم
4,Mund::N,тамак,فم
5,Zahn::N,теш,سن
6,Zunge::N,тел,لسان
7,Lippe::N,ирен,شفة
8,Wange::N,яңак,خد
9,Wange::N,яңак,وجنة
10,Gesicht::N,йөз,وجه
11,Stirn::N,маңгай,جبين
12,Haar::N,чәч,شعر
13,Schnurrbart::N,мыек,شارب
14,Bart::N,сакал,لحية
15,Kinn::N,ияк,ذقن
16,Kiefer[Anatomie]::N,казналык,فك
17,Kehle::N,тамак,حلق
18,Hals::N,бугаз,عنق
19,Hals::N,бугаз,رقبة
20,Genick::N,җилкә,قفا
21,Kopf::N,баш,رأس
22,Rücken::N,сырт,ظهر
23,Bauch::N,корсак,بطن
24,Nabel::N,кендек,سرة
25,Busen::N,түш,ثدي
26,Brust::N,имчәк,صدر
27,Brust::N,күкрәк,صدر
28,Schulter::N,иңбаш,كتف
29,Schulter::N,кулбаш,كتف
30,Arm::N,кул,ذراع
31,Ellenbogen::N,терсәк,كوع
32,Hand::N,кул,يد
33,Handfläche::N,уч,كف
34,Finger::N,бармак,إصبع
35,Fingernagel::N,тырнак,ظفر
36,Nagel[Anatomie]::N,тырнак,ظفر
37,Zeh::N,бармак,إصبع القدم
38,Fuß::N,табан,قدم
39,Ferse::N,үкчә,كعب
40,Knie::N,тез,ركبة
41,Oberschenkel::N,бот,فخذ
42,Bein::N,аяк,ساق
43,Körper::N,тән,جسم
44,Körper::N,җисем,جسم
45,Haut::N,тире,بشرة
46,Blut::N,кан,دم
47,Ader::N,тамыр,عرق
48,Sehne::N,сеңер,طنب
49,Knochen::N,сөяк,عظم
50,Gehirn::N,ми,دماغ
51,Herz::N,йөрәк,قلب
52,Magen::N,ашказаны,معدة
53,Leber::N,бавыр,كبد
54,Atem::N,сулыш,نفس
55,Hunger::N,ачлык,جوع
56,Träne::N,яшь,دمعة
57,Geschmack::N,тәм,طعم
58,Geschmack::N,тәм,مذاق
59,Geschmack::N,зәвык,طعم
60,Geschmack::N,зәвык,مذاق
61,Geruch::N,ис,رائحة
62,Schlaf::N,йокы,نوم
63,Schlaf::N,йокы,منام
64,Traum::N,төш,حلم
65,Himmel::N,күк,سماء
66,Sonne::N,кояш,شمس
67,Mond::N,ай,قمر
68,Stern::N,йолдыз,نجم
69,Stern::N,йолдыз,كوكب
70,Luft::N,һава,هواء
71,Wind::N,җил,ريح
