,Concept_ID,sq,ru
0,Auge::N,sy,глаз
1,Ohr::N,vesh,ухо
2,Nase::N,hundë,нос
3,Mund::N,gojë,рот
4,Zahn::N,dhëmb,зуб
5,Zunge::N,gjuhë,язык
6,Lippe::N,buzë,губа
7,Wange::N,faqe,щека
8,Wange::N,mollëz,щека
9,Gesicht::N,fytyrë,лицо
10,Stirn::N,ballë,лоб
11,Haar::N,flokë,волос
12,Haar::N,flokë,волосы
13,Schnurrbart::N,mustaqe,ус
14,Schnurrbart::N,mustaqe,усы
15,Bart::N,mjekër,борода
16,Kinn::N,mjekër,подбородок
17,Kiefer[Anatomie]::N,nofull,челюсть
18,Kehle::N,fyt,горло
19,Kehle::N,grykë,горло
20,Hals::N,qafë,шея
21,Genick::N,arrëz,затылок
22,Kopf::N,kokë,голова
23,Rücken::N,kurriz,спина
24,Bauch::N,bark,живот
25,Nabel::N,kërthizë,пупок
26,Busen::N,gji,женская грудь
27,Brust::N,gjoks,грудь
28,Brust::N,kraharor,грудь
29,Schulter::N,sup,плечо
30,Schulter::N,krah,плечо
31,Arm::N,krah,рука
32,Ellenbogen::N,bërryl,локоть
33,Hand::N,dorë,кисть
34,Handfläche::N,pëllëmbë,ладонь
35,Finger::N,gisht,палец
36,Fingernagel::N,thua,ноготь
37,Nagel[Anatomie]::N,thua,ноготь
38,Zeh::N,gisht i këmbës,палец
39,Fuß::N,këmbë,ступня
40,Ferse::N,thembër,пята
41,Ferse::N,thembër,пятка
42,Knie::N,gju,колено
43,Oberschenkel::N,kofshë,бедро
44,Bein::N,këmbë,нога
45,Körper::N,trup,тело
46,Haut::N,lëkurë,кожа
47,Blut::N,gjak,кровь
48,Ader::N,venë,вена
49,Ader::N,venë,сосуд
50,Sehne::N,dell,жила
51,Sehne::N,dell,тетива
52,Sehne::N,dell,сухожилие
53,Knochen::N,asht,кость
54,Knochen::N,kockë,кость
55,Gehirn::N,tru,мозг
56,Herz::N,zemër,сердце
57,Magen::N,stomak,желудок
58,Leber::N,mëlçi,печень
59,Atem::N,frymë,дух
60,Atem::N,frymë,дыхание
61,Hunger::N,uri,голод
62,Träne::N,lot,слеза
63,Geschmack::N,shije,вкус
64,Geruch::N,erë,запах
65,Schlaf::N,gjumë,сон
66,Traum::N,ëndërr,сновидение
67,Himmel::N,qiell,небо
68,Sonne::N,diell,солнце
69,Mond::N,hënë,луна
70,Stern::N,yll,звезда
71,Luft::N,ajër,воздух
72,Wind::N,erë,ветер
73,Welle::N,valë,волна
74,Welle::N,dallgë,волна
75,Wasser::N,ujë,вода
76,Stein::N,gur,камень
77,Boden::N,tokë,почва
78,Boden::N,truall,почва
79,Erde::N,dhe,земля
80,Erde::N,baltë,земля
81,Staub::N,pluhur,пыль
82,Rauch::N,tym,дым
83,Funke::N,xixë,искра
84,Funke::N,shkëndijë,искра
85,Feuer::N,zjarr,огонь
86,Licht::N,dritë,свет
87,Schatten::N,hije,тень
88,Wetter::N,mot,погода
89,Nebel::N,mjegull,туман
90,Wolke::N,re,облако
91,Regen::N,shi,дождь
92,Schnee::N,borë,снег
93,Eis::N,akull,лед
94,Frost::N,ngricë,мороз
95,Kälte::N,të ftohtë,холод
96,Hitze::N,vapë,жара
97,Hitze::N,nxehtësi,жара
98,Raureif::N,cikmë,иней
99,Regenbogen::N,ylber,радуга
100,Donner::N,gjëmim,гром
101,Donner::N,bubullimë,гром
102,Strömung::N,rrymë,течение
103,Tropfen::N,pikë,капля
104,Schaum::N,shkumë,пена
105,Schmutz::N,baltë,грязь
106,See::N,liqen,озеро
107,Sumpf::N,batak,топь
108,Moor::N,kënetë,болото
109,Wiese::N,livadh,луг
110,Wald::N,pyll,лес
111,Hügel::N,kodër,холм
112,Anhöhe::N,bregore,возвышенность
113,Berg::N,mal,гора
114,Gipfel::N,kulm,вершина
115,Höhle::N,shpellë,пещера
116,Höhle::N,zgafelle,пещера
117,Abhang::N,shpat,склон
118,Abhang::N,tatëpjetë,склон
119,Quelle::N,krua,источник
120,Quelle::N,burim,источник
121,Bach::N,virua,ручей
122,Fluss::N,lumë,река
123,Ufer::N,breg,берег
124,Küste::N,anëdet,побережье
125,Küste::N,bregdet,побережье
126,Festland::N,kontinent,суша
127,Meer::N,det,море
128,Bucht::N,gji deti,бухта
129,Insel::N,ishull,остров
130,Insel::N,ujdhesë,остров
131,Blume::N,lule,цветок
132,Gras::N,bar,трава
133,Wurzel::N,rrënjë,корень
134,Baum::N,pemë,дерево
135,Stamm::N,trung,ствол
136,Rinde::N,lëvore,кора
137,Ast::N,degë,сук
138,Zweig::N,bisk,ветвь
139,Blatt::N,fletë,лист
140,Blatt::N,gjethe,лист
141,Birke::N,mështekën,береза
142,Kiefer[Baum]::N,pishë,сосна
143,Weide[Baum]::N,shelg,ива
144,Tanne::N,bredh,ель
145,Horn::N,bri,рог
146,Feder::N,pupël,перо
147,Fell::N,lëkurë,шкура
148,Flügel::N,krah,крыло
149,Flügel::N,fletë,крыло
150,Klaue::N,kthetër,коготь
151,Kralle::N,thua,лапа
152,Kralle::N,kthetër,лапа
153,Schwanz::N,bisht,хвост
154,Ei::N,vezë,яйцо
155,Nest::N,fole,гнездо
156,Bau::N,strofkë,нора
157,Tier::N,kafshë,животное
158,Herde::N,kope,стадо
159,Herde::N,grigjë,стадо
160,Kuh::N,lopë,корова
161,Bulle::N,dem,бык
162,Pferd::N,kalë,лошадь
163,Schaf::N,dele,овца
164,Schwein::N,derr,свинья
165,Hund::N,qen,собака
166,Katze::N,mace,кошка
167,Bär::N,ari,медведь
168,Eichhörnchen::N,ketër,белка
169,Elch::N,dre brilopatë,лось
170,Fuchs::N,dhelpër,лиса
171,Hase::N,lepur,заяц
172,Maus::N,mi,мышь
173,Wolf::N,ujk,волк
174,Vogel::N,zog,птица
175,Vogel::N,shpend,птица
176,Schwarm::N,luzmë,стая
177,Huhn::N,pulë,курица
178,Hahn::N,gjel,петух
179,Hahn::N,këndes,петух
180,Gans::N,patë,гусь
181,Adler::N,shqiponjë,орел
182,Ente::N,rosë,утка
183,Eule::N,buf,сова
184,Kranich::N,lejlek,журавль
