,Concept_ID,no,te
0,Auge::N,øye,కన్ను
1,Ohr::N,øre,చెవి
2,Nase::N,nese,ముక్కు
3,Mund::N,munn,నోరు
4,Zahn::N,tann,పల్లు
5,Zunge::N,tunge,నాలుక
6,Lippe::N,leppe,పెదవి
7,Wange::N,kinn,చెంప
8,Gesicht::N,fjes,ముఖము
9,Gesicht::N,ansikt,ముఖము
10,Stirn::N,panne,నుదురు
11,Haar::N,hår,వెండ్రుక
12,Schnurrbart::N,bart,మీసము
13,Bart::N,skjegg,గడ్డము
14,Kinn::N,hake,గడ్డము
15,Kiefer[Anatomie]::N,kjeve,దౌడ
16,Kehle::N,strupe,గొంతు
17,Hals::N,hals,మెడ
18,Genick::N,nakke,మూపు
19,Kopf::N,hode,తల
20,Rücken::N,rygg,వెన్ను
21,Bauch::N,buk,కడుపు
22,Bauch::N,mage,కడుపు
23,Nabel::N,navle,బొడ్డు
24,Busen::N,barm,స్తనము
25,Brust::N,bryst,ఱొమ్ము
26,Schulter::N,skulder,భుజము
27,Arm::N,arm,చేయి
28,Ellenbogen::N,albue,మోచేయి
29,Hand::N,hånd,చేయి
30,Handfläche::N,håndflate,అరచేయు
31,Finger::N,finger,చేతిప్రేలు
32,Fingernagel::N,fingernegl,గోరు
33,Nagel[Anatomie]::N,negl,గోరు
34,Zeh::N,tå,కాలిప్రేలు
35,Fuß::N,fot,అడుగు
36,Ferse::N,hæl,మడమ
37,Knie::N,kne,మోకాలు
38,Oberschenkel::N,lår,తొడ
39,Bein::N,bein,కాలు
40,Körper::N,kropp,కాయము
41,Körper::N,legeme,కాయము
42,Haut::N,hud,చర్మము
43,Haut::N,skinn,చర్మము
44,Blut::N,blod,రక్తము
45,Ader::N,åre,సిర
46,Sehne::N,sene,స్నాయువు
47,Knochen::N,bein,ఎముక
48,Knochen::N,knokkel,ఎముక
49,Gehirn::N,hjerne,మెదడు
50,Herz::N,hjerte,హృదయము
51,Magen::N,mage,కడుపు
52,Leber::N,lever,కాలేయము
53,Atem::N,pust,ఉపిరి
54,Hunger::N,sult,ఆకలి
55,Träne::N,tåre,కన్నీటిచుక్క
56,Geschmack::N,smak,రుచి
57,Geruch::N,lukt,వాసన
58,Schlaf::N,søvn,నిద్ర
59,Traum::N,drøm,కల
