,Concept_ID,os,se
0,Auge::N,цӕст,tjelmie
1,Auge::N,цӕст,tjalmme
2,Auge::N,цӕст,čalbmi
3,Auge::N,цӕст,čalme
4,Auge::N,цӕст,čâ´lmm
5,Auge::N,цӕст,ча̄лльм
6,Ohr::N,хъус,bieljie
7,Ohr::N,хъус,biellje
8,Ohr::N,хъус,beallji
9,Ohr::N,хъус,pelji
10,Ohr::N,хъус,pe´llj
11,Ohr::N,хъус,пе̄лльй
12,Nase::N,фындз,njuenie
13,Nase::N,фындз,njunnje
14,Nase::N,фындз,njunni
15,Nase::N,фындз,njuṇe
16,Nase::N,фындз,njuu´nn
17,Nase::N,фындз,нюннҍ
18,Mund::N,дзых,njaelmie
19,Mund::N,дзых,njálmme
20,Mund::N,дзых,njálbmi
21,Mund::N,дзых,njälmi
22,Mund::N,дзых,njä´lmm
23,Mund::N,дзых,ня̄лльм
24,Zahn::N,дӕндаг,baenie
25,Zahn::N,дӕндаг,bádne
26,Zahn::N,дӕндаг,bátni
27,Zahn::N,дӕндаг,pääṇi
28,Zahn::N,дӕндаг,pää´nn
29,Zahn::N,дӕндаг,па̄ннҍ
30,Zunge::N,ӕвзаг,njoektjeme
31,Zunge::N,ӕвзаг,njuovtjav
32,Zunge::N,ӕвзаг,njuovčča
33,Zunge::N,ӕвзаг,njuovčâ
34,Zunge::N,ӕвзаг,njuhččâm
35,Zunge::N,ӕвзаг,нюхчем
36,Lippe::N,был,bangseme
37,Lippe::N,был,njálmmerabdda
38,Lippe::N,был,bavssa
39,Lippe::N,был,poovsâ
40,Lippe::N,был,põõus
41,Lippe::N,был,пэ̄кс
42,Wange::N,рус,skiehrie
43,Wange::N,рус,nierra
44,Wange::N,рус,muohtu
45,Wange::N,рус,nieṛâ
46,Wange::N,рус,njiõrr
47,Wange::N,рус,нӣрр
48,Wange::N,уадул,skiehrie
49,Wange::N,уадул,nierra
50,Wange::N,уадул,muohtu
51,Wange::N,уадул,nieṛâ
52,Wange::N,уадул,njiõrr
53,Wange::N,уадул,нӣрр
54,Wange::N,ӕхсӕрфарс,skiehrie
55,Wange::N,ӕхсӕрфарс,nierra
56,Wange::N,ӕхсӕрфарс,muohtu
57,Wange::N,ӕхсӕрфарс,nieṛâ
58,Wange::N,ӕхсӕрфарс,njiõrr
59,Wange::N,ӕхсӕрфарс,нӣрр
60,Gesicht::N,цӕсгом,ååredæjja
61,Gesicht::N,цӕсгом,muohto
62,Gesicht::N,цӕсгом,muođut
63,Gesicht::N,цӕсгом,ámadadju
64,Gesicht::N,цӕсгом,muáđuh
65,Gesicht::N,цӕсгом,muâđ
66,Gesicht::N,цӕсгом,ка̄ссв
67,Stirn::N,ных,gaalloe
68,Stirn::N,ных,gállo
69,Stirn::N,ных,gállu
70,Stirn::N,ных,kállu
71,Stirn::N,ных,käll
72,Stirn::N,ных,вуэххьц
73,Haar::N,хил,voepte
74,Haar::N,хил,vuoppta
75,Haar::N,хил,vuokta
76,Haar::N,хил,vuop'tâ
77,Haar::N,хил,vuõpt
78,Haar::N,хил,вӯппт
79,Schnurrbart::N,рихи,bijjie-skaavtjoe
80,Schnurrbart::N,рихи,njunjevuolskávttjá
81,Schnurrbart::N,рихи,seamu
82,Schnurrbart::N,рихи,siämu
83,Schnurrbart::N,рихи,ää´bben
84,Schnurrbart::N,рихи,о̄а̄бпан
85,Bart::N,зачъе,skaavtja
86,Bart::N,зачъе,skaavtjoe
87,Bart::N,зачъе,skávttjá
88,Bart::N,зачъе,seamu
89,Bart::N,зачъе,siämu
90,Bart::N,зачъе,seäm
91,Bart::N,зачъе,ся̄м
92,Kinn::N,роцъо,gaejpie
93,Kinn::N,роцъо,gájbbe
94,Kinn::N,роцъо,gáibi
95,Kinn::N,роцъо,käibi
96,Kinn::N,роцъо,käi´bb
97,Kinn::N,роцъо,ка̄ййп
98,Kiefer[Anatomie]::N,ӕфсӕр,gaejpie
99,Kiefer[Anatomie]::N,ӕфсӕр,oalol
100,Kiefer[Anatomie]::N,ӕфсӕр,oaloldákte
101,Kiefer[Anatomie]::N,ӕфсӕр,gáibi
102,Kiefer[Anatomie]::N,ӕфсӕр,uá'lultähti
103,Kiefer[Anatomie]::N,ӕфсӕр,vuâl'lõš
104,Kiefer[Anatomie]::N,ӕфсӕр,вуаллнешш
105,Kehle::N,хъуыр,gealoe
106,Kehle::N,хъуыр,tjåttå
107,Kehle::N,хъуыр,njiello
108,Kehle::N,хъуыр,čotta
109,Kehle::N,хъуыр,čuudâ
110,Kehle::N,хъуыр,čoodd
111,Kehle::N,хъуыр,чонт
112,Kehle::N,хъуыр,кэ̄ҏс
113,Hals::N,къубал,tjeapohke
114,Hals::N,къубал,tjiebet
115,Hals::N,къубал,čeabet
116,Hals::N,къубал,čiäppát
117,Hals::N,къубал,čeäppat
118,Hals::N,къубал,ча̄пэх
119,Genick::N,къӕбут,tjovrese
120,Genick::N,къӕбут,nisske
121,Genick::N,къӕбут,niehkki
122,Genick::N,къӕбут,niski
123,Genick::N,къӕбут,niek'ki
124,Genick::N,къӕбут,nji´šǩǩmaadd
125,Genick::N,къӕбут,нышшькмоант
126,Kopf::N,сӕр,åejjie
127,Kopf::N,сӕр,oajvve
128,Kopf::N,сӕр,oaivi
129,Kopf::N,сӕр,uái'vi
130,Kopf::N,сӕр,vuei´vv
131,Kopf::N,сӕр,вуэййв
132,Rücken::N,фӕсонтӕ,rudtje
133,Rücken::N,фӕсонтӕ,hárddo
134,Rücken::N,фӕсонтӕ,tjavelk
135,Rücken::N,фӕсонтӕ,sealgi
136,Rücken::N,фӕсонтӕ,selgi
137,Rücken::N,фӕсонтӕ,čielgi
138,Rücken::N,фӕсонтӕ,seä´lǧǧ
139,Rücken::N,фӕсонтӕ,се̄лльк
140,Bauch::N,гуыбын,tjåejjie
141,Bauch::N,гуыбын,tjoajvve
142,Bauch::N,гуыбын,čoavji
143,Bauch::N,гуыбын,čuáv'ji
144,Bauch::N,гуыбын,čåu´jj
145,Bauch::N,гуыбын,чо̄ввьй
146,Nabel::N,бикъ,naepie
147,Nabel::N,бикъ,náhpe
148,Nabel::N,бикъ,náhpi
