,Concept_ID,ar,vep
0,Auge::N,عين,sil'm
1,Ohr::N,أذن,korv
2,Nase::N,أنف,nena
3,Mund::N,فم,su
4,Zahn::N,سن,pi
5,Zahn::N,سن,hambaz
6,Zunge::N,لسان,kel'
7,Lippe::N,شفة,hul'
8,Wange::N,خد,modpolišk
9,Wange::N,وجنة,modpolišk
10,Gesicht::N,وجه,mod
11,Stirn::N,جبين,oc
12,Haar::N,شعر,tuk
13,Haar::N,شعر,hibuz
14,Schnurrbart::N,شارب,habinod
15,Bart::N,لحية,bard
16,Kinn::N,ذقن,löug
17,Kiefer[Anatomie]::N,فك,hambazlu
18,Kehle::N,حلق,kurk
19,Hals::N,عنق,kagl
20,Hals::N,رقبة,kagl
21,Genick::N,قفا,tagarai
22,Kopf::N,رأس,pä
23,Rücken::N,ظهر,sel'g
24,Bauch::N,بطن,vac
25,Bauch::N,بطن,koht
26,Nabel::N,سرة,naba
27,Busen::N,ثدي,niža
28,Brust::N,صدر,rind
29,Schulter::N,كتف,oug
30,Arm::N,ذراع,käzi
31,Ellenbogen::N,كوع,künambruz
32,Hand::N,يد,käzi
33,Hand::N,يد,käzitera
34,Handfläche::N,كف,kämen
35,Finger::N,إصبع,sor'm
36,Fingernagel::N,ظفر,künz'
37,Nagel[Anatomie]::N,ظفر,künz'
38,Zeh::N,إصبع القدم,barbaz
39,Fuß::N,قدم,jaug
40,Ferse::N,كعب,kand
41,Knie::N,ركبة,komb
42,Knie::N,ركبة,pol'v
43,Oberschenkel::N,فخذ,riiže
44,Bein::N,ساق,jaug
45,Körper::N,جسم,hibj
46,Haut::N,بشرة,nahk
47,Blut::N,دم,čak
48,Blut::N,دم,veri
49,Ader::N,عرق,son'
50,Sehne::N,طنب,jände
51,Knochen::N,عظم,lu
52,Gehirn::N,دماغ,aivod
53,Herz::N,قلب,südäin
54,Magen::N,معدة,südäikoht
55,Leber::N,كبد,maks
56,Atem::N,نفس,hengaiduz
57,Hunger::N,جوع,näl'g
58,Träne::N,دمعة,kündal'
59,Geschmack::N,طعم,magu
60,Geschmack::N,مذاق,magu
61,Geruch::N,رائحة,haju
62,Schlaf::N,نوم,uni
63,Schlaf::N,منام,uni
64,Traum::N,حلم,unikuva
65,Himmel::N,سماء,taivaz
66,Sonne::N,شمس,päiväine
67,Mond::N,قمر,kudmaine
68,Stern::N,نجم,tähtaz
69,Stern::N,كوكب,tähtaz
70,Luft::N,هواء,il'm
71,Wind::N,ريح,döl
72,Wind::N,ريح,tullei
73,Welle::N,موجة,ald
74,Welle::N,موجة,laineh
75,Wasser::N,ماء,vezi
76,Stein::N,حجر,kivi
77,Boden::N,تراب,ma
78,Boden::N,تراب,pohj
79,Erde::N,أرض,ma
80,Staub::N,غبار,pölü
81,Rauch::N,دخان,savu
82,Funke::N,شرارة,kibin
83,Feuer::N,نار,lämoi
84,Licht::N,نور,vauktuz
85,Licht::N,ضوء,vauktuz
86,Schatten::N,ظل,pil'vez
87,Schatten::N,ظل,kuvahaine
88,Schatten::N,فيء,pil'vez
89,Schatten::N,فيء,kuvahaine
90,Wetter::N,جو,sä
91,Wetter::N,طقس,sä
92,Nebel::N,ضباب,sumeg
93,Wolke::N,غيمة,pil'v
94,Wolke::N,سحابة,pil'v
95,Regen::N,مطر,vihm
96,Schnee::N,ثلج,lumi
97,Eis::N,جليد,jä
98,Frost::N,صقيع,hala
99,Frost::N,صقيع,pakaine
100,Kälte::N,برد,vilu
101,Hitze::N,حر,räk
102,Hitze::N,حرارة,räk
103,Raureif::N,صقيع,hüde
104,Regenbogen::N,قوس قزح,jumalanbembel'
105,Donner::N,رعد,juru
106,Donner::N,رعد,jumalanjuru
107,Strömung::N,تيار,joksmuz
108,Tropfen::N,قطرة,tilkuine
109,Schaum::N,زبد,vaht
110,Schaum::N,رغوة,vaht
111,Schmutz::N,وسخ,redu
112,Schmutz::N,وسخ,pačak
113,See::N,بحيرة,järv
114,Sumpf::N,مستنقع,so
115,Moor::N,مستنقع,so
116,Wiese::N,مرج,nit
117,Wald::N,غابة,mec
118,Hügel::N,تل,kukaz
119,Anhöhe::N,تل,kukaz
120,Berg::N,جبل,mägi
121,Gipfel::N,قمة,ladv
122,Höhle::N,كهف,mägionduz
123,Abhang::N,منحدر,paute
124,Quelle::N,منبع,lähte
125,Bach::N,مجرى,oja
126,Fluss::N,نهر,jogi
127,Ufer::N,ضفة,rand
128,Küste::N,ساحل,randišt
129,Festland::N,بر,kuivma
130,Meer::N,بحر,meri
131,Bucht::N,خليج,laht
132,Insel::N,جزيرة,sar'
133,Blume::N,زهرة,änik
134,Gras::N,حشيش,hein
135,Wurzel::N,أصل,jur'
136,Baum::N,شجرة,pu
137,Stamm::N,جذع,tüvi
138,Rinde::N,قشرة,kor'
139,Ast::N,فرع,oks
140,Zweig::N,غصن,oks
141,Zweig::N,غصن,barb
142,Blatt::N,ورقة,lehtez
143,Birke::N,قضبان,koiv
144,Kiefer[Baum]::N,صنوبرة,pedai
145,Weide[Baum]::N,صفصاف,raid
146,Tanne::N,شوح,kuz'
147,Tanne::N,تبوب,kuz'
148,Horn::N,قرن,sar'v
149,Feder::N,ريشة,höuneh
150,Fell::N,فرو,nahk
151,Flügel::N,جناح,suug
152,Klaue::N,مخلب,künz'
153,Kralle::N,مخلب,künz'
154,Schwanz::N,ذيل,händ
155,Ei::N,بيض,muna
156,Nest::N,عش,peza
157,Bau::N,جحر,uru
158,Tier::N,حيوان,živat
159,Herde::N,قطيع,kogo
160,Kuh::N,بقرة,lehm
161,Bulle::N,ثور,härg
162,Pferd::N,خيل,hebo
163,Schaf::N,شاة,lambaz
164,Schwein::N,خنزير,siga
165,Hund::N,كلب,koir
166,Katze::N,قطة,kaži
167,Bär::N,دب,kondi
168,Eichhörnchen::N,سنجاب,orav
169,Elch::N,موظ,hirb'
170,Fuchs::N,ثعلب,reboi
171,Hase::N,أرنب,jäniš
172,Maus::N,فأرة,hir'
173,Wolf::N,ذئب,händikaz
174,Vogel::N,طير,lind
175,Schwarm::N,سرب,parveh
176,Huhn::N,دجاجة,kana
177,Hahn::N,ديك,kukoi
178,Gans::N,وزة,hanh'
179,Adler::N,نسر,orl
180,Ente::N,بطة,sorz
181,Eule::N,بوم,hir'pulo
182,Kranich::N,كركي,kurg
183,Krähe::N,غراب,variš
184,Kuckuck::N,وقواق,kägi
185,Schwan::N,إوز عراقي,joucen
186,Fisch::N,سمك,kala
187,Barsch::N,فرخ أوربي,ahven
188,Hecht::N,سمك الكراكي,haug'
189,Schlange[Tier]::N,حية,kü
190,Schlange[Tier]::N,حية,mado
191,Schlange[Tier]::N,ثعبان,kü
192,Schlange[Tier]::N,ثعبان,mado
193,Wurm::N,دودة,mado
194,Spinne::N,عنكبوت,hämähouk
195,Ameise::N,نملة,murahaine
196,Laus::N,قملة,täi
197,Mücke::N,ناموسة,säs'k
198,Fliege::N,ذبابة,kärbhaine
199,Schmetterling::N,فراشة,lipkaine
200,Beere::N,حبة,marj
201,Apfel::N,تفاح,jablok
202,Pilz::N,فطر,sen'
203,Pilz::N,فطر,babuk
204,Zwiebel::N,بصل,lauk
205,Saat::N,زرع,semned
206,Korn::N,حبة,jüvä
207,Korn::N,حبة,vill'
208,Heu::N,دريس,hein
209,Schale::N,قشرة,kor'
210,Grube::N,نقرة,kop
211,Falle::N,فخ,rida
212,Falle::N,مصيدة,rida
213,Schlinge::N,عروة,rihm
214,Spur::N,أثر,jäl'g
215,Asche::N,رماد,tuhk
216,Dreck::N,قذر,redu
217,Dreck::N,قذر,pačak
218,Eisen::N,حديد,raud
219,Gold::N,ذهب,kuld
220,Silber::N,فضة,hobed
221,Kohle::N,فحم,hil'
222,Glas::N,زجاج,stökol
223,Lehm::N,طين,savi
224,Sand::N,رمل,lete
225,Mensch::N,إنسان,mez'
226,Mensch::N,إنسان,ristit
227,Mann::N,رجل,mez'
228,Frau::N,امرأة,naine
229,Kind::N,طفل,laps'
230,Junge::N,ولد,poig
231,Junge::N,ولد,prihaine
232,Mädchen::N,بنت,neičukaine
233,Familie::N,عائلة,kanz
234,Familie::N,عائلة,pereh
235,Großvater::N,جد,ded
236,Großmutter::N,جدة,bab
237,Eltern::N,أبوان,vanhembad
238,Eltern::N,أبوان,kazvatajad
239,Eltern::N,والدان,vanhembad
240,Eltern::N,والدان,kazvatajad
241,Vater::N,أب,tat
242,Mutter::N,أم,mam
243,Sohn::N,إبن,poig
244,Tochter::N,بنت,tütär
245,Tochter::N,إبنة,tütär
246,Bruder::N,أخ,veik
247,Bruder::N,أخ,vell'
248,Bruder::N,شقيق,veik
249,Bruder::N,شقيق,vell'
250,Schwester::N,أخت,čiža
251,Schwester::N,أخت,sizar
252,Onkel::N,عم,däd'
253,Tante::N,عمة,tädi
254,Ehemann::N,زوج,mužik
255,Ehefrau::N,زوجة,ak
256,Freude::N,فرح,ilo
257,Freude::N,فرح,ihastuz
258,Freude::N,سرور,ilo
259,Freude::N,سرور,ihastuz
260,Gelächter::N,قهقهة,nagr
261,Glück::N,سعادة,oza
262,Kummer::N,غم,gor'a
263,Wunsch::N,منية,taht
264,Lust::N,شهوة,himo
265,Geist::N,روح,heng
266,Gedanke::N,فكرة,meletuz
267,Gedächtnis::N,ذاكرة,mušt
268,Verstand::N,عقل,mel'
269,Sinn::N,معنى,jüvä
270,Grund::N,سبب,sü
271,Wahrheit::N,حقيقة,tozi
272,Gespräch::N,محادثة,lodu
273,Gespräch::N,محادثة,pagin
274,Märchen::N,خرافة,sarn
275,Erzählung::N,قصة,sanutez
276,Erzählung::N,حكاية,sanutez
277,Nachricht::N,خبر,tedotuz
278,Neuigkeit::N,خبر جديد,uzištuz
279,Name::N,اسم,nimi
280,Rätsel::N,لغز,ozoitez
281,Rede::N,خطبة,pagin
282,Rede::N,خطبة,sanad
283,Sprache::N,لغة,kel'
284,Stimme::N,صوت,än'
285,Wort::N,كلمة,sana
286,Zeichen::N,رمز,znam
287,Zeichen::N,إشارة,znam
288,Ruf::N,نداء,kida
289,Ruf::N,نداء,kucund
290,Lärm::N,صخب,judu
291,Lärm::N,ضجة,judu
292,Laut::N,صوت,kulund
293,Ton::N,نغمة,kulund
294,Lied::N,أغنية,pajo
295,Ruhe::N,هدوء,lebu
296,Leute::N,ناس,rahvaz
297,Volk::N,شعب,rahvaz
298,Arbeit::N,عمل,tö
299,Arbeit::N,عمل,rad
300,Gast::N,ضيف,adiv
301,Geschenk::N,هدية,lahj
302,Spiel::N,لعب,vänd
303,Gesellschaft::N,صحبة,sebr
304,Hilfe::N,عون,abu
305,Hilfe::N,مساعدة,abu
306,Freund::N,صديق,sebranik
307,Kamerad::N,زميل,sebranik
308,Angelegenheit::N,أمر,azj
309,Angelegenheit::N,شأن,azj
310,Anzahl::N,عدد,lugu
311,Art::N,نوع,rod
312,Art::N,نوع,rodsugu
313,Stück::N,قطعة,pala
314,Stück::N,قطعة,supal
315,Teil::N,قسم,pala
316,Hälfte::N,نصف,pol'
317,Kreis::N,دائرة,ümbruz
318,Kreis::N,دائرة,kehkruz
319,Kreuz::N,صليب,rist
320,Linie::N,خط,pird
321,Strich::N,شرطة,pird
322,Abstand::N,مسافة,keskust
323,Entfernung::N,بعد,matk
324,Gegend::N,ناحية,taho
325,Platz::N,فراغ,avaruz'
326,Ort::N,مكان,koht
327,Seite::N,جانب,pol'
328,Seite::N,جانب,kül'g
329,Mitte::N,وسط,kesk
330,Gegenstand::N,موضوع,kalu
331,Sache::N,شيء,azj
332,Rand::N,حافة,röun
333,Kante::N,حافة,röun
