,Concept_ID,es,en
0,Auge::N,ojo,eye
1,Ohr::N,oreja,ear
2,Nase::N,nariz,nose
3,Mund::N,boca,mouth
4,Zahn::N,diente,tooth
5,Zunge::N,lengua,tongue
6,Lippe::N,labio,lip
7,Wange::N,mejilla,cheek
8,Gesicht::N,cara,face
9,Stirn::N,frente,forehead
10,Haar::N,cabello,hair
11,Schnurrbart::N,bigote,moustache
12,Bart::N,barba,beard
13,Kinn::N,barbilla,chin
14,Kiefer[Anatomie]::N,mandíbula,jaw
15,Kehle::N,garganta,throat
16,Hals::N,cuello,neck
17,Genick::N,nuca,nape
18,Genick::N,cerviz,nape
19,Kopf::N,cabeza,head
20,Rücken::N,espalda,back
21,Rücken::N,espalda,spine
22,Bauch::N,vientre,belly
23,Nabel::N,ombligo,navel
24,Busen::N,pecho,bosom
25,Brust::N,pecho,chest
26,Brust::N,pecho,breast
27,Schulter::N,hombro,shoulder
28,Arm::N,brazo,arm
29,Ellenbogen::N,codo,elbow
30,Hand::N,mano,hand
31,Handfläche::N,palma,palm
32,Finger::N,dedo,finger
33,Fingernagel::N,uña,fingernail
34,Nagel[Anatomie]::N,uña,nail
35,Zeh::N,dedo del pie,toe
36,Fuß::N,pie,foot
37,Ferse::N,talón,heel
38,Knie::N,rodilla,knee
39,Oberschenkel::N,muslo,thigh
40,Bein::N,pierna,leg
41,Körper::N,cuerpo,body
42,Haut::N,piel,skin
43,Blut::N,sangre,blood
44,Ader::N,vena,vein
45,Sehne::N,tendón,sinew
46,Knochen::N,hueso,bone
47,Gehirn::N,cerebro,brain
48,Gehirn::N,encéfalo,brain
49,Herz::N,corazón,heart
50,Magen::N,estómago,stomach
51,Leber::N,hígado,liver
52,Atem::N,aliento,breath
53,Hunger::N,hambre,hunger
54,Träne::N,lágrima,tear
55,Geschmack::N,gusto,flavour
56,Geschmack::N,gusto,flavor
57,Geruch::N,olor,odour
58,Geruch::N,olor,odor
59,Schlaf::N,sueño,sleep
60,Traum::N,sueño,dream
61,Traum::N,ensueño,dream
62,Himmel::N,cielo,sky
63,Sonne::N,sol,sun
64,Mond::N,luna,moon
65,Stern::N,estrella,star
66,Luft::N,aire,air
67,Wind::N,viento,wind
68,Welle::N,ola,wave
69,Welle::N,onda,wave
70,Wasser::N,agua,water
71,Stein::N,piedra,stone
72,Boden::N,suelo,soil
73,Boden::N,suelo,ground
74,Erde::N,tierra,earth
75,Staub::N,polvo,dust
76,Rauch::N,humo,smoke
77,Funke::N,chispa,spark
78,Feuer::N,fuego,fire
79,Licht::N,luz,light
80,Schatten::N,sombra,shadow
81,Wetter::N,tiempo,weather
82,Nebel::N,niebla,fog
83,Wolke::N,nube,cloud
84,Regen::N,lluvia,rain
85,Schnee::N,nieve,snow
86,Eis::N,hielo,ice
87,Frost::N,helada,frost
88,Kälte::N,frío,chill
89,Hitze::N,calor,heat
90,Raureif::N,escarcha,hoarfrost
91,Regenbogen::N,arco iris,rainbow
92,Donner::N,trueno,thunder
93,Strömung::N,corriente,current
94,Tropfen::N,gota,drop
95,Schaum::N,espuma,foam
96,Schmutz::N,suciedad,dirt
97,See::N,lago,lake
98,Sumpf::N,pantano,swamp
99,Moor::N,turbera,moor
100,Wiese::N,prado,meadow
101,Wiese::N,pradera,meadow
102,Wald::N,bosque,forest
103,Hügel::N,colina,hill
104,Anhöhe::N,cerro,elevation
105,Berg::N,monte,mountain
106,Berg::N,montaña,mountain
107,Gipfel::N,cima,summit
108,Gipfel::N,cumbre,summit
109,Höhle::N,cueva,cave
110,Höhle::N,caverna,cave
111,Abhang::N,cuesta,slope
112,Abhang::N,declive,slope
113,Quelle::N,fuente,source
114,Quelle::N,manantial,source
115,Bach::N,arroyo,brook
116,Fluss::N,río,river
117,Ufer::N,orilla,shore
118,Küste::N,costa,coast
119,Festland::N,tierra firme,land
120,Meer::N,mar,sea
121,Bucht::N,cala,cove
122,Bucht::N,bahía,cove
123,Insel::N,isla,island
124,Blume::N,flor,flower
125,Gras::N,hierba,grass
126,Wurzel::N,raíz,root
127,Baum::N,árbol,tree
128,Stamm::N,tronco,trunk
129,Rinde::N,corteza,bark
130,Ast::N,rama,limb
131,Zweig::N,ramo,branch
132,Blatt::N,hoja,leaf
133,Birke::N,abedul,birch
134,Kiefer[Baum]::N,pino,pine
135,Weide[Baum]::N,sauce,willow
136,Tanne::N,abeto,fir
137,Horn::N,asta,horn
138,Horn::N,cuerno,horn
139,Feder::N,pluma,feather
140,Fell::N,piel,fur
141,Flügel::N,ala,wing
142,Klaue::N,garra,claw
143,Kralle::N,uña,claw
144,Kralle::N,garra,claw
145,Schwanz::N,cola,tail
146,Ei::N,huevo,egg
147,Nest::N,nido,nest
148,Bau::N,madriguera,lair
149,Tier::N,animal,animal
150,Herde::N,rebaño,flock
151,Kuh::N,vaca,cow
152,Bulle::N,toro,bull
153,Pferd::N,caballo,horse
154,Schaf::N,oveja,sheep
155,Schwein::N,cerdo,pig
156,Hund::N,perro,dog
157,Katze::N,gato,cat
158,Bär::N,oso,bear
159,Eichhörnchen::N,ardilla,squirrel
160,Elch::N,alce,elk
161,Fuchs::N,zorro,fox
162,Hase::N,liebre,hare
163,Maus::N,ratón,mouse
164,Wolf::N,lobo,wolf
165,Vogel::N,ave,bird
166,Vogel::N,pájaro,bird
167,Schwarm::N,bandada,swarm
168,Huhn::N,gallina,chicken
169,Hahn::N,gallo,cock
170,Gans::N,oca,goose
171,Gans::N,ganso,goose
172,Adler::N,águila,eagle
173,Ente::N,pato,duck
174,Eule::N,lechuza,owl
175,Kranich::N,grulla,crane
176,Krähe::N,corneja,crow
177,Kuckuck::N,cuco,cuckoo
178,Schwan::N,cisne,swan
179,Fisch::N,pez,fish
180,Barsch::N,perca,perch
181,Hecht::N,lucio,pike
182,Schlange[Tier]::N,serpiente,snake
183,Wurm::N,gusano,worm
184,Spinne::N,araña,spider
185,Ameise::N,hormiga,ant
186,Laus::N,piojo,louse
187,Mücke::N,mosquito,midge
188,Fliege::N,mosca,fly
189,Schmetterling::N,mariposa,butterfly
190,Beere::N,baya,berry
191,Apfel::N,manzana,apple
192,Pilz::N,seta,mushroom
193,Pilz::N,hongo,mushroom
194,Zwiebel::N,cebolla,onion
195,Saat::N,siembra,seed
196,Korn::N,grano,grain
197,Heu::N,heno,hay
198,Schale::N,cáscara,husk
199,Grube::N,foso,pit
200,Falle::N,trampa,trap
201,Schlinge::N,lazo,noose
202,Spur::N,huella,track
203,Asche::N,ceniza,ashes
204,Dreck::N,suciedad,filth
205,Eisen::N,hierro,iron
206,Gold::N,oro,gold
207,Silber::N,plata,silver
208,Kohle::N,carbón,coal
209,Glas::N,vidrio,glass
210,Glas::N,cristal,glass
211,Lehm::N,barro,clay
212,Sand::N,arena,sand
213,Mensch::N,hombre,human
214,Mensch::N,ser humano,human
215,Mann::N,hombre,man
216,Frau::N,mujer,woman
217,Kind::N,niño,child
218,Junge::N,chico,boy
219,Junge::N,muchacho,boy
220,Mädchen::N,chica,girl
221,Mädchen::N,muchacha,girl
222,Familie::N,familia,family
223,Großvater::N,abuelo,grandfather
224,Großmutter::N,abuela,grandmother
225,Eltern::N,padres,parents
226,Vater::N,padre,father
227,Mutter::N,madre,mother
228,Sohn::N,hijo,son
229,Tochter::N,hija,daughter
230,Bruder::N,hermano,brother
231,Schwester::N,hermana,sister
232,Onkel::N,tío,uncle
233,Tante::N,tía,aunt
234,Ehemann::N,esposo,husband
