,Concept_ID,te,os
0,Auge::N,కన్ను,цӕст
1,Ohr::N,చెవి,хъус
2,Nase::N,ముక్కు,фындз
3,Mund::N,నోరు,дзых
4,Zahn::N,పల్లు,дӕндаг
5,Zunge::N,నాలుక,ӕвзаг
6,Lippe::N,పెదవి,был
7,Wange::N,చెంప,рус
8,Wange::N,చెంప,уадул
9,Wange::N,చెంప,ӕхсӕрфарс
10,Gesicht::N,ముఖము,цӕсгом
11,Stirn::N,నుదురు,ных
12,Haar::N,వెండ్రుక,хил
13,Schnurrbart::N,మీసము,рихи
14,Bart::N,గడ్డము,зачъе
15,Kinn::N,గడ్డము,роцъо
16,Kiefer[Anatomie]::N,దౌడ,ӕфсӕр
17,Kehle::N,గొంతు,хъуыр
18,Hals::N,మెడ,къубал
19,Genick::N,మూపు,къӕбут
20,Kopf::N,తల,сӕр
21,Rücken::N,వెన్ను,фӕсонтӕ
22,Bauch::N,కడుపు,гуыбын
23,Nabel::N,బొడ్డు,бикъ
24,Busen::N,స్తనము,дзидзи
25,Brust::N,ఱొమ్ము,риу
26,Schulter::N,భుజము,уӕхск
27,Arm::N,చేయి,цонг
28,Ellenbogen::N,మోచేయి,рæмбын
29,Hand::N,చేయి,къух
30,Handfläche::N,అరచేయు,армытъӕпӕн
31,Finger::N,చేతిప్రేలు,ӕнруылдз
32,Fingernagel::N,గోరు,ных
33,Nagel[Anatomie]::N,గోరు,ных
34,Zeh::N,కాలిప్రేలు,къух
35,Fuß::N,అడుగు,фад
36,Ferse::N,మడమ,зӕвӕт
37,Knie::N,మోకాలు,уӕраг
38,Oberschenkel::N,తొడ,агъд
39,Bein::N,కాలు,зӕнг
40,Körper::N,కాయము,буар
41,Haut::N,చర్మము,царм
42,Blut::N,రక్తము,туг
43,Ader::N,సిర,дадзин
44,Ader::N,సిర,тугдадзин
45,Sehne::N,స్నాయువు,хъиутæ
46,Sehne::N,స్నాయువు,нуар
47,Knochen::N,ఎముక,стӕг
48,Gehirn::N,మెదడు,магъз
49,Herz::N,హృదయము,зӕрдӕ
50,Magen::N,కడుపు,ахсӕн
51,Leber::N,కాలేయము,игæр
52,Atem::N,ఉపిరి,улӕфт
53,Hunger::N,ఆకలి,стонг
54,Träne::N,కన్నీటిచుక్క,цæссыг
55,Geschmack::N,రుచి,ад
56,Geruch::N,వాసన,смаг
57,Schlaf::N,నిద్ర,хуыссӕг
58,Traum::N,కల,фын
59,Himmel::N,ఆకాశము,арв
60,Himmel::N,ఆకాశము,уӕларв
61,Sonne::N,సూర్యుడు,хур
62,Mond::N,చంద్రుడు,мӕй
63,Stern::N,నక్షత్రము,стъалы
64,Luft::N,గాలి,уӕлдӕф
65,Wind::N,వీచుచున్నగాలి,дымгӕ
66,Welle::N,అల,уылӕн
67,Wasser::N,నీరు,дон
68,Stein::N,ఱాయి,дур
69,Boden::N,నేల,зӕхх
70,Erde::N,మన్ను,сыджыт
71,Staub::N,దుమ్ము,рыг
72,Rauch::N,పొగ,фӕздӕг
73,Funke::N,అగ్నికణము,цӕхӕр
74,Feuer::N,అగ్ని,зынг
75,Licht::N,కాంతి,рухс
76,Schatten::N,నీడ,аууон
77,Wetter::N,వాతావరణ స్థితి,боныхъӕд
78,Nebel::N,పొగమంచు,мигъ
79,Wolke::N,మేఘము,ӕврагъ
80,Regen::N,వాన,уарын
81,Schnee::N,హిమము,мит
82,Eis::N,మంచుగడ్డ,их
83,Frost::N,పేరిన మంచు,ихæн
84,Kälte::N,చలి,уазал
85,Hitze::N,వేడిమి,ӕнтӕф
86,Raureif::N,మంచు,халас
87,Regenbogen::N,ఇంద్రధనుస్సు,арвырон
88,Regenbogen::N,ఇంద్రధనుస్సు,арвырдын
89,Donner::N,ఉరుము,æрвнæрын
90,Strömung::N,ప్రవాహము,цыд
91,Tropfen::N,చుక్క,æртах
92,Schaum::N,నురుగు,фынк
93,Schmutz::N,మైల,цъыф
94,See::N,సరస్సు,цад
95,Sumpf::N,చిత్తడినేల,цъыфдзаст
96,Moor::N,చిత్తడినేల,цъыфдзаст
97,Wiese::N,పచ్చిక బయలు,уыгӕрдӕн
98,Wald::N,అడవి,хъӕд
99,Hügel::N,చివ్నకొండ,обау
100,Hügel::N,చివ్నకొండ,къуыбыр
101,Anhöhe::N,కొండ,уæлвæз
102,Anhöhe::N,కొండ,уæлхох
103,Berg::N,పర్వతము,хох
104,Gipfel::N,శిఖరము,цъупп
105,Höhle::N,గుహ,лӕгӕт
106,Abhang::N,ఏటవాలు,къул
107,Quelle::N,మూలము,суадон
108,Bach::N,కాలువ,мӕсчъыдон
109,Fluss::N,నది,дон
110,Fluss::N,నది,цӕугӕдон
111,Ufer::N,తీరము,был
112,Küste::N,తీరము,донбыл
113,Festland::N,భూమి,сурзæхх
114,Meer::N,సముద్రము,денджыз
115,Bucht::N,మరుగు,донбакæлæн
116,Insel::N,దీవి,сакъадах
117,Blume::N,పుష్పము,дидинӕг
118,Gras::N,పచ్చగడ్డి,кӕрдӕг
119,Wurzel::N,వేరు,уидаг
120,Baum::N,చెట్టు,бӕлас
121,Stamm::N,చెట్టుబోదె,хӕтӕл
122,Rinde::N,చెట్టుపట్ట,цъар
123,Ast::N,కొమ్మ,арх
124,Zweig::N,చివుకు,къалиу
125,Blatt::N,ఆకు,сыф
126,Birke::N,తరహా చెట్టు,бæрз
127,Kiefer[Baum]::N,దేవదారు చెట్టు,нӕзы
128,Weide[Baum]::N,జాతిచెట్టు,хӕрис
129,Tanne::N,దేవదారుచెట్టు,наз
130,Horn::N,కొమ్ము,сыкъа
131,Feder::N,ఈక,сис
132,Fell::N,తోలు,царм
133,Flügel::N,ఱెక్క,базыр
134,Klaue::N,వంకరగోరు,ных
135,Kralle::N,వంకరగోరు,дзӕмбы
136,Schwanz::N,తోక,къӕдзил
137,Ei::N,గ్రుడ్డు,айк
138,Nest::N,పక్షిగూడు,ахстон
139,Bau::N,గుహ,хуынкъ
140,Tier::N,జంతువు,сырд
141,Tier::N,జంతువు,цӕрӕгой
142,Herde::N,మంద,дзуг
143,Herde::N,మంద,рӕгъау
144,Kuh::N,ఆవు,хъуг
145,Bulle::N,గిత్త,гал
146,Pferd::N,గుఱ్ఱము,бӕх
147,Schaf::N,గొఱ్ఱె,фыс
148,Schwein::N,పంది,хуы
149,Hund::N,కుక్క,куыдз
150,Katze::N,పిల్లి,гӕды
151,Bär::N,ఎలుగుబంటి,арс
152,Eichhörnchen::N,ఉడుత,æхсæрæг
153,Elch::N,కణంజు,цæгатаг саг
154,Fuchs::N,గుంటనక్క,рувас
155,Hase::N,కుందేలు,тæрхъус
156,Maus::N,చిట్టెలుక,мыст
157,Wolf::N,తోడేలు,бирӕгъ
158,Vogel::N,పక్షి,цъиу
159,Vogel::N,పక్షి,маргъ
160,Schwarm::N,గుంపు,бал
161,Huhn::N,కోడిపిల్ల,карк
162,Hahn::N,కోడివుంజు,уасӕг
163,Gans::N,ఆడుబాతు,хъаз
164,Adler::N,గ్రద్ద,цӕргӕс
165,Ente::N,పాట్టిబాతు,ацц
166,Eule::N,గ్రుడ్లగూబ, уыг
167,Eule::N,గ్రుడ్లగూబ,сидахъ
168,Kranich::N,కొంగ,зырнæг
169,Kranich::N,కొంగ,хърихъупп
170,Krähe::N,కాకి,халон
171,Kuckuck::N,కోయల,гаккук
172,Schwan::N,హంస,доныхъаз
173,Fisch::N,చేప,кӕсаг
174,Barsch::N,ఒకచేఁప,окунь
175,Hecht::N,గండుమీను,хихор кӕсаг
176,Schlange[Tier]::N,పాము,калм
177,Wurm::N,పురుగు,зулкъ
178,Wurm::N,పురుగు,къуыдыргалм
179,Spinne::N,సాలె పురుగు,хӕлуарӕг
180,Ameise::N,చీమ,мæлдзыг
181,Laus::N,పేను,сыст
182,Mücke::N,చీకటీగ,къогъо
183,Fliege::N,ఈగ,бындз
184,Schmetterling::N,సీతాకోకచిలుక,гæлæбу
185,Beere::N,కాయ,гагадыргъ
186,Apfel::N,ఆపిల్ పండు,фӕткъуы
187,Pilz::N,కుక్కగొడుగు,зокъо
188,Pilz::N,కుక్కగొడుగు,къозо
189,Zwiebel::N,నీరుల్లి,хъӕдындз
190,Saat::N,విత్తనము,тауинаг
191,Saat::N,విత్తనము,мыггаг
192,Korn::N,గింజ,мыггаг
193,Korn::N,గింజ,тауинаг
194,Heu::N,ఎండుగడ్డి,хос
195,Schale::N,పొట్టు,цъар
196,Grube::N,గొయ్యి,урм
197,Grube::N,గొయ్యి,къахт
198,Grube::N,గొయ్యి,дзыхъхъ
199,Falle::N,బోను,цъысым
200,Falle::N,బోను,къӕппӕг
201,Schlinge::N,ఉరి,цасм
202,Spur::N,జాడ,фæд
203,Asche::N,బూడిద,фӕнык
204,Asche::N,బూడిద,ӕртхутӕг
205,Dreck::N,ముఱికి,цъыф
206,Eisen::N,ఇనుము,ӕфсӕйнаг
207,Gold::N,బంగారము,сыгъзӕрин
208,Silber::N,వెండి,ӕвзист
209,Kohle::N,నేలబొగ్గు,ӕвзалы
210,Glas::N,గాజు,авг
211,Lehm::N,బంకమన్ను,ӕлыг
212,Sand::N,ఇసుక,змис
213,Mensch::N,నరుడు,лӕг
214,Mensch::N,నరుడు,адӕймаг
215,Mensch::N,నరుడు,удгоймаг
216,Mann::N,పురుమడు,лӕг
217,Mann::N,పురుమడు,нӕлгоймаг
218,Frau::N,ఆడుది,сылгоймаг
219,Kind::N,బిడ్డ,сывӕллон
220,Junge::N,బాలుడు,лӕппу
221,Mädchen::N,బాలిక,чызг
222,Familie::N,కుటుంబము,бинонтæ
223,Großvater::N,తాత,фыдыфыд
224,Großvater::N,తాత,мадыфыд
225,Großmutter::N,అయ్యమ్మ,фыды мад
226,Großmutter::N,అయ్యమ్మ,мады мад
227,Eltern::N,తల్లితండ్రులు,ныййарджытæ
228,Vater::N,తండ్రి,фыд
229,Mutter::N,తల్లి,мад
230,Sohn::N,కొడుకు,фырт
231,Tochter::N,కూతురు,чызг
232,Bruder::N,పోదరుడు,ӕфсымӕр
233,Schwester::N,సోదరి,хо
