,Concept_ID,ca,ku
0,Auge::N,ull,çav
1,Ohr::N,orella,guh
2,Nase::N,nas,bêvil
3,Mund::N,boca,dev
4,Zahn::N,dent,didan
5,Zunge::N,llēngua,ziman
6,Lippe::N,llavi,lêv
7,Wange::N,galta,dêm
8,Wange::N,galta,hinarik
9,Gesicht::N,cara,rû
10,Stirn::N,front,enî
11,Haar::N,cabēll,por
12,Schnurrbart::N,bigoti,simbêl
13,Bart::N,barba,rih
14,Kinn::N,mentó,zenî
15,Kinn::N,barbeta,zenî
16,Kiefer[Anatomie]::N,queix,arguşk
17,Kiefer[Anatomie]::N,mandíbula,arguşk
18,Kehle::N,gola,qirik
19,Kehle::N,gorja,qirik
20,Hals::N,coll,stû
21,Hals::N,coll,qirik
22,Genick::N,nuca,stû
23,Kopf::N,cap,serî
24,Rücken::N,esquena,pişt
25,Bauch::N,panxa,ûr
26,Bauch::N,panxa,zik
27,Nabel::N,llombrígol,navik
28,Busen::N,pit,sîng
29,Busen::N,mama,sîng
30,Brust::N,pit,sîng
31,Schulter::N,espatlla,mil
32,Arm::N,braç,çepil
33,Ellenbogen::N,colze,enîşk
34,Hand::N,mà,dest
35,Handfläche::N,palma,kefadest
36,Finger::N,dit,tilî
37,Fingernagel::N,ungla,neynuk
38,Nagel[Anatomie]::N,ungla,bizmar
39,Zeh::N,dit del peu,tilî linga
40,Fuß::N,peu,ling
41,Ferse::N,taló,pahnî
42,Knie::N,genoll,kabok
43,Oberschenkel::N,cuixa,rahn
44,Bein::N,cama,çip
45,Körper::N,cos,laş
46,Körper::N,cos,gowde
47,Haut::N,pell,çerm
48,Blut::N,sang,xwîn
49,Ader::N,vena,reh
50,Sehne::N,tendó,reh
51,Knochen::N,os,hestî
52,Gehirn::N,cervell,mêjî
53,Herz::N,cor,dil
54,Magen::N,estómac,navêş
55,Leber::N,fetge,kezeb
56,Atem::N,alè,hilm
57,Atem::N,hàlit,hilm
58,Hunger::N,fam,birçîtî
59,Hunger::N,gana,birçîtî
60,Träne::N,llàgrima,hêstir
61,Geschmack::N,gust,tam
62,Geschmack::N,sabor,tam
63,Geruch::N,olor,bêhn
64,Schlaf::N,son,xew
65,Traum::N,somni,xewn
66,Himmel::N,celm,ezman
67,Sonne::N,sol,roj
68,Mond::N,lluna,heyv
69,Stern::N,estel,stêrk
70,Stern::N,estrella,stêrk
71,Luft::N,aire,ba
72,Wind::N,vent,ba
73,Welle::N,ona,şewl
74,Wasser::N,āigua,av
75,Stein::N,pedra,kevir
76,Boden::N,sòl,herd
77,Erde::N,terra,ax
78,Staub::N,pols,toz
79,Rauch::N,fum,dû
80,Funke::N,guspira,çirûşk
81,Funke::N,centella,çirûşk
82,Feuer::N,foc,agir
83,Licht::N,llum,ronahî
84,Schatten::N,ombra,sî
85,Wetter::N,temps,hewa
86,Nebel::N,boira,mij
87,Wolke::N,núvol,ewr
88,Regen::N,pluja,baran
89,Schnee::N,neu,berf
90,Eis::N,gel,qeşa
91,Eis::N,glaç,qeşa
92,Frost::N,glaçada,xûsik
93,Kälte::N,fred,serma
94,Hitze::N,calor,germayî
95,Raureif::N,gebre,şext
96,Regenbogen::N,arc iris,heftreng
97,Donner::N,tro,gire-gir
98,Strömung::N,corrent,şewl
99,Tropfen::N,gota,dilop
100,Schaum::N,escuma,kef
101,Schmutz::N,brutícia,gemar
102,See::N,llac,gol
103,Sumpf::N,pantà,hezek
104,Moor::N,pantà,mafêl
105,Wiese::N,prat,sûrik
