,Concept_ID,cs,av
0,Auge::N,oko,
1,Ohr::N,ucho,гӏин
2,Nase::N,nos,мегӏер
3,Mund::N,pusa,кӏал
4,Zahn::N,zub,гӏус
5,Zunge::N,jazyk,мацӏ
6,Lippe::N,ret,кӏветӏ
7,Wange::N,tvář,гӏоно
8,Gesicht::N,obličej,гьумер
9,Stirn::N,čelo,нодо
10,Haar::N,vlas,рас
11,Haar::N,vlasy,рас
12,Schnurrbart::N,kníry,михъ
13,Bart::N,vousy,мегеж
14,Kinn::N,brada,нилъу
15,Kiefer[Anatomie]::N,čelist,чанагъ
16,Kehle::N,hrdlo,щекъер
17,Hals::N,krk,габур
18,Genick::N,týl,гъванща
19,Kopf::N,hlava,бетӏер
20,Rücken::N,záda,мугъ
21,Rücken::N,hřbet,мугъ
22,Bauch::N,břicho,чехь
23,Nabel::N,pupek,цӏину
24,Busen::N,ňadra,керен
25,Brust::N,prsa,керен
26,Schulter::N,plece,гъажазубетӏер
27,Schulter::N,rameno,гъажазубетӏер
28,Arm::N,ruka,гъеж
29,Ellenbogen::N,loket,гӏункӏрукь
30,Hand::N,ruka,квер
31,Handfläche::N,dlaň,огъохъат
32,Handfläche::N,dlaň,жанисахъат
33,Finger::N,prst,килищ
34,Fingernagel::N,nehet,малъ
35,Nagel[Anatomie]::N,nehet,малъ
36,Zeh::N,prst u nohy,килищ
37,Fuß::N,noha,хӏетӏ
38,Fuß::N,noha,хӏетӏе
39,Ferse::N,pata,эгъе
40,Knie::N,koleno,наку
41,Oberschenkel::N,stehno,мачӏ
42,Bein::N,noha,бох
43,Körper::N,tělo,къаркъала
44,Haut::N,kůže,тӏом
45,Blut::N,krev,би
46,Ader::N,céva,бидурихь
47,Sehne::N,šlacha,
48,Knochen::N,kost,ракьа
49,Gehirn::N,mozek,гӏадалнах
50,Herz::N,srdce,ракӏ
51,Magen::N,žaludek,кванирукъ
52,Leber::N,játra,тӏул
53,Atem::N,dech,хӏухь
54,Hunger::N,hlad,ракъи
55,Träne::N,slza,магӏу
56,Geschmack::N,vkus,тату
57,Geruch::N,vůně,махӏ
58,Geruch::N,zápach,махӏ
59,Schlaf::N,spánek,макьу
60,Traum::N,sen,макьу
61,Himmel::N,nebe,зоб
62,Sonne::N,slunce,бакъ
63,Mond::N,měsíc,моцӏ
64,Stern::N,hvězda,цӏва
65,Luft::N,vzduch,гьава
66,Wind::N,vítr,гьури
67,Welle::N,vlna,карачел
68,Wasser::N,voda,лъим
69,Stein::N,kámen,гьецӏо
70,Boden::N,půda,ракь
71,Erde::N,země,ракь
72,Erde::N,země,дуниял
73,Staub::N,prach,хӏур
74,Rauch::N,dým,кӏкӏуй
75,Rauch::N,kouř,кӏкӏуй
76,Funke::N,jiskra,
77,Feuer::N,oheň,цӏа
78,Licht::N,světlo,канлъи
79,Schatten::N,stín,рагӏад
80,Wetter::N,počasí,гьава-бакъ
81,Nebel::N,mlha,гӏодобнакӏкӏ
82,Wolke::N,mrak,накӏкӏ
83,Wolke::N,oblak,накӏкӏ
84,Regen::N,déšť,цӏад
85,Schnee::N,sníh,гӏазу
86,Eis::N,led,цӏер
87,Frost::N,mráz,замгьари
88,Kälte::N,chlad,квач
89,Hitze::N,horko,багӏари
90,Raureif::N,jinovatka,мартӏ
91,Regenbogen::N,duha,нур
92,Regenbogen::N,duha,чамбара
93,Donner::N,hrom,гъугъай
94,Donner::N,hrom,гъугъади
95,Strömung::N,proudění,чвахи
96,Tropfen::N,kapka,резел
97,Tropfen::N,kapka,тӏинкӏ
98,Tropfen::N,kapka,къатӏра
99,Tropfen::N,kapka,тӏенкӏел
100,Schaum::N,pěna,полоп
101,Schmutz::N,špína,чороклъи
102,See::N,jezero,хӏор
103,Sumpf::N,močál,хьуцӏ
104,Sumpf::N,bažina,хьуцӏ
105,Moor::N,bažina,
106,Moor::N,slatina,
107,Wiese::N,louka,мегъ
108,Wiese::N,louka,гӏурдаллъи
109,Wald::N,les,рохь
110,Hügel::N,kopec,гохӏ
111,Anhöhe::N,pahorek,сийитма
112,Berg::N,hora,мегӏер
113,Gipfel::N,vrchol,тӏогь
114,Höhle::N,jeskyně,нохъо
115,Abhang::N,svah,лабаллъи
116,Abhang::N,stráň,лабаллъи
117,Quelle::N,pramen,ицц
118,Bach::N,potok,лъар
119,Fluss::N,řeka,гӏор
120,Ufer::N,břeh,рагӏал
121,Küste::N,pobřeží,рагӏал
122,Festland::N,souš,ракь
123,Festland::N,souš,ракъдаллъи
124,Festland::N,pevnina,ракь
125,Festland::N,pevnina,ракъдаллъи
126,Meer::N,moře,ралъад
127,Bucht::N,záliv,кӏветӏ
128,Bucht::N,zátoka,кӏветӏ
129,Insel::N,ostrov,чӏинкӏиллъи
130,Blume::N,květina,тӏегь
131,Gras::N,tráva,хер
132,Wurzel::N,kořen,кьибил
133,Baum::N,strom,гъветӏ
134,Stamm::N,kmen,рохти
135,Rinde::N,kůra,макъар
136,Ast::N,větev,ноцӏ
137,Zweig::N,větev,гӏаркьел
138,Blatt::N,lupen,тӏамах
139,Birke::N,bříza,мах
140,Birke::N,bříza,махигъветӏ
141,Kiefer[Baum]::N,sosna,накӏкӏигъветӏ
142,Kiefer[Baum]::N,borovice,накӏкӏигъветӏ
143,Weide[Baum]::N,vrba,рицӏцӏ
144,Weide[Baum]::N,vrba,рицӏцӏигъветӏ
145,Tanne::N,jedle,ёлка
146,Horn::N,roh,лълъар
147,Feder::N,pero,хӏули
148,Fell::N,srst,тӏом
149,Fell::N,srst,цӏоко
150,Flügel::N,křídlo,кваркьи
151,Klaue::N,dráp,галъ
152,Klaue::N,pazneht,галъ
153,Kralle::N,dráp,квачӏ
154,Kralle::N,dráp,катиквачӏ
155,Schwanz::N,ocas,рачӏ
156,Ei::N,vejce,хоно
157,Nest::N,hnízdo,бусен
158,Bau::N,nora,каратӏ
159,Tier::N,zvíře,хӏайван
160,Herde::N,stádo,рехъен
161,Herde::N,stádo,рехъед
162,Kuh::N,kráva,гӏака
163,Bulle::N,býk,оц
164,Pferd::N,kůň,чу
165,Schaf::N,ovce,чахъу
166,Schwein::N,vepř,болъон
167,Schwein::N,prase,болъон
168,Hund::N,pes,гьой
169,Katze::N,kočka,кету
170,Bär::N,medvěd,ци
171,Eichhörnchen::N,veverka,гвангва
172,Elch::N,los,
173,Fuchs::N,liška,цер
174,Hase::N,zajíc,гӏанкӏ
175,Maus::N,myš,гӏункӏкӏ
176,Wolf::N,vlk,бацӏ
177,Vogel::N,pták,хӏинчӏ
178,Schwarm::N,roj,тӏел
179,Schwarm::N,hejno,тӏел
180,Huhn::N,kuře,гӏанкӏу
181,Huhn::N,slepice,гӏанкӏу
182,Hahn::N,kohout,хӏелеко
183,Gans::N,husa,хъаз
184,Adler::N,orel,цӏум
185,Ente::N,kachna,ордек
186,Eule::N,sova,беццаруз
187,Kranich::N,jeřáb,къункъра
188,Krähe::N,vrána,гъеду
189,Kuckuck::N,kukačka,гагу
190,Schwan::N,labuť,хӏанкъва
191,Fisch::N,ryba,ччугӏа
192,Barsch::N,okoun,окунь
193,Hecht::N,štika,щука
194,Schlange[Tier]::N,had,борохь
195,Wurm::N,červ,хӏапара
196,Spinne::N,pavouk,хъанхъра
