,Concept_ID,ru,hy
0,Auge::N,глаз,աչք
1,Ohr::N,ухо,ականջ
2,Nase::N,нос,քիթ
3,Mund::N,рот,բերան
4,Zahn::N,зуб,ատամ
5,Zunge::N,язык,լեզու
6,Lippe::N,губа,շրթունք
7,Wange::N,щека,այտ
8,Wange::N,щека,թուշ
9,Gesicht::N,лицо,դեմք
10,Stirn::N,лоб,ճակատ
11,Haar::N,волос,մազ
12,Haar::N,волосы,մազ
13,Schnurrbart::N,ус,բեղ
14,Schnurrbart::N,усы,բեղ
15,Bart::N,борода,մորուք
16,Kinn::N,подбородок,կզակ
17,Kiefer[Anatomie]::N,челюсть,ծնոտ
18,Kehle::N,горло,կոկորդ
19,Hals::N,шея,վիզ
20,Hals::N,шея,պարանոց
21,Genick::N,затылок,ծոծրակ
22,Kopf::N,голова,գլուխ
23,Rücken::N,спина,մեջք
24,Bauch::N,живот,փոր
25,Bauch::N,живот,որովայն
26,Nabel::N,пупок,պորտ
27,Busen::N,женская грудь,ծոց
28,Brust::N,грудь,կուրծք
29,Schulter::N,плечо,ուս
30,Arm::N,рука,թեւ
31,Arm::N,рука,բազուկ
32,Ellenbogen::N,локоть,արմունկ
33,Hand::N,кисть,ձեռք
34,Handfläche::N,ладонь,ափ
35,Finger::N,палец,մատ
36,Fingernagel::N,ноготь,եղունգ
37,Nagel[Anatomie]::N,ноготь,եղունգ
38,Zeh::N,палец,ոտքի մատ
39,Fuß::N,ступня,ոտք
40,Ferse::N,пята,գարշապար
41,Ferse::N,пятка,գարշապար
42,Knie::N,колено,ծունկ
43,Oberschenkel::N,бедро,ազդր
44,Bein::N,нога,ոտք
45,Körper::N,тело,մարմին
46,Haut::N,кожа,մաշկ
47,Blut::N,кровь,արյուն
48,Ader::N,вена,երակ
49,Ader::N,сосуд,երակ
50,Sehne::N,жила,ջիղ
51,Sehne::N,жила,ձգտան
52,Sehne::N,тетива,ջիղ
53,Sehne::N,тетива,ձգտան
54,Sehne::N,сухожилие,ջիղ
55,Sehne::N,сухожилие,ձգտան
56,Knochen::N,кость,ոսկոր
57,Gehirn::N,мозг,խելք
58,Herz::N,сердце,սիրտ
59,Magen::N,желудок,ստամոքս
60,Leber::N,печень,լյարդ
61,Atem::N,дух,շունչ
62,Atem::N,дыхание,շունչ
63,Hunger::N,голод,քաղց
64,Träne::N,слеза,արտասուք
65,Geschmack::N,вкус,համ
66,Geschmack::N,вкус,բուրմունք
67,Geruch::N,запах,հոտ
68,Geruch::N,запах,բուրում
69,Schlaf::N,сон,քուն
70,Traum::N,сновидение,երազ
71,Himmel::N,небо,երկինք
72,Sonne::N,солнце,արեւ
73,Mond::N,луна,լուսին
74,Stern::N,звезда,աստղ
75,Luft::N,воздух,օդ
76,Wind::N,ветер,քամի
77,Welle::N,волна,ալիք
78,Wasser::N,вода,ջուր
79,Stein::N,камень,քար
80,Boden::N,почва,գետին
81,Erde::N,земля,հող
82,Staub::N,пыль,փոշի
83,Rauch::N,дым,ծուխ
84,Funke::N,искра,կայծ
85,Feuer::N,огонь,կրակ
86,Feuer::N,огонь,հրդեհ
87,Licht::N,свет,լույս
88,Schatten::N,тень,ստվեր
89,Wetter::N,погода,եղանակ
90,Nebel::N,туман,մեգ
91,Nebel::N,туман,մառախուղ
92,Wolke::N,облако,ամպ
93,Regen::N,дождь,անձրև
94,Schnee::N,снег,ձյուն
95,Eis::N,лед,սառույց
96,Frost::N,мороз,սառնամանիք
97,Kälte::N,холод,դող
98,Hitze::N,жара,շոգ
99,Raureif::N,иней,ցօղեղեամ
100,Regenbogen::N,радуга,ծիածան
101,Donner::N,гром,որոտ
102,Strömung::N,течение,հոսանք
103,Tropfen::N,капля,կաթիլ
104,Schaum::N,пена,փրփուր
105,Schmutz::N,грязь,կեղտ
106,See::N,озеро,լիճ
107,Sumpf::N,топь,ճահիճ
108,Moor::N,болото,ճահիճ
109,Wiese::N,луг,մարգագետին
110,Wald::N,лес,անտառ
111,Hügel::N,холм,բլուր
112,Anhöhe::N,возвышенность,բարձունք
113,Berg::N,гора,լեռ
114,Gipfel::N,вершина,գագաթ
115,Gipfel::N,вершина,կատար
116,Höhle::N,пещера,քարայր
117,Abhang::N,склон,լանջ
118,Abhang::N,склон,զառիվայր
119,Quelle::N,источник,աղբյուր
120,Bach::N,ручей,վտակ
121,Fluss::N,река,գետ
122,Ufer::N,берег,ծովափ
123,Küste::N,побережье,ափ
124,Küste::N,побережье,ծովափ
125,Festland::N,суша,ցամաք
126,Meer::N,море,ծով
127,Bucht::N,бухта,հաչիւն
128,Insel::N,остров,վղզի
129,Blume::N,цветок,ծաղիկ
130,Gras::N,трава,խոտ
131,Wurzel::N,корень,արմատ
132,Baum::N,дерево,ծառ
133,Stamm::N,ствол,իրան
134,Rinde::N,кора,կեղեւ
135,Rinde::N,кора,հաչոց
136,Ast::N,сук,ճյուղ
137,Zweig::N,ветвь,ճյուղ
138,Blatt::N,лист,տերեւ
139,Birke::N,береза,ցարասի
140,Kiefer[Baum]::N,сосна,սոճի
141,Weide[Baum]::N,ива,ուռենի
142,Tanne::N,ель,եղեւին
143,Horn::N,рог,
144,Feder::N,перо,փետուր
145,Fell::N,шкура,մորթի
146,Flügel::N,крыло,թեւ
147,Klaue::N,коготь,չանչ
148,Kralle::N,лапа,ճանկ
149,Schwanz::N,хвост,պոչ
150,Ei::N,яйцо,ձու
151,Nest::N,гнездо,բույն
152,Bau::N,нора,որջ
153,Bau::N,нора,բայոց
154,Tier::N,животное,կենդանի
155,Herde::N,стадо,հոտ
156,Kuh::N,корова,կով
157,Bulle::N,бык,ցուլ
158,Pferd::N,лошадь,ձի
159,Schaf::N,овца,ոչխար
160,Schwein::N,свинья,խոզ
161,Hund::N,собака,շուն
