,Concept_ID,ady,cs
0,Auge::N,нэ,oko
1,Ohr::N,тхьакӏу́м,ucho
2,Nase::N,пэ,nos
3,Mund::N,жэ,pusa
4,Zahn::N,цэ,zub
5,Zunge::N,бзэгу,jazyk
6,Lippe::N,ӏупшӏэ́,ret
7,Wange::N,нэкӏу́шъу,tvář
8,Gesicht::N,нэ́гу,obličej
9,Stirn::N,натӏэ́,čelo
10,Haar::N,шъхьацы́,vlas
11,Haar::N,шъхьацы́,vlasy
12,Bart::N,жакӏэ́,vousy
13,Kinn::N,жэкӏэпэпкъ,brada
14,Kiefer[Anatomie]::N,жэпкъы́,čelist
15,Kehle::N,чый,hrdlo
16,Hals::N,пшъэ,krk
17,Genick::N,шъхьэпхэтыку,týl
18,Kopf::N,шъхьэ́,hlava
19,Rücken::N,кӏыбы́,záda
20,Rücken::N,кӏыбы́,hřbet
21,Bauch::N,ныбэ́,břicho
22,Busen::N,бгъэ́,ňadra
23,Brust::N,бгъэ́,prsa
24,Schulter::N,блыпкъ,plece
25,Schulter::N,блыпкъ,rameno
26,Arm::N,ӏэ,ruka
27,Ellenbogen::N,ӏэнтэ́гъу,loket
28,Hand::N,ӏэтхьэцу,ruka
29,Handfläche::N,ӏэ́гу,dlaň
30,Finger::N,ӏэхъуа́мб,prst
31,Fingernagel::N,ӏэбжъа́н,nehet
32,Nagel[Anatomie]::N,ӏэбжъа́н,nehet
33,Zeh::N,ӏэхъуа́мб,prst u nohy
34,Fuß::N,лъэгу,noha
35,Ferse::N,лъэдакъэ,pata
36,Knie::N,лъагуа́ндж,koleno
37,Oberschenkel::N,ко,stehno
38,Bein::N,лъакъо́,noha
39,Körper::N,пкъышъол,tělo
40,Haut::N,кӏы́шъу,kůže
41,Blut::N,лъы,krev
42,Ader::N,льытф,céva
43,Sehne::N,фэ,šlacha
44,Knochen::N,къупшъхьэ́,kost
45,Gehirn::N,куцӏы,mozek
46,Herz::N,гу,srdce
47,Magen::N,мышкӏу,žaludek
48,Leber::N,шӏу,játra
49,Atem::N,къэщэныр,dech
50,Hunger::N,гъаблэ́,hlad
51,Träne::N,нэпсы,slza
52,Geschmack::N,ӏэшӏугъа́кӏ,vkus
53,Geruch::N,мэ,vůně
54,Geruch::N,мэ,zápach
55,Schlaf::N,пчыхьы́пӏ,spánek
56,Traum::N,пчыхьы́пӏ,sen
57,Himmel::N,уашъо́,nebe
58,Sonne::N,тыгъэ,slunce
59,Mond::N,мазэ,měsíc
60,Stern::N,жъуагъо́,hvězda
61,Luft::N,жьы,vzduch
62,Wind::N,жьыбгъэ́,vítr
63,Welle::N,ор,vlna
64,Welle::N,оры,vlna
65,Wasser::N,псы,voda
66,Stein::N,мыжъо́,kámen
67,Boden::N,чӏ́ыгу,půda
68,Erde::N,чӏ́ыгу,země
69,Staub::N,сап,prach
70,Rauch::N,ӏугъо́,dým
71,Rauch::N,ӏугъо́,kouř
72,Funke::N,мэшӏуа́ч,jiskra
73,Feuer::N,машӏо́,oheň
74,Licht::N,нэфы,světlo
75,Licht::N,нэфын,světlo
76,Schatten::N,жьау́,stín
77,Schatten::N,ныбжьыкъу,stín
78,Nebel::N,пща́гъу,mlha
79,Wolke::N,ошъуапщэ,mrak
80,Wolke::N,ошъуапщэ,oblak
81,Regen::N,ощхы,déšť
82,Schnee::N,осы́,sníh
83,Eis::N,мылы,led
84,Kälte::N,чъыӏэ́,chlad
85,Hitze::N,фэба́е,horko
86,Regenbogen::N, лэгъупэкъо́пс,duha
87,Donner::N,шыблэ́,hrom
88,Strömung::N,ток,proudění
89,Tropfen::N,ткӏопс,kapka
90,Tropfen::N,гъуаткӏу,kapka
91,Schaum::N,тхъурбэ,pěna
92,Schmutz::N,псынжъы,špína
93,See::N,хыку́м,jezero
94,See::N,псыхъура́й,jezero
95,Sumpf::N,орыжъ,močál
96,Sumpf::N,орыжъ,bažina
97,Moor::N,орыжъ,bažina
98,Moor::N,орыжъ,slatina
99,Wiese::N,хъупӏэ́,louka
100,Wiese::N,мэкъупӏ,louka
101,Wald::N,мэзы́,les
102,Hügel::N,ӏуашъхь,kopec
103,Anhöhe::N,чӏыӏэтыгъ,pahorek
