,Concept_ID,myv,az
0,Auge::N,сельме,göz
1,Ohr::N,пиле,qulaq
2,Nase::N,судо,burun
3,Mund::N,курго,ağız
4,Zahn::N,пей,diş
5,Zunge::N,кель,dil
6,Lippe::N,турва,dodaq
7,Wange::N,чамабока,yanaq
8,Wange::N,чамаумарь,yanaq
9,Gesicht::N,чама,üz
10,Stirn::N,коня,alın
11,Haar::N,черь,saç
12,Schnurrbart::N,ус,bığ
13,Schnurrbart::N,муюк,bığ
14,Bart::N,сакал,saqqal
15,Kinn::N,уло,çənə
16,Kiefer[Anatomie]::N,пейпакар,çənə
17,Kiefer[Anatomie]::N,пейловажа,çənə
18,Kehle::N,кирьгапарь,boğaz
19,Hals::N,кирьга,boyun
20,Genick::N,човонь,ənsə
21,Kopf::N,пря,baş
22,Rücken::N,копорь,bel
23,Bauch::N,пеке,qarın
24,Nabel::N,почо,göbək
25,Busen::N,поте,məmə
26,Brust::N,меште,döş
27,Schulter::N,лавтов,çiyin
28,Arm::N,кедь,qol
29,Ellenbogen::N,кенерепакарь,dirsək
30,Hand::N,кедь,əl
31,Handfläche::N,кедькуншка,ovuc
32,Handfläche::N,кедьлапушка,ovuc
33,Finger::N,сур,barmaq
34,Fingernagel::N,кенже,barmaq dırnağı
35,Nagel[Anatomie]::N,кенже,dırnak
36,Zeh::N,пильге сур,ayaq barmağı
37,Fuß::N,пильге,ayaq
38,Ferse::N,кочкаря,daban
39,Knie::N,эле,diz
40,Knie::N,эзне,diz
41,Knie::N,кумажа,diz
42,Oberschenkel::N,качо,bud
43,Bein::N,пильге,qıç
44,Körper::N,рунго,əndam
45,Haut::N,киське,dəri
46,Blut::N,верь,qan
47,Ader::N,сан,damar
48,Sehne::N,коське сан,vətər
49,Knochen::N,пакарь,sümük
50,Gehirn::N,удем,beyin
51,Herz::N,седей,ürək
52,Magen::N,пеке,mədə
53,Leber::N,максо,qara ciyər
54,Atem::N,лексема,nəfəs
55,Atem::N,оймень таргсема,nəfəs
56,Hunger::N,вачочи,aclıq
57,Träne::N,селведь,göz yaşı
58,Geschmack::N,тансть,tam
59,Geschmack::N,тансть,ləzzət
60,Geruch::N,чине,qoxu
61,Schlaf::N,удома,yuxu
62,Traum::N,он,röya
63,Himmel::N,менель,göy
64,Himmel::N,менель,səma
65,Sonne::N,чи,günəş
66,Mond::N,ков,ay
67,Stern::N,теште,ulduz
68,Luft::N,кошт,hava
69,Wind::N,варма,yel
70,Wind::N,варма,külək
71,Welle::N,толкун,dalğa
72,Wasser::N,ведь,su
73,Stein::N,кев,daş
74,Boden::N,мода,yer
75,Boden::N,мода,zəmin
76,Erde::N,мастор,yer torpaq
77,Staub::N,пуль,toz
78,Rauch::N,качамо,tüstü
79,Funke::N,сятко,qığılcım
80,Feuer::N,тол,od
81,Licht::N,валдо,işıq
82,Schatten::N,сулей,kölgə
83,Schatten::N,сулейкс,kölgə
84,Wetter::N,ушо,hava
85,Nebel::N,сув,duman
86,Wolke::N,пель,bulud
87,Regen::N,пиземс,yağış
88,Regen::N,пиземс,yağmur
89,Schnee::N,лов,qar
90,Eis::N,эй,buz
91,Frost::N,кельме,ayaz
92,Kälte::N,якшамо,soyuq
93,Hitze::N,пси,coşğunluq
94,Raureif::N,лекш,qırov
95,Regenbogen::N,пурьгинечирьке,göy qurşağı
96,Regenbogen::N,пурьгинеёнкс,göy qurşağı
97,Donner::N,пурьгине,göy gurultusu
98,Strömung::N,чудема,axın
99,Strömung::N,чудевкс,axın
100,Tropfen::N,петнявкс,damcı
101,Schaum::N,чов,köpük
102,Schmutz::N,рудаз,çamır
103,See::N,эрьке,göl
104,Sumpf::N,чей,bataqlıq
105,Moor::N,чей,bataqlıq
106,Wiese::N,луга,çəmən
107,Wald::N,вирь,meşə
108,Hügel::N,губорь,təpə
109,Hügel::N,пандыне,təpə
110,Anhöhe::N,губорь,təpə
111,Anhöhe::N,пандыне,təpə
112,Berg::N,пандо,dağ
113,Gipfel::N,пря,zirvə
114,Höhle::N,пещера,mağara
115,Abhang::N,пандочама,yamac
116,Quelle::N,ушодкс,bulaq
117,Bach::N,чудикерькс,kiçik çay
118,Fluss::N,лей,çay
119,Ufer::N,чире,kənar
120,Küste::N,лейчире,sahil
121,Festland::N,мода,materik
122,Meer::N,моря,dəniz
123,Bucht::N,усия,körfəz
124,Insel::N,усия,ada
125,Blume::N,цеця,çiçək
126,Gras::N,тикше,ot
127,Wurzel::N,юр,kök
128,Wurzel::N,ундокс,kök
129,Baum::N,чувто,ağac
130,Stamm::N,рунго,gövdə
131,Rinde::N,суд,qabıq
132,Rinde::N,керь,qabıq
133,Ast::N,морго,şax
134,Zweig::N,тарад,budaq
135,Blatt::N,лопа,yarpaq
136,Birke::N,килей,tozağacı
137,Kiefer[Baum]::N,пиче,şam
138,Weide[Baum]::N,каль,söyüd
139,Tanne::N,куз,küknar
140,Horn::N,сюро,buynuz
141,Feder::N,толга,tük
142,Feder::N,толга,lələk
143,Fell::N,пона,xəz
144,Flügel::N,сёлмо,qanad
145,Klaue::N,кенже,pəncə
146,Kralle::N,кенже,dırnaq
147,Schwanz::N,пуло,quyruq
148,Ei::N,ал,yumurta
149,Nest::N,пизэ,yuva
150,Bau::N,варя,yuva
151,Bau::N,пизе,yuva
152,Tier::N,ракша,heyvan
153,Herde::N,стада,sürü
154,Kuh::N,скал,inək
155,Bulle::N,бука,öküz
156,Pferd::N,лишме,at
157,Schaf::N,реве,qoyun
158,Schwein::N,туво,donuz
159,Hund::N,пине,it
160,Hund::N,пине,köpək
161,Hund::N,киска,it
162,Hund::N,киска,köpək
163,Katze::N,псака,pişik
164,Bär::N,овто,ayı
165,Eichhörnchen::N,ур,dələ
166,Elch::N,сярдо,sığın
167,Fuchs::N,ривезь,tülkü
168,Hase::N,нумоло,dovşan
169,Maus::N,чеерь,siçan
170,Wolf::N,верьгиз,qurd
171,Vogel::N,нармунь,quş
172,Schwarm::N,полк,sürü
173,Schwarm::N,стада,sürü
174,Huhn::N,сараз,toyuq
175,Hahn::N,атякш,xoruz
176,Gans::N,гала,qaz
177,Gans::N,мацей,qaz
178,Adler::N,куцькан,qartal
179,Adler::N,куцькан,qaraquş
180,Adler::N,тумоатякш,qartal
181,Adler::N,тумоатякш,qaraquş
182,Ente::N,яксярго,ördək
183,Eule::N,корж,bayquş
184,Kranich::N,карго,durna
185,Krähe::N,варака,qarğa
186,Kuckuck::N,куко,ququ
187,Schwan::N,локсей,qu quşu
188,Fisch::N,кал,balıq
189,Barsch::N,окунь,tar
190,Hecht::N,щука,durnabalığı
191,Schlange[Tier]::N,гуй,ilan
192,Wurm::N,сукс,qurd
193,Spinne::N,шанжав,hörümçək
194,Ameise::N,коткудав,qarışqa
195,Laus::N,сий,bit
196,Mücke::N,сеське,ağcaqanad
197,Fliege::N,карво,milçək
198,Schmetterling::N,нимиляв,kəpənək
199,Beere::N,умарь,gilə
200,Apfel::N,умарь,alma
201,Pilz::N,панго,göbələk
202,Zwiebel::N,чурька,soğan
203,Saat::N,видьметь,əkin
204,Korn::N,сюро,taxıl
205,Heu::N,тикше,quru ot
206,Schale::N,кедь,qabıq
207,Schale::N,ваткавкс,qabıq
208,Grube::N,латко,çuxur
209,Falle::N,тувор,tələ
210,Falle::N,тувор,duzaq
211,Falle::N,кундамка,tələ
212,Falle::N,кундамка,duzaq
213,Schlinge::N,килькш,ilmək
214,Spur::N,челькс,iz
215,Spur::N,пильгеки,iz
216,Asche::N,кулов,kül
217,Dreck::N,рудаз,kir
218,Eisen::N,кшни,dəmir
219,Gold::N,сырне,altun
220,Silber::N,сия,gümüş
221,Kohle::N,сэдь,kömür
222,Kohle::N,уголия,kömür
223,Glas::N,сулика,şüşə
224,Lehm::N,сёвонь,gil
225,Lehm::N,сёвонь,palçıq
226,Sand::N,човар,qum
227,Mensch::N,ломань,adam
228,Mensch::N,ломань,insan
229,Mann::N,аля,kişi
230,Mann::N,цёраломань,kişi
231,Frau::N,ава,qadın
232,Kind::N,эйкакш,uşaq
233,Junge::N,цёрыне,oğlan
234,Mädchen::N,тейтерне,qız
235,Familie::N,семия,ailə
236,Großvater::N,покштя,baba
237,Großmutter::N,баба,nənə
238,Eltern::N,тетят-ават,valideyn
239,Vater::N,тетя,ata
240,Mutter::N,ава,ana
241,Sohn::N,цёра,oğul
242,Tochter::N,тейтерь,qız
243,Bruder::N,леля,qardaş
244,Bruder::N,ялакс,qardaş
245,Schwester::N,сазор,bacı
246,Onkel::N,леля,əmi
247,Onkel::N,леля,dayı
248,Tante::N,патя,bibi
249,Ehemann::N,мирде,ər
250,Ehefrau::N,ни,arvad
251,Freude::N,кеняркс,nəşə
252,Freude::N,кеняркс,sevinc
253,Gelächter::N,ракамо,gülüş
254,Gelächter::N,ракамо,qəhqəhə
255,Gelächter::N,пейдема,gülüş
256,Gelächter::N,пейдема,qəhqəhə
257,Glück::N,уцяска,səadət
258,Glück::N,уцяска,xoşbəxtlik
259,Kummer::N,рискс,qəm
260,Kummer::N,рискс,kədər
261,Kummer::N,мелявкс,qəm
262,Kummer::N,мелявкс,kədər
263,Wunsch::N,мель,arzu
264,Wunsch::N,бажамо,arzu
265,Lust::N,бажамо,həvəs
266,Geist::N,ойме,ruh
267,Gedanke::N,мель,fikir
268,Gedanke::N,мель,düşüncə
269,Gedächtnis::N,мель,xatir
270,Gedächtnis::N,мель,hafizə
271,Verstand::N,прев,ağıl
272,Sinn::N,толк,məna
273,Sinn::N,смысла,məna
274,Grund::N,тувтал,səbəb
275,Wahrheit::N,видечи,haqq
276,Wahrheit::N,видечи,doğruluq
277,Gespräch::N,кортнема,söhbət
278,Gespräch::N,кортнема,qonuşma
279,Märchen::N,ёвкс,nağıl
280,Erzählung::N,ёвтнема,hekayə
281,Nachricht::N,куля,xəbər
282,Neuigkeit::N,куля,xəbər
283,Neuigkeit::N,куля,yenilik
284,Name::N,лем,ad
285,Rätsel::N,содамоёвкс,tapmaca
286,Rede::N,кортамо,nitq
287,Sprache::N,кель,dil
288,Stimme::N,ваигель,səs
289,Wort::N,вал,söz
290,Wort::N,вал,kəlmə
291,Zeichen::N,теште,nişan
292,Ruf::N,тердема,çığırtı
293,Lärm::N,шалнома,gurultu
294,Laut::N,вайгель,səs
295,Ton::N,гайнема,ton
296,Lied::N,моро,mahnı
297,Ruhe::N,оймамо,sakitlik
298,Leute::N,ломанть,xalq
299,Volk::N,народ,millət
300,Arbeit::N,тев,iş
301,Arbeit::N,тев,əmək
302,Gast::N,инже,qonaq
303,Gast::N,инже,müsafir
304,Geschenk::N,казне,hədiyyə
305,Spiel::N,налксема,oyun
306,Spiel::N,налксема,tamaşa
307,Gesellschaft::N,община,cəmiyyet
308,Hilfe::N,лездамо,kömək
309,Hilfe::N,лездамо,yardım
310,Freund::N,оя,dost
311,Freund::N,ялга,dost
312,Kamerad::N,оя,yoldaş
313,Kamerad::N,ялга,yoldaş
314,Angelegenheit::N,тев,iş
315,Anzahl::N,ламоксчи,say
316,Art::N,вид,çeşid
317,Stück::N,пакш,dənə
318,Stück::N,пакш,parça
319,Stück::N,пелькс,dənə
320,Stück::N,пелькс,parça
321,Teil::N,часть,qisim
322,Teil::N,пелькс,qisim
323,Hälfte::N,пель,yarım
324,Hälfte::N,пелькс,yarım
325,Kreis::N,кирькс,dairə
326,Kreuz::N,крёст,xaç
327,Linie::N,кикс,xətt
328,Strich::N,межа,cızıq
329,Abstand::N,ютко,məsafə
330,Entfernung::N,ютко,məsafə
331,Entfernung::N,ютко,uzaqlıq
332,Gegend::N,тарка,bölgə
333,Gegend::N,пертьпелькс,bölgə
334,Platz::N,васолкс,yer
335,Ort::N,тарка,yer
336,Seite::N,ён,yan
337,Seite::N,ён,tərəf
338,Seite::N,чире,yan
339,Seite::N,чире,tərəf
340,Mitte::N,куншка,orta
341,Gegenstand::N,предмет,şey
342,Sache::N,тев,şey
343,Sache::N,веща,şey
344,Rand::N,пе,kənar
345,Rand::N,чире,kənar
346,Kante::N,ирдез,tiyə
347,Kante::N,ирдез,kənar
348,Ecke::N,ужо,bucaq
349,Spitze::N,пряне,uc
350,Spitze::N,пе,uc
351,Ende::N,пе,son
352,Ende::N,пе,axır
353,Loch::N,варя,deşik
354,Winkel::N,ужо,guşə
355,Muster::N,сёрма,ülgü
356,Größe::N,сэрь,böyüklük
357,Größe::N,покшолма,böyüklük
358,Länge::N,кувалмо,uzunluq
359,Höhe::N,сэрь,yüksəklik
360,Höhe::N,пандо,yüksəklik
361,Gewicht::N,сталмо,çəki
362,Gewicht::N,сталмо,ağırlıq
363,Menge::N,лововкс,miqdar
364,Haufen::N,мар,yığın
365,Haufen::N,валявкс,yığın
366,Reihe::N,ряд,səf
367,Reihe::N,ряд,sıra
368,Boot::N,венч,qayıq
369,Ruder::N,милё,kürək
370,Schlitten::N,нурдт,kirşə
371,Ski::N,сокс,xizək
372,Lagerfeuer::N,толбандя,düşərgə tonqalı
373,Last::N,сталмо,yük
374,Last::N,кандома,yük
375,Gang::N,молема,yeriş
376,Gang::N,якамо,yeriş
377,Schritt::N,эскелькс,addım
378,Norden::N,якшамо ёнкс,şimal
379,Süden::N,лембе ёнкс,cənub
380,Westen::N,чивалгома,qərb
381,Osten::N,чилисема,şərq
382,Holz::N,чувто,ağac
383,Holz::N,чувто,taxta
384,Brett::N,лаз,taxta
385,Platte::N,плита,lövhə
386,Stütze::N,неже,dayaq
387,Stütze::N,неже,dəstək
388,Stange::N,олга,şüvül
389,Stock::N,мандо,dəyənək
390,Stab::N,олога,əsa
391,Stab::N,олога,şüvül
392,Rohr::N,турба,boru
393,Rohr::N,турба,truba
394,Haus::N,кудо,ev
395,Heim::N,кудо,ev
396,Ofen::N,каштомо,peç
397,Ofen::N,каштомо,soba
398,Fußboden::N,киякс,döşəmə
399,Tisch::N,столь,masa
400,Stuhl::N,стул,stul
401,Wiege::N,лавсь,beşik
402,Wiege::N,нурямот,beşik
403,Bett::N,ацамо,yataq
404,Regal::N,лався,rəf
405,Regal::N,лавсяланго,rəf
406,Kiste::N,горобия,yeşik
407,Kiste::N,горобия,sandıq
408,Kiste::N,сундук,yeşik
409,Kiste::N,сундук,sandıq
410,Fenster::N,вальма,pəncərə
411,Tür::N,кенкш,qapı
412,Tor::N,ортат,darvaza
413,Zaun::N,пирявт,çəpər
414,Zaun::N,пирвякс,çəpər
415,Dach::N,кудопря,dam
416,Leiter::N,кузтема,nərdivan
417,Besen::N,тенсть,süpürgə
418,Spaten::N,койме,kürək
419,Schaufel::N,кече,kürək
420,Schaufel::N,келей койме,kürək
421,Gabel::N,сянгине,çəngəl
422,Löffel::N,пенч,qaşıq
423,Messer::N,пеель,bıçaq
424,Nagel::N,эске,mıx
425,Netz::N,алтыма,tor
426,Haken::N,кечказ,çəngəl
427,Griff::N,кедне,qulp
428,Griff::N,кедне,tutacaq
429,Schloss::N,замок,qıfıl
430,Schloss::N,панжома,qıfıl
431,Bild::N,картина,rəsm
432,Figur::N,рунго,şəkil
433,Figur::N,рунго,heykəl
434,Puppe::N,няка,kukla
435,Puppe::N,няка,gəlincik
436,Beutel::N,кескав,kisə
437,Beutel::N,кескав,torba
438,Bündel::N,керькс,bağlama
439,Tasche::N,юдма,çanta
440,Eimer::N,ведра,vedrə
441,Eimer::N,ведра,çəllək
442,Deckel::N,велькс,qapaq
443,Geschirr::N,кедьге,qab-qazan
444,Sack::N,кескав,çuval
445,Tasse::N,чакш,fincan
446,Topf::N,кастрюля,qazan
447,Kessel::N,котёл,qazan
448,Essen::N,ярсамо,yemək
449,Nahrung::N,ярсамопель,qida
450,Speise::N,ярсамопель,xörək
451,Fleisch::N,сывель,ət
452,Getreide::N,сюро,taxıl
453,Brei::N,каша,aş
454,Brei::N,каша,sıyıq
455,Brot::N,кши,çörək
456,Scheibe::N,кочом,dilim
457,Scheibe::N,сускомо,dilim
458,Fett::N,куя,yağ
459,Butter::N,ой,kərə yağı
460,Öl::N,ой,yağ
461,Salz::N,сал,duz
462,Suppe::N,ям,şorba
463,Honig::N,медь,bal
464,Milch::N,ловсо,süd
465,Tee::N,чай,çay
466,Leder::N,киське,dəri
467,Wolle::N,пона,yun
468,Stoff::N,коцт,qumaş
469,Nadel::N,салмукс,iynə
470,Faden::N,суре,sap
471,Knopf::N,пов,düymə
472,Knoten::N,сюлмо,düyün
473,Farbe::N,артомапель,boya
474,Kleidung::N,оршамот,geyim
475,Hemd::N,панар,köynək
476,Kragen::N,сиве,yaxa
477,Ärmel::N,ожа,qol
478,Hose::N,понкст,şalvar
479,Gürtel::N,каркс,kəmər
480,Mütze::N,чапка,şapka
481,Schuh::N,туфля,tufli
482,Schuh::N,туфля,ayaqqabı
483,Stiefel::N,кем,çəkmə
484,Ring::N,суркс,üzük
485,Band::N,лента,lent
486,Kamm::N,сурсеме,daraq
487,Spiegel::N,чавачамо,güzgü
488,Riemen::N,кшнань каркс,qayış
489,Schnur::N,пикс,ip
490,Leine::N,ведьме,kəmsik
491,Decke::N,вельтямо,ədyal
492,Decke::N,вельтямо,yorğan
493,Kissen::N,тодов,yastıq
494,Tuch::N,паця,şarf
495,Tuch::N,паця,kaşne
496,Handtuch::N,нардамо,dəsmal
497,Kraft::N,вий,güc
498,Stärke::N,виевчи,qüvvət
499,Gesundheit::N,шумбрачи,sağlamlıq
500,Krankheit::N,орма,xəstəlik
501,Krankheit::N,сэредема,xəstəlik
502,Schmerz::N,сэредькс,ağrı
503,Schmerz::N,сэредькс,sancı
504,Wunde::N,керявкс,yara
505,Fieber::N,маштыкс,isitmə
506,Fieber::N,маштыкс,qızdırma
