,Concept_ID,ka,cs
0,Auge::N,თვალი,oko
1,Ohr::N,ყური,ucho
2,Nase::N,ცხვირი,nos
3,Mund::N,პირი,pusa
4,Zahn::N,კბილი,zub
5,Zunge::N,ენა,jazyk
6,Lippe::N,ბაგე,ret
7,Wange::N,ლოყა,tvář
8,Gesicht::N,სახე,obličej
9,Stirn::N,შუბლი,čelo
10,Haar::N,თმა,vlas
11,Haar::N,თმა,vlasy
12,Schnurrbart::N,ულვაში,kníry
13,Bart::N,წვერი,vousy
14,Kinn::N,ნიკაპი,brada
15,Kiefer[Anatomie]::N,ყბა,čelist
16,Kehle::N,ყელი,hrdlo
17,Hals::N,ყელი,krk
18,Hals::N,კისერი,krk
19,Genick::N,კეფა,týl
20,Kopf::N,თავი,hlava
21,Rücken::N,ზურგი,záda
22,Rücken::N,ზურგი,hřbet
23,Bauch::N,მუცელი,břicho
24,Nabel::N,ჭიპი,pupek
25,Busen::N,ძუძუ,ňadra
26,Brust::N,მკერდი,prsa
27,Schulter::N,მხარი,plece
28,Schulter::N,მხარი,rameno
29,Schulter::N,მკლავი,plece
30,Schulter::N,მკლავი,rameno
31,Arm::N,ხელი,ruka
32,Ellenbogen::N,იდაყვი,loket
33,Hand::N,ხელი,ruka
34,Handfläche::N,ნები,dlaň
35,Handfläche::N,ხელისგული,dlaň
36,Finger::N,თითი,prst
37,Fingernagel::N,ფრჩხილი,nehet
38,Nagel[Anatomie]::N,ფრჩხილი,nehet
39,Zeh::N,ფეხის თითი,prst u nohy
40,Fuß::N,ტერფი,noha
41,Fuß::N,ფეხისგული,noha
42,Ferse::N,ქუსლი,pata
43,Knie::N,მუხლი,koleno
44,Oberschenkel::N,ბარძაყი,stehno
45,Bein::N,ფეხი,noha
46,Körper::N,ტანი,tělo
47,Körper::N,სხეული,tělo
48,Haut::N,კანი,kůže
49,Blut::N,სისხლი,krev
50,Ader::N,ძარღვი,céva
51,Sehne::N,მყესი,šlacha
52,Knochen::N,ძვალი,kost
53,Gehirn::N,ტვინი,mozek
54,Herz::N,გული,srdce
55,Magen::N,კუჭი,žaludek
56,Leber::N,ღვიძლი,játra
57,Atem::N,სუნთქვა,dech
58,Hunger::N,შიმშილი,hlad
59,Träne::N,ცრემლი,slza
60,Geschmack::N,გემო,vkus
61,Geruch::N,სუნი,vůně
62,Geruch::N,სუნი,zápach
63,Schlaf::N,ძილი,spánek
64,Traum::N,სიზმარი,sen
65,Himmel::N,ცა,nebe
66,Sonne::N,მზე,slunce
67,Mond::N,მთვარე,měsíc
68,Stern::N,ვარსკვლავი,hvězda
69,Luft::N,ჰაერი,vzduch
70,Wind::N,ქარი,vítr
71,Welle::N,ტალღა,vlna
72,Wasser::N,წყალი,voda
73,Stein::N,ქვა,kámen
74,Boden::N,მიწა,půda
75,Erde::N,ნიადაგი,země
76,Staub::N,მტვერი,prach
77,Rauch::N,ბოლი,dým
78,Rauch::N,ბოლი,kouř
79,Rauch::N,კვამლი,dým
80,Rauch::N,კვამლი,kouř
81,Funke::N,ნაკვესი,jiskra
82,Feuer::N,ცეცხლი,oheň
83,Licht::N,შუქი,světlo
84,Licht::N,სინათლე,světlo
85,Schatten::N,ლანდი,stín
86,Schatten::N,ჩრდილი,stín
87,Wetter::N,ამინდი,počasí
88,Nebel::N,ნისლი,mlha
89,Wolke::N,ღრუბელი,mrak
90,Wolke::N,ღრუბელი,oblak
91,Regen::N,წვიმა,déšť
92,Schnee::N,თოვლი,sníh
