,Concept_ID,is,sq
0,Auge::N,auga,sy
1,Ohr::N,eyra,vesh
2,Nase::N,nef,hundë
3,Mund::N,munnur,gojë
4,Zahn::N,tönn,dhëmb
5,Zunge::N,tunga,gjuhë
6,Lippe::N,vör,buzë
7,Wange::N,kinn,faqe
8,Wange::N,kinn,mollëz
9,Wange::N,vangi,faqe
10,Wange::N,vangi,mollëz
11,Gesicht::N,andlit,fytyrë
12,Stirn::N,enni,ballë
13,Haar::N,hár,flokë
14,Schnurrbart::N,yfirskegg,mustaqe
15,Bart::N,skegg,mjekër
16,Kinn::N,haka,mjekër
17,Kiefer[Anatomie]::N,kjálki,nofull
18,Kiefer[Anatomie]::N,skoltur,nofull
19,Kehle::N,kverk,fyt
20,Kehle::N,kverk,grykë
21,Hals::N,háls,qafë
22,Genick::N,hnakki,arrëz
23,Kopf::N,höfuð,kokë
24,Rücken::N,hryggur,kurriz
25,Bauch::N,kviður,bark
26,Nabel::N,nafli,kërthizë
27,Busen::N,barmur,gji
28,Brust::N,brjóst,gjoks
29,Brust::N,brjóst,kraharor
30,Schulter::N,öxl,sup
31,Schulter::N,öxl,krah
32,Arm::N,armur,krah
33,Ellenbogen::N,olnbogi,bërryl
34,Hand::N,hönd,dorë
35,Handfläche::N,lófi,pëllëmbë
36,Finger::N,fingur,gisht
37,Fingernagel::N,fingurnögl,thua
38,Nagel[Anatomie]::N,nögl,thua
39,Zeh::N,tá,gisht i këmbës
40,Fuß::N,fótur,këmbë
41,Ferse::N,hæll,thembër
42,Knie::N,kné,gju
43,Oberschenkel::N,læri,kofshë
44,Bein::N,fótleggur,këmbë
45,Körper::N,búkur,trup
46,Körper::N,líkami,trup
47,Haut::N,húð,lëkurë
48,Haut::N,skinn,lëkurë
49,Blut::N,blóð,gjak
50,Ader::N,æð,venë
51,Sehne::N,sin,dell
52,Knochen::N,bein,asht
53,Knochen::N,bein,kockë
54,Gehirn::N,heili,tru
55,Herz::N,hjarta,zemër
56,Magen::N,magi,stomak
57,Leber::N,lifur,mëlçi
58,Atem::N,andi,frymë
59,Atem::N,andardráttur,frymë
60,Hunger::N,hungur,uri
61,Träne::N,tár,lot
62,Geschmack::N,smekkur,shije
63,Geruch::N,lykt,erë
64,Schlaf::N,svefn,gjumë
65,Traum::N,draumur,ëndërr
66,Himmel::N,himinn,qiell
67,Sonne::N,sól,diell
68,Mond::N,tungl,hënë
69,Stern::N,stjarna,yll
70,Luft::N,loft,ajër
71,Wind::N,vindur,erë
72,Welle::N,alda,valë
73,Welle::N,alda,dallgë
74,Welle::N,bylgja,valë
75,Welle::N,bylgja,dallgë
76,Wasser::N,vatn,ujë
77,Stein::N,steinn,gur
78,Boden::N,botn,tokë
79,Boden::N,botn,truall
80,Erde::N,jörð,dhe
81,Erde::N,jörð,baltë
82,Staub::N,ryk,pluhur
83,Staub::N,duft,pluhur
84,Rauch::N,reykur,tym
85,Funke::N,neisti,xixë
86,Funke::N,neisti,shkëndijë
87,Feuer::N,eldur,zjarr
88,Licht::N,ljós,dritë
89,Schatten::N,skuggi,hije
90,Wetter::N,veður,mot
91,Nebel::N,þoka,mjegull
92,Wolke::N,ský,re
93,Regen::N,regn,shi
94,Schnee::N,snjór,borë
95,Eis::N,ís,akull
96,Frost::N,frost,ngricë
97,Kälte::N,kuldi,të ftohtë
98,Hitze::N,hiti,vapë
99,Hitze::N,hiti,nxehtësi
100,Raureif::N,hrím,cikmë
101,Regenbogen::N,regnbogi,ylber
102,Donner::N,þruma,gjëmim
103,Donner::N,þruma,bubullimë
104,Strömung::N,straumur,rrymë
105,Tropfen::N,dropi,pikë
106,Schaum::N,froða,shkumë
107,Schmutz::N,óhreinindi,baltë
108,See::N,stöðuvatn,liqen
109,Sumpf::N,fen,batak
110,Moor::N,mýri,kënetë
111,Wiese::N,engi,livadh
112,Wald::N,skógur,pyll
113,Hügel::N,hæð,kodër
114,Hügel::N,hóll,kodër
115,Anhöhe::N,hæð,bregore
116,Anhöhe::N,hóll,bregore
117,Berg::N,fell,mal
118,Berg::N,fjall,mal
119,Gipfel::N,tindur,kulm
120,Höhle::N,hellir,shpellë
121,Höhle::N,hellir,zgafelle
122,Abhang::N,hlíð,shpat
123,Abhang::N,hlíð,tatëpjetë
124,Abhang::N,brekka,shpat
125,Abhang::N,brekka,tatëpjetë
126,Quelle::N,lind,krua
127,Quelle::N,lind,burim
128,Quelle::N,uppspretta,krua
129,Quelle::N,uppspretta,burim
130,Bach::N,lækur,virua
131,Fluss::N,á,lumë
132,Fluss::N,fljót,lumë
133,Ufer::N,árbakki,breg
134,Ufer::N,sjávarbakki,breg
135,Küste::N,strönd,anëdet
136,Küste::N,strönd,bregdet
137,Festland::N,meginland,kontinent
138,Meer::N,haf,det
139,Meer::N,sjór,det
140,Bucht::N,vík,gji deti
141,Insel::N,eyja,ishull
142,Insel::N,eyja,ujdhesë
143,Blume::N,blóm,lule
144,Gras::N,gras,bar
145,Wurzel::N,rót,rrënjë
146,Baum::N,tré,pemë
147,Stamm::N,stofn,trung
148,Rinde::N,börkur,lëvore
149,Ast::N,grein,degë
150,Zweig::N,angi,bisk
151,Zweig::N,kvistur,bisk
152,Blatt::N,blað,fletë
153,Blatt::N,blað,gjethe
154,Birke::N,birki,mështekën
155,Kiefer[Baum]::N,fura,pishë
156,Weide[Baum]::N,víðir,shelg
157,Tanne::N,greni,bredh
158,Horn::N,horn,bri
159,Feder::N,fjöður,pupël
160,Fell::N,skinn,lëkurë
161,Flügel::N,vængur,krah
162,Flügel::N,vængur,fletë
163,Klaue::N,kló,kthetër
164,Kralle::N,kló,thua
165,Kralle::N,kló,kthetër
166,Schwanz::N,rófa,bisht
167,Schwanz::N,skott,bisht
168,Ei::N,egg,vezë
169,Nest::N,hreiður,fole
170,Bau::N,greni,strofkë
171,Bau::N,bæli,strofkë
172,Tier::N,dýr,kafshë
173,Herde::N,hjörð,kope
174,Herde::N,hjörð,grigjë
175,Kuh::N,kýr,lopë
176,Bulle::N,boli,dem
177,Pferd::N,hestur,kalë
178,Schaf::N,kind,dele
179,Schwein::N,svín,derr
180,Hund::N,hundur,qen
181,Katze::N,köttur,mace
182,Bär::N,björn,ari
183,Eichhörnchen::N,íkorni,ketër
184,Elch::N,elgur,dre brilopatë
185,Fuchs::N,refur,dhelpër
186,Hase::N,héri,lepur
187,Maus::N,mús,mi
188,Wolf::N,úlfur,ujk
189,Vogel::N,fugl,zog
190,Vogel::N,fugl,shpend
191,Schwarm::N,sægur,luzmë
192,Huhn::N,hæna,pulë
193,Hahn::N,hani,gjel
194,Hahn::N,hani,këndes
195,Gans::N,gæs,patë
196,Adler::N,örn,shqiponjë
197,Ente::N,önd,rosë
198,Eule::N,uggla,buf
199,Kranich::N,trana,lejlek
200,Kranich::N,trana,kurrillë
201,Krähe::N,kráka,sorrë
202,Kuckuck::N,gaukur,qyqe
