,Concept_ID,el,fr
0,Auge::N,μάτι,œil
1,Auge::N,οφθαλμός,œil
2,Ohr::N,αυτί,oreille
3,Nase::N,μύτη,nez
4,Mund::N,στόμα,bouche
5,Zahn::N,δόντι,dent
6,Zunge::N,γλώσσα,langue
7,Lippe::N,χείλος,lèvre
8,Wange::N,παρειά,joue
9,Wange::N,μάγουλο,joue
10,Gesicht::N,πρόσωπο,face
11,Gesicht::N,πρόσωπο,visage
12,Stirn::N,μέτωπο,front
13,Haar::N,μαλλιά,cheveu
14,Schnurrbart::N,μουστάκι,moustache
15,Bart::N,γένια,barbe
16,Kinn::N,πιγούνι,menton
17,Kiefer[Anatomie]::N,σαγόνι,mâchoire
18,Kehle::N,λαρύγγι,gorge
19,Hals::N,λαιμός,cou
20,Genick::N,σβέρκος,nuque
21,Kopf::N,κεφάλι,tête
22,Rücken::N,ράχη,dos
23,Bauch::N,κοιλιά,ventre
24,Nabel::N,αφαλός,nombril
25,Busen::N,στήθος,sein
26,Brust::N,στήθος,poitrine
27,Schulter::N,ώμος,épaule
28,Arm::N,χέρι,bras
29,Arm::N,μπράτςο,bras
30,Ellenbogen::N,αγκώνας,coude
31,Hand::N,χέρι,main
32,Handfläche::N,παλάμη,paume
33,Finger::N,δάχτυλο,doigt
34,Fingernagel::N,νύχι,ongle
35,Nagel[Anatomie]::N,νύχι,ongle
36,Zeh::N,δάχτυλο του ποδιού,orteil
37,Zeh::N,δάχτυλο του ποδιού,doigt de pied
38,Fuß::N,πόδι,pied
39,Ferse::N,φτέρνα,talon
40,Knie::N,γόνατο,genou
41,Oberschenkel::N,μηρός,cuisse
42,Bein::N,πόδι,jambe
43,Körper::N,σώμα,corps
44,Körper::N,κορμί,corps
45,Haut::N,πετσί,peau
46,Blut::N,αίμα,sang
47,Ader::N,φλέβα,veine
48,Sehne::N,νεύρο,tendon
49,Sehne::N,τένοντας,tendon
50,Knochen::N,οστό,os
51,Knochen::N,κόκκαλο,os
52,Gehirn::N,μυαλό,cerveau
53,Gehirn::N,εγκέφαλος,cerveau
54,Herz::N,καρδιά,cœur
55,Magen::N,στομάχι,estomac
56,Leber::N,ήπαρ,foie
57,Leber::N,συκωτί,foie
58,Atem::N,αναπνοή,haleine
59,Hunger::N,πείνα,faim
60,Träne::N,δάκρυ,larme
61,Geschmack::N,γεύση,goût
62,Geschmack::N,γεύση,saveur
63,Geruch::N,οσμή,odeur
64,Geruch::N,μυρωδία,odeur
65,Schlaf::N,ύπνος,sommeil
66,Traum::N,όνειρο,songe
67,Himmel::N,ουρανός,ciel
