,Concept_ID,ku,bg
0,Auge::N,çav,око
1,Ohr::N,guh,ухо
2,Nase::N,bêvil,нос
3,Mund::N,dev,уста
4,Zahn::N,didan,зъб
5,Zunge::N,ziman,език
6,Lippe::N,lêv,устна
7,Wange::N,dêm,буза
8,Wange::N,hinarik,буза
9,Gesicht::N,rû,лице
10,Gesicht::N,rû,образ
11,Stirn::N,enî,чело
12,Haar::N,por,коса
13,Haar::N,por,косъм
14,Schnurrbart::N,simbêl,мустаци
15,Bart::N,rih,брада
16,Kinn::N,zenî,брада
17,Kinn::N,zenî,брадичка
18,Kiefer[Anatomie]::N,arguşk,челюст
19,Kehle::N,qirik,гърло
20,Hals::N,stû,врат
21,Hals::N,qirik,врат
22,Genick::N,stû,тил
23,Kopf::N,serî,глава
24,Rücken::N,pişt,гръб
25,Bauch::N,ûr,корем
26,Bauch::N,zik,корем
27,Nabel::N,navik,пъп
28,Busen::N,sîng,бозка
29,Brust::N,sîng,гръд
30,Schulter::N,mil,рамо
31,Schulter::N,mil,плещи
32,Arm::N,çepil,ръка
33,Ellenbogen::N,enîşk,лакът
34,Hand::N,dest,ръка
35,Hand::N,dest,китка
36,Handfläche::N,kefadest,длан
37,Finger::N,tilî,пръст
38,Fingernagel::N,neynuk,нокът
39,Nagel[Anatomie]::N,bizmar,нокът
40,Zeh::N,tilî linga,пръст на крак
41,Fuß::N,ling,крак
42,Fuß::N,ling,нога
43,Ferse::N,pahnî,пета
44,Knie::N,kabok,коляно
45,Oberschenkel::N,rahn,бедро
46,Bein::N,çip,крак
47,Bein::N,çip,нога
48,Körper::N,laş,тяло
49,Körper::N,gowde,тяло
50,Haut::N,çerm,кожа
51,Blut::N,xwîn,кръв
52,Ader::N,reh,вена
53,Ader::N,reh,артерия
54,Sehne::N,reh,жила
55,Sehne::N,reh,сухожилие
56,Knochen::N,hestî,кост
57,Gehirn::N,mêjî,мозък
58,Herz::N,dil,сърце
59,Magen::N,navêş,стомах
60,Leber::N,kezeb,черен дроб
61,Atem::N,hilm,дишане
62,Hunger::N,birçîtî,глад
63,Träne::N,hêstir,сълза
64,Geschmack::N,tam,вкус
65,Geruch::N,bêhn,миризма
66,Schlaf::N,xew,сън
67,Traum::N,xewn,сън
68,Himmel::N,ezman,небе
69,Sonne::N,roj,слънце
70,Mond::N,heyv,луна
71,Mond::N,heyv,месец
72,Stern::N,stêrk,звезда
73,Luft::N,ba,въздух
74,Wind::N,ba,вятър
75,Welle::N,şewl,вълна
76,Wasser::N,av,вода
77,Stein::N,kevir,камък
78,Boden::N,herd,земя
79,Boden::N,herd,почва
80,Erde::N,ax,земя
81,Erde::N,ax,почва
82,Staub::N,toz,прах
83,Rauch::N,dû,дим
84,Rauch::N,dû,пушек
85,Funke::N,çirûşk,искра
86,Feuer::N,agir,огън
87,Licht::N,ronahî,светлина
88,Schatten::N,sî,сянка
89,Wetter::N,hewa,време
90,Nebel::N,mij,мъгла
91,Wolke::N,ewr,облак
92,Regen::N,baran,дъжд
93,Schnee::N,berf,сняг
94,Eis::N,qeşa,лед
95,Frost::N,xûsik,мраз
96,Kälte::N,serma,студ
97,Hitze::N,germayî,жега
98,Hitze::N,germayî,горещина
99,Raureif::N,şext,скреж
100,Raureif::N,şext,слана
101,Regenbogen::N,heftreng,дъга
102,Donner::N,gire-gir,гръм
103,Strömung::N,şewl,течение
104,Tropfen::N,dilop,капка
105,Schaum::N,kef,пяна
106,Schmutz::N,gemar,кал
107,Schmutz::N,gemar,мръсотия
108,See::N,gol,езеро
109,Sumpf::N,hezek,блато
110,Moor::N,mafêl,мочурище
111,Wiese::N,sûrik,ливада
112,Wald::N,çiya,гора
113,Wald::N,daristan,гора
114,Hügel::N,gir,рид
115,Hügel::N,gir,хълм
116,Anhöhe::N,sere gir,могила
117,Anhöhe::N,sere gir,възвишение
118,Berg::N,kaş,планина
119,Gipfel::N,sere gir,връх
120,Höhle::N,şikeft,пещера
121,Abhang::N,kaş,склон
122,Abhang::N,kaş,стръмнина
123,Quelle::N,kanî,извор
124,Bach::N,çem,поток
125,Fluss::N,çem,река
126,Fluss::N,rûbar,река
127,Ufer::N,kevî,бряг
128,Küste::N,berav,бряг
129,Küste::N,berav,крайбрежие
130,Festland::N,bejahî,суша
131,Meer::N,behr,море
132,Bucht::N,derav,залив
133,Insel::N,girav,остров
134,Blume::N,kulînk,цвете
135,Gras::N,giha,трева
136,Wurzel::N,reh,корен
137,Baum::N,dar,дърво
