,Concept_ID,it,da
0,Auge::N,occhio,øje
1,Ohr::N,orecchio,øre
2,Nase::N,naso,næse
3,Mund::N,bocca,mund
4,Zahn::N,dente,tand
5,Zunge::N,lingua,tunge
6,Lippe::N,labbro,læbe
7,Wange::N,guancia,kind
8,Gesicht::N,viso,ansigt
9,Gesicht::N,faccia,ansigt
10,Stirn::N,fronte,pande
11,Haar::N,capello,hår
12,Schnurrbart::N,baffi,overskæg
13,Schnurrbart::N,mustacchi,overskæg
14,Bart::N,barba,skæg
15,Kinn::N,mento,hage
16,Kiefer[Anatomie]::N,mascella,kæbe
17,Kehle::N,gola,strube
18,Hals::N,collo,hals
19,Genick::N,nuca,nakke
20,Kopf::N,capo,hoved
21,Kopf::N,testa,hoved
22,Rücken::N,dorso,ryg
23,Rücken::N,schiena,ryg
24,Bauch::N,ventre,mave
25,Nabel::N,ombelico,navle
26,Busen::N,seno,barm
27,Brust::N,petto,bryst
28,Schulter::N,spalla,skulder
29,Arm::N,braccio,arm
30,Ellenbogen::N,gomito,albue
31,Hand::N,mano,hånd
32,Handfläche::N,palma,håndflade
33,Finger::N,dito,finger
34,Fingernagel::N,unghia,fingernegl
35,Nagel[Anatomie]::N,unghia,negl
36,Zeh::N,dito del piede,tå
37,Fuß::N,piede,fod
38,Ferse::N,tallone,hæl
39,Ferse::N,calcagno,hæl
40,Knie::N,ginocchio,knæ
41,Oberschenkel::N,fèmore,lår
42,Bein::N,gamba,ben
43,Körper::N,corpo,krop
44,Körper::N,corpo,legeme
45,Haut::N,pelle,hud
46,Blut::N,sangue,blod
47,Ader::N,vena,åre
48,Sehne::N,tèndine,sene
49,Knochen::N,osso,ben
50,Gehirn::N,cervello,hjerne
51,Herz::N,cuore,hjerte
52,Magen::N,stòmaco,mave
53,Leber::N,fegato,lever
54,Atem::N,fiato,ånde
55,Atem::N,respiro,ånde
56,Hunger::N,fame,sult
57,Träne::N,làcrima,tåre
58,Geschmack::N,gusto,smag
59,Geschmack::N,sapore,smag
60,Geruch::N,odore,lugt
