,Concept_ID,fi,lt
0,Auge::N,silmä,akis
1,Ohr::N,korva,ausis
2,Nase::N,nenä,nosis
3,Mund::N,suu,burna
4,Zahn::N,hammas,dantis
5,Zunge::N,kieli,liežuvis
6,Lippe::N,huuli,lūpa
7,Wange::N,poski,žandas
8,Wange::N,poski,skruostas
9,Gesicht::N,naama,veidas
10,Gesicht::N,kasvot,veidas
11,Stirn::N,otsa,kakta
12,Haar::N,hius,plaukai
13,Haar::N,tukka,plaukai
14,Schnurrbart::N,viikset,ūsai
15,Bart::N,parta,barzda
16,Kinn::N,leuka,smakras
17,Kiefer[Anatomie]::N,leukaluu,žandikaulis
18,Kehle::N,kurkku,gerklė
19,Hals::N,kaula,kaklas
20,Genick::N,niska,sprandas
21,Kopf::N,pää,galva
22,Rücken::N,selkä,nugara
23,Bauch::N,maha,pilvas
24,Bauch::N,vatsa,pilvas
25,Nabel::N,napa,bamba
26,Busen::N,rinta,krūtinė
27,Brust::N,rinta,krūtis
28,Schulter::N,olka,petys
29,Schulter::N,hartia,petys
30,Schulter::N,olkapää,petys
31,Arm::N,käsivarsi,ranka
32,Ellenbogen::N,kyynärpää,alkūnė
33,Hand::N,käsi,ranka
34,Hand::N,käsi,plaštaka
35,Handfläche::N,kämmen,delnas
36,Handfläche::N,kämmen,plaštaka
37,Finger::N,sormi,pirštas
38,Fingernagel::N,kynsi,nagas
39,Nagel[Anatomie]::N,kynsi,nagas
40,Zeh::N,varvas,pirštas
41,Fuß::N,jalka,pėda
42,Ferse::N,kantapää,kulnas
43,Knie::N,polvi,kelis
44,Oberschenkel::N,reisi,kulšis
45,Oberschenkel::N,reisi,šlaunis
46,Bein::N,jalka,koja
47,Körper::N,keho,kūnas
48,Körper::N,ruumis,kūnas
49,Haut::N,iho,oda
50,Blut::N,veri,kraujas
51,Ader::N,suoni,kraujagyslė
52,Sehne::N,jänne,sausgyslė
53,Knochen::N,luu,kaulas
54,Gehirn::N,aivot,smegenys
55,Herz::N,sydän,širdis
56,Magen::N,maha,skrandis
57,Magen::N,vatsa,skrandis
58,Leber::N,maksa,kepenys
59,Atem::N,henki,kvapas
60,Atem::N,hengitys,kvapas
61,Hunger::N,nälkä,badas
62,Hunger::N,nälkä,alkis
63,Träne::N,kyynel,ašara
64,Geschmack::N,maku,skonis
65,Geruch::N,haju,kvapas
66,Schlaf::N,uni,miegas
67,Traum::N,uni,sapnas
68,Himmel::N,taivas,dangus
69,Sonne::N,aurinko,saulė
70,Mond::N,kuu,mėnulis
71,Stern::N,tähti,žvaigždė
72,Luft::N,ilma,oras
73,Wind::N,tuuli,vėjas
74,Welle::N,aalto,banga
75,Welle::N,aalto,vilnis
76,Wasser::N,vesi,vanduo
77,Stein::N,kivi,akmuo
78,Boden::N,maa,žemė
79,Boden::N,maa,dugnas
80,Boden::N,maaperä,žemė
81,Boden::N,maaperä,dugnas
82,Erde::N,maa,žemė
83,Staub::N,pöly,dulkės
84,Rauch::N,savu,dūmai
85,Funke::N,kipinä,kibirkštis
86,Feuer::N,tuli,ugnis
87,Licht::N,valo,šviesa
88,Schatten::N,varjo,paūksmė
89,Wetter::N,sää,oras
90,Nebel::N,sumu,migla
91,Nebel::N,sumu,rūkas
92,Wolke::N,pilvi,debesis
93,Regen::N,sade,lietus
94,Schnee::N,lumi,sniegas
95,Eis::N,jää,ledas
96,Frost::N,halla,šalna
97,Frost::N,pakkanen,šalna
98,Kälte::N,vilu,šaltis
99,Kälte::N,kylmyys,šaltis
100,Hitze::N,helle,karštis
101,Hitze::N,kuumuus,karštis
102,Raureif::N,huurre,šerkšnas
103,Regenbogen::N,sateenkaari,vaivorykštė
104,Donner::N,jyrinä,perkūnas
105,Donner::N,jyrinä,griaustinis
106,Strömung::N,virtaus,tėkmė
107,Tropfen::N,tippa,lašas
108,Tropfen::N,pisara,lašas
109,Schaum::N,vaahto,putos
110,Schmutz::N,loka,purvas
111,See::N,järvi,ežeras
112,Sumpf::N,suo,klampynė
113,Sumpf::N,suo,liūnas
114,Moor::N,räme,pelkė
115,Wiese::N,niitty,pieva
116,Wald::N,metsä,miškas
117,Hügel::N,mäki,kalva
118,Hügel::N,kumpu,kalva
119,Hügel::N,kukkula,kalva
120,Anhöhe::N,mäki,kauburys
121,Anhöhe::N,kumpare,kauburys
122,Berg::N,mäki,kalnas
123,Berg::N,vuori,kalnas
124,Gipfel::N,laki,viršūnė
125,Gipfel::N,huippu,viršūnė
126,Höhle::N,luola,ola
127,Abhang::N,rinne,šlaitas
128,Abhang::N,rinne,nuokalnė
129,Quelle::N,lähde,versmė
130,Quelle::N,lähde,šaltinis
131,Bach::N,puro,upelis
132,Fluss::N,joki,upė
133,Ufer::N,ranta,krantas
134,Küste::N,rannikko,pajūris
135,Festland::N,manner,sausuma
136,Meer::N,meri,jūra
137,Bucht::N,lahti,įlanka
138,Bucht::N,lahti,užutekis
