,Concept_ID,cy,hu
0,Auge::N,llygad,szem
1,Ohr::N,clust,fül
2,Nase::N,trwyn,orr
3,Mund::N,ceg,száj
4,Zahn::N,dant,fog
5,Zunge::N,tafod,nyelv
6,Lippe::N,gwefus,ajak
7,Wange::N,boch,orca
8,Gesicht::N,wyneb,arc
9,Stirn::N,talcen,homlok
10,Haar::N,blew,haj
11,Schnurrbart::N,mwstas,bajusz
12,Bart::N,barf,szakáll
13,Kinn::N,gên,áll
14,Kiefer[Anatomie]::N,gên,állkapocs
15,Kehle::N,gwddf,gége
16,Kehle::N,gwddf,torok
17,Hals::N,gwddf,nyak
18,Genick::N,gwar,tarkó
19,Genick::N,gwegil,tarkó
20,Kopf::N,pen,fő
21,Kopf::N,pen,fej
22,Rücken::N,cefn,hát
23,Bauch::N,bol,has
24,Nabel::N,bogail,köldök
25,Busen::N,bron,mell
26,Busen::N,bron,kebel
27,Brust::N,brest,mell
28,Schulter::N,ysgwydd,váll
29,Arm::N,braich,kar
30,Ellenbogen::N,penelin,könyök
31,Hand::N,llaw,kéz
32,Handfläche::N,palf,tenyér
33,Finger::N,bys,ujj
34,Fingernagel::N,ewin,köröm
35,Nagel[Anatomie]::N,ewin,köröm
36,Zeh::N,bys troed,lábujj
37,Fuß::N,troed,láb
38,Ferse::N,sawdl,sarok
39,Knie::N,glin,térd
40,Oberschenkel::N,clun,comb
41,Bein::N,coes,láb
42,Bein::N,coes,lábszár
43,Körper::N,corff,test
44,Haut::N,croen,bőr
45,Blut::N,gwaed,vér
46,Ader::N,gwythïen,ér
47,Sehne::N,gewyn,ín
48,Knochen::N,asgwrn,csont
49,Gehirn::N,ymennydd,agy
50,Gehirn::N,ymennydd,agyvelő
51,Herz::N,calon,szív
52,Magen::N,cylla,gyomor
53,Magen::N,stumog,gyomor
54,Leber::N,iau,máj
55,Atem::N,anadl,lehelet
56,Atem::N,anadl,lélegzet
57,Hunger::N,newyn,éhség
58,Träne::N,deigryn,könny
59,Geschmack::N,cyflas,íz
60,Geruch::N,aroglau,szag
61,Schlaf::N,cwsg,álom
62,Schlaf::N,cwsg,alvás
63,Traum::N,breuddwyd,álom
64,Himmel::N,awyr,ég
65,Himmel::N,awyr,menny
66,Sonne::N,haul,nap
67,Mond::N,lleuad,hold
68,Stern::N,seren,csillag
69,Luft::N,awyr,levegő
70,Wind::N,gwynt,szél
71,Welle::N,ton,hullám
72,Wasser::N,dŵr,víz
73,Stein::N,carreg,kő
74,Boden::N,llawr,föld
75,Boden::N,llawr,talaj
76,Erde::N,pridd,föld
77,Staub::N,llwch,por
78,Rauch::N,mwg,füst
79,Funke::N,gwreichioni,szikra
80,Feuer::N,tân,tűz
81,Licht::N,golau,fény
82,Schatten::N,cysgod,árnyék
83,Wetter::N,tywydd,idő
84,Wetter::N,tywydd,időjárás
85,Nebel::N,niwl,köd
86,Wolke::N,cwmwl,felhő
87,Regen::N,glaw,eső
88,Schnee::N,ôd,hó
89,Schnee::N,eira,hó
90,Eis::N,iâ,jég
91,Frost::N,rhew,fagy
92,Kälte::N,oerni,hideg
93,Kälte::N,annwyd,hideg
94,Hitze::N,gwres,hő
95,Hitze::N,gwres,hőség
96,Raureif::N,barrug,zúzmara
97,Regenbogen::N,enfys,szivárvány
98,Donner::N,tyrfau,dörgés
99,Donner::N,tyrfau,mennydörgés
100,Strömung::N,cerrynt,áramlat
101,Tropfen::N,dafn,csepp
102,Tropfen::N,diferyn,csepp
103,Schaum::N,ewyn,hab
104,Schaum::N,ewyn,tajték
105,Schmutz::N,baw,piszok
106,Schmutz::N,budreddi,piszok
107,See::N,llyn,tó
108,Sumpf::N,cors,mocsár
109,Moor::N,rhos,láp
110,Wiese::N,dôl,rét
111,Wiese::N,dôl,mező
112,Wald::N,coedwig,erdő
113,Hügel::N,bryn,domb
114,Anhöhe::N,bryn,magaslat
115,Berg::N,mynydd,hegy
116,Gipfel::N,copa,csúcs
117,Höhle::N,ogof,barlang
118,Abhang::N,llethr,lejtő
119,Quelle::N,tarddiad,forrás
120,Quelle::N,ffynhonnell,forrás
121,Bach::N,nant,patak
122,Bach::N,afonig,patak
123,Bach::N,cornant,patak
124,Fluss::N,afon,folyó
125,Ufer::N,glan,part
126,Küste::N,traeth,tengerpart
127,Küste::N,arfordir,tengerpart
128,Festland::N,tir,szárazföld
129,Meer::N,môr,tenger
130,Bucht::N,bae,öböl
131,Insel::N,ynys,sziget
132,Blume::N,blodyn,virág
133,Gras::N,glaswellt,fű
134,Wurzel::N,gwreiddyn,gyökér
135,Baum::N,coeden,fa
136,Stamm::N,colfen,tő
137,Stamm::N,colfen,törzs
138,Stamm::N,boncyff,tő
139,Stamm::N,boncyff,törzs
140,Rinde::N,rhisgl,kéreg
141,Ast::N,cangen,ág
142,Zweig::N,cainc,gally
143,Zweig::N,cangen,gally
144,Blatt::N,deilen,levél
145,Birke::N,bedwen,nyír
146,Kiefer[Baum]::N,pinwydden,fenyő
147,Weide[Baum]::N,helygen,fűz
148,Tanne::N,ffynidwydden,fenyő
149,Horn::N,corn,szarv
150,Feder::N,plufyn,toll
151,Fell::N,ffwr,szőr
152,Fell::N,ffwr,bunda
153,Flügel::N,adain,szárny
154,Klaue::N,crafanc,köröm
155,Kralle::N,ewin,karom
156,Schwanz::N,cwt,farok
157,Schwanz::N,cynffon,farok
158,Ei::N,wy,tojás
159,Nest::N,nyth,fészek
160,Bau::N,ffau,odú
161,Tier::N,anifail,állat
162,Herde::N,praidd,nyáj
163,Herde::N,praidd,csorda
164,Herde::N,diadell,nyáj
165,Herde::N,diadell,csorda
166,Kuh::N,buwch,tehén
167,Bulle::N,tarw,bika
168,Pferd::N,ceffyl,ló
169,Schaf::N,dafad,juh
170,Schaf::N,dafad,birka
171,Schwein::N,mochyn,sertés
172,Hund::N,ci,eb
173,Hund::N,ci,kutya
174,Katze::N,cath,macska
175,Bär::N,arth,medve
176,Eichhörnchen::N,gwiwer,mókus
177,Elch::N,elc,jávorszarvas
178,Fuchs::N,cadno,róka
179,Hase::N,ysgyfarnog,nyúl
180,Maus::N,llygoden,egér
181,Wolf::N,blaidd,farkas
182,Vogel::N,aderyn,madár
183,Schwarm::N,haid,raj
184,Huhn::N,cyw,tyúk
185,Hahn::N,ceiliog,kakas
186,Gans::N,gŵydd,lúd
187,Gans::N,gŵydd,liba
188,Adler::N,eryr,sas
189,Ente::N,hwyad,kacsa
190,Eule::N,tylluan,bagoly
191,Kranich::N,garan,daru
192,Kranich::N,crychydd,daru
193,Krähe::N,brân,varjú
194,Kuckuck::N,cog,kakukk
195,Kuckuck::N,cwcw,kakukk
196,Schwan::N,alarch,hattyú
197,Fisch::N,pysgod,hal
198,Barsch::N,draenog,sügér
199,Hecht::N,penhwyad,csuka
200,Schlange[Tier]::N,neidr,kígyó
201,Wurm::N,abwydyn,kukac
202,Wurm::N,pryf genwair,kukac
203,Spinne::N,cor,pók
204,Spinne::N,pryf copyn,pók
205,Ameise::N,morgrugyn,hangya
206,Laus::N,lleuen,tetű
207,Mücke::N,gwybedyn,szúnyog
208,Fliege::N,cleren,légy
209,Schmetterling::N,glöyn byw,lepke
210,Schmetterling::N,glöyn byw,pillangó
211,Schmetterling::N,iâr fach yr haf,lepke
212,Schmetterling::N,iâr fach yr haf,pillangó
213,Beere::N,aeronen,bogyó
214,Apfel::N,afal,alma
215,Pilz::N,madarch,gomba
216,Zwiebel::N,nionyn,hagyma
217,Zwiebel::N,winwnsyn,hagyma
