,Concept_ID,az,pt
0,Auge::N,göz,olho
1,Ohr::N,qulaq,orelha
2,Nase::N,burun,nariz
3,Mund::N,ağız,boca
4,Zahn::N,diş,dente
5,Zunge::N,dil,língua
6,Lippe::N,dodaq,lábio
7,Wange::N,yanaq,face
8,Gesicht::N,üz,cara
9,Gesicht::N,üz,rosto
10,Stirn::N,alın,testa
11,Haar::N,saç,cabelo
12,Schnurrbart::N,bığ,bigode
13,Bart::N,saqqal,barba
14,Kinn::N,çənə,queixo
15,Kiefer[Anatomie]::N,çənə,maxila
16,Kiefer[Anatomie]::N,çənə,mandíbula
17,Kehle::N,boğaz,garganta
18,Hals::N,boyun,colo
19,Hals::N,boyun,pescoço
20,Genick::N,ənsə,nuca
21,Kopf::N,baş,cabeça
22,Rücken::N,bel,dorso
23,Rücken::N,bel,costas
24,Bauch::N,qarın,ventre
25,Bauch::N,qarın,barriga
26,Nabel::N,göbək,umbigo
27,Busen::N,məmə,seio
28,Brust::N,döş,peito
29,Schulter::N,çiyin,ombro
30,Arm::N,qol,braço
31,Ellenbogen::N,dirsək,cotovelo
32,Hand::N,əl,mão
33,Handfläche::N,ovuc,palma
34,Handfläche::N,ovuc,palma da mão
35,Finger::N,barmaq,dedo
36,Fingernagel::N,barmaq dırnağı,unha
37,Nagel[Anatomie]::N,dırnak,unha
38,Zeh::N,ayaq barmağı,dedo do pé
39,Fuß::N,ayaq,pé
40,Ferse::N,daban,calcanhar
41,Knie::N,diz,joelho
42,Oberschenkel::N,bud,coxa
43,Bein::N,qıç,perna
44,Körper::N,əndam,corpo
45,Haut::N,dəri,pele
46,Blut::N,qan,sangue
47,Ader::N,damar,veia
48,Sehne::N,vətər,tendão
49,Knochen::N,sümük,osso
50,Gehirn::N,beyin,cérebro
51,Herz::N,ürək,coração
52,Magen::N,mədə,estômago
53,Leber::N,qara ciyər,fígado
54,Atem::N,nəfəs,fôlego
55,Hunger::N,aclıq,fome
56,Träne::N,göz yaşı,lágrima
57,Geschmack::N,tam,gosto
58,Geschmack::N,ləzzət,gosto
59,Geruch::N,qoxu,odor
60,Geruch::N,qoxu,cheiro
61,Schlaf::N,yuxu,sono
62,Traum::N,röya,sonho
63,Himmel::N,göy,céu
64,Himmel::N,səma,céu
65,Sonne::N,günəş,sol
66,Mond::N,ay,lua
67,Stern::N,ulduz,estrela
68,Luft::N,hava,ar
69,Wind::N,yel,vento
70,Wind::N,külək,vento
71,Welle::N,dalğa,onda
72,Wasser::N,su,água
73,Stein::N,daş,pedra
74,Boden::N,yer,solo
75,Boden::N,zəmin,solo
76,Erde::N,yer torpaq,terra
77,Staub::N,toz,pó
78,Rauch::N,tüstü,fumo
79,Funke::N,qığılcım,faísca
80,Funke::N,qığılcım,centelha
81,Feuer::N,od,fogo
82,Licht::N,işıq,luz
83,Schatten::N,kölgə,sombra
84,Wetter::N,hava,tempo
85,Nebel::N,duman,nevoeiro
86,Wolke::N,bulud,nuvem
87,Regen::N,yağış,chuva
88,Regen::N,yağmur,chuva
89,Schnee::N,qar,neve
90,Eis::N,buz,gelo
91,Frost::N,ayaz,gelo
92,Frost::N,ayaz,geada
93,Kälte::N,soyuq,frio
94,Hitze::N,coşğunluq,ardor
95,Raureif::N,qırov,geada
96,Regenbogen::N,göy qurşağı,arco-iris
97,Donner::N,göy gurultusu,trovão
98,Strömung::N,axın,corrente
99,Tropfen::N,damcı,gota
100,Schaum::N,köpük,espuma
101,Schmutz::N,çamır,sujidade
102,Schmutz::N,çamır,imundície
103,See::N,göl,lago
104,Sumpf::N,bataqlıq,charco
105,Sumpf::N,bataqlıq,pântano
106,Moor::N,bataqlıq,pântano
107,Wiese::N,çəmən,prado
108,Wald::N,meşə,bosque
109,Wald::N,meşə,floresta
110,Hügel::N,təpə,colina
111,Anhöhe::N,təpə,alto
112,Anhöhe::N,təpə,outeiro
113,Berg::N,dağ,monte
114,Berg::N,dağ,montanha
115,Gipfel::N,zirvə,pico
116,Höhle::N,mağara,caverna
117,Abhang::N,yamac,encosta
118,Quelle::N,bulaq,fonte
119,Bach::N,kiçik çay,regato
120,Bach::N,kiçik çay,ribeiro
121,Fluss::N,çay,rio
122,Ufer::N,kənar,beira
123,Küste::N,sahil,costa
124,Festland::N,materik,terra firme
125,Meer::N,dəniz,mar
126,Bucht::N,körfəz,baía
127,Insel::N,ada,ilha
128,Blume::N,çiçək,flor
129,Gras::N,ot,erva
130,Wurzel::N,kök,raiz
131,Baum::N,ağac,árvore
132,Stamm::N,gövdə,tronco
133,Rinde::N,qabıq,casca
134,Ast::N,şax,ramo
135,Zweig::N,budaq,galho
136,Blatt::N,yarpaq,folha
137,Birke::N,tozağacı,bétula
138,Kiefer[Baum]::N,şam,pinheiro
