,Concept_ID,sq,bn
0,Auge::N,sy,চক্ষু
1,Ohr::N,vesh,কর্ণ
2,Nase::N,hundë,নাক
3,Mund::N,gojë,মুখ
4,Zahn::N,dhëmb,দাঁত
5,Zunge::N,gjuhë,জিহবা
6,Lippe::N,buzë,অধর
7,Wange::N,faqe,গণ্ড
8,Wange::N,mollëz,গণ্ড
9,Gesicht::N,fytyrë,মুখমণ্ডল
10,Stirn::N,ballë,কপাল
11,Haar::N,flokë,চুল
12,Schnurrbart::N,mustaqe,গোঁফ
13,Bart::N,mjekër,শ্মশ্রু
14,Kinn::N,mjekër,চিবুক
15,Kiefer[Anatomie]::N,nofull,চোয়াল
16,Kehle::N,fyt,কণ্ঠ
17,Kehle::N,grykë,কণ্ঠ
18,Hals::N,qafë,গল
19,Genick::N,arrëz,ঘাড়
20,Kopf::N,kokë,মাথা
21,Rücken::N,kurriz,পৃষ্ঠ
22,Bauch::N,bark,উদর
23,Nabel::N,kërthizë,নাভি
24,Busen::N,gji,স্তন
25,Brust::N,gjoks,বুক
26,Brust::N,kraharor,বুক
27,Schulter::N,sup,স্কন্ধ
28,Schulter::N,krah,স্কন্ধ
29,Arm::N,krah,বাহু
30,Ellenbogen::N,bërryl,কনুই
31,Hand::N,dorë,হাত
32,Handfläche::N,pëllëmbë,করতল
33,Finger::N,gisht,আঙ্গুল
34,Fingernagel::N,thua,হাতের নখ
35,Nagel[Anatomie]::N,thua,নখ
36,Zeh::N,gisht i këmbës,আঙ্গুল
37,Fuß::N,këmbë,পা
38,Ferse::N,thembër,গোড়ালি
39,Knie::N,gju,হাঁটু
40,Oberschenkel::N,kofshë,ঊরু
41,Bein::N,këmbë,পা
42,Körper::N,trup,দেহ
43,Haut::N,lëkurë,ত্বক
44,Blut::N,gjak,রক্ত
45,Ader::N,venë,শিরা
46,Sehne::N,dell,কণ্ডরা
47,Knochen::N,asht,অস্থি
48,Knochen::N,kockë,অস্থি
49,Gehirn::N,tru,মস্তিষ্ক
50,Herz::N,zemër,হৃৎপিণ্ড
51,Magen::N,stomak,পাকস্থলী
52,Leber::N,mëlçi,যকৃৎ
53,Atem::N,frymë,শ্বাস
54,Hunger::N,uri,ক্ষুধা
55,Träne::N,lot,অশ্রু
56,Geschmack::N,shije,স্বাদ
57,Geruch::N,erë,গন্ধ
58,Schlaf::N,gjumë,ঘুম
59,Traum::N,ëndërr,স্বপ্ন
60,Himmel::N,qiell,আকাশ
61,Sonne::N,diell,সূর্য
62,Mond::N,hënë,চন্দ্র
63,Stern::N,yll,নক্ষত্র
64,Luft::N,ajër,বায়ু
65,Wind::N,erë,বাতাস
66,Welle::N,valë,ঢেউ
67,Welle::N,valë,তরঙ্গ
68,Welle::N,dallgë,ঢেউ
69,Welle::N,dallgë,তরঙ্গ
70,Wasser::N,ujë,জল
71,Stein::N,gur,ঢিল
72,Stein::N,gur,প্রস্তর
73,Boden::N,tokë,ভূতল
74,Boden::N,truall,ভূতল
75,Erde::N,dhe,ভূমি
76,Erde::N,baltë,ভূমি
77,Staub::N,pluhur,ধুলা
78,Rauch::N,tym,ধোঁয়া
79,Funke::N,xixë,স্ফুলিঙ্গ
80,Funke::N,shkëndijë,স্ফুলিঙ্গ
81,Feuer::N,zjarr,অগ্নি
82,Licht::N,dritë,আলো
83,Schatten::N,hije,ছায়া
84,Wetter::N,mot,আবহাওয়া
85,Nebel::N,mjegull,কুহেলিকা
86,Wolke::N,re,মেঘ
87,Regen::N,shi,বৃষ্টি
88,Schnee::N,borë,তুষার
89,Eis::N,akull,বরফ
90,Frost::N,ngricë,তুষার
91,Kälte::N,të ftohtë,শৈত্য
92,Hitze::N,vapë,তাপ
93,Hitze::N,nxehtësi,তাপ
94,Raureif::N,cikmë,তুহিন
95,Regenbogen::N,ylber,রামধনু
