,Concept_ID,en,hr
0,Auge::N,eye,oko
1,Ohr::N,ear,uho
2,Nase::N,nose,nos
3,Mund::N,mouth,usta
4,Zahn::N,tooth,zub
5,Zunge::N,tongue,jezik
6,Lippe::N,lip,usna
7,Wange::N,cheek,obraz
8,Gesicht::N,face,lice
9,Stirn::N,forehead,čelo
10,Haar::N,hair,kosa
11,Schnurrbart::N,moustache,brkovi
12,Bart::N,beard,brada
13,Kinn::N,chin,brada
14,Kinn::N,chin,podbradak
15,Kiefer[Anatomie]::N,jaw,čeljust
16,Kehle::N,throat,grlo
17,Hals::N,neck,vrat
18,Genick::N,nape,zatiljak
19,Kopf::N,head,glava
20,Rücken::N,back,leđa
21,Rücken::N,back,hrbat
22,Rücken::N,spine,leđa
23,Rücken::N,spine,hrbat
24,Bauch::N,belly,trbuh
25,Nabel::N,navel,pupak
26,Busen::N,bosom,sisa
27,Busen::N,bosom,njedra
28,Brust::N,chest,prsa
29,Brust::N,breast,prsa
30,Schulter::N,shoulder,rame
31,Schulter::N,shoulder,pleći
32,Arm::N,arm,ruka
33,Ellenbogen::N,elbow,lakat
34,Hand::N,hand,ruka
35,Handfläche::N,palm,dlan
36,Finger::N,finger,prst
37,Fingernagel::N,fingernail,nokat
38,Nagel[Anatomie]::N,nail,nokat
39,Zeh::N,toe,nozni prst
40,Fuß::N,foot,noga
41,Fuß::N,foot,stopalo
42,Ferse::N,heel,peta
43,Knie::N,knee,koljeno
44,Oberschenkel::N,thigh,bedro
45,Bein::N,leg,noga
46,Körper::N,body,tijelo
47,Haut::N,skin,put
48,Haut::N,skin,koža
49,Blut::N,blood,krv
50,Ader::N,vein,žila
51,Sehne::N,sinew,tetiva
52,Knochen::N,bone,kost
53,Gehirn::N,brain,
54,Herz::N,heart,srce
55,Magen::N,stomach,stomak
56,Magen::N,stomach,želudac
57,Leber::N,liver,jetra
58,Atem::N,breath,dah
59,Hunger::N,hunger,glad
60,Träne::N,tear,suza
61,Geschmack::N,flavour,ukus
62,Geschmack::N,flavor,ukus
63,Geruch::N,odour,njuh
64,Geruch::N,odour,miris
65,Geruch::N,odor,njuh
66,Geruch::N,odor,miris
67,Schlaf::N,sleep,san
68,Traum::N,dream,san
69,Himmel::N,sky,nebo
70,Sonne::N,sun,sunce
71,Mond::N,moon,mjesec
72,Stern::N,star,zvijezda
73,Luft::N,air,zrak
74,Wind::N,wind,vjetar
75,Welle::N,wave,val
76,Welle::N,wave,talas
77,Wasser::N,water,voda
78,Stein::N,stone,kamen
79,Boden::N,soil,tlo
80,Boden::N,soil,zemlja
81,Boden::N,ground,tlo
82,Boden::N,ground,zemlja
83,Erde::N,earth,zemlja
84,Staub::N,dust,prah
85,Staub::N,dust,prašina
