,Concept_ID,hi,la
0,Auge::N,आँख,oculus
1,Auge::N,चक्षु,oculus
2,Ohr::N,कान,auris
3,Ohr::N,कर्ण,auris
4,Nase::N,नाक,nasus
5,Nase::N,नासा,nasus
6,Mund::N,मुख,os
7,Mund::N,मुँह,os
8,Zahn::N,दंत,dens
9,Zahn::N,दाँत,dens
10,Zunge::N,जीभ,lingua
11,Zunge::N,ज़बान,lingua
12,Zunge::N,जिह्वा,lingua
13,Lippe::N,ओंठ,labrum
14,Lippe::N,होंठ,labrum
15,Wange::N,गाल,gena
16,Wange::N,कपोल,gena
17,Gesicht::N,मुँह,vultus
18,Gesicht::N,चेहरा,vultus
19,Stirn::N,माथा,frons
20,Stirn::N,मस्तक,frons
21,Haar::N,बाल,capillus
22,Schnurrbart::N,मूँछें,barba labri superioris
23,Bart::N,दाढ़ी,barba
24,Kinn::N,चिबुक,mentum
25,Kiefer[Anatomie]::N,जबड़ा,mala
26,Kehle::N,गला,iugulums
27,Hals::N,गला,collum
28,Hals::N,गरदन,collum
29,Genick::N,गरदन,cervices
30,Genick::N,ग्रीवा,cervices
31,Kopf::N,सिर,caput
32,Kopf::N,शीर्ष,caput
33,Rücken::N,पीठ,tergum
34,Bauch::N,उदर,venter
35,Nabel::N,नाभि,umbilicus
36,Nabel::N,ढोंढी,umbilicus
37,Busen::N,कुच,sinus
38,Busen::N,स्तन,sinus
39,Brust::N,वक्ष,pectus
40,Schulter::N,कंधा,umerus
41,Schulter::N,स्कंध,umerus
42,Arm::N,बाँह,bracchium
43,Arm::N,बाज़ू,bracchium
44,Ellenbogen::N,कुहनी,cubitum
45,Hand::N,हाथ,manus
46,Hand::N,हस्त,manus
47,Handfläche::N,हथेली,palma
48,Finger::N,उँगली,digitus
49,Finger::N,अँगुली,digitus
50,Fingernagel::N,नख,unguiculus
51,Fingernagel::N,नाख़ून,unguiculus
52,Nagel[Anatomie]::N,नख,unguis
53,Nagel[Anatomie]::N,नाख़ून,unguis
54,Zeh::N,उँगली,digitus
55,Zeh::N,पाँव की उँगली,digitus
56,Fuß::N,चरण,pes
57,Fuß::N,पाँव,pes
58,Ferse::N,एड़ी,calx
59,Knie::N,जानु,genu
60,Knie::N,घुटना,genu
61,Oberschenkel::N,उरु,femur
62,Bein::N,टाँग,crus
63,Körper::N,तन,corpus
64,Körper::N,देह,corpus
65,Körper::N,शरीर,corpus
66,Haut::N,चर्म,cutis
67,Haut::N,चर्म,pellis
68,Haut::N,त्वचा,cutis
69,Haut::N,त्वचा,pellis
70,Blut::N,लहू,sanguis
71,Blut::N,ख़ून,sanguis
72,Ader::N,रग,vena
73,Ader::N,शिरा,vena
74,Sehne::N,कंडरा,nervus
75,Sehne::N,स्नायु,nervus
76,Knochen::N,अस्थि,os
77,Gehirn::N,दिमाग़,cerebrum
78,Gehirn::N,मस्तिष्क,cerebrum
79,Herz::N,दिल,cor
80,Herz::N,दिल,animus
81,Herz::N,हृदय,cor
82,Herz::N,हृदय,animus
83,Magen::N,मेदा,stomachus
84,Magen::N,अमाशय,stomachus
85,Leber::N,जिगर,iecur
86,Leber::N,यकृत्,iecur
87,Atem::N,दम,spiritus
88,Atem::N,साँस,spiritus
89,Atem::N,श्वास,spiritus
90,Hunger::N,भूख,fames
91,Hunger::N,क्षुधा,fames
92,Träne::N,आँसू,lacrima
93,Träne::N,अश्रु,lacrima
94,Geschmack::N,स्वाद,sapor
95,Geschmack::N,स्वाद,gustus
96,Geschmack::N,ज़ायक़ा,sapor
97,Geschmack::N,ज़ायक़ा,gustus
98,Geruch::N,बू,odor
99,Geruch::N,गंध,odor
100,Schlaf::N,नींद,somnus
101,Schlaf::N,निद्रा,somnus
102,Traum::N,सपना,somnium
103,Traum::N,स्वप्न,somnium
104,Himmel::N,आकाश,caelum
105,Himmel::N,आसमान,caelum
106,Sonne::N,रवि,sol
107,Sonne::N,सूरज,sol
108,Sonne::N,सूर्य,sol
109,Mond::N,चाँद,luna
110,Mond::N,चंद्र,luna
111,Stern::N,तारा,sidus
112,Stern::N,तारा,stella
113,Stern::N,सितारा,sidus
114,Stern::N,सितारा,stella
115,Luft::N,हवा,aer
116,Luft::N,वायु,aer
117,Wind::N,पाद,ventus
118,Welle::N,लहर,unda
119,Welle::N,तरंग,unda
120,Wasser::N,जल,aqua
121,Wasser::N,पानी,aqua
122,Stein::N,पत्थर,lapis
123,Boden::N,मिट्टी,solum
124,Erde::N,भूमि,terra
125,Erde::N,ज़मीन,terra
126,Staub::N,धूल,pulvis
127,Rauch::N,धूआँ,fumus
128,Rauch::N,धुम्र,fumus
129,Funke::N,चिनगारी,scintilla
130,Funke::N,स्फुलिंग,scintilla
131,Feuer::N,आग,ignis
132,Feuer::N,आतिश,ignis
133,Feuer::N,अग्नि,ignis
134,Licht::N,रोशनी,lux
135,Licht::N,रोशनी,lumen
136,Licht::N,प्रकाश,lux
137,Licht::N,प्रकाश,lumen
