,Concept_ID,fa,sk
0,Auge::N,چشم,oko
1,Ohr::N,گوش,ucho
2,Nase::N,بینی,nos
3,Mund::N,دهان,ústa
4,Zahn::N,دندان,zub
5,Zunge::N,زبان,jazyk
6,Lippe::N,لب,pera
7,Wange::N,لپ,líce
8,Gesicht::N,رو,tvár
9,Gesicht::N,رو,obličaj
10,Gesicht::N,چهره,tvár
11,Gesicht::N,چهره,obličaj
12,Stirn::N,پیشانی,čelo
13,Haar::N,مو,vlas
14,Schnurrbart::N,سبیل,fúzy
15,Bart::N,ریش,brada
16,Kinn::N,چانه,brada
17,Kiefer[Anatomie]::N,فک,čeľusť
18,Kiefer[Anatomie]::N,آرواره,čeľusť
19,Kehle::N,حلق,hrdlo
20,Hals::N,گردن,krk
21,Genick::N,پشت گردن,väzy
22,Kopf::N,سر,hlava
23,Kopf::N,کله,hlava
24,Rücken::N,پشت,chrbát
25,Bauch::N,شکم,brucho
26,Nabel::N,ناف,pupok
27,Busen::N,پستان,prsia
28,Brust::N,سینه,hruď
29,Schulter::N,دوش,plece
30,Schulter::N,شانه,plece
31,Arm::N,بازو,rameno
32,Ellenbogen::N,آرنج,lakeť
33,Hand::N,دست,ruka
34,Handfläche::N,کف دست,dlaň
35,Finger::N,انگشت,prst
36,Fingernagel::N,ناخن دست,necht
37,Nagel[Anatomie]::N,ناخن,necht
38,Zeh::N,انگشت پا,prst na nohe
39,Fuß::N,پا,noha
40,Ferse::N,پاشنه,päta
41,Knie::N,زانو,koleno
42,Oberschenkel::N,ران,stehno
43,Bein::N,پا,noha
44,Bein::N,لنگ,noha
45,Körper::N,تن,telo
46,Körper::N,بدن,telo
47,Haut::N,پوست,koža
48,Blut::N,خون,krv
49,Ader::N,رگ,žila
50,Sehne::N,زردپی,šľacha
51,Knochen::N,استخوان,kosť
52,Gehirn::N,مخ,mozog
53,Gehirn::N,مغز,mozog
54,Herz::N,دل,srdce
55,Herz::N,قلب,srdce
56,Magen::N,معده,žalúdok
57,Leber::N,کبد,pečeň
58,Atem::N,نفس,dych
59,Hunger::N,گرسنگی,hlad
60,Träne::N,اشک,slza
61,Geschmack::N,مزه,chuť
62,Geruch::N,بو,pach
63,Schlaf::N,خواب,spánok
64,Traum::N,رؤیا,sen
65,Himmel::N,فلک,nebo
66,Himmel::N,آسمان,nebo
67,Sonne::N,آفتاب,slnko
68,Sonne::N,خورشید,slnko
69,Mond::N,ماه,mesiac
70,Stern::N,ستاره,hviezda
71,Luft::N,هوا,vzduch
72,Wind::N,باد,vietor
73,Welle::N,موج,vlna
74,Wasser::N,آب,voda
75,Stein::N,سنگ,kameň
76,Boden::N,زمین,zem
77,Boden::N,زمین,pôda
78,Erde::N,خاک,zem
79,Erde::N,زمین,zem
80,Staub::N,گرد,prach
81,Staub::N,غبار,prach
82,Rauch::N,دود,dym
83,Funke::N,جرقه,iskra
84,Feuer::N,آتش,oheň
85,Licht::N,نور,svetlo
86,Licht::N,روشنی,svetlo
87,Schatten::N,سایه,tieň
88,Wetter::N,هوا,počasie
89,Nebel::N,مه,hmla
90,Wolke::N,ابر,oblak
91,Wolke::N,ابر,mračno
92,Regen::N,باران,dážď
93,Schnee::N,برف,sneh
94,Eis::N,یخ,ľad
95,Frost::N,یخبندان,mráz
96,Kälte::N,سرما,zima
97,Kälte::N,سرما,chlad
98,Hitze::N,گرما,horúčava
99,Hitze::N,حرارت,horúčava
100,Raureif::N,برف ریزه,srieň
101,Raureif::N,برف ریزه,inovať
102,Regenbogen::N,رنگین‌کمان,dúha
103,Donner::N,رعد,hrom
104,Strömung::N,جریان,prúdenie
105,Tropfen::N,قطره,kvapka
106,Schaum::N,کف,pena
107,Schmutz::N,گل,špina
108,Schmutz::N,گل,nečistota
109,Schmutz::N,کثافت,špina
110,Schmutz::N,کثافت,nečistota
111,See::N,دریاچه,jazero
112,Sumpf::N,مرداب,bahno
113,Sumpf::N,باتلاق,bahno
114,Moor::N,باتلاق,močiar
115,Wiese::N,چمن,lúka
116,Wald::N,جنگل,les
117,Wald::N,جنگل,hora
118,Hügel::N,تل,vŕšok
119,Hügel::N,تپه,vŕšok
120,Anhöhe::N,بلندی,výšina
121,Anhöhe::N,بلندی,vyvýšenina
122,Berg::N,کوه,hora
123,Gipfel::N,قله,vrchol
124,Höhle::N,غار,jaskyňa
125,Abhang::N,سرازیری,úbočie
126,Quelle::N,چشمه,prameň
127,Bach::N,نهر,potok
128,Fluss::N,رود,rieka
129,Ufer::N,ساحل,breh
130,Ufer::N,کرانه,breh
131,Küste::N,ساحل,pobrežie
132,Festland::N,خشکی,pevnina
133,Meer::N,دریا,more
134,Bucht::N,خلیج,záliv
135,Bucht::N,خلیج,zátoka
136,Insel::N,جزیره,ostrov
137,Blume::N,گل,kvet
138,Blume::N,گل,kvetina
139,Gras::N,علف,tráva
140,Wurzel::N,ریشه,koreň
141,Baum::N,درخت,strom
142,Stamm::N,تنه,kmeň
143,Rinde::N,توژ,kôra
144,Rinde::N,پوست,kôra
145,Ast::N,شاخه,konár
146,Zweig::N,شاخه,vetva
147,Blatt::N,برگ,list
148,Birke::N,غان,breza
149,Kiefer[Baum]::N,کاج,sosna
150,Kiefer[Baum]::N,کاج,borovica
151,Weide[Baum]::N,بید,vŕba
152,Tanne::N,صنوبر,jedľa
153,Horn::N,شاخ,roh
154,Feder::N,پر,pero
155,Fell::N,خز,koža
156,Fell::N,خز,kožušina
157,Flügel::N,پر,krídlo
158,Flügel::N,بال,krídlo
159,Klaue::N,چنگ,paznecht
160,Klaue::N,پنجه,paznecht
161,Kralle::N,پنجه,pazúr
162,Schwanz::N,دم,chvost
163,Ei::N,تخم,vajce
164,Ei::N,تخم,vajíčko
165,Nest::N,لانه,hniezdo
166,Bau::N,بنا,nora
167,Bau::N,ساختمان,nora
168,Tier::N,هیوان,zviera
169,Herde::N,رمه,stádo
170,Kuh::N,گاو,krava
171,Bulle::N,گاو نر,býk
172,Pferd::N,اسب,kôň
173,Schaf::N,گوسفند,ovca
174,Schwein::N,خوک,sviňa
175,Hund::N,سگ,pes
176,Katze::N,گربه,mačka
177,Bär::N,خرس,medveď
178,Eichhörnchen::N,سنجاب,veverička
179,Elch::N,گوزن شمالی,los
180,Fuchs::N,روباه,líška
181,Hase::N,خرگوش,zajac
182,Maus::N,موش,myš
183,Wolf::N,گرگ,vlk
184,Vogel::N,پرنده,vták
185,Schwarm::N,دسته,roj
186,Huhn::N,مرغ,kurča
187,Huhn::N,مرغ,sliepka
188,Hahn::N,خروس,kohút
189,Gans::N,غاز,hus
190,Adler::N,عقاب,orol
191,Ente::N,اردک,kačka
192,Ente::N,اردک,kačica
193,Ente::N,مرغابی,kačka
194,Ente::N,مرغابی,kačica
195,Eule::N,جغد,sova
196,Kranich::N,درنا,žeriav
197,Krähe::N,زاغ,vrana
198,Krähe::N,کلاغ,vrana
199,Kuckuck::N,فاخته,kukučka
200,Schwan::N,قو,labuť
201,Fisch::N,ماهی,ryba
202,Barsch::N,ماهی خاردار,ostriež
203,Hecht::N,اردک ماهی,šťuka
204,Schlange[Tier]::N,مار,had
205,Wurm::N,کرم,červ
206,Spinne::N,عنکبوت,pavúk
207,Ameise::N,مورچه,mravec
208,Laus::N,شپش,voš
209,Mücke::N,پشه,komár
210,Fliege::N,مگس,mucha
211,Schmetterling::N,پروانه,motýľ
212,Beere::N,گیله,bobuľa
213,Apfel::N,سیب,jablko
214,Pilz::N,قارچ,hríb
215,Zwiebel::N,پیاز,cibuľa
216,Saat::N,بذر,osivo
217,Korn::N,تخم,zrno
218,Korn::N,دانه,zrno
219,Heu::N,علف خشک,seno
220,Schale::N,پوست,šupa
221,Schale::N,پوست,škrupina
222,Grube::N,گودال,jama
223,Falle::N,دام,pasca
224,Falle::N,دام,klepec
225,Schlinge::N,حلقه,slučka
226,Spur::N,رد,stopa
227,Asche::N,خاکستر,popol
228,Dreck::N,کثافت,kal
229,Dreck::N,کثافت,blato
230,Eisen::N,آهن,železo
231,Gold::N,زر,zlato
232,Gold::N,طلا,zlato
233,Silber::N,نقره,striebro
234,Kohle::N,زغال,uhlie
235,Glas::N,شیشه,sklo
236,Lehm::N,گل,íl
237,Lehm::N,گل,hlina
238,Sand::N,شن,piesok
239,Sand::N,ماسه,piesok
240,Mensch::N,آدم,človek
241,Mensch::N,انسان,človek
242,Mann::N,مرد,muž
243,Mann::N,مرد,chlap
244,Frau::N,زن,žena
245,Kind::N,بچه,dieťa
246,Kind::N,کودک,dieťa
247,Junge::N,پسر,chlapec
248,Mädchen::N,دختر,dievka
249,Familie::N,فامیل,rodina
250,Familie::N,خانواده,rodina
251,Großvater::N,پدربزرگ,dedo
252,Großvater::N,پدربزرگ,starý otec
253,Großmutter::N,مادر‌بزرگ,babička
254,Großmutter::N,مادر‌بزرگ,stará mať
255,Eltern::N,والدین,rodičia
256,Eltern::N,پدر‌و‌مادر,rodičia
257,Vater::N,پدر,otec
258,Mutter::N,مادر,mať
259,Mutter::N,مادر,matka
260,Sohn::N,پسر,syn
261,Tochter::N,دختر,dcéra
262,Bruder::N,برادر,brat
263,Schwester::N,خواهر,sestra
264,Onkel::N,عمو,ujo
265,Onkel::N,عمو,strýko
266,Onkel::N,دایی,ujo
267,Onkel::N,دایی,strýko
268,Tante::N,عمه,teta
269,Tante::N,عمه,tetka
270,Tante::N,خاله,teta
271,Tante::N,خاله,tetka
272,Ehemann::N,همسر,muž
273,Ehemann::N,همسر,manžel
274,Ehefrau::N,همسر,žena
275,Ehefrau::N,همسر,manželka
276,Freude::N,شادی,radosť
277,Gelächter::N,خنده,smiech
278,Gelächter::N,قاه‌قاه,smiech
279,Glück::N,اقبال,šťastie
280,Kummer::N,غم,žiaľ
281,Kummer::N,غم,zármutok
282,Kummer::N,غصه,žiaľ
283,Kummer::N,غصه,zármutok
284,Wunsch::N,آرزو,prianie
285,Lust::N,هوس,chuť
286,Geist::N,روح,duch
287,Gedanke::N,فکر,myšlienka
288,Gedächtnis::N,حافظه,pamäť
289,Verstand::N,هوش,rozum
290,Sinn::N,معنا,zmysel
291,Sinn::N,مفهوم,zmysel
292,Grund::N,سبب,dôvod
293,Grund::N,سبب,príčina
294,Grund::N,دلیل,dôvod
295,Grund::N,دلیل,príčina
296,Wahrheit::N,حقیقت,pravda
297,Gespräch::N,صحبت,reč
298,Gespräch::N,صحبت,rozhovor
299,Gespräch::N,گفتگو,reč
300,Gespräch::N,گفتگو,rozhovor
301,Märchen::N,قصه,rozprávka
302,Märchen::N,افسانه,rozprávka
303,Erzählung::N,داستان,poviedka
304,Nachricht::N,خبر,správa
305,Neuigkeit::N,خبر تازه,novinka
306,Name::N,اسم,meno
307,Rätsel::N,معما,záhada
308,Rätsel::N,معما,hádanka
309,Rede::N,سخن,reč
310,Sprache::N,زبان,reč
311,Sprache::N,زبان,jazyk
312,Stimme::N,صدا,hlas
313,Wort::N,کلمه,slovo
314,Zeichen::N,نشان,znak
315,Zeichen::N,علامت,znak
316,Ruf::N,صدا,volanie
317,Ruf::N,صدا,zavolanie
318,Lärm::N,هیاهو,hluk
