,Concept_ID,az,xal
0,Auge::N,göz,нүдн
1,Ohr::N,qulaq,чикн
2,Nase::N,burun,хамр
3,Mund::N,ağız,амн
4,Zahn::N,diş,шүдн
5,Zunge::N,dil,келн
6,Lippe::N,dodaq,урл
7,Wange::N,yanaq,халх
8,Gesicht::N,üz,нүр
9,Stirn::N,alın,маңна
10,Haar::N,saç,үсн
11,Schnurrbart::N,bığ,сахл
12,Bart::N,saqqal,сахл
13,Bart::N,saqqal,өргнә сахл
14,Kinn::N,çənə,өргн
15,Kiefer[Anatomie]::N,çənə,өргн
16,Kehle::N,boğaz,хол
17,Hals::N,boyun,күзүн
18,Genick::N,ənsə,гиҗг
19,Kopf::N,baş,толһа
20,Rücken::N,bel,нурһн
21,Bauch::N,qarın,гесн
22,Nabel::N,göbək,киисн
23,Busen::N,məmə,көкн
24,Brust::N,döş,чееҗ
25,Schulter::N,çiyin,ээм
26,Arm::N,qol,һар
27,Ellenbogen::N,dirsək,тоха
28,Hand::N,əl,баһлцг
29,Handfläche::N,ovuc,альхн
30,Finger::N,barmaq,хурһн
31,Finger::N,barmaq,һарин хурһн
32,Fingernagel::N,barmaq dırnağı,хумсн
33,Nagel[Anatomie]::N,dırnak,хумсн
34,Zeh::N,ayaq barmağı,хурһн
35,Zeh::N,ayaq barmağı,көлин хурһн
36,Fuß::N,ayaq,тавг
37,Ferse::N,daban,өскә
38,Knie::N,diz,өвдг
39,Oberschenkel::N,bud,һуй
40,Bein::N,qıç,көл
41,Körper::N,əndam,махмуд
42,Haut::N,dəri,арсн
43,Blut::N,qan,цусн
44,Ader::N,damar,судцн
45,Sehne::N,vətər,шүрүсн
46,Knochen::N,sümük,ясн
47,Gehirn::N,beyin,экн
48,Herz::N,ürək,зүркн
49,Magen::N,mədə,гесн
50,Leber::N,qara ciyər,элкн
51,Atem::N,nəfəs,әмсхл
52,Hunger::N,aclıq,харһнлһн
53,Träne::N,göz yaşı,нульмсн
54,Geschmack::N,tam,амтн
55,Geschmack::N,ləzzət,амтн
56,Geruch::N,qoxu,үнр
57,Schlaf::N,yuxu,нөр
58,Traum::N,röya,зүүдн
59,Himmel::N,göy,теңгр
60,Himmel::N,səma,теңгр
61,Sonne::N,günəş,нарн
62,Mond::N,ay,сар
63,Stern::N,ulduz,одн
64,Luft::N,hava,аһар
65,Wind::N,yel,салькн
66,Wind::N,külək,салькн
67,Welle::N,dalğa,дольган
68,Wasser::N,su,усн
69,Stein::N,daş,чолун
70,Boden::N,yer,Һазр
71,Boden::N,zəmin,Һазр
72,Erde::N,yer torpaq,Һазр
73,Staub::N,toz,тоосн
74,Rauch::N,tüstü,утан
75,Funke::N,qığılcım,очн
76,Feuer::N,od,һал
77,Licht::N,işıq,герл
78,Schatten::N,kölgə,сүүдр
79,Wetter::N,hava,теңгр
80,Nebel::N,duman,будн
81,Wolke::N,bulud,үүлн
82,Regen::N,yağış,хур
83,Regen::N,yağmur,хур
84,Schnee::N,qar,цасн
85,Eis::N,buz,мөсн
86,Frost::N,ayaz,киитн
87,Kälte::N,soyuq,киитн
88,Hitze::N,coşğunluq,халун
89,Raureif::N,qırov,цаң
90,Raureif::N,qırov,кирү
91,Regenbogen::N,göy qurşağı,солңһ
92,Donner::N,göy gurultusu,оһтрһун дун
93,Strömung::N,axın,урсхл
94,Tropfen::N,damcı,дусал
95,Schaum::N,köpük,көөсн
96,Schmutz::N,çamır,кир
97,See::N,göl,нур
98,Sumpf::N,bataqlıq,унул
99,Moor::N,bataqlıq,улм
100,Wiese::N,çəmən,хадлһн
101,Wald::N,meşə,ө-модн
102,Hügel::N,təpə,толһа
103,Anhöhe::N,təpə,хамр
104,Berg::N,dağ,уул
105,Gipfel::N,zirvə,ора
106,Höhle::N,mağara,хадин көндә
107,Abhang::N,yamac,ташу
108,Quelle::N,bulaq,булг
109,Bach::N,kiçik çay,һооҗур
110,Fluss::N,çay,һол
111,Ufer::N,kənar,көвә
112,Küste::N,sahil,көвә
113,Küste::N,sahil,теңгсин көвә
114,Festland::N,materik,хүүрә һазр
115,Meer::N,dəniz,теңгс
116,Bucht::N,körfəz,цекә
117,Bucht::N,körfəz,теңгсин цекә
118,Insel::N,ada,арл
119,Blume::N,çiçək,цецг
120,Gras::N,ot,ноһан
121,Wurzel::N,kök,уңг
122,Baum::N,ağac,модн
123,Stamm::N,gövdə,шилв
124,Stamm::N,gövdə,һол модн
125,Rinde::N,qabıq,көрсн
126,Ast::N,şax,ац
127,Zweig::N,budaq,ац
128,Blatt::N,yarpaq,хамтхасн
129,Birke::N,tozağacı,хусм модн
130,Kiefer[Baum]::N,şam,шар харһа
131,Weide[Baum]::N,söyüd,удн
132,Tanne::N,küknar,җөөлн цаһан модн
133,Horn::N,buynuz,өвр
134,Feder::N,tük,өрвлг
135,Feder::N,lələk,өрвлг
136,Fell::N,xəz,арсн
137,Flügel::N,qanad,җивр
138,Klaue::N,pəncə,хумсн
139,Kralle::N,dırnaq,тавг
140,Schwanz::N,quyruq,сүл
141,Ei::N,yumurta,өндгн
142,Nest::N,yuva,үр
143,Bau::N,yuva,нүкн
144,Tier::N,heyvan,мал
145,Herde::N,sürü,сүрг мал
146,Kuh::N,inək,үкр
147,Bulle::N,öküz,бух
148,Pferd::N,at,мөрн
149,Schaf::N,qoyun,хөн
150,Schwein::N,donuz,һаха
151,Hund::N,it,ноха
152,Hund::N,köpək,ноха
153,Katze::N,pişik,мис
154,Bär::N,ayı,аю
155,Eichhörnchen::N,dələ,кермн
156,Elch::N,sığın,хандһа
157,Fuchs::N,tülkü,арат
158,Hase::N,dovşan,туула
159,Maus::N,siçan,хулһн
160,Wolf::N,qurd,чон
161,Vogel::N,quş,шовун
162,Schwarm::N,sürü,зел
163,Huhn::N,toyuq,така
164,Hahn::N,xoruz,эр така
165,Gans::N,qaz,һалун
166,Adler::N,qartal,һәрд
167,Adler::N,qaraquş,һәрд
168,Ente::N,ördək,нуһсн
169,Eule::N,bayquş,һурвлһ
170,Kranich::N,durna,тоһрун
171,Krähe::N,qarğa,шаазһа
172,Kuckuck::N,ququ,эргин хуцдг
173,Schwan::N,qu quşu,хун
174,Fisch::N,balıq,заһсн
175,Barsch::N,tar,шүрг
176,Hecht::N,durnabalığı,цурх
177,Schlange[Tier]::N,ilan,моһа
178,Wurm::N,qurd,өтн
179,Spinne::N,hörümçək,аралҗн
180,Ameise::N,qarışqa,шорһлҗн
181,Laus::N,bit,бөөсн
182,Mücke::N,ağcaqanad,бөкүн
183,Fliege::N,milçək,батхн
184,Schmetterling::N,kəpənək,эрвәкә
185,Beere::N,gilə,бөөлҗрһн
186,Apfel::N,alma,альмн
187,Pilz::N,göbələk,теңгрин ки
188,Zwiebel::N,soğan,мәңгрснә толһа
189,Saat::N,əkin,буудян экн
190,Korn::N,taxıl,экн
191,Heu::N,quru ot,өвсн
192,Schale::N,qabıq,хальсн
193,Grube::N,çuxur,нүкн
194,Falle::N,tələ,урх
195,Falle::N,tələ,хавх
196,Falle::N,duzaq,урх
197,Falle::N,duzaq,хавх
198,Schlinge::N,ilmək,бүтү
199,Spur::N,iz,мөр
200,Asche::N,kül,үмсн
201,Dreck::N,kir,бальчг
202,Eisen::N,dəmir,төмр
203,Gold::N,altun,алтн
204,Silber::N,gümüş,мөңгн
205,Silber::N,gümüş,цаһан мөңгн
206,Kohle::N,kömür,нүүрсн
207,Glas::N,şüşə,шил
208,Lehm::N,gil,шавр
209,Lehm::N,palçıq,шавр
210,Sand::N,qum,элсн
211,Mensch::N,adam,күн
212,Mensch::N,adam,күмн
213,Mensch::N,insan,күн
214,Mensch::N,insan,күмн
215,Mann::N,kişi,эр
216,Frau::N,qadın,күүкд күн
217,Kind::N,uşaq,үрн
218,Junge::N,oğlan,көвүн
219,Mädchen::N,qız,бичкн күүкн
220,Familie::N,ailə,бүл
221,Großvater::N,baba,өвк эцк
222,Großvater::N,baba,наһц эцк
223,Großmutter::N,nənə,эмг эк
224,Großmutter::N,nənə,наһц эк
225,Eltern::N,valideyn,эк эцк хойр
226,Vater::N,ata,эцк
227,Mutter::N,ana,эк
228,Sohn::N,oğul,көвүн
229,Tochter::N,qız,күүкн
230,Bruder::N,qardaş,дү көвүн
231,Schwester::N,bacı,эгч
232,Schwester::N,bacı,дү күүкн
233,Onkel::N,əmi,авһ
234,Onkel::N,əmi,наһцх
235,Onkel::N,dayı,авһ
236,Onkel::N,dayı,наһцх
237,Tante::N,bibi,наһц эгч
238,Ehemann::N,ər,залу
239,Ehefrau::N,arvad,гергн
240,Freude::N,nəşə,байр
241,Freude::N,sevinc,байр
242,Gelächter::N,gülüş,инәдн
243,Gelächter::N,qəhqəhə,инәдн
244,Glück::N,səadət,җирһл
245,Glück::N,səadət,сәәхн җирһл
246,Glück::N,xoşbəxtlik,җирһл
247,Glück::N,xoşbəxtlik,сәәхн җирһл
248,Kummer::N,qəm,зовлң
249,Kummer::N,kədər,зовлң
250,Wunsch::N,arzu,дурн
251,Lust::N,həvəs,җилвтлһн
252,Geist::N,ruh,зөрг
253,Gedanke::N,fikir,ухан
254,Gedanke::N,düşüncə,ухан
255,Gedächtnis::N,xatir,чееҗин тодлвр
256,Gedächtnis::N,hafizə,чееҗин тодлвр
257,Verstand::N,ağıl,ухан
258,Sinn::N,məna,учр-утх
259,Grund::N,səbəb,учр
260,Grund::N,səbəb,шалтан
261,Wahrheit::N,haqq,үнн
262,Wahrheit::N,doğruluq,үнн
263,Gespräch::N,söhbət,күүндвүр
264,Gespräch::N,qonuşma,күүндвүр
265,Märchen::N,nağıl,тууль
266,Erzählung::N,hekayə,келвр
267,Nachricht::N,xəbər,медүллһн
268,Neuigkeit::N,xəbər,зәңг
269,Neuigkeit::N,yenilik,зәңг
270,Name::N,ad,нерн
271,Rätsel::N,tapmaca,тәәлвртә тууль
272,Rede::N,nitq,келлһн
273,Sprache::N,dil,келн
274,Stimme::N,səs,дун
275,Wort::N,söz,үг
276,Wort::N,kəlmə,үг
277,Zeichen::N,nişan,темдг
278,Ruf::N,çığırtı,дуудлһн
279,Lärm::N,gurultu,шууган
280,Laut::N,səs,ә
281,Ton::N,ton,дун
282,Lied::N,mahnı,дун
283,Ruhe::N,sakitlik,амулң
284,Leute::N,xalq,әмтн
285,Volk::N,millət,улс
286,Arbeit::N,iş,көдлмш
287,Arbeit::N,əmək,көдлмш
288,Gast::N,qonaq,гиич
289,Gast::N,müsafir,гиич
290,Geschenk::N,hədiyyə,белг
291,Spiel::N,oyun,наадн
292,Spiel::N,tamaşa,наадн
293,Gesellschaft::N,cəmiyyet,олн
294,Hilfe::N,kömək,нөкд
295,Hilfe::N,yardım,нөкд
296,Freund::N,dost,иньг
297,Kamerad::N,yoldaş,үр
298,Angelegenheit::N,iş,керг
299,Anzahl::N,say,то
300,Art::N,çeşid,зүүл
301,Stück::N,dənə,хусг
302,Stück::N,parça,хусг
303,Teil::N,qisim,хүв
304,Hälfte::N,yarım,өрәл
305,Kreis::N,dairə,төгрг
306,Kreuz::N,xaç,кирс
307,Linie::N,xətt,зурасн
308,Strich::N,cızıq,татасн
309,Abstand::N,məsafə,зә
310,Entfernung::N,məsafə,һазр
311,Entfernung::N,uzaqlıq,һазр
312,Gegend::N,bölgə,һазр
313,Platz::N,yer,зә
314,Ort::N,yer,бәәрн
315,Seite::N,yan,тал
316,Seite::N,yan,хаҗу
317,Seite::N,yan,хәврһ
318,Seite::N,tərəf,тал
319,Seite::N,tərəf,хаҗу
320,Seite::N,tərəf,хәврһ
321,Mitte::N,orta,дунд
322,Gegenstand::N,şey,юмн
323,Sache::N,şey,юмн
324,Rand::N,kənar,зах
325,Kante::N,tiyə,ирмәг
326,Kante::N,kənar,ирмәг
327,Ecke::N,bucaq,өнцг
328,Spitze::N,uc,үзүр
329,Ende::N,son,үзүр
330,Ende::N,axır,үзүр
331,Loch::N,deşik,хаһрха
332,Winkel::N,guşə,булң
333,Muster::N,ülgü,намч
334,Größe::N,böyüklük,кемҗән
335,Länge::N,uzunluq,ут
336,Höhe::N,yüksəklik,өндр
337,Gewicht::N,çəki,күнд
338,Gewicht::N,çəki,чиңнүр
339,Gewicht::N,ağırlıq,күнд
340,Gewicht::N,ağırlıq,чиңнүр
341,Menge::N,miqdar,ик
342,Haufen::N,yığın,ова
343,Reihe::N,səf,зерг
344,Reihe::N,səf,зерглән
345,Reihe::N,sıra,зерг
346,Reihe::N,sıra,зерглән
347,Boot::N,qayıq,оңһц
348,Ruder::N,kürək,хәәв
349,Schlitten::N,kirşə,цан
350,Ski::N,xizək,лыҗ
