,Concept_ID,sah,ce
0,Auge::N,харах,бӏаьрг
1,Ohr::N,кулгаах,лерг
2,Nase::N,мурун,мара
3,Mund::N,айах,бага
4,Zahn::N,тиис,церг
5,Zunge::N,тыл,мотт
6,Lippe::N,уос,балда
7,Wange::N,иэдэс,бесни
8,Gesicht::N,сирэй,юьхь
9,Stirn::N,сүүс,хьаж
10,Haar::N,баттах,мас
11,Schnurrbart::N,уос бытыга,мекх
12,Bart::N,сэҥийэ бытыга,маж
13,Kinn::N,сэҥийэ,чӏениг
14,Kiefer[Anatomie]::N,сыҥаах,мочхал
15,Kehle::N,тамах,къамкъарг
16,Kehle::N,күөмэй,къамкъарг
17,Hals::N,моой,ворта
18,Genick::N,кэтэх,кӏесаркӏаг
19,Kopf::N,бас,корта
20,Rücken::N,көҕүс,букъ
21,Bauch::N,ис,кийра
22,Nabel::N,киин,цӏонга
23,Busen::N,эмиий,зударийн накха
24,Brust::N,түөс,накха
25,Schulter::N,сарын,белш
26,Arm::N,илии,пхьарс
27,Ellenbogen::N,тоҕонох,пхьаьрсан гола
28,Hand::N,илии,куьг
29,Handfläche::N,ытыс,кераюкъ
30,Finger::N,тарбах,пӏелг
31,Fingernagel::N,тыҥырах,мӏара
32,Nagel[Anatomie]::N,тыҥырах,мӏара
33,Zeh::N,тарбах,кога пӏелг
34,Fuß::N,уллуҥах,ког
35,Ferse::N,тилэх,кӏажа
36,Knie::N,тобук,гола
37,Knie::N,дьилбэк,гола
38,Oberschenkel::N,уллук,варе
39,Oberschenkel::N,өттүк,варе
40,Bein::N,атах,ког
41,Körper::N,бэйэ,хӏума
42,Haut::N,тирии,чкъор
43,Blut::N,хаан,цӏий
44,Ader::N,вена,пха
45,Ader::N,күөх_тымыр,пха
46,Sehne::N,иҥиир,хьорзам
47,Knochen::N,уҥуох,даьӏахк
48,Knochen::N,уҥгуох,даьӏахк
49,Gehirn::N,мэйии,хье
50,Herz::N,сүрэх,дог
51,Magen::N,куртах,зорх
52,Leber::N,быар,доӏах
53,Atem::N,тыын,садеӏар
54,Hunger::N,аас,мацалла
55,Träne::N,харах уута,бӏаьрхи
56,Geschmack::N,амтан,чам
57,Geruch::N,сыт,хьожа
58,Schlaf::N,утуйуу,наб
59,Traum::N,түүл,гӏан
60,Himmel::N,халлаан,стигал
61,Sonne::N,күн,малх
62,Mond::N,ый,бутт
63,Stern::N,сулус,седа
64,Luft::N,салгын,xӏаваъ
65,Wind::N,тыал,мох
66,Welle::N,долгун,тулгӏе
67,Welle::N,балхаан,тулгӏе
68,Wasser::N,уу,хи
69,Stein::N,таас,тӏулг
70,Boden::N,сир,цӏенкъа
71,Erde::N,буор,латта
72,Staub::N,быыл,чан
73,Rauch::N,буруо,кӏур
74,Funke::N,кыым,суй
75,Feuer::N,уот,цӏе
76,Licht::N,уот,серло
77,Schatten::N,күлүк,ӏиндагӏ
78,Wetter::N,күн-дьыл,хенан хӏоттам
79,Nebel::N,туман,дохк
80,Wolke::N,былыт,марха
