,Concept_ID,lv,ce
0,Auge::N,син,бӏаьрг
1,Auge::N,acs,бӏаьрг
2,Ohr::N,пель,лерг
3,Ohr::N,auss,лерг
4,Nase::N,ныр,мара
5,Nase::N,deguns,мара
6,Mund::N,вом,бага
7,Mund::N,mute,бага
8,Zahn::N,пинь,церг
9,Zahn::N,zobs,церг
10,Zunge::N,кыв,мотт
11,Zunge::N,mēle,мотт
12,Lippe::N,вом дор,балда
13,Lippe::N,lūpa,балда
14,Wange::N,бан,бесни
15,Wange::N,vaigs,бесни
16,Gesicht::N,чужӧм,юьхь
17,Gesicht::N,seja,юьхь
18,Gesicht::N,ģīmis,юьхь
19,Stirn::N,плеш,хьаж
20,Stirn::N,кымӧс,хьаж
21,Stirn::N,piere,хьаж
22,Haar::N,си,мас
23,Haar::N,юрси,мас
24,Haar::N,mats,мас
25,Schnurrbart::N,ус,мекх
26,Schnurrbart::N,пыртсим,мекх
27,Schnurrbart::N,ūsas,мекх
28,Bart::N,тош,маж
29,Bart::N,bārda,маж
30,Kinn::N,тшӧка,чӏениг
31,Kinn::N,zods,чӏениг
32,Kinn::N,smakrs,чӏениг
33,Kiefer[Anatomie]::N,черлы,мочхал
34,Kiefer[Anatomie]::N,алака лы,мочхал
35,Kiefer[Anatomie]::N,вомкӧтш лы,мочхал
36,Kiefer[Anatomie]::N,žoklis,мочхал
37,Kehle::N,голя,къамкъарг
38,Kehle::N,rīkle,къамкъарг
39,Hals::N,сьылі,ворта
40,Hals::N,kakls,ворта
41,Genick::N,юрбӧр,кӏесаркӏаг
42,Genick::N,балябӧж,кӏесаркӏаг
43,Genick::N,sprands,кӏесаркӏаг
44,Kopf::N,юр,корта
45,Kopf::N,galva,корта
46,Rücken::N,мыш,букъ
47,Rücken::N,mugura,букъ
48,Bauch::N,рушку,кийра
49,Bauch::N,vēders,кийра
50,Nabel::N,гӧг,цӏонга
51,Nabel::N,naba,цӏонга
52,Busen::N,морӧс,зударийн накха
53,Busen::N,krūts,зударийн накха
54,Brust::N,морӧс,накха
55,Brust::N,krūts,накха
56,Schulter::N,пельпом,белш
57,Schulter::N,plecs,белш
58,Arm::N,ки,пхьарс
59,Arm::N,roka,пхьарс
60,Arm::N,delms,пхьарс
61,Ellenbogen::N,гырддза,пхьаьрсан гола
62,Ellenbogen::N,elkonis,пхьаьрсан гола
63,Hand::N,ки,куьг
64,Hand::N,roka,куьг
65,Hand::N,plauksta,куьг
66,Handfläche::N,ки пыдӧс,кераюкъ
67,Handfläche::N,delna,кераюкъ
68,Handfläche::N,plauksta,кераюкъ
69,Finger::N,чунь,пӏелг
70,Finger::N,pirksts,пӏелг
71,Fingernagel::N,гыж,мӏара
72,Fingernagel::N,nags,мӏара
73,Nagel[Anatomie]::N,гыж,мӏара
74,Nagel[Anatomie]::N,nags,мӏара
75,Zeh::N,кок чунь,кога пӏелг
76,Zeh::N,pirksts,кога пӏелг
77,Fuß::N,кок,ког
78,Fuß::N,kāja,ког
79,Ferse::N,кокбӧр,кӏажа
80,Ferse::N,papēdis,кӏажа
81,Knie::N,пидзӧс,гола
82,Knie::N,celis,гола
83,Oberschenkel::N,лядьвей,варе
84,Oberschenkel::N,бек,варе
85,Oberschenkel::N,ciska,варе
86,Oberschenkel::N,augšstilbs,варе
87,Bein::N,кок,ког
88,Bein::N,kāja,ког
89,Körper::N,туша,хӏума
90,Körper::N,вывтыр,хӏума
91,Körper::N,miesa,хӏума
92,Körper::N,ķermenis,хӏума
93,Haut::N,ку,чкъор
94,Haut::N,āda,чкъор
95,Blut::N,вир,цӏий
96,Blut::N,asins,цӏий
97,Ader::N,сӧн,пха
98,Ader::N,asinsvads,пха
99,Sehne::N,вез,хьорзам
100,Sehne::N,dzīsla,хьорзам
101,Knochen::N,лы,даьӏахк
102,Knochen::N,kauls,даьӏахк
103,Gehirn::N,вем,хье
104,Gehirn::N,smadzenes,хье
105,Herz::N,сьӧлӧм,дог
106,Herz::N,sirds,дог
107,Magen::N,кынӧм,зорх
108,Magen::N,kuņģis,зорх
109,Leber::N,мус,доӏах
110,Leber::N,aknas,доӏах
111,Atem::N,лов,садеӏар
112,Atem::N,elpa,садеӏар
113,Hunger::N,тшыг,мацалла
114,Hunger::N,bads,мацалла
115,Hunger::N,izsalkums,мацалла
116,Träne::N,синва,бӏаьрхи
117,Träne::N,asara,бӏаьрхи
118,Geschmack::N,кӧр,чам
119,Geschmack::N,чӧсмӧс,чам
120,Geschmack::N,garša,чам
121,Geruch::N,зын,хьожа
122,Geruch::N,дук,хьожа
123,Geruch::N,smaka,хьожа
124,Schlaf::N,узьӧм,наб
125,Schlaf::N,miegs,наб
126,Traum::N,вӧт,гӏан
127,Traum::N,вӧтасьӧм,гӏан
128,Traum::N,sapnis,гӏан
129,Himmel::N,енэж,стигал
130,Himmel::N,debess,стигал
131,Sonne::N,шонді,малх
132,Sonne::N,saule,малх
133,Mond::N,тӧлысь,бутт
134,Mond::N,mēness,бутт
135,Stern::N,кодзув,седа
136,Stern::N,zvaigzne,седа
137,Luft::N,сынӧд,xӏаваъ
138,Luft::N,gaiss,xӏаваъ
139,Wind::N,тӧв,мох
140,Wind::N,vējš,мох
141,Welle::N,гы,тулгӏе
142,Welle::N,vilnis,тулгӏе
143,Wasser::N,ва,хи
144,Wasser::N,ūdens,хи
