,Concept_ID,ab,ja
0,Auge::N,ала,目
1,Ohr::N,алымҳа,耳
2,Nase::N,аҧынҵа,鼻
3,Mund::N,аҧышə,口
4,Zahn::N,ахаҧыц,歯
5,Zunge::N,абз,舌
6,Lippe::N,ақьышə,唇
7,Wange::N,аӡамҩа,頬
8,Gesicht::N,аҿы,顔
9,Stirn::N,алахь,額
10,Haar::N,ахəыц,髪
11,Schnurrbart::N,аҧаҵа,口髭
12,Bart::N,ажакьа,髭
13,Kinn::N,ацламкəыгə,顎
14,Kiefer[Anatomie]::N,ацламҳəа,顎
15,Kehle::N,ахəда,喉
16,Hals::N,ахəда,首
17,Genick::N,ахəдаџьал,首
18,Kopf::N,ахы,頭
19,Rücken::N,азқəа,背中
20,Bauch::N,амгəа,腹
21,Bauch::N,амгəа,お腹
22,Nabel::N,аҷапан,へそ
23,Busen::N,агəыҧҳəы,乳房
24,Brust::N,агəышҧы,胸
25,Schulter::N,ажəҩахыр,肩
26,Arm::N,амахəар,腕
27,Ellenbogen::N,амашьхəылҵ,肘
28,Hand::N,анапы,手
29,Handfläche::N,анапсаргəыҵа,手のひら
30,Finger::N,анацəа,指
31,Fingernagel::N,анапхыц,爪
32,Nagel[Anatomie]::N,ашьапхыц,爪
33,Zeh::N,ашьацəа,足の指
34,Fuß::N,ашьапсыргəыҵа,足
35,Ferse::N,ашьхəа,かかと
36,Knie::N,ашьамхы,膝
37,Oberschenkel::N,ауаҭəа,上腿
38,Bein::N,ашьапы,足
39,Körper::N,ацəеижь,体
40,Haut::N,ацəа,皮膚
41,Blut::N,ашьа,血
42,Ader::N,ада,血管
43,Sehne::N,адаш,腱
44,Knochen::N,абаҩ,骨
45,Gehirn::N,ахшлыбаҩ,脳
46,Gehirn::N,ахшыбаҩ,脳
47,Herz::N,агəы,心
48,Herz::N,агəы,心臓
49,Magen::N,аца,胃
50,Magen::N,ацар,胃
51,Leber::N,агəаҵəа,肝臓
52,Atem::N,аҧсыҧлагаҩгара,息
53,Atem::N,аҧсыҧлагаҩгара,呼吸
54,Hunger::N,амла,空腹
55,Träne::N,алабжыш,涙
56,Geschmack::N,агьама,味
57,Geruch::N,афҩы,匂い
58,Schlaf::N,ацəа,睡眠
