,Concept_ID,lv,ca
232,Sumpf::N,гыбад,pantà
233,Sumpf::N,кад,pantà
234,Sumpf::N,dumbrājs,pantà
235,Sumpf::N,staignājs,pantà
236,Moor::N,нюр,pantà
237,Moor::N,purvs,pantà
238,Moor::N,muklājs,pantà
239,Wiese::N,видз,prat
240,Wiese::N,видз,prada
241,Wiese::N,pļava,prat
242,Wiese::N,pļava,prada
243,Wald::N,вӧр,bosc
244,Wald::N,mežs,bosc
245,Hügel::N,дзиб,puig
246,Hügel::N,дзиб,pujol
247,Hügel::N,мыльк,puig
248,Hügel::N,мыльк,pujol
249,Hügel::N,нӧрыс,puig
250,Hügel::N,нӧрыс,pujol
251,Hügel::N,paugurs,puig
252,Hügel::N,paugurs,pujol
253,Anhöhe::N,мыльк,turó
254,Anhöhe::N,нӧрыс,turó
255,Anhöhe::N,paugurs,turó
256,Berg::N,чой,muntanya
257,Berg::N,керӧс,muntanya
258,Berg::N,kalns,muntanya
259,Gipfel::N,чук,cim
260,Gipfel::N,virsotne,cim
261,Höhle::N,рудӧг,cova
262,Höhle::N,ala,cova
263,Abhang::N,ньывк,coster
264,Abhang::N,бокша,coster
265,Abhang::N,nogāze,coster
266,Quelle::N,ӧшмӧс,font
267,Quelle::N,avots,font
268,Bach::N,шор,riera
269,Bach::N,urga,riera
270,Bach::N,strauts,riera
271,Fluss::N,ю,riu
272,Fluss::N,upe,riu
273,Ufer::N,вадор,riba
274,Ufer::N,krasts,riba
275,Küste::N,вадор,costa
276,Küste::N,piekraste,costa
277,Festland::N,му,terra ferma
278,Festland::N,sauszeme,terra ferma
279,Meer::N,саридз,mar
280,Meer::N,jūra,mar
281,Bucht::N,куръя,cala
282,Bucht::N,куръя,badia
283,Bucht::N,līcis,cala
284,Bucht::N,līcis,badia
285,Insel::N,ді,illa
286,Insel::N,sala,illa
287,Blume::N,дзоридз,flor
288,Blume::N,puķe,flor
289,Blume::N,zieds,flor
290,Gras::N,турун,herba
291,Gras::N,zāle,herba
292,Wurzel::N,вуж,rel
293,Wurzel::N,вуж,arrel
294,Wurzel::N,sakne,rel
295,Wurzel::N,sakne,arrel
296,Baum::N,пу,arbre
297,Baum::N,koks,arbre
298,Stamm::N,пучер,tronc
299,Stamm::N,stumbrs,tronc
300,Rinde::N,кырсь,escorça
301,Rinde::N,miza,escorça
302,Ast::N,ув,branca
303,Ast::N,zars,branca
304,Zweig::N,вож,ram
305,Zweig::N,nozare,ram
306,Blatt::N,кор,fulla
307,Blatt::N,lapa,fulla
308,Birke::N,кыдз,bedoll
309,Birke::N,bērzs,bedoll
310,Kiefer[Baum]::N,пожӧм,pi
311,Kiefer[Baum]::N,priede,pi
312,Weide[Baum]::N,бадь,salze
313,Weide[Baum]::N,kārkls,salze
314,Tanne::N,коз,avet
315,Tanne::N,egle,avet
316,Horn::N,сюр,corn
317,Horn::N,сюр,banya
318,Horn::N,rags,corn
319,Horn::N,rags,banya
320,Feder::N,гӧн,ploma
321,Feder::N,тывборд,ploma
322,Feder::N,spalva,ploma
323,Fell::N,ку,pell
324,Fell::N,āda,pell
325,Flügel::N,борд,ala
