,Concept_ID,ps,ady
0,Auge::N,سترګه,нэ
1,Ohr::N,غوږ,тхьакӏу́м
2,Nase::N,پوزه,пэ
3,Mund::N,خوله,жэ
4,Zahn::N,غاښ,цэ
5,Zunge::N,جبه,бзэгу
6,Lippe::N,شونډه,ӏупшӏэ́
7,Wange::N,باړخو,нэкӏу́шъу
8,Gesicht::N,مخ,нэ́гу
9,Stirn::N,تندی,натӏэ́
10,Stirn::N,وچولی,натӏэ́
11,Haar::N,وېښته,шъхьацы́
12,Schnurrbart::N,برېت,
13,Bart::N,ږیره,жакӏэ́
14,Kinn::N,زنه,жэкӏэпэпкъ
15,Kiefer[Anatomie]::N,جامه,жэпкъы́
16,Kehle::N,غاړه,чый
17,Hals::N,غاړه,пшъэ
18,Genick::N,ورمېږ,шъхьэпхэтыку
19,Kopf::N,سر,шъхьэ́
20,Rücken::N,شا,кӏыбы́
21,Bauch::N,نس,ныбэ́
22,Bauch::N,ګېډه,ныбэ́
23,Nabel::N,نوم,
24,Busen::N,تی,бгъэ́
25,Brust::N,سینه,бгъэ́
26,Schulter::N,اوږه,блыпкъ
27,Arm::N,لاس,ӏэ
28,Ellenbogen::N,څنګل,ӏэнтэ́гъу
29,Hand::N,لاس,ӏэтхьэцу
30,Handfläche::N,ورغوی,ӏэ́гу
31,Finger::N,ګوته,ӏэхъуа́мб
32,Fingernagel::N,نوک,ӏэбжъа́н
33,Nagel[Anatomie]::N,نوک,ӏэбжъа́н
34,Zeh::N,ګوته,ӏэхъуа́мб
35,Fuß::N,پښه,лъэгу
36,Ferse::N,پونده,лъэдакъэ
37,Knie::N,زنګون,лъагуа́ндж
38,Oberschenkel::N,پتون,ко
39,Bein::N,پښه,лъакъо́
40,Körper::N,ځان,пкъышъол
41,Haut::N,پوټکی,кӏы́шъу
42,Blut::N,وینه,лъы
43,Ader::N,رګ,льытф
44,Sehne::N,پله,фэ
45,Knochen::N,هډوکی,къупшъхьэ́
46,Gehirn::N,ماغزه,куцӏы
47,Herz::N,زړه,гу
48,Magen::N,معده,мышкӏу
49,Leber::N,ينه,шӏу
50,Leber::N,ځیګر,шӏу
51,Atem::N,نفس,къэщэныр
52,Hunger::N,ولږه,гъаблэ́
53,Träne::N,اوښکه,нэпсы
54,Geschmack::N,مزه,ӏэшӏугъа́кӏ
55,Geschmack::N,خوند,ӏэшӏугъа́кӏ
56,Geruch::N,بوی,мэ
57,Schlaf::N,خوب,пчыхьы́пӏ
58,Traum::N,خوب,пчыхьы́пӏ
59,Himmel::N,اسمان,уашъо́
60,Sonne::N,لمر,тыгъэ
61,Mond::N,سپوږمۍ,мазэ
62,Stern::N,ستوری,жъуагъо́
63,Luft::N,هوا,жьы
64,Wind::N,ورښ,жьыбгъэ́
65,Welle::N,موج,ор
66,Welle::N,موج,оры
67,Wasser::N,اوبه,псы
68,Stein::N,ډبره,мыжъо́
69,Boden::N,مځکه,чӏ́ыгу
70,Erde::N,خاوره,чӏ́ыгу
71,Staub::N,ګرد,сап
72,Staub::N,خاوره,сап
73,Rauch::N,دود,ӏугъо́
74,Rauch::N,لوګی,ӏугъо́
75,Funke::N,سپرغۍ,мэшӏуа́ч
76,Feuer::N,اور,машӏо́
77,Licht::N,رڼا,нэфы
78,Licht::N,رڼا,нэфын
79,Schatten::N,سیوری,жьау́
80,Schatten::N,سیوری,ныбжьыкъу
81,Wetter::N,هوا,
82,Nebel::N,لړه,пща́гъу
83,Wolke::N,ورېځ,ошъуапщэ
84,Regen::N,وریا,ощхы
85,Regen::N,باران,ощхы
86,Schnee::N,واوره,осы́
87,Eis::N,یخ,мылы
88,Eis::N,کنګل,мылы
89,Frost::N,یخ,
90,Kälte::N,ساړه,чъыӏэ́
91,Hitze::N,تودوخي,фэба́е
92,Raureif::N,سپینه پرخه,
93,Regenbogen::N,بوډۍ ټال, лэгъупэкъо́пс
94,Regenbogen::N,سره زرغونه, лэгъупэкъо́пс
95,Donner::N,تالنده,шыблэ́
96,Strömung::N,بهېدنه,ток
97,Tropfen::N,قطره,ткӏопс
98,Tropfen::N,قطره,гъуаткӏу
99,Tropfen::N,څاڅکی,ткӏопс
100,Tropfen::N,څاڅکی,гъуаткӏу
101,Schaum::N,ځګ,тхъурбэ
102,Schmutz::N,ناپاکي,псынжъы
103,See::N,جهیل,хыку́м
104,See::N,جهیل,псыхъура́й
105,Sumpf::N,جبه,орыжъ
106,Moor::N,جبه,орыжъ
107,Wiese::N,چمن,хъупӏэ́
108,Wiese::N,چمن,мэкъупӏ
109,Wiese::N,شنېلی,хъупӏэ́
110,Wiese::N,شنېلی,мэкъупӏ
111,Wald::N,ځنګل,мэзы́
112,Hügel::N,تپه,ӏуашъхь
113,Anhöhe::N,غونډۍ,чӏыӏэтыгъ
114,Berg::N,غ‍‍‍‍‍ر,къушъхьэ́
115,Gipfel::N,څوکه,шыгу
116,Höhle::N,کاز,гъочӏэгъ
117,Abhang::N,لمن,чапэ
118,Quelle::N,چینه,псынэчэ́чъ
119,Bach::N,واله,псышкуашку
120,Fluss::N,سیند,псыхъо́
121,Ufer::N,غاړه,нэпкъы
122,Küste::N,ساحل,ӏушъо
123,Festland::N,وچه,чӏл́ыгу
124,Meer::N,بحر,хы
125,Meer::N,سمندر,хы
126,Bucht::N,کارۍ,хыблыгу
127,Insel::N,ټاپو,хыгъэхъу́н
128,Insel::N,جزيره,хыгъэхъу́н
129,Blume::N,ګل,къэгъа́гь
130,Gras::N,واښه,уцы́
131,Wurzel::N,ریښه,лъапсэ́
132,Baum::N,ونه,чъыгы́
133,Stamm::N,ډډ,пкъы
134,Rinde::N,پوستکی,пхъашъо́
135,Ast::N,ښاخ,куамэ
136,Zweig::N,څانګه,къутамэ́
137,Blatt::N,پاڼه,тхьап
138,Birke::N,توس,пчэн
139,Kiefer[Baum]::N,نښتر,сэснэй
140,Weide[Baum]::N,وله,пце́л
141,Tanne::N,ناجو,ель
142,Horn::N,ښکر,бжъэ
143,Feder::N,بڼکه,къамӏы́й
