,Concept_ID,te,kn
0,Auge::N,కన్ను,ಕಣ್ಣು
1,Ohr::N,చెవి,ಕಿವಿ
2,Nase::N,ముక్కు,ಮೂಗು
3,Mund::N,నోరు,ಬಾಯಿ
4,Zahn::N,పల్లు,ಹಲ್ಲು
5,Zunge::N,నాలుక,ನಾಲಿಗೆ
6,Lippe::N,పెదవి,ತುಟಿ
7,Wange::N,చెంప,ಗಲ್ಲ
8,Gesicht::N,ముఖము,ಮುಖ
9,Stirn::N,నుదురు,ಹಣೆ
10,Haar::N,వెండ్రుక,ಕೂದಲು
11,Schnurrbart::N,మీసము,ಮೀಸೆ
12,Bart::N,గడ్డము,ಗಡ್ಡ
13,Kinn::N,గడ్డము,ಗದ್ದ
14,Kiefer[Anatomie]::N,దౌడ,ದವಡೆ
15,Kehle::N,గొంతు,ಗಂಟಲು
16,Hals::N,మెడ,ಕೊರಳು
17,Genick::N,మూపు,ಹಿಂಗತ್ತು
18,Kopf::N,తల,ತಲೆ
19,Rücken::N,వెన్ను,ಬೆನ್ನು
20,Bauch::N,కడుపు,ಹೊಟ್ಟೆ
21,Nabel::N,బొడ్డు,ಹೊಕ್ಕುಳು
22,Busen::N,స్తనము,ಸ್ತನ
23,Brust::N,ఱొమ్ము,ಎದೆ
24,Schulter::N,భుజము,ಭುಜ
25,Arm::N,చేయి,ತೋಳು
26,Ellenbogen::N,మోచేయి,ಮೊಣಕೈ
27,Hand::N,చేయి,ಕೈ
28,Handfläche::N,అరచేయు,ಅಂಗೈ
29,Finger::N,చేతిప్రేలు,ಕೈಬೆರಳು
30,Fingernagel::N,గోరు,ಉಗುರು
31,Nagel[Anatomie]::N,గోరు,ಉಗುರು
32,Zeh::N,కాలిప్రేలు,ಕಾಲ್ಬೆರಳು
33,Fuß::N,అడుగు,ಪಾದ
34,Ferse::N,మడమ,ಹಿಮ್ಮಡಿ
35,Knie::N,మోకాలు,ಮಂಡಿ
36,Oberschenkel::N,తొడ,ತೊಡೆ
37,Bein::N,కాలు,ಕಾಲು
38,Körper::N,కాయము,ದೇಹ
39,Haut::N,చర్మము,ಚರ್ಮ
40,Blut::N,రక్తము,ರಕ್ತ
41,Ader::N,సిర,ನರ
42,Sehne::N,స్నాయువు,ನರ
43,Knochen::N,ఎముక,ಮೂಳೆ
44,Gehirn::N,మెదడు,ಮಿದುಳು
