,Concept_ID,ml,pt
0,Auge::N,കണ്ണ്,olho
1,Ohr::N,ചെവി,orelha
2,Nase::N,മൂക്ക്,nariz
3,Mund::N,വായ,boca
4,Zahn::N,പല്ല്,dente
5,Zunge::N,നാക്ക്,língua
6,Lippe::N,ചുണ്ട്,lábio
7,Wange::N,കവിൾത്തടം,face
8,Gesicht::N,മുഖം,cara
9,Gesicht::N,മുഖം,rosto
10,Stirn::N,നെറ്റി,testa
11,Haar::N,തലമുടി,cabelo
12,Schnurrbart::N,മീശ,bigode
13,Bart::N,താടിരോമം,barba
14,Kinn::N,താടി,queixo
15,Kiefer[Anatomie]::N,താടിയെല്ല്,maxila
16,Kiefer[Anatomie]::N,താടിയെല്ല്,mandíbula
17,Kehle::N,കണ്ഠനാളം,garganta
18,Hals::N,കഴുത്ത്,colo
19,Hals::N,കഴുത്ത്,pescoço
20,Genick::N,പിടലി,nuca
21,Kopf::N,തല,cabeça
22,Rücken::N,മുതുക്,dorso
23,Rücken::N,മുതുക്,costas
24,Bauch::N,നയറ്,ventre
25,Bauch::N,നയറ്,barriga
26,Nabel::N,നാഭി,umbigo
27,Busen::N,സ്തനം,seio
28,Brust::N,സ്തനം,peito
29,Schulter::N,തോൾ,ombro
30,Arm::N,കൈ,braço
31,Ellenbogen::N,കൈമുട്ട്,cotovelo
32,Hand::N,കൈ,mão
33,Handfläche::N,ഉള്ളം കൈ,palma
34,Handfläche::N,ഉള്ളം കൈ,palma da mão
35,Finger::N,വിരൽ,dedo
36,Fingernagel::N,നഖം,unha
37,Nagel[Anatomie]::N,നഖം,unha
38,Zeh::N,കാൽവിരൽ,dedo do pé
39,Fuß::N,കാൽപ്പാദം,pé
40,Ferse::N,ഉപ്പൂറ്റി,calcanhar
41,Knie::N,കാൽമുട്ട്,joelho
42,Oberschenkel::N,തുട,coxa
43,Bein::N,കാൽ,perna
44,Körper::N,ശരീരം,corpo
45,Haut::N,ചർമ്മം,pele
46,Blut::N,രക്തം,sangue
47,Ader::N,ഞരമ്പ്,veia
48,Sehne::N,സ്നായു,tendão
49,Knochen::N,അസ്ഥി,osso
50,Gehirn::N,തലച്ചോറ്,cérebro
51,Herz::N,ഹൃദയം,coração
52,Magen::N,വയർ,estômago
53,Leber::N,കരൾ,fígado
54,Atem::N,ശ്വാസം,fôlego
55,Hunger::N,വിശപ്പ്,fome
56,Träne::N,കണ്ണീർ,lágrima
57,Geschmack::N,രുചി,gosto
58,Geruch::N,ഗന്ധം,odor
59,Geruch::N,ഗന്ധം,cheiro
60,Schlaf::N,ഉറകും,sono
61,Traum::N,സ്വപ്നം,sonho
62,Himmel::N,ആകാശം,céu
63,Sonne::N,സൂര്യൻ,sol
64,Mond::N,ചന്ദ്രൻ,lua
65,Stern::N,നക്ഷത്രം,estrela
66,Luft::N,കാറ്റ്,ar
67,Wind::N,കാറ്റ്,vento
68,Welle::N,തിരമാല,onda
69,Wasser::N,വെള്ളം,água
70,Stein::N,ശില,pedra
71,Stein::N,കല്ല്,pedra
72,Boden::N,തറ,solo
73,Boden::N,നിലം,solo
74,Erde::N,മണ്ണ്,terra
75,Staub::N,പൊടി,pó
76,Rauch::N,പുക,fumo
77,Funke::N,തീപ്പൊരി,faísca
78,Funke::N,തീപ്പൊരി,centelha
79,Feuer::N,തീ,fogo
80,Licht::N,വിളക്ക്,luz
81,Licht::N,സൂര്യപ്രകാശം,luz
