,Concept_ID,,es
0,Auge::N,,ojo
1,Ohr::N,,oreja
2,Nase::N,,nariz
3,Mund::N,,boca
4,Zahn::N,,diente
5,Zunge::N,,lengua
6,Lippe::N,,labio
7,Wange::N,,mejilla
8,Gesicht::N,,cara
9,Stirn::N,,frente
10,Haar::N,,cabello
11,Schnurrbart::N,,bigote
12,Bart::N,,barba
13,Kinn::N,,barbilla
14,Kiefer[Anatomie]::N,,mandíbula
15,Kehle::N,,garganta
16,Hals::N,,cuello
17,Genick::N,,nuca
18,Genick::N,,cerviz
19,Kopf::N,,cabeza
20,Rücken::N,,espalda
21,Bauch::N,,vientre
22,Nabel::N,,ombligo
23,Busen::N,,pecho
24,Brust::N,,pecho
25,Schulter::N,,hombro
26,Arm::N,,brazo
27,Ellenbogen::N,,codo
28,Hand::N,,mano
29,Handfläche::N,,palma
30,Finger::N,,dedo
31,Fingernagel::N,,uña
32,Nagel[Anatomie]::N,,uña
33,Zeh::N,,dedo del pie
34,Fuß::N,,pie
35,Ferse::N,,talón
36,Knie::N,,rodilla
37,Oberschenkel::N,,muslo
38,Bein::N,,pierna
39,Körper::N,,cuerpo
40,Haut::N,,piel
41,Blut::N,,sangre
42,Ader::N,,vena
43,Sehne::N,,tendón
44,Knochen::N,,hueso
45,Gehirn::N,,cerebro
46,Gehirn::N,,encéfalo
47,Herz::N,,corazón
48,Magen::N,,estómago
49,Leber::N,,hígado
50,Atem::N,,aliento
51,Hunger::N,,hambre
52,Träne::N,,lágrima
53,Geschmack::N,,gusto
54,Geruch::N,,olor
55,Schlaf::N,,sueño
56,Traum::N,,sueño
57,Traum::N,,ensueño
58,Himmel::N,,cielo
59,Sonne::N,,sol
60,Mond::N,,luna
61,Stern::N,,estrella
62,Luft::N,,aire
63,Wind::N,,viento
64,Welle::N,,ola
65,Welle::N,,onda
66,Wasser::N,,agua
67,Stein::N,,piedra
68,Boden::N,,suelo
69,Erde::N,,tierra
70,Staub::N,,polvo
71,Rauch::N,,humo
72,Funke::N,,chispa
73,Feuer::N,,fuego
74,Licht::N,,luz
75,Schatten::N,,sombra
76,Wetter::N,,tiempo
77,Nebel::N,,niebla
78,Wolke::N,,nube
79,Regen::N,,lluvia
80,Schnee::N,,nieve
81,Eis::N,,hielo
82,Frost::N,,helada
83,Kälte::N,,frío
