,Concept_ID,sq,fi
0,Auge::N,sy,silmä
1,Ohr::N,vesh,korva
2,Nase::N,hundë,nenä
3,Mund::N,gojë,suu
4,Zahn::N,dhëmb,hammas
5,Zunge::N,gjuhë,kieli
6,Lippe::N,buzë,huuli
7,Wange::N,faqe,poski
8,Wange::N,mollëz,poski
9,Gesicht::N,fytyrë,naama
10,Gesicht::N,fytyrë,kasvot
11,Stirn::N,ballë,otsa
12,Haar::N,flokë,hius
13,Haar::N,flokë,tukka
14,Schnurrbart::N,mustaqe,viikset
15,Bart::N,mjekër,parta
16,Kinn::N,mjekër,leuka
17,Kiefer[Anatomie]::N,nofull,leukaluu
18,Kehle::N,fyt,kurkku
19,Kehle::N,grykë,kurkku
20,Hals::N,qafë,kaula
21,Genick::N,arrëz,niska
22,Kopf::N,kokë,pää
23,Rücken::N,kurriz,selkä
24,Bauch::N,bark,maha
25,Bauch::N,bark,vatsa
26,Nabel::N,kërthizë,napa
27,Busen::N,gji,rinta
28,Brust::N,gjoks,rinta
29,Brust::N,kraharor,rinta
30,Schulter::N,sup,olka
31,Schulter::N,sup,hartia
32,Schulter::N,sup,olkapää
33,Schulter::N,krah,olka
34,Schulter::N,krah,hartia
35,Schulter::N,krah,olkapää
36,Arm::N,krah,käsivarsi
37,Ellenbogen::N,bërryl,kyynärpää
38,Hand::N,dorë,käsi
39,Handfläche::N,pëllëmbë,kämmen
40,Finger::N,gisht,sormi
41,Fingernagel::N,thua,kynsi
42,Nagel[Anatomie]::N,thua,kynsi
43,Zeh::N,gisht i këmbës,varvas
44,Fuß::N,këmbë,jalka
45,Ferse::N,thembër,kantapää
46,Knie::N,gju,polvi
47,Oberschenkel::N,kofshë,reisi
48,Bein::N,këmbë,jalka
49,Körper::N,trup,keho
50,Körper::N,trup,ruumis
51,Haut::N,lëkurë,iho
52,Blut::N,gjak,veri
53,Ader::N,venë,suoni
54,Sehne::N,dell,jänne
55,Knochen::N,asht,luu
56,Knochen::N,kockë,luu
57,Gehirn::N,tru,aivot
58,Herz::N,zemër,sydän
59,Magen::N,stomak,maha
60,Magen::N,stomak,vatsa
61,Leber::N,mëlçi,maksa
62,Atem::N,frymë,henki
63,Atem::N,frymë,hengitys
64,Hunger::N,uri,nälkä
65,Träne::N,lot,kyynel
66,Geschmack::N,shije,maku
67,Geruch::N,erë,haju
68,Schlaf::N,gjumë,uni
69,Traum::N,ëndërr,uni
70,Himmel::N,qiell,taivas
71,Sonne::N,diell,aurinko
72,Mond::N,hënë,kuu
73,Stern::N,yll,tähti
74,Luft::N,ajër,ilma
75,Wind::N,erë,tuuli
76,Welle::N,valë,aalto
77,Welle::N,dallgë,aalto
78,Wasser::N,ujë,vesi
79,Stein::N,gur,kivi
80,Boden::N,tokë,maa
81,Boden::N,tokë,maaperä
82,Boden::N,truall,maa
83,Boden::N,truall,maaperä
84,Erde::N,dhe,maa
85,Erde::N,baltë,maa
86,Staub::N,pluhur,pöly
87,Rauch::N,tym,savu
88,Funke::N,xixë,kipinä
89,Funke::N,shkëndijë,kipinä
90,Feuer::N,zjarr,tuli
91,Licht::N,dritë,valo
92,Schatten::N,hije,varjo
93,Wetter::N,mot,sää
94,Nebel::N,mjegull,sumu
95,Wolke::N,re,pilvi
96,Regen::N,shi,sade
97,Schnee::N,borë,lumi
98,Eis::N,akull,jää
99,Frost::N,ngricë,halla
100,Frost::N,ngricë,pakkanen
101,Kälte::N,të ftohtë,vilu
102,Kälte::N,të ftohtë,kylmyys
103,Hitze::N,vapë,helle
104,Hitze::N,vapë,kuumuus
105,Hitze::N,nxehtësi,helle
106,Hitze::N,nxehtësi,kuumuus
107,Raureif::N,cikmë,huurre
108,Regenbogen::N,ylber,sateenkaari
109,Donner::N,gjëmim,jyrinä
110,Donner::N,bubullimë,jyrinä
111,Strömung::N,rrymë,virtaus
112,Tropfen::N,pikë,tippa
113,Tropfen::N,pikë,pisara
114,Schaum::N,shkumë,vaahto
115,Schmutz::N,baltë,loka
116,See::N,liqen,järvi
117,Sumpf::N,batak,suo
118,Moor::N,kënetë,räme
119,Wiese::N,livadh,niitty
120,Wald::N,pyll,metsä
121,Hügel::N,kodër,mäki
122,Hügel::N,kodër,kumpu
123,Hügel::N,kodër,kukkula
124,Anhöhe::N,bregore,mäki
125,Anhöhe::N,bregore,kumpare
126,Berg::N,mal,mäki
127,Berg::N,mal,vuori
128,Gipfel::N,kulm,laki
129,Gipfel::N,kulm,huippu
130,Höhle::N,shpellë,luola
131,Höhle::N,zgafelle,luola
132,Abhang::N,shpat,rinne
133,Abhang::N,tatëpjetë,rinne
134,Quelle::N,krua,lähde
135,Quelle::N,burim,lähde
136,Bach::N,virua,puro
137,Fluss::N,lumë,joki
138,Ufer::N,breg,ranta
139,Küste::N,anëdet,rannikko
140,Küste::N,bregdet,rannikko
141,Festland::N,kontinent,manner
142,Meer::N,det,meri
143,Bucht::N,gji deti,lahti
144,Insel::N,ishull,saari
145,Insel::N,ujdhesë,saari
146,Blume::N,lule,kukka
147,Gras::N,bar,ruoho
148,Wurzel::N,rrënjë,juuri
149,Baum::N,pemë,puu
150,Stamm::N,trung,runko
151,Rinde::N,lëvore,kuori
