,Concept_ID,lez,kk
0,Auge::N,вил,көз
1,Ohr::N,яб,құлақ
2,Nase::N,нер,мұрын
3,Mund::N,сив,ауыз
4,Zahn::N,сас,тіс
5,Zahn::N,свах,тіс
6,Zunge::N,мез,тіл
7,Lippe::N,пӏуз,ерін
8,Wange::N,хъвехъ,ұрт
9,Gesicht::N,ччин,бет-аузы
10,Stirn::N,пел,маңдай
11,Haar::N,чӏар,қыл
12,Schnurrbart::N,спел,мұрт
13,Schnurrbart::N,спелар,мұрт
14,Bart::N,ччуру,сақал
15,Kinn::N,чене,иек
16,Kiefer[Anatomie]::N,чене,жақ
17,Kehle::N,туьд,алқым
18,Hals::N,гардан,мойын
19,Genick::N,кьам,желке
20,Kopf::N,кьил,кәллә
21,Rücken::N,далу,арқа
22,Bauch::N,руфун,қарын
23,Nabel::N,пицӏ,кіндік
24,Busen::N,мам,омырау
25,Brust::N,хур,кеуде
26,Schulter::N,къуьн,иық
27,Arm::N,гъил,қол
28,Ellenbogen::N,кьуьнт,шынтақ
29,Hand::N,капаш,қол
30,Handfläche::N,капан юкь,алақан
31,Finger::N,тӏуб,саусақ
32,Fingernagel::N,кек,тырнақ
33,Nagel[Anatomie]::N,кек,тырнақ
34,Zeh::N,кул,тырнақ
35,Zeh::N,кул,тұяқ
36,Fuß::N,кӏвач,аяқ-басы
37,Ferse::N,дабан,өкше
38,Ferse::N,дабан,өкшелік
39,Knie::N,мет,тізе
40,Bein::N,кӏвач,аяқ
41,Körper::N,беден,дене
42,Haut::N,хам,тері
43,Blut::N,иви,қан
44,Ader::N,дамар,көктамыр
45,Ader::N,дамар,күретамыр
46,Sehne::N,кьуру дамар,сіңір
47,Knochen::N,кӏараб,жілік
48,Gehirn::N,мефт,ми
49,Herz::N,рикӏ,жүрек
50,Magen::N,хук,асқазан
51,Leber::N,лекь,бауыр
52,Atem::N,ял,леп
53,Atem::N,нефес,леп
54,Hunger::N,каш,ашаршылық
55,Träne::N,вилин нагъв,жас
56,Geschmack::N,дад,дәм
57,Geschmack::N,дад,татым
58,Geschmack::N,дад,талғам
59,Geschmack::N,тӏям,дәм
