,Concept_ID,eu,fa
0,Auge::N,begi,چشم
1,Ohr::N,belarri,گوش
2,Nase::N,sudur,بینی
3,Mund::N,aho,دهان
4,Zahn::N,hortz,دندان
5,Zunge::N,mihi,زبان
6,Lippe::N,ezpain,لب
7,Wange::N,masail,لپ
8,Gesicht::N,aurpegi,رو
9,Gesicht::N,aurpegi,چهره
10,Stirn::N,bekoki,پیشانی
11,Haar::N,ile,مو
12,Haar::N,bilo,مو
13,Schnurrbart::N,bibote,سبیل
14,Schnurrbart::N,sudurpeko,سبیل
15,Bart::N,bizar,ریش
16,Kinn::N,kokots,چانه
17,Kiefer[Anatomie]::N,masailezur,فک
18,Kiefer[Anatomie]::N,masailezur,آرواره
19,Kehle::N,eztarri,حلق
20,Hals::N,sama,گردن
21,Genick::N,garondo,پشت گردن
22,Kopf::N,buru,سر
23,Kopf::N,buru,کله
24,Rücken::N,bizkar,پشت
25,Bauch::N,sabel,شکم
26,Nabel::N,zilbor,ناف
27,Busen::N,titi,پستان
28,Busen::N,ugatz,پستان
29,Brust::N,bular,سینه
30,Schulter::N,besaburu,دوش
31,Schulter::N,besaburu,شانه
32,Arm::N,beso,بازو
33,Ellenbogen::N,ukondo,آرنج
34,Hand::N,esku,دست
35,Handfläche::N,ahur,کف دست
36,Finger::N,hatz,انگشت
37,Fingernagel::N,azazkal,ناخن دست
38,Nagel[Anatomie]::N,azazkal,ناخن
39,Zeh::N,behatz,انگشت پا
40,Fuß::N,oin,پا
41,Ferse::N,orpo,پاشنه
42,Ferse::N,oinburu,پاشنه
43,Knie::N,belaun,زانو
44,Oberschenkel::N,izter,ران
45,Bein::N,zango,پا
46,Bein::N,zango,لنگ
47,Körper::N,soin,تن
48,Körper::N,soin,بدن
49,Haut::N,azal,پوست
50,Blut::N,odol,خون
51,Ader::N,zain,رگ
52,Sehne::N,gihar-zain,زردپی
53,Knochen::N,hezur,استخوان
54,Gehirn::N,garun,مخ
55,Gehirn::N,garun,مغز
56,Gehirn::N,burmuin,مخ
57,Gehirn::N,burmuin,مغز
58,Herz::N,bihotz,دل
59,Herz::N,bihotz,قلب
60,Magen::N,urdail,معده
61,Leber::N,gibel,کبد
62,Atem::N,hats,نفس
63,Atem::N,arnasa,نفس
64,Hunger::N,gose,گرسنگی
65,Träne::N,malko,اشک
66,Geschmack::N,dasta,مزه
67,Geruch::N,usain,بو
68,Schlaf::N,lo,خواب
69,Traum::N,amets,رؤیا
70,Himmel::N,zeru,فلک
71,Himmel::N,zeru,آسمان
72,Sonne::N,eguzki,آفتاب
73,Sonne::N,eguzki,خورشید
74,Mond::N,ilargi,ماه
75,Stern::N,izar,ستاره
76,Luft::N,aire,هوا
77,Wind::N,haize,باد
78,Welle::N,uhin,موج
79,Welle::N,olatu,موج
80,Wasser::N,ur,آب
81,Stein::N,harri,سنگ
82,Boden::N,lur,زمین
83,Boden::N,zoru,زمین
84,Erde::N,lur,خاک
85,Erde::N,lur,زمین
86,Staub::N,hauts,گرد
87,Staub::N,hauts,غبار
88,Rauch::N,ke,دود
89,Funke::N,zirta,جرقه
90,Funke::N,txinparta,جرقه
91,Feuer::N,su,آتش
92,Licht::N,argi,نور
93,Licht::N,argi,روشنی
94,Schatten::N,itzal,سایه
95,Schatten::N,geriza,سایه
96,Wetter::N,eguraldi,هوا
97,Nebel::N,laino,مه
98,Wolke::N,hodei,ابر
99,Regen::N,euri,باران
100,Schnee::N,elur,برف
101,Eis::N,horma,یخ
102,Frost::N,izotzaldi,یخبندان
103,Kälte::N,hotz,سرما
104,Hitze::N,bero,گرما
105,Hitze::N,bero,حرارت
106,Raureif::N,antzigar,برف ریزه
107,Regenbogen::N,ostadar,رنگین‌کمان
108,Regenbogen::N,ortzadar,رنگین‌کمان
109,Donner::N,ostots,رعد
110,Donner::N,ihurtzuri,رعد
111,Strömung::N,laster,جریان
112,Tropfen::N,xorta,قطره
113,Schaum::N,bits,کف
114,Schmutz::N,lohi,گل
115,Schmutz::N,lohi,کثافت
116,Schmutz::N,zikin,گل
117,Schmutz::N,zikin,کثافت
118,See::N,laku,دریاچه
119,See::N,aintzira,دریاچه
120,Sumpf::N,zingira,مرداب
121,Sumpf::N,zingira,باتلاق
122,Moor::N,zohikaztegi,باتلاق
123,Wiese::N,larre,چمن
124,Wiese::N,belardi,چمن
125,Wald::N,baso,جنگل
126,Wald::N,oihan,جنگل
127,Hügel::N,muino,تل
128,Hügel::N,muino,تپه
129,Hügel::N,pentoka,تل
130,Hügel::N,pentoka,تپه
131,Anhöhe::N,garai,بلندی
132,Anhöhe::N,goragune,بلندی
133,Berg::N,mendi,کوه
134,Gipfel::N,gain,قله
135,Gipfel::N,tontor,قله
136,Höhle::N,kobazulo,غار
137,Abhang::N,aldapa,سرازیری
138,Quelle::N,iturri,چشمه
139,Quelle::N,iturbegi,چشمه
140,Bach::N,lats,نهر
141,Bach::N,erreka,نهر
142,Fluss::N,ibai,رود
143,Fluss::N,uhaitz,رود
144,Ufer::N,bazter,ساحل
145,Ufer::N,bazter,کرانه
146,Küste::N,itsasalde,ساحل
147,Festland::N,lehor,خشکی
148,Meer::N,itsaso,دریا
149,Bucht::N,golko,خلیج
150,Insel::N,irla,جزیره
151,Insel::N,uharte,جزیره
152,Blume::N,lili,گل
153,Gras::N,belar,علف
154,Wurzel::N,zuztar,ریشه
155,Wurzel::N,sustrai,ریشه
156,Baum::N,zuhaitz,درخت
157,Stamm::N,enbor,تنه
158,Rinde::N,azal,توژ
159,Rinde::N,azal,پوست
160,Ast::N,adar,شاخه
161,Zweig::N,abar,شاخه
162,Blatt::N,hosto,برگ
163,Birke::N,urki,غان
164,Kiefer[Baum]::N,ler,کاج
165,Weide[Baum]::N,zume,بید
166,Weide[Baum]::N,sahats,بید
167,Tanne::N,izei,صنوبر
168,Horn::N,adar,شاخ
169,Feder::N,luma,پر
170,Feder::N,hegaki,پر
171,Fell::N,ile,خز
172,Fell::N,larru,خز
173,Flügel::N,hego,پر
174,Flügel::N,hego,بال
175,Klaue::N,atzapar,چنگ
176,Klaue::N,atzapar,پنجه
177,Kralle::N,erpe,پنجه
178,Kralle::N,atzapar,پنجه
179,Schwanz::N,isats,دم
180,Schwanz::N,buztan,دم
181,Ei::N,arrautza,تخم
182,Nest::N,habia,لانه
183,Bau::N,ohantze,بنا
184,Bau::N,ohantze,ساختمان
185,Tier::N,abere,هیوان
186,Tier::N,piztia,هیوان
187,Herde::N,saldo,رمه
188,Herde::N,abere talde,رمه
189,Kuh::N,behi,گاو
190,Bulle::N,zezen,گاو نر
191,Pferd::N,zaldi,اسب
192,Schaf::N,ardi,گوسفند
193,Schwein::N,urde,خوک
194,Schwein::N,txerri,خوک
195,Hund::N,txakur,سگ
196,Katze::N,katu,گربه
197,Bär::N,hartz,خرس
198,Eichhörnchen::N,urtxintxa,سنجاب
199,Elch::N,altze,گوزن شمالی
200,Fuchs::N,azeri,روباه
201,Hase::N,erbi,خرگوش
202,Maus::N,sagu,موش
