,Concept_ID,az,mhr
0,Auge::N,göz,шинча́
1,Ohr::N,qulaq,пы́лыш
2,Nase::N,burun,нер
3,Mund::N,ağız,умша́
4,Zahn::N,diş,пӱй
5,Zunge::N,dil,йы́лме
6,Lippe::N,dodaq,тӱ́рвӧ
7,Wange::N,yanaq,шӱ́ргӧ
8,Gesicht::N,üz,чури́й
9,Stirn::N,alın,саҥга́
10,Haar::N,saç,ӱп
11,Schnurrbart::N,bığ,ӧ́рыш
12,Bart::N,saqqal,понда́ш
13,Kinn::N,çənə,оҥыла́ш
14,Kiefer[Anatomie]::N,çənə,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,çənə,пӱйората́
16,Kehle::N,boğaz,лога́р
17,Hals::N,boyun,шӱй
18,Genick::N,ənsə,шӱйло́дыш
19,Kopf::N,baş,вуй
20,Rücken::N,bel,туп
21,Bauch::N,qarın,мӱ́шкыр
22,Nabel::N,göbək,кы́лымде
23,Busen::N,məmə,чы́зе
24,Brust::N,döş,оҥ
25,Schulter::N,çiyin,ва́че
26,Arm::N,qol,кид
27,Ellenbogen::N,dirsək,кынерву́й
28,Hand::N,əl,кид
29,Hand::N,əl,копа́
30,Handfläche::N,ovuc,со́во
31,Finger::N,barmaq,парня́
32,Fingernagel::N,barmaq dırnağı,кидкӱ́ч
33,Fingernagel::N,barmaq dırnağı,парнягӱ́ч
34,Nagel[Anatomie]::N,dırnak,кӱч
35,Zeh::N,ayaq barmağı,йолварня́
36,Fuß::N,ayaq,йол
37,Fuß::N,ayaq,йолкопа́
38,Ferse::N,daban,тага́н
39,Knie::N,diz,пулву́й
40,Oberschenkel::N,bud,э́рде
41,Bein::N,qıç,йол
42,Körper::N,əndam,кап
43,Haut::N,dəri,кова́ште
44,Blut::N,qan,вӱр
45,Ader::N,damar,шӧн
46,Sehne::N,vətər,шӧн
47,Sehne::N,vətər,кӱсе́н
48,Knochen::N,sümük,лу
49,Gehirn::N,beyin,вем
50,Gehirn::N,beyin,вуйве́м
51,Herz::N,ürək,шӱм
52,Magen::N,mədə,пага́р
53,Leber::N,qara ciyər,мокш
54,Atem::N,nəfəs,шӱ́лыш
55,Hunger::N,aclıq,шужыма́ш
56,Träne::N,göz yaşı,шинчавӱ́д
57,Geschmack::N,tam,там
58,Geschmack::N,ləzzət,там
59,Geruch::N,qoxu,пуш
60,Schlaf::N,yuxu,о́мо
61,Traum::N,röya,йӱдо́мо
62,Himmel::N,göy,кава́
63,Himmel::N,səma,кава́
64,Sonne::N,günəş,ке́че
65,Mond::N,ay,ты́лзе
66,Stern::N,ulduz,шӱ́дыр
67,Luft::N,hava,юж
68,Wind::N,yel,марде́ж
69,Wind::N,külək,марде́ж
70,Welle::N,dalğa,то́лкын
71,Wasser::N,su,вӱд
72,Stein::N,daş,кӱ
73,Boden::N,yer,рок
74,Boden::N,zəmin,рок
75,Erde::N,yer torpaq,мла́нде
76,Staub::N,toz,пура́к
77,Rauch::N,tüstü,шикш
78,Funke::N,qığılcım,сеске́м
79,Funke::N,qığılcım,тулйы́п
80,Feuer::N,od,тул
81,Licht::N,işıq,со́то
82,Schatten::N,kölgə,ӱ́мыл
83,Wetter::N,hava,иге́че
84,Nebel::N,duman,тӱтыра́
85,Wolke::N,bulud,пыл
86,Regen::N,yağış,йӱр
87,Regen::N,yağmur,йӱр
88,Schnee::N,qar,лум
89,Eis::N,buz,ий
90,Frost::N,ayaz,чатлама́
91,Kälte::N,soyuq,йӱ́штӧ
92,Hitze::N,coşğunluq,шо́кшо
93,Raureif::N,qırov,пӧрш
94,Raureif::N,qırov,по́кшым
95,Regenbogen::N,göy qurşağı,шонанпы́л
96,Donner::N,göy gurultusu,кӱ́дырчӧ
97,Strömung::N,axın,йо́гын
98,Tropfen::N,damcı,чӱча́лтыш
99,Schaum::N,köpük,шоҥ
100,Schmutz::N,çamır,лавыра́
101,See::N,göl,ер
102,Sumpf::N,bataqlıq,лӱ́кӧ
103,Moor::N,bataqlıq,куп
104,Wiese::N,çəmən,о́лык
105,Wald::N,meşə,чодыра́
106,Hügel::N,təpə,арка́
107,Anhöhe::N,təpə,тӧва́
108,Anhöhe::N,təpə,кӱкшака́
109,Berg::N,dağ,ку́рык
110,Gipfel::N,zirvə,чаҥга́
111,Gipfel::N,zirvə,курыкву́й
112,Höhle::N,mağara,пеще́р
113,Höhle::N,mağara,курыкпо́мыш
114,Abhang::N,yamac,та́йыл
115,Quelle::N,bulaq,важ
116,Quelle::N,bulaq,вӱдшинча́
117,Bach::N,kiçik çay,изэҥе́р
118,Fluss::N,çay,эҥе́р
119,Ufer::N,kənar,сер
120,Küste::N,sahil,вӱдтӱ́р
121,Festland::N,materik,мла́нде
122,Meer::N,dəniz,те́ҥыз
123,Bucht::N,körfəz,икса́
124,Insel::N,ada,отро́
125,Blume::N,çiçək,пеле́дыш
126,Gras::N,ot,шу́до
127,Wurzel::N,kök,вож
128,Baum::N,ağac,пуше́ҥге
129,Stamm::N,gövdə,йы́тыр
130,Rinde::N,qabıq,шӱм
131,Ast::N,şax,укш
132,Zweig::N,budaq,торма́к
133,Blatt::N,yarpaq,лышта́ш
134,Birke::N,tozağacı,куэ́
135,Kiefer[Baum]::N,şam,пӱ́нчӧ
136,Weide[Baum]::N,söyüd,уа́
137,Tanne::N,küknar,кож
138,Horn::N,buynuz,шур
139,Feder::N,tük,пы́стыл
140,Feder::N,lələk,пы́стыл
141,Fell::N,xəz,кова́ште
142,Flügel::N,qanad,шу́лдыр
143,Klaue::N,pəncə,кӱч
144,Kralle::N,dırnaq,ла́па
145,Kralle::N,dırnaq,копа́
146,Schwanz::N,quyruq,поч
147,Ei::N,yumurta,му́но
148,Nest::N,yuva,пыжа́ш
149,Bau::N,yuva,пыжа́ш
150,Tier::N,heyvan,я́нлык
151,Tier::N,heyvan,живо́тный
152,Herde::N,sürü,кӱ́тӱ
153,Herde::N,sürü,тӱшка́
154,Kuh::N,inək,ушка́л
155,Bulle::N,öküz,ӱ́шкыж
156,Pferd::N,at,и́мне
157,Schaf::N,qoyun,шо́рык
158,Schwein::N,donuz,сӧсна́
159,Hund::N,it,пий
160,Hund::N,köpək,пий
161,Katze::N,pişik,пы́рыс
162,Bär::N,ayı,маска́
163,Eichhörnchen::N,dələ,ур
164,Elch::N,sığın,шо́рдо
165,Fuchs::N,tülkü,ры́выж
166,Hase::N,dovşan,мера́ҥ
167,Maus::N,siçan,коля́
168,Wolf::N,qurd,пи́ре
169,Vogel::N,quş,ка́йык
170,Schwarm::N,sürü,каша́к
171,Huhn::N,toyuq,чы́ве
172,Hahn::N,xoruz,агыта́н
173,Gans::N,qaz,ко́мбо
174,Adler::N,qartal,карагу́ш
175,Adler::N,qaraquş,карагу́ш
176,Ente::N,ördək,лу́до
177,Eule::N,bayquş,тумна́
178,Kranich::N,durna,турня́
179,Krähe::N,qarğa,кора́к
180,Kuckuck::N,ququ,куку́
181,Schwan::N,qu quşu,йӱ́ксӧ
182,Fisch::N,balıq,кол
183,Barsch::N,tar,ола́ҥге
184,Hecht::N,durnabalığı,нуж
185,Hecht::N,durnabalığı,чорта́н
186,Schlange[Tier]::N,ilan,ки́шке
187,Wurm::N,qurd,шукш
188,Spinne::N,hörümçək,эҥыре́мыш
189,Ameise::N,qarışqa,ку́тко
190,Laus::N,bit,тий
191,Mücke::N,ağcaqanad,шыҥа́
192,Fliege::N,milçək,ка́рме
193,Schmetterling::N,kəpənək,лы́ве
194,Beere::N,gilə,мӧр
195,Apfel::N,alma,олма́
196,Pilz::N,göbələk,по́ҥго
197,Zwiebel::N,soğan,шога́н
198,Saat::N,əkin,нӧ́шмӧ
199,Saat::N,əkin,туш
200,Korn::N,taxıl,шу́рно
201,Heu::N,quru ot,шу́до
202,Schale::N,qabıq,шӱм
203,Grube::N,çuxur,выне́м
204,Falle::N,tələ,лӧ́дӧ
205,Falle::N,duzaq,лӧ́дӧ
206,Schlinge::N,ilmək,о́птыш
207,Schlinge::N,ilmək,шӧрга́лтыш
208,Spur::N,iz,кыша́
209,Asche::N,kül,ло́мыж
210,Dreck::N,kir,лавыра́
211,Eisen::N,dəmir,кӱ́ртньӧ
212,Gold::N,altun,шӧ́ртньӧ
213,Silber::N,gümüş,ший
214,Kohle::N,kömür,мландышӱ́й
215,Glas::N,şüşə,янда́
216,Lehm::N,gil,шун
217,Lehm::N,palçıq,шун
218,Sand::N,qum,ошма́
219,Mensch::N,adam,еҥ
220,Mensch::N,adam,айде́ме
221,Mensch::N,insan,еҥ
222,Mensch::N,insan,айде́ме
223,Mann::N,kişi,пӧръе́ҥ
224,Frau::N,qadın,ӱдырама́ш
225,Kind::N,uşaq,аза́
226,Junge::N,oğlan,рве́зе
227,Mädchen::N,qız,ӱдыра́ш
228,Familie::N,ailə,еш
229,Großvater::N,baba,коча́
230,Großmutter::N,nənə,кова́
231,Eltern::N,valideyn,ача́-ава́
232,Vater::N,ata,ача́
233,Mutter::N,ana,ава́
234,Sohn::N,oğul,э́рге
235,Tochter::N,qız,ӱ́дыр
236,Bruder::N,qardaş,иза́
237,Bruder::N,qardaş,шо́льо
238,Schwester::N,bacı,ака́
239,Onkel::N,əmi,иза́
240,Onkel::N,dayı,иза́
241,Tante::N,bibi,кока́
242,Ehemann::N,ər,мари́й
243,Ehefrau::N,arvad,ва́те
244,Freude::N,nəşə,куа́н
245,Freude::N,nəşə,куаныма́ш
246,Freude::N,sevinc,куа́н
247,Freude::N,sevinc,куаныма́ш
248,Gelächter::N,gülüş,во́штылтыш
249,Gelächter::N,qəhqəhə,во́штылтыш
250,Glück::N,səadət,пиа́л
251,Glück::N,xoşbəxtlik,пиа́л
252,Kummer::N,qəm,о́йго
253,Kummer::N,kədər,о́йго
254,Wunsch::N,arzu,ку́мыл
255,Lust::N,həvəs,ку́мыл
256,Geist::N,ruh,ӧрт
257,Geist::N,ruh,чон
258,Gedanke::N,fikir,ой
259,Gedanke::N,fikir,шоныма́ш
260,Gedanke::N,düşüncə,ой
261,Gedanke::N,düşüncə,шоныма́ш
262,Gedächtnis::N,xatir,шарныма́ш
263,Gedächtnis::N,hafizə,шарныма́ш
264,Verstand::N,ağıl,уш
265,Sinn::N,məna,смысл
266,Grund::N,səbəb,ама́л
267,Wahrheit::N,haqq,чын
268,Wahrheit::N,doğruluq,чын
269,Gespräch::N,söhbət,мутланыма́ш
270,Gespräch::N,qonuşma,мутланыма́ш
271,Märchen::N,nağıl,йома́к
272,Erzählung::N,hekayə,ойлыма́ш
273,Nachricht::N,xəbər,увертарыма́ш
274,Neuigkeit::N,xəbər,уве́р
275,Neuigkeit::N,yenilik,уве́р
276,Name::N,ad,лӱм
277,Rätsel::N,tapmaca,ту́што
278,Rede::N,nitq,ойлыма́ш
279,Sprache::N,dil,йы́лме
280,Stimme::N,səs,йӱк
281,Wort::N,söz,ой
282,Wort::N,söz,мут
283,Wort::N,kəlmə,ой
284,Wort::N,kəlmə,мут
285,Zeichen::N,nişan,ти́ште
286,Zeichen::N,nişan,знак
287,Ruf::N,çığırtı,ӱжма́ш
288,Lärm::N,gurultu,лӱшкыма́ш
289,Lärm::N,gurultu,йӱк-йӱа́н
290,Laut::N,səs,йӱк
291,Ton::N,ton,йӱксе́м
292,Lied::N,mahnı,му́ро
293,Ruhe::N,sakitlik,ты́мык
294,Leute::N,xalq,еҥ-влак
295,Volk::N,millət,ка́лык
296,Arbeit::N,iş,паша́
297,Arbeit::N,əmək,паша́
298,Gast::N,qonaq,уна́
299,Gast::N,müsafir,уна́
300,Geschenk::N,hədiyyə,пӧле́к
301,Spiel::N,oyun,мо́дыш
302,Spiel::N,oyun,модма́ш
303,Spiel::N,tamaşa,мо́дыш
304,Spiel::N,tamaşa,модма́ш
305,Gesellschaft::N,cəmiyyet,тӱшка́
306,Hilfe::N,kömək,по́лыш
307,Hilfe::N,yardım,по́лыш
308,Freund::N,dost,таҥ
309,Freund::N,dost,йолта́ш
310,Kamerad::N,yoldaş,таҥ
311,Angelegenheit::N,iş,паша́
312,Anzahl::N,say,чот
313,Art::N,çeşid,вид
314,Stück::N,dənə,ка́тыш
315,Stück::N,dənə,ла́стык
316,Stück::N,parça,ка́тыш
317,Stück::N,parça,ла́стык
318,Teil::N,qisim,ужа́ш
319,Hälfte::N,yarım,пел
320,Hälfte::N,yarım,пе́ле
321,Kreis::N,dairə,ты́ртыш
322,Kreuz::N,xaç,ыре́с
323,Linie::N,xətt,ли́ний
324,Strich::N,cızıq,коре́ш
325,Abstand::N,məsafə,кокла́
326,Entfernung::N,məsafə,тора́
327,Entfernung::N,məsafə,ку́жыт
328,Entfernung::N,uzaqlıq,тора́
329,Entfernung::N,uzaqlıq,ку́жыт
330,Gegend::N,bölgə,кунде́м
331,Platz::N,yer,ку́мдык
332,Ort::N,yer,вер
333,Ort::N,yer,о́лмо
334,Seite::N,yan,ӧ́рдыж
335,Seite::N,tərəf,ӧ́рдыж
336,Mitte::N,orta,покше́л
337,Gegenstand::N,şey,наста́
338,Sache::N,şey,наста́
339,Rand::N,kənar,тӱр
340,Kante::N,tiyə,тӱр
341,Kante::N,kənar,тӱр
342,Ecke::N,bucaq,лук
343,Spitze::N,uc,вуй
344,Ende::N,son,муча́ш
345,Ende::N,axır,муча́ш
346,Loch::N,deşik,рож
347,Winkel::N,guşə,лук
348,Muster::N,ülgü,пеза́к
349,Muster::N,ülgü,узо́р
350,Muster::N,ülgü,ӱ́лгӧ
351,Größe::N,böyüklük,кӱ́кшыт
352,Länge::N,uzunluq,ку́тыш
353,Höhe::N,yüksəklik,кӱ́кшыт
354,Gewicht::N,çəki,не́лыт
355,Gewicht::N,ağırlıq,не́лыт
356,Menge::N,miqdar,чот
357,Haufen::N,yığın,кы́шыл
358,Reihe::N,səf,рада́м
359,Reihe::N,sıra,рада́м
360,Boot::N,qayıq,пуш
361,Ruder::N,kürək,эшка́к
362,Schlitten::N,kirşə,тер
363,Schlitten::N,kirşə,изде́р
364,Ski::N,xizək,е́че
365,Lagerfeuer::N,düşərgə tonqalı,туло́то
366,Last::N,yük,нӧ́лтыш
367,Gang::N,yeriş,ошкылма́ш
368,Schritt::N,addım,о́шкыл
369,Norden::N,şimal,йӱдйыма́л
370,Süden::N,cənub,кечывалве́л
371,Westen::N,qərb,касве́л
372,Osten::N,şərq,эрве́л
373,Holz::N,ağac,пу
374,Holz::N,taxta,пу
375,Brett::N,taxta,оҥа́
376,Platte::N,lövhə,аста́р
377,Stütze::N,dayaq,чара́к
378,Stütze::N,dəstək,чара́к
379,Stange::N,şüvül,лома́ш
380,Stock::N,dəyənək,тоя́
381,Stab::N,əsa,вара́
382,Stab::N,əsa,кашта́
383,Stab::N,şüvül,вара́
384,Stab::N,şüvül,кашта́
385,Rohr::N,boru,пуч
386,Rohr::N,truba,пуч
387,Haus::N,ev,пӧрт
388,Heim::N,ev,мӧ́ҥгӧ
389,Ofen::N,peç,комака́
390,Ofen::N,soba,комака́
391,Fußboden::N,döşəmə,кӱва́р
392,Tisch::N,masa,ӱсте́л
393,Stuhl::N,stul,пӱке́н
394,Wiege::N,beşik,шепка́
395,Bett::N,yataq,ва́кшыш
396,Regal::N,rəf,шӧ́рлык
397,Kiste::N,yeşik,шо́ндык
398,Kiste::N,yeşik,я́шлык
399,Kiste::N,sandıq,шо́ндык
400,Kiste::N,sandıq,я́шлык
401,Fenster::N,pəncərə,окна́
402,Tür::N,qapı,омса́
403,Tor::N,darvaza,капка́
404,Zaun::N,çəpər,сава́р
405,Dach::N,dam,леве́дыш
406,Leiter::N,nərdivan,тошка́лтыш
407,Besen::N,süpürgə,ӱштерво́штыр
408,Spaten::N,kürək,ко́льмо
409,Schaufel::N,kürək,сово́к
410,Schaufel::N,kürək,су́ско
411,Gabel::N,çəngəl,ви́лке
412,Löffel::N,qaşıq,па́не
413,Löffel::N,qaşıq,совла́
414,Messer::N,bıçaq,кӱ́зӧ
415,Nagel::N,mıx,пуда́
416,Netz::N,tor,вапш
417,Haken::N,çəngəl,са́гыле
418,Griff::N,qulp,кыл
419,Griff::N,tutacaq,кыл
420,Schloss::N,qıfıl,кӧгӧ́н
421,Bild::N,rəsm,сӱре́т
422,Figur::N,şəkil,фигу́р
423,Figur::N,heykəl,фигу́р
424,Puppe::N,kukla,курча́к
425,Puppe::N,gəlincik,курча́к
426,Beutel::N,kisə,меша́к
427,Beutel::N,torba,меша́к
428,Bündel::N,bağlama,арша́ш
429,Tasche::N,çanta,сумка́
430,Eimer::N,vedrə,ведра́
431,Eimer::N,çəllək,ведра́
432,Deckel::N,qapaq,ко́мдыш
433,Geschirr::N,qab-qazan,а́те
434,Sack::N,çuval,куль
435,Sack::N,çuval,меша́к
436,Tasse::N,fincan,чу́кыр
437,Tasse::N,fincan,чашка́
438,Topf::N,qazan,ми́ске
439,Kessel::N,qazan,под
440,Essen::N,yemək,ко́чкыш
441,Nahrung::N,qida,ку́рго
442,Speise::N,xörək,ко́чкыш
443,Fleisch::N,ət,шыл
444,Getreide::N,taxıl,шу́рно
445,Brei::N,aş,пу́чымыш
446,Brei::N,sıyıq,пу́чымыш
447,Brot::N,çörək,ки́нде
448,Scheibe::N,dilim,ка́тыш
449,Fett::N,yağ,коя́
450,Butter::N,kərə yağı,ӱй
451,Öl::N,yağ,ӱй
452,Salz::N,duz,шинча́л
453,Suppe::N,şorba,шӱр
454,Honig::N,bal,мӱй
455,Milch::N,süd,шӧр
456,Tee::N,çay,чай
457,Leder::N,dəri,сура́н
458,Leder::N,dəri,шӱ́штӧ
459,Wolle::N,yun,пун
460,Stoff::N,qumaş,куэ́м
461,Stoff::N,qumaş,посто́
462,Nadel::N,iynə,и́ме
463,Faden::N,sap,шӱ́ртӧ
464,Knopf::N,düymə,по́лдыш
465,Knoten::N,düyün,пышке́м
466,Farbe::N,boya,чия́
467,Kleidung::N,geyim,чие́м
468,Kleidung::N,geyim,вурге́м
469,Hemd::N,köynək,ту́выр
470,Kragen::N,yaxa,сога́
471,Ärmel::N,qol,шокш
472,Hose::N,şalvar,йола́ш
473,Gürtel::N,kəmər,ӱ́штӧ
474,Mütze::N,şapka,упш
475,Schuh::N,tufli,боти́нке
476,Schuh::N,ayaqqabı,боти́нке
477,Stiefel::N,çəkmə,кем
478,Ring::N,üzük,шерга́ш
479,Band::N,lent,тасма́
480,Band::N,lent,ле́нте
481,Kamm::N,daraq,шерге́
482,Spiegel::N,güzgü,вошто́нчыш
483,Riemen::N,qayış,кӱзанӱ́штӧ
484,Schnur::N,ip,кере́м
485,Schnur::N,ip,кандыра́
486,Leine::N,kəmsik,вӱра́ҥ
487,Decke::N,ədyal,леве́дыш
488,Decke::N,ədyal,одея́л
489,Decke::N,yorğan,леве́дыш
490,Decke::N,yorğan,одея́л
491,Kissen::N,yastıq,кӱ́пчык
492,Tuch::N,şarf,шо́выч
493,Tuch::N,kaşne,шо́выч
494,Handtuch::N,dəsmal,со́лык
495,Kraft::N,güc,вий
496,Kraft::N,güc,куа́т
497,Stärke::N,qüvvət,куа́т
498,Stärke::N,qüvvət,карма́н
499,Gesundheit::N,sağlamlıq,таза́лык
500,Krankheit::N,xəstəlik,чер
501,Schmerz::N,ağrı,ко́рштыш
502,Schmerz::N,sancı,ко́рштыш
503,Wunde::N,yara,су́сыр
504,Fieber::N,isitmə,йӱштыму́ж
505,Fieber::N,isitmə,лихора́дке
506,Fieber::N,qızdırma,йӱштыму́ж
507,Fieber::N,qızdırma,лихора́дке
508,Arznei::N,ilaç,эм
509,Arznei::N,dərman,эм
510,Brücke::N,körpü,кӱва́р
511,Brunnen::N,quyu,вӱдвыне́м
512,Weide::N,otlaq,нурше́р
513,Pfad::N,cığır,йолго́рно
514,Pfad::N,cığır,сокма́к
515,Weg::N,yol,ко́рно
516,Straße::N,küçə,ко́рно
517,Dorf::N,kənd,ял
518,Stadt::N,şəhər,ола́
519,Brief::N,məktub,се́рыш
520,Buch::N,kitab,книга́
521,Buchstabe::N,hərf,буква́
522,Zeitung::N,qəzet,газе́т
523,Leben::N,həyat,и́лыш
524,Tod::N,ölüm,колыма́ш
525,Grab::N,qəbir,шӱга́р
526,Kirche::N,kilsə,че́рке
527,Sünde::N,günah,су́лык
528,Gott::N,tanrı,ю́мо
529,Arbeiter::N,işçi,паша́зе
530,Chef::N,şef,тӧра́
531,Chef::N,rəis,тӧра́
532,Meister::N,usta,маста́р
533,Arzt::N,həkim,врач
534,Arzt::N,doktor,врач
535,Lehrer::N,müəllim,ту́ныктышо
536,Geld::N,pul,окса́
537,Geschäft::N,ticarət,сатулыма́ш
538,Laden::N,dükan,ке́выт
539,Preis::N,qiymət,ак
540,Ware::N,mal,сату́
541,Nutzen::N,fayda,пайда́
542,Reichtum::N,zənginlik,поя́нлык
543,Welt::N,aləm,тӱня́
544,Welt::N,dünya,тӱня́
545,Land::N,ölkə,эл
546,Staat::N,dövlət,кугыжа́ныш
547,König::N,kral,кугыжа́
548,König::N,məlik,кугыжа́
549,Macht::N,qüdrət,власть
550,Grenze::N,hüdud,грани́ца
551,Grenze::N,sərhət,грани́ца
552,Krieg::N,hərb,сар
553,Krieg::N,müharibə,сар
554,Feind::N,düşmən,тушма́н
555,Gewalt::N,cəbr,виешлыма́ш
556,Kampf::N,savaş,кредалма́ш
557,Bogen[Waffe]::N,yay,юҥе́ж
558,Pfeil::N,ox,пикш
559,Gewehr::N,tüfəng,пыча́л
560,Fehler::N,xəta,йо́ҥылыш
561,Lüge::N,yalan,шоя́к
562,Schaden::N,ziyan,зия́н
