,Concept_ID,de,ba
0,Auge::N,Auge,күҙ
1,Ohr::N,Ohr,ҡолаҡ
2,Nase::N,Nase,танау
3,Mund::N,Mund,ауыҙ
4,Zahn::N,Zahn,теш
5,Zunge::N,Zunge,тел
6,Lippe::N,Lippe,ирен
7,Wange::N,Wange,яцаҡтар
8,Gesicht::N,Gesicht,бит
9,Stirn::N,Stirn,маңлай
10,Haar::N,Haar,сәс
11,Schnurrbart::N,Schnurrbart,мылтыҡ
12,Bart::N,Bart,һаҡал
13,Kinn::N,Kinn,эйэк
14,Kiefer[Anatomie]::N,Kiefer,яңаҡ һөйәге
15,Kehle::N,Kehle,тамаҡ
16,Hals::N,Hals,муйын
17,Genick::N,Genick,соңҡа
18,Kopf::N,Kopf,баш
19,Rücken::N,Rücken,арҡа
20,Bauch::N,Bauch,ҡорһаҡ
21,Nabel::N,Nabel,кендек
22,Busen::N,Busen,күкрәк
23,Brust::N,Brust,түш
24,Schulter::N,Schulter,яурын
25,Arm::N,Arm,ҡул
26,Ellenbogen::N,Ellenbogen,терһәк
27,Hand::N,Hand,ҡул
28,Hand::N,Hand,ҡул суғы
29,Handfläche::N,Handfläche,ус төбө
30,Finger::N,Finger,бармаҡ
31,Fingernagel::N,Fingernagel,тырнаҡ
32,Nagel[Anatomie]::N,Nagel,тырнаҡ
33,Zeh::N,Zeh,бармаҡ
34,Fuß::N,Fuß,табан
35,Ferse::N,Ferse,үксә
36,Knie::N,Knie,тубыҡ
37,Oberschenkel::N,Oberschenkel,сандыр
38,Bein::N,Bein,аяҡ
39,Körper::N,Körper,тән
40,Haut::N,Haut,тире
41,Blut::N,Blut,ҡан
42,Ader::N,Ader,тамыр
43,Sehne::N,Sehne,һеңер
44,Sehne::N,Sehne,тарамыш
45,Knochen::N,Knochen,һойәк
46,Gehirn::N,Gehirn,мейе
47,Herz::N,Herz,йорәк
48,Magen::N,Magen,ашҡаҙан
49,Leber::N,Leber,бауыр
50,Atem::N,Atem,һулыш
51,Hunger::N,Hunger,аслыҡ
52,Träne::N,Träne,күҙ иәше
53,Geschmack::N,Geschmack,тәм
54,Geruch::N,Geruch,еҫ
55,Schlaf::N,Schlaf,йоҡлау
56,Traum::N,Traum,төш
57,Himmel::N,Himmel,күк
58,Sonne::N,Sonne,ҡояш
59,Mond::N,Mond,ай
60,Stern::N,Stern,йондоҙ
61,Luft::N,Luft,һауа
62,Wind::N,Wind,ел
63,Welle::N,Welle,тулҡын
64,Wasser::N,Wasser,һыу
65,Stein::N,Stein,таш
66,Boden::N,Boden,тупраҡ
67,Erde::N,Erde,балсҡ
68,Staub::N,Staub,туҙан
69,Rauch::N,Rauch,төтөн
70,Funke::N,Funke,осҡон
71,Feuer::N,Feuer,ут
72,Licht::N,Licht,яҡтылыҡ
73,Schatten::N,Schatten,күләгә
74,Wetter::N,Wetter,һауа торошо
75,Nebel::N,Nebel,төман
76,Wolke::N,Wolke,болот
77,Regen::N,Regen,ямғыр
78,Schnee::N,Schnee,ҡар
79,Eis::N,Eis,боҙ
80,Frost::N,Frost,һалҡын
81,Kälte::N,Kälte,һыуыҡ
82,Hitze::N,Hitze,томра
83,Hitze::N,Hitze,эҫелек
84,Raureif::N,Raureif,ҡырау
85,Regenbogen::N,Regenbogen,йәйғор
86,Donner::N,Donner,күк күкрәү
87,Strömung::N,Strömung,ағым
88,Tropfen::N,Tropfen,тамсы
89,Schaum::N,Schaum,күбек
90,Schmutz::N,Schmutz,батҡаҡ
91,See::N,See,күл
92,Sumpf::N,Sumpf,һаҙлык
93,Moor::N,Moor,һаҙ
94,Wiese::N,Wiese,болон
95,Wald::N,Wald,урман
96,Hügel::N,Hügel,түбә
97,Anhöhe::N,Anhöhe,түбә
98,Anhöhe::N,Anhöhe,ҡалҡыулыҡ
99,Berg::N,Berg,тау
100,Gipfel::N,Gipfel,түбә
101,Höhle::N,Höhle,мәмерйә
102,Abhang::N,Abhang,ипкен
103,Quelle::N,Quelle,шишмә
104,Bach::N,Bach,шишмә
105,Fluss::N,Fluss,йылға
106,Ufer::N,Ufer,яр
107,Küste::N,Küste,яр буйы
108,Festland::N,Festland,ҡоро ер
109,Meer::N,Meer,диңгез
110,Bucht::N,Bucht,бухта
111,Insel::N,Insel,үтрау
112,Blume::N,Blume,сәскә
113,Gras::N,Gras,үлән
114,Wurzel::N,Wurzel,тамыр
115,Baum::N,Baum,ағас
116,Stamm::N,Stamm,олон
117,Stamm::N,Stamm,көбәк
118,Rinde::N,Rinde,ҡабыҡ
119,Ast::N,Ast,ботаҡ
120,Zweig::N,Zweig,ботаҡ
121,Zweig::N,Zweig,тармаҡ
122,Blatt::N,Blatt,япраҡ
123,Birke::N,Birke,ҡайын
124,Kiefer[Baum]::N,Kiefer,ҡарғай
125,Weide[Baum]::N,Weide,тал
126,Tanne::N,Tanne,шыршы
127,Horn::N,Horn,мөғөҙ
128,Feder::N,Feder,ҡауырһын
129,Fell::N,Fell,тире
130,Flügel::N,Flügel,ҡанат
131,Klaue::N,Klaue,тырнаҡ
132,Kralle::N,Kralle,аяҡ
133,Schwanz::N,Schwanz,ҡойроҡ
134,Ei::N,Ei,йомортҡа
135,Nest::N,Nest,оя
136,Bau::N,Bau,оң
137,Tier::N,Tier,жайуан
138,Tier::N,Tier,йыртҡыс
139,Herde::N,Herde,көтөү
140,Kuh::N,Kuh,һыйыр
141,Bulle::N,Bulle,үгеҙ
142,Pferd::N,Pferd,ат
143,Schaf::N,Schaf,һарыҡ
144,Schwein::N,Schwein,сусҡа
145,Hund::N,Hund,эт
146,Katze::N,Katze,бесәй
147,Bär::N,Bär,айыу
148,Eichhörnchen::N,Eichhörnchen,тейен
149,Elch::N,Elch,мышы
150,Fuchs::N,Fuchs,төлкө
151,Hase::N,Hase,ҡуян
152,Maus::N,Maus,сысҡан
153,Wolf::N,Wolf,бүре
154,Vogel::N,Vogel,ҡош
155,Schwarm::N,Schwarm,көтөү
156,Huhn::N,Huhn,тауыҡ
157,Hahn::N,Hahn,әтәс
158,Gans::N,Gans,ҡаҙ
159,Adler::N,Adler,бөркөт
160,Ente::N,Ente,өйрәк
161,Eule::N,Eule,өкө
162,Eule::N,Eule,ябалаҡ
163,Kranich::N,Kranich,торна
164,Krähe::N,Krähe,ҡарға
165,Kuckuck::N,Kuckuck,кәкүк
166,Schwan::N,Schwan,аҡҡош
167,Fisch::N,Fisch,балыҡ
168,Barsch::N,Barsch,алабуға
169,Hecht::N,Hecht,суртан
170,Schlange[Tier]::N,Schlange,йылан
171,Wurm::N,Wurm,селяүсен
172,Spinne::N,Spinne,үрмәксе
173,Ameise::N,Ameise,ҡырмыҫҡа
174,Laus::N,Laus,бет
175,Mücke::N,Mücke,серәкәй
176,Fliege::N,Fliege,себен
177,Schmetterling::N,Schmetterling,күбәләк
178,Beere::N,Beere,еләк
179,Apfel::N,Apfel,алма
180,Pilz::N,Pilz,бәшмәк
181,Zwiebel::N,Zwiebel,һуган
182,Saat::N,Saat,орлоҡ
183,Korn::N,Korn,иген
184,Heu::N,Heu,бесән
185,Schale::N,Schale,ҡабыҡ
186,Grube::N,Grube,соҡор
187,Falle::N,Falle,тоҙак
188,Falle::N,Falle,ҡапҡан
189,Schlinge::N,Schlinge,тоҙак
190,Spur::N,Spur,әҫер
191,Asche::N,Asche,көл
192,Dreck::N,Dreck,батҡаҡ
193,Eisen::N,Eisen,тимер
194,Gold::N,Gold,алтын
195,Silber::N,Silber,көмөш
196,Kohle::N,Kohle,күмер
197,Glas::N,Glas,быяла
198,Lehm::N,Lehm,балсыҡ
199,Sand::N,Sand,ҡом
200,Mensch::N,Mensch,кеше
201,Mann::N,Mann,ир
202,Frau::N,Frau,ҡатын
203,Kind::N,Kind,бала
204,Junge::N,Junge,малай
205,Mädchen::N,Mädchen,ҡыҙ
206,Mädchen::N,Mädchen,ҡыҙыҡай
207,Familie::N,Familie,ғаилә
208,Großvater::N,Großvater,олатай
209,Großmutter::N,Großmutter,әбәй
210,Eltern::N,Eltern,ата-әсә
211,Vater::N,Vater,атай
212,Mutter::N,Mutter,әсә
213,Sohn::N,Sohn,ул
214,Tochter::N,Tochter,ҡыҙ
215,Bruder::N,Bruder,агай
216,Schwester::N,Schwester,алай
217,Schwester::N,Schwester,һеңле
218,Onkel::N,Onkel,ағай
219,Tante::N,Tante,апай
220,Ehemann::N,Ehemann,ир
221,Ehefrau::N,Ehefrau,ҡатын
222,Freude::N,Freude,шатлыҡ
223,Freude::N,Freude,ҡыуаныс
224,Gelächter::N,Gelächter,көлөү
225,Glück::N,Glück,бәхет
226,Kummer::N,Kummer,ҡайғы
227,Wunsch::N,Wunsch,теләк
228,Lust::N,Lust,әүәҫлек
229,Geist::N,Geist,аң
230,Geist::N,Geist,рух
231,Gedanke::N,Gedanke,уй
232,Gedanke::N,Gedanke,фекер
233,Gedächtnis::N,Gedächtnis,хәтер
234,Verstand::N,Verstand,аҡыл
235,Sinn::N,Sinn,мәғәня
236,Grund::N,Grund,сәбәп
237,Wahrheit::N,Wahrheit,дөрөҫлөк
238,Gespräch::N,Gespräch,әңгәмә
239,Märchen::N,Märchen,әкиәт
240,Erzählung::N,Erzählung,хикәйә
241,Nachricht::N,Nachricht,хәбәр
242,Neuigkeit::N,Neuigkeit,яңылыҡ
243,Name::N,Name,исем
244,Rätsel::N,Rätsel,йомаҡ
245,Rede::N,Rede,телмәр
246,Sprache::N,Sprache,тел
247,Sprache::N,Sprache,телмәр
248,Stimme::N,Stimme,тауыш
249,Wort::N,Wort,һүҙ
250,Zeichen::N,Zeichen,билдә
251,Ruf::N,Ruf,саҡырыу
252,Lärm::N,Lärm,шаулау
253,Laut::N,Laut,тауыш
254,Ton::N,Ton,яңғырау
255,Lied::N,Lied,йыр
256,Ruhe::N,Ruhe,ял
257,Ruhe::N,Ruhe,тыныслыҡ
258,Leute::N,Leute,кешеләр
259,Volk::N,Volk,халҡ
260,Arbeit::N,Arbeit,эш
261,Gast::N,Gast,ҡунаҡ
262,Geschenk::N,Geschenk,бүләк
263,Spiel::N,Spiel,уйын
264,Gesellschaft::N,Gesellschaft,йәмғиәт
265,Hilfe::N,Hilfe,ярҙам
266,Freund::N,Freund,дуҫ
267,Kamerad::N,Kamerad,иптәш
268,Angelegenheit::N,Angelegenheit,әш
269,Anzahl::N,Anzahl,һан
270,Art::N,Art,төр
271,Stück::N,Stück,киҫәк
272,Teil::N,Teil,өлөш
273,Hälfte::N,Hälfte,ярты
274,Kreis::N,Kreis,түңәрәк
275,Kreuz::N,Kreuz,тәре
276,Linie::N,Linie,һыҙыҡ
277,Strich::N,Strich,һыҙат
278,Abstand::N,Abstand,ара
279,Entfernung::N,Entfernung,алыҫлыҡ
280,Gegend::N,Gegend,урын
281,Platz::N,Platz,арауыҡ
282,Ort::N,Ort,ерҙәр
283,Ort::N,Ort,урындар
284,Ort::N,Ort,эш урыны
285,Seite::N,Seite,яҡ
286,Mitte::N,Mitte,урталыҡ
287,Gegenstand::N,Gegenstand,нәмә
288,Sache::N,Sache,нәмә
289,Sache::N,Sache,әйбер
290,Rand::N,Rand,сит
291,Kante::N,Kante,ҡабырға
292,Kante::N,Kante,ян
293,Ecke::N,Ecke,мөйөш
294,Spitze::N,Spitze,ос
295,Ende::N,Ende,аҙаҡ
296,Loch::N,Loch,тишек
