,Concept_ID,ta,fi
0,Auge::N,கண்,silmä
1,Ohr::N,காது,korva
2,Nase::N,மூக்கு,nenä
3,Mund::N,வாய்,suu
4,Zahn::N,பல்,hammas
5,Zunge::N,நாக்கு,kieli
6,Lippe::N,உதடு,huuli
7,Wange::N,கன்னம்,poski
8,Gesicht::N,முகம்,naama
9,Gesicht::N,முகம்,kasvot
10,Stirn::N,முன்னெற்றி,otsa
11,Haar::N,முடி,hius
12,Haar::N,முடி,tukka
13,Schnurrbart::N,மீசை,viikset
14,Bart::N,தாடி,parta
15,Kinn::N,கீழதாடை,leuka
16,Kiefer[Anatomie]::N,தாடை,leukaluu
17,Kehle::N,தொண்டை,kurkku
18,Hals::N,கழுத்து,kaula
19,Genick::N,கழுத்து,niska
20,Kopf::N,தலை,pää
21,Rücken::N,முதுகு,selkä
22,Bauch::N,வயிறு,maha
23,Bauch::N,வயிறு,vatsa
24,Nabel::N,தொப்புள்,napa
25,Busen::N,மார்பகம்,rinta
26,Brust::N, மார்பு,rinta
27,Schulter::N,தோள்பட்டை,olka
28,Schulter::N,தோள்பட்டை,hartia
29,Schulter::N,தோள்பட்டை,olkapää
30,Arm::N,கரம்,käsivarsi
31,Ellenbogen::N,முழங்கை,kyynärpää
32,Hand::N,கை,käsi
33,Handfläche::N,உள்ளங்கை,kämmen
34,Finger::N,விரல்,sormi
35,Fingernagel::N,விரல் நகம்,kynsi
36,Nagel[Anatomie]::N,நகம்,kynsi
37,Zeh::N,கால்விரல்,varvas
38,Fuß::N,கால்,jalka
39,Ferse::N,குதிகால்,kantapää
40,Knie::N,முழங்கால்,polvi
41,Oberschenkel::N,தொடை,reisi
42,Bein::N,கால்,jalka
43,Körper::N,உடல்,keho
44,Körper::N,உடல்,ruumis
45,Haut::N,சருமம்,iho
46,Blut::N,இரத்தம்,veri
47,Ader::N,நாளம்,suoni
48,Sehne::N,தசைநார்,jänne
49,Knochen::N,எலுமபு,luu
50,Gehirn::N,மூனை,aivot
51,Herz::N,இதயம,sydän
52,Magen::N,வயிறு,maha
53,Magen::N,வயிறு,vatsa
54,Leber::N,கல்லீரல்,maksa
55,Atem::N,மூச்சு,henki
56,Atem::N,மூச்சு,hengitys
57,Hunger::N,பசி,nälkä
58,Träne::N,கண்ணீர்,kyynel
59,Geschmack::N,நறுமணம்,maku
60,Geruch::N,துர்நாற்றம்,haju
61,Schlaf::N,தூக்கம்,uni
62,Traum::N,கனவு,uni
63,Himmel::N,வானம்,taivas
64,Sonne::N,சூரியன்,aurinko
65,Mond::N,சந்திரன்,kuu
66,Stern::N,நட்சத்திரம்,tähti
67,Luft::N,காறறு,ilma
68,Wind::N,காற்று,tuuli
69,Welle::N,அலை,aalto
70,Wasser::N,நீர்,vesi
71,Stein::N,கல்,kivi
72,Boden::N,தரை,maa
73,Boden::N,தரை,maaperä
74,Erde::N,மண்,maa
75,Staub::N,தூசி,pöly
76,Rauch::N,புகை,savu
77,Funke::N,தீப்பொறி,kipinä
78,Feuer::N,தீ,tuli
79,Licht::N,வெளிச்சம்,valo
80,Schatten::N,நிழல்,varjo
81,Wetter::N,வானிலை,sää
82,Nebel::N,பனிமூட்டம்,sumu
83,Wolke::N,மேகம்,pilvi
84,Regen::N,மழை,sade
85,Schnee::N,உறைபனி,lumi
86,Eis::N,பனிக்கட்டி,jää
87,Frost::N,உறைபனி,halla
88,Frost::N,உறைபனி,pakkanen
89,Kälte::N,குளிர்ந்த,vilu
90,Kälte::N,குளிர்ந்த,kylmyys
91,Hitze::N,சூடு,helle
92,Hitze::N,சூடு,kuumuus
93,Raureif::N,உறைபனி வெண்திரை,huurre
94,Regenbogen::N,வானவில்,sateenkaari
95,Donner::N,இடி,jyrinä
96,Strömung::N,நீரோட்டம்,virtaus
97,Tropfen::N,துளி,tippa
98,Tropfen::N,துளி,pisara
99,Schaum::N,நுரை,vaahto
100,Schmutz::N,அழுக்கு,loka
101,See::N,ஏரி,järvi
102,Sumpf::N,சதுப்பு நிலம்,suo
103,Moor::N,முட்புதற்காடு,räme
104,Wiese::N,பசும் புல்தரை,niitty
