,Concept_ID,tr,he
0,Auge::N,göz,עין
1,Ohr::N,kulak,אזן
2,Nase::N,burun,אף
3,Nase::N,burun,חטם
4,Mund::N,ağız,פה
5,Zahn::N,diş,שן
6,Zunge::N,dil,לשון
7,Lippe::N,dudak,שפה
8,Wange::N,yanak,לחי
9,Gesicht::N,yüz,פנים
10,Stirn::N,alın,מצח
11,Haar::N,saç,שערה
12,Schnurrbart::N,bıyık,שפם
13,Bart::N,sakal,זקן
14,Kinn::N,çene,סנטר
15,Kiefer[Anatomie]::N,çene,לסת
16,Kehle::N,boğaz,גרון
17,Hals::N,boyun,צואר
18,Hals::N,gerdan,צואר
19,Genick::N,ense,ערף
20,Kopf::N,baş,ראש
21,Kopf::N,kafa,ראש
22,Rücken::N,arka,גב
23,Bauch::N,karın,בטן
24,Nabel::N,göbek,טבור
25,Busen::N,koyun,שד
26,Brust::N,göğüs,חזה
27,Schulter::N,omuz,כתף
28,Arm::N,kol,זרוע
29,Ellenbogen::N,dirsek,מרפק
30,Hand::N,el,יד
31,Handfläche::N,avuç,כף יד
32,Handfläche::N,el ayası,כף יד
33,Finger::N,parmak,אצבע
34,Fingernagel::N,el tırnağı,צפרן
35,Nagel[Anatomie]::N,tırnak,צפרן
36,Zeh::N,ayak parmağı,אצבע
37,Fuß::N,ayak,רגל
38,Ferse::N,topuk,עקב
39,Knie::N,diz,ברך
40,Oberschenkel::N,uyluk,ירך
41,Bein::N,bacak,רגל
42,Körper::N,vücut,גוף
43,Haut::N,cilt,עור
44,Blut::N,kan,דם
45,Ader::N,damar,וריד
46,Sehne::N,kiriş,גיד
47,Knochen::N,kemik,עצם
48,Gehirn::N,beyin,מוח
49,Herz::N,kalp,לב
50,Herz::N,yürek,לב
51,Magen::N,mide,קבה
52,Leber::N,karaciğer,כבד
53,Atem::N,nefes,נשימה
54,Hunger::N,açlık,רעב
55,Träne::N,gözyaşı,דמעה
56,Geschmack::N,tat,טעם
57,Geschmack::N,lezzet,טעם
58,Geruch::N,koku,ריח
59,Schlaf::N,uyku,שנה
60,Traum::N,düş,חלום
61,Traum::N,rüya,חלום
62,Himmel::N,gök,שמים
63,Sonne::N,güneş,שמש
64,Mond::N,ay,ירח
65,Stern::N,yıldız,כוכב
66,Luft::N,hava,אויר
67,Wind::N,yel,רוח
68,Wind::N,rüzgâr,רוח
69,Welle::N,dalga,גל
70,Wasser::N,su,מים
71,Stein::N,taş,אבן
72,Boden::N,yer,קרקע
73,Boden::N,zemin,קרקע
74,Erde::N,toprak,אדמה
75,Staub::N,toz,אבק
76,Rauch::N,duman,עשן
77,Funke::N,kıvılcım,ניצוץ
78,Feuer::N,ateş,אש
79,Licht::N,ışık,אור
80,Schatten::N,gölge,צל
81,Wetter::N,hava,מזג אויר
82,Nebel::N,pus,ערפל
83,Wolke::N,bulut,ענן
84,Regen::N,yağmur,גשם
85,Schnee::N,kar,שלג
86,Eis::N,buz,קרח
87,Frost::N,don,צנה
88,Kälte::N,soğukluk,קר
89,Hitze::N,sıcaklık,חם
90,Raureif::N,kırç,כפור
91,Regenbogen::N,gökkuşağı,קשת
92,Donner::N,gök gürlemesi,רעם
93,Strömung::N,akıntı,זרימה
94,Strömung::N,cereyan,זרימה
95,Tropfen::N,damla,טפה
96,Schaum::N,köpük,קצף
97,Schmutz::N,çamur,לכלוך
98,Schmutz::N,pislik,לכלוך
99,See::N,göl,אגם
100,Sumpf::N,batak,בצה
101,Moor::N,cılgıt,בצה
102,Wiese::N,çimen,מרעה
103,Wald::N,koru,יער
104,Wald::N,orman,יער
105,Hügel::N,tepe,תל
106,Anhöhe::N,tümsek,מעלה
107,Anhöhe::N,yükseklik,מעלה
108,Berg::N,dağ,הר
109,Gipfel::N,zirve,פסגה
110,Höhle::N,in,מערה
111,Höhle::N,mağara,מערה
112,Abhang::N,bayır,מדרון
113,Abhang::N,bayır,שפוע
114,Quelle::N,pınar,מעין
115,Quelle::N,kaynak,מעין
116,Bach::N,çay,נחל
117,Bach::N,dere,נחל
118,Fluss::N,nehir,נהר
119,Ufer::N,kıyı,גדה
120,Ufer::N,sahil,גדה
121,Küste::N,kıyı,חוף
122,Küste::N,sahil,חוף
123,Festland::N,kara,יבשה
124,Meer::N,deniz,ים
125,Bucht::N,koy,מפרץ
126,Bucht::N,körfez,מפרץ
127,Insel::N,ada,אי
