,Concept_ID,sk,mdf
0,Auge::N,oko,сельме
1,Ohr::N,ucho,пиле
2,Nase::N,nos,шалхка
3,Mund::N,ústa,курга
4,Zahn::N,zub,пей
5,Zunge::N,jazyk,кяль
6,Lippe::N,pera,търва́
7,Wange::N,líce,щёка
8,Gesicht::N,tvár,шама
9,Gesicht::N,obličaj,шама
10,Stirn::N,čelo,коня
11,Haar::N,vlas,шя́ярь
12,Schnurrbart::N,fúzy,уса́
13,Bart::N,brada,сакал
14,Kinn::N,brada,ула
15,Kiefer[Anatomie]::N,čeľusť,саласка
16,Kehle::N,hrdlo,кълдома
17,Kehle::N,hrdlo,кърга́парь
18,Hals::N,krk,сялдаз
19,Genick::N,väzy,шовонь
20,Kopf::N,hlava,пря
21,Rücken::N,chrbát,копорь
22,Bauch::N,brucho,пеке
23,Nabel::N,pupok,по́кон
24,Busen::N,prsia,потя
25,Brust::N,hruď,мяште
26,Schulter::N,plece,лафту
27,Arm::N,rameno,кядь
28,Ellenbogen::N,lakeť,кенерьба́карь
29,Hand::N,ruka,кядь
30,Handfläche::N,dlaň,кядьлапш
31,Finger::N,prst,сур
32,Fingernagel::N,necht,кенже
33,Nagel[Anatomie]::N,necht,кенже
34,Zeh::N,prst na nohe,пильгосу́р
35,Fuß::N,noha,пильге
36,Fuß::N,noha,пильгелапа
37,Ferse::N,päta,кочкяря
38,Knie::N,koleno,эль
39,Knie::N,koleno,пълма́нжа
40,Oberschenkel::N,stehno,пильгепукша
41,Bein::N,noha,пильге
42,Körper::N,telo,ро́нга
43,Körper::N,telo,по́нда
44,Haut::N,koža,киське
45,Blut::N,krv,вер
46,Ader::N,žila,сан
47,Ader::N,žila,верза́н
48,Sehne::N,šľacha,коське сан
49,Knochen::N,kosť,пакарь
50,Gehirn::N,mozog,уй
51,Herz::N,srdce,седи
52,Magen::N,žalúdok,коткърдазь
53,Leber::N,pečeň,макса
54,Atem::N,dych,лекома
55,Atem::N,dych,ваймонь тарксема
56,Hunger::N,hlad,вачеши
57,Träne::N,slza,сельмове́дь
58,Geschmack::N,chuť,таньф
59,Geruch::N,pach,шине
60,Schlaf::N,spánok,удома́
61,Traum::N,sen,он
62,Himmel::N,nebo,менель
63,Sonne::N,slnko,ши
64,Mond::N,mesiac,ков
65,Stern::N,hviezda,тяште
66,Luft::N,vzduch,кожф
67,Wind::N,vietor,варма
68,Welle::N,vlna,тавла
69,Wasser::N,voda,ведь
70,Stein::N,kameň,кев
71,Boden::N,zem,мода
72,Boden::N,zem,потмакс
73,Boden::N,pôda,мода
74,Boden::N,pôda,потмакс
75,Erde::N,zem,мода
76,Erde::N,zem,мастор
77,Staub::N,prach,пуль
78,Rauch::N,dym,качам
79,Funke::N,iskra,ця́тка
80,Feuer::N,oheň,тол
81,Licht::N,svetlo,ва́лда
82,Schatten::N,tieň,цильф
83,Wetter::N,počasie,уша
84,Nebel::N,hmla,тума́н
85,Wolke::N,oblak,ковол
86,Wolke::N,mračno,ковол
87,Regen::N,dážď,пизем
88,Schnee::N,sneh,лов
89,Eis::N,ľad,эй
90,Frost::N,mráz,ке́льме
91,Kälte::N,zima,якшама
92,Kälte::N,chlad,якшама
93,Hitze::N,horúčava,пси
94,Raureif::N,srieň,леш
95,Raureif::N,inovať,леш
96,Regenbogen::N,dúha,а́тямъёнга
97,Donner::N,hrom,атям
98,Strömung::N,prúdenie,шудема́
99,Tropfen::N,kvapka,путькс
100,Tropfen::N,kvapka,пътняфкс
101,Schaum::N,pena,шов
102,Schmutz::N,špina,ърда́з
103,Schmutz::N,nečistota,ърда́з
104,See::N,jazero,эрьхке
105,Sumpf::N,bahno,шяй
106,Moor::N,močiar,шяй
107,Wiese::N,lúka,луга
108,Wald::N,les,вирь
109,Wald::N,hora,вирь
110,Hügel::N,vŕšok,губо́р
111,Hügel::N,vŕšok,пандоня
112,Anhöhe::N,výšina,губо́р
113,Anhöhe::N,vyvýšenina,губо́р
114,Berg::N,hora,панда
115,Gipfel::N,vrchol,пря
116,Höhle::N,jaskyňa,у́нда
117,Abhang::N,úbočie,па́нда ша́ма
118,Quelle::N,prameň,эшиня
119,Bach::N,potok,шудерькс
120,Fluss::N,rieka,ляй
121,Ufer::N,breh,търва́
122,Küste::N,pobrežie,ляйтърва́
123,Festland::N,pevnina,мода
124,Meer::N,more,моря
125,Bucht::N,záliv,ведьуське
126,Bucht::N,zátoka,ведьуське
127,Insel::N,ostrov,цёнга
128,Blume::N,kvet,панчф
129,Blume::N,kvetina,панчф
130,Gras::N,tráva,тише
131,Wurzel::N,koreň,юр
132,Wurzel::N,koreň,ункс
133,Baum::N,strom,шуфта
134,Stamm::N,kmeň,ро́нга
135,Rinde::N,kôra,кер
136,Ast::N,konár,морга
137,Zweig::N,vetva,тарад
138,Blatt::N,list,лопа
139,Birke::N,breza,ке́лу
140,Kiefer[Baum]::N,sosna,пиче
141,Kiefer[Baum]::N,borovica,пиче
142,Weide[Baum]::N,vŕba,каль
143,Tanne::N,jedľa,куз
144,Horn::N,roh,сюра
145,Feder::N,pero,толга
146,Fell::N,koža,кедь
147,Fell::N,kožušina,кедь
148,Flügel::N,krídlo,паця
149,Klaue::N,paznecht,кенже
150,Kralle::N,pazúr,кенже
151,Schwanz::N,chvost,пула
152,Ei::N,vajce,ал
153,Ei::N,vajíčko,ал
154,Nest::N,hniezdo,пиза
155,Bau::N,nora,пиза
156,Tier::N,zviera,жува́та
157,Herde::N,stádo,нал
158,Herde::N,stádo,стада
159,Kuh::N,krava,скал
160,Kuh::N,krava,тракс
161,Bulle::N,býk,бука
162,Pferd::N,kôň,лишме
163,Schaf::N,ovca,уча́
164,Schwein::N,sviňa,тува
165,Hund::N,pes,пине
166,Katze::N,mačka,катоня
167,Katze::N,mačka,аваката
168,Bär::N,medveď,офта
169,Eichhörnchen::N,veverička,ур
170,Elch::N,los,ся́рда
171,Fuchs::N,líška,келазь
172,Hase::N,zajac,ну́мол
173,Maus::N,myš,шеер
174,Wolf::N,vlk,върьгаз
175,Vogel::N,vták,нармонь
176,Schwarm::N,roj,ко́вол
177,Schwarm::N,roj,ме́швеле
178,Huhn::N,kurča,сараз
179,Huhn::N,sliepka,сараз
180,Hahn::N,kohút,а́тякш
181,Gans::N,hus,маци
182,Adler::N,orol,куцькан
183,Ente::N,kačka,яксярга
184,Ente::N,kačica,яксярга
185,Eule::N,sova,ко́рож
186,Kranich::N,žeriav,ка́рга
187,Krähe::N,vrana,ва́рси
188,Kuckuck::N,kukučka,ку́ку
189,Schwan::N,labuť,ло́ксти
190,Fisch::N,ryba,кал
191,Barsch::N,ostriež,о́кунь
192,Hecht::N,šťuka,щу́ка
193,Schlange[Tier]::N,had,куй
194,Wurm::N,červ,сукс
