,Concept_ID,is,te
0,Auge::N,auga,కన్ను
1,Ohr::N,eyra,చెవి
2,Nase::N,nef,ముక్కు
3,Mund::N,munnur,నోరు
4,Zahn::N,tönn,పల్లు
5,Zunge::N,tunga,నాలుక
6,Lippe::N,vör,పెదవి
7,Wange::N,kinn,చెంప
8,Wange::N,vangi,చెంప
9,Gesicht::N,andlit,ముఖము
10,Stirn::N,enni,నుదురు
11,Haar::N,hár,వెండ్రుక
12,Schnurrbart::N,yfirskegg,మీసము
13,Bart::N,skegg,గడ్డము
14,Kinn::N,haka,గడ్డము
15,Kiefer[Anatomie]::N,kjálki,దౌడ
16,Kiefer[Anatomie]::N,skoltur,దౌడ
17,Kehle::N,kverk,గొంతు
18,Hals::N,háls,మెడ
19,Genick::N,hnakki,మూపు
20,Kopf::N,höfuð,తల
21,Rücken::N,hryggur,వెన్ను
22,Bauch::N,kviður,కడుపు
23,Nabel::N,nafli,బొడ్డు
24,Busen::N,barmur,స్తనము
25,Brust::N,brjóst,ఱొమ్ము
26,Schulter::N,öxl,భుజము
27,Arm::N,armur,చేయి
28,Ellenbogen::N,olnbogi,మోచేయి
29,Hand::N,hönd,చేయి
30,Handfläche::N,lófi,అరచేయు
31,Finger::N,fingur,చేతిప్రేలు
32,Fingernagel::N,fingurnögl,గోరు
33,Nagel[Anatomie]::N,nögl,గోరు
34,Zeh::N,tá,కాలిప్రేలు
35,Fuß::N,fótur,అడుగు
36,Ferse::N,hæll,మడమ
37,Knie::N,kné,మోకాలు
38,Oberschenkel::N,læri,తొడ
39,Bein::N,fótleggur,కాలు
40,Körper::N,búkur,కాయము
41,Körper::N,líkami,కాయము
42,Haut::N,húð,చర్మము
43,Haut::N,skinn,చర్మము
44,Blut::N,blóð,రక్తము
45,Ader::N,æð,సిర
46,Sehne::N,sin,స్నాయువు
47,Knochen::N,bein,ఎముక
48,Gehirn::N,heili,మెదడు
49,Herz::N,hjarta,హృదయము
50,Magen::N,magi,కడుపు
51,Leber::N,lifur,కాలేయము
52,Atem::N,andi,ఉపిరి
53,Atem::N,andardráttur,ఉపిరి
54,Hunger::N,hungur,ఆకలి
55,Träne::N,tár,కన్నీటిచుక్క
56,Geschmack::N,smekkur,రుచి
57,Geruch::N,lykt,వాసన
58,Schlaf::N,svefn,నిద్ర
59,Traum::N,draumur,కల
60,Himmel::N,himinn,ఆకాశము
61,Sonne::N,sól,సూర్యుడు
62,Mond::N,tungl,చంద్రుడు
63,Stern::N,stjarna,నక్షత్రము
64,Luft::N,loft,గాలి
65,Wind::N,vindur,వీచుచున్నగాలి
66,Welle::N,alda,అల
67,Welle::N,bylgja,అల
68,Wasser::N,vatn,నీరు
69,Stein::N,steinn,ఱాయి
70,Boden::N,botn,నేల
71,Erde::N,jörð,మన్ను
72,Staub::N,ryk,దుమ్ము
73,Staub::N,duft,దుమ్ము
74,Rauch::N,reykur,పొగ
75,Funke::N,neisti,అగ్నికణము
76,Feuer::N,eldur,అగ్ని
77,Licht::N,ljós,కాంతి
78,Schatten::N,skuggi,నీడ
79,Wetter::N,veður,వాతావరణ స్థితి
80,Nebel::N,þoka,పొగమంచు
81,Wolke::N,ský,మేఘము
82,Regen::N,regn,వాన
83,Schnee::N,snjór,హిమము
84,Eis::N,ís,మంచుగడ్డ
85,Frost::N,frost,పేరిన మంచు
86,Kälte::N,kuldi,చలి
87,Hitze::N,hiti,వేడిమి
88,Raureif::N,hrím,మంచు
89,Regenbogen::N,regnbogi,ఇంద్రధనుస్సు
90,Donner::N,þruma,ఉరుము
91,Strömung::N,straumur,ప్రవాహము
92,Tropfen::N,dropi,చుక్క
93,Schaum::N,froða,నురుగు
94,Schmutz::N,óhreinindi,మైల
95,See::N,stöðuvatn,సరస్సు
96,Sumpf::N,fen,చిత్తడినేల
97,Moor::N,mýri,చిత్తడినేల
98,Wiese::N,engi,పచ్చిక బయలు
99,Wald::N,skógur,అడవి
100,Hügel::N,hæð,చివ్నకొండ
101,Hügel::N,hóll,చివ్నకొండ
102,Anhöhe::N,hæð,కొండ
103,Anhöhe::N,hóll,కొండ
104,Berg::N,fell,పర్వతము
105,Berg::N,fjall,పర్వతము
106,Gipfel::N,tindur,శిఖరము
107,Höhle::N,hellir,గుహ
108,Abhang::N,hlíð,ఏటవాలు
109,Abhang::N,brekka,ఏటవాలు
110,Quelle::N,lind,మూలము
111,Quelle::N,uppspretta,మూలము
112,Bach::N,lækur,కాలువ
113,Fluss::N,á,నది
114,Fluss::N,fljót,నది
115,Ufer::N,árbakki,తీరము
116,Ufer::N,sjávarbakki,తీరము
117,Küste::N,strönd,తీరము
118,Festland::N,meginland,భూమి
119,Meer::N,haf,సముద్రము
120,Meer::N,sjór,సముద్రము
121,Bucht::N,vík,మరుగు
122,Insel::N,eyja,దీవి
123,Blume::N,blóm,పుష్పము
124,Gras::N,gras,పచ్చగడ్డి
125,Wurzel::N,rót,వేరు
126,Baum::N,tré,చెట్టు
127,Stamm::N,stofn,చెట్టుబోదె
128,Rinde::N,börkur,చెట్టుపట్ట
129,Ast::N,grein,కొమ్మ
130,Zweig::N,angi,చివుకు
131,Zweig::N,kvistur,చివుకు
132,Blatt::N,blað,ఆకు
133,Birke::N,birki,తరహా చెట్టు
134,Kiefer[Baum]::N,fura,దేవదారు చెట్టు
135,Weide[Baum]::N,víðir,జాతిచెట్టు
136,Tanne::N,greni,దేవదారుచెట్టు
137,Horn::N,horn,కొమ్ము
138,Feder::N,fjöður,ఈక
139,Fell::N,skinn,తోలు
140,Flügel::N,vængur,ఱెక్క
141,Klaue::N,kló,వంకరగోరు
142,Kralle::N,kló,వంకరగోరు
143,Schwanz::N,rófa,తోక
144,Schwanz::N,skott,తోక
145,Ei::N,egg,గ్రుడ్డు
146,Nest::N,hreiður,పక్షిగూడు
147,Bau::N,greni,గుహ
148,Bau::N,bæli,గుహ
149,Tier::N,dýr,జంతువు
150,Herde::N,hjörð,మంద
151,Kuh::N,kýr,ఆవు
152,Bulle::N,boli,గిత్త
153,Pferd::N,hestur,గుఱ్ఱము
154,Schaf::N,kind,గొఱ్ఱె
155,Schwein::N,svín,పంది
156,Hund::N,hundur,కుక్క
157,Katze::N,köttur,పిల్లి
158,Bär::N,björn,ఎలుగుబంటి
159,Eichhörnchen::N,íkorni,ఉడుత
160,Elch::N,elgur,కణంజు
161,Fuchs::N,refur,గుంటనక్క
162,Hase::N,héri,కుందేలు
163,Maus::N,mús,చిట్టెలుక
164,Wolf::N,úlfur,తోడేలు
165,Vogel::N,fugl,పక్షి
166,Schwarm::N,sægur,గుంపు
167,Huhn::N,hæna,కోడిపిల్ల
168,Hahn::N,hani,కోడివుంజు
169,Gans::N,gæs,ఆడుబాతు
170,Adler::N,örn,గ్రద్ద
171,Ente::N,önd,పాట్టిబాతు
172,Eule::N,uggla,గ్రుడ్లగూబ
173,Kranich::N,trana,కొంగ
174,Krähe::N,kráka,కాకి
175,Kuckuck::N,gaukur,కోయల
176,Schwan::N,svanur,హంస
177,Fisch::N,fiskur,చేప
178,Barsch::N,aborri,ఒకచేఁప
179,Hecht::N,gedda,గండుమీను
180,Schlange[Tier]::N,naðra,పాము
181,Wurm::N,ormur,పురుగు
182,Spinne::N,kónguló,సాలె పురుగు
183,Ameise::N,maur,చీమ
184,Laus::N,lús,పేను
185,Mücke::N,mý,చీకటీగ
186,Mücke::N,mýfluga,చీకటీగ
187,Fliege::N,fluga,ఈగ
188,Schmetterling::N,fiðrildi,సీతాకోకచిలుక
189,Beere::N,ber,కాయ
190,Apfel::N,epli,ఆపిల్ పండు
191,Pilz::N,sveppur,కుక్కగొడుగు
192,Zwiebel::N,laukur,నీరుల్లి
