,Concept_ID,fr,mn
0,Auge::N,œil,нүд
1,Ohr::N,oreille,чих
2,Nase::N,nez,хамар
3,Mund::N,bouche,ам
4,Zahn::N,dent,шүд
5,Zunge::N,langue,хэл
6,Lippe::N,lèvre,уруул
7,Wange::N,joue,хацар
8,Gesicht::N,face,царай
9,Gesicht::N,face,нүүр
10,Gesicht::N,visage,царай
11,Gesicht::N,visage,нүүр
12,Stirn::N,front,дух
13,Haar::N,cheveu,үс
14,Schnurrbart::N,moustache,дээд сахал
15,Schnurrbart::N,moustache,живэр сахал
16,Bart::N,barbe,сахал
17,Kinn::N,menton,эрүү
18,Kiefer[Anatomie]::N,mâchoire,эрүү
19,Kehle::N,gorge,хоолой
20,Hals::N,cou,хүзүү
21,Genick::N,nuque,шил
22,Genick::N,nuque,хүзүү
23,Kopf::N,tête,толгой
24,Rücken::N,dos,ар
25,Rücken::N,dos,нуруу
26,Bauch::N,ventre,хэвлий
27,Bauch::N,ventre,гэдэс
28,Nabel::N,nombril,хүйс
29,Busen::N,sein,хөх
30,Brust::N,poitrine,цээж
31,Schulter::N,épaule,мөр
32,Schulter::N,épaule,бугалга
33,Arm::N,bras,гар
34,Ellenbogen::N,coude,тохой
35,Hand::N,main,гар
36,Hand::N,main,алга
37,Handfläche::N,paume,алга
38,Finger::N,doigt,хуруу
39,Fingernagel::N,ongle,хурууны хумс
40,Nagel[Anatomie]::N,ongle,хумс
41,Zeh::N,orteil,хуруу
42,Zeh::N,doigt de pied,хуруу
43,Fuß::N,pied,хөл
44,Ferse::N,talon,өсгий
45,Knie::N,genou,өвдөг
46,Oberschenkel::N,cuisse,гуя
47,Bein::N,jambe,хөл
48,Körper::N,corps,бие
49,Haut::N,peau,арьс
50,Blut::N,sang,цус
51,Ader::N,veine,судас
52,Sehne::N,tendon,бүлх
53,Sehne::N,tendon,шандас
54,Knochen::N,os,яс
55,Gehirn::N,cerveau,тархи
56,Herz::N,cœur,зүрх
57,Magen::N,estomac,ходоод
58,Leber::N,foie,элэг
59,Atem::N,haleine,амьсгаа
60,Hunger::N,faim,өлсгөлөн
61,Träne::N,larme,нулимс
62,Geschmack::N,goût,амт
63,Geschmack::N,saveur,амт
64,Geruch::N,odeur,үнэр
65,Schlaf::N,sommeil,нойр
66,Traum::N,songe,зүүд
67,Himmel::N,ciel,тэнгэр
68,Himmel::N,ciel,огторгуй
69,Sonne::N,soleil,нар
70,Mond::N,lune,сар
71,Stern::N,étoile,од
72,Luft::N,air,агаар
73,Wind::N,vent,салхи
74,Welle::N,vague,долгио
75,Welle::N,vague,давалгаа
76,Wasser::N,eau,ус
77,Stein::N,pierre,чулуу
78,Boden::N,sol,хөрс
79,Boden::N,terrain,хөрс
80,Erde::N,terre,газар
81,Erde::N,terre,шороо
82,Staub::N,poussière,тоос
83,Rauch::N,fumée,утаа
84,Funke::N,étincelle,оч
85,Feuer::N,feu,гал
86,Licht::N,lumière,гэрэл
87,Licht::N,lumière,гэгээ
88,Schatten::N,ombre,сүүдэр
89,Wetter::N,temps,тэнгэр
90,Wetter::N,temps,цаг уур
91,Nebel::N,brume,будан
92,Nebel::N,brouillard,будан
93,Wolke::N,nuage,үүл
94,Regen::N,pluie,бороо
95,Schnee::N,neige,цас
96,Eis::N,glace,мөс
97,Frost::N,gel,хүйт
98,Frost::N,gelée,хүйт
99,Kälte::N,froid,хүйт
100,Hitze::N,chaleur,халуун
101,Raureif::N,givre,цан
102,Raureif::N,givre,хяруу
103,Regenbogen::N,arc-en-ciel,солонго
104,Donner::N,tonnerre,тэнгэрийн дуу
105,Strömung::N,courant,урсгал
106,Tropfen::N,goutte,дусал
107,Schaum::N,écume,хөөс
108,Schaum::N,mousse,хөөс
109,Schmutz::N,boue,хир
110,Schmutz::N,boue,шавхай
111,Schmutz::N,saleté,хир
112,Schmutz::N,saleté,шавхай
113,See::N,lac,нуур
114,Sumpf::N,marais,намаг
115,Sumpf::N,marais,балчиг
116,Sumpf::N,marécage,намаг
117,Sumpf::N,marécage,балчиг
118,Moor::N,tourbière,хүлрийн намаг
119,Wiese::N,pré,нуга
120,Wald::N,bois,ой
121,Wald::N,forêt,ой
122,Hügel::N,coteau,болдог
123,Hügel::N,colline,болдог
124,Anhöhe::N,éminence,гүвээ
125,Anhöhe::N,élévation,гүвээ
126,Berg::N,mont,уул
127,Berg::N,montagne,уул
128,Gipfel::N,cime,орой
129,Gipfel::N,cime,оргил
130,Gipfel::N,sommet,орой
131,Gipfel::N,sommet,оргил
132,Höhle::N,caverne,агуй
133,Abhang::N,pente,хүр
134,Abhang::N,versant,хүр
135,Quelle::N,source,булаг
136,Quelle::N,fontaine,булаг
137,Bach::N,ruisseau,горхи
138,Fluss::N,fleuve,гол
139,Fluss::N,fleuve,мөрөн
140,Fluss::N,rivière,гол
141,Fluss::N,rivière,мөрөн
142,Ufer::N,bord,эрэг
143,Ufer::N,rivage,эрэг
144,Küste::N,côte,эрэг
145,Festland::N,terre ferme,хуурай газар
146,Meer::N,mer,далай
147,Meer::N,mer,тэнгис
148,Bucht::N,baie,булан
149,Bucht::N,baie,далайн тохой
150,Insel::N,île,арал
151,Blume::N,fleur,цэцэг
152,Gras::N,herbe,өвс
153,Gras::N,herbe,ногоо
154,Wurzel::N,racine,үндэс
155,Baum::N,arbre,мод
156,Stamm::N,tronc,иш
157,Stamm::N,tronc,гуалин
158,Rinde::N,écorce,холтос
159,Ast::N,branche,гишүү
160,Zweig::N,rameau,салаа
161,Blatt::N,feuille,навч
162,Birke::N,bouleau,хус
163,Kiefer[Baum]::N,pin,нарс
164,Weide[Baum]::N,saule,уд
165,Weide[Baum]::N,saule,бургас
166,Tanne::N,sapin,гачуур
167,Horn::N,corne,эвэр
168,Feder::N,plume,өд
169,Fell::N,peau,арьс
170,Flügel::N,aile,жигүүр
171,Flügel::N,aile,далавч
172,Klaue::N,serre,савар
173,Klaue::N,serre,хумс
174,Kralle::N,ongle,савар
175,Kralle::N,griffe,савар
176,Schwanz::N,queue,сүүл
177,Ei::N,œuf,өндөг
178,Nest::N,nid,үүр
179,Bau::N,terrier,нүх
180,Bau::N,terrier,элүү
181,Tier::N,animal,амьтан
182,Tier::N,animal,адгуус
183,Herde::N,troupeau,сүрэг
184,Kuh::N,vache,үнээ
185,Bulle::N,taureau,бух
186,Pferd::N,cheval,морь
187,Pferd::N,cheval,адуу
188,Schaf::N,mouton,хонь
189,Schwein::N,porc,гахай
190,Schwein::N,cochon,гахай
191,Hund::N,chien,нохой
192,Katze::N,chat,муур
193,Katze::N,chat,мигуй
194,Bär::N,ours,баавгай
195,Eichhörnchen::N,écureuil,хэрэм
196,Elch::N,élan,хандгай
197,Fuchs::N,renard,үнэг
198,Hase::N,lièvre,туулай
199,Maus::N,souris,хулгана
200,Wolf::N,loup,чоно
201,Vogel::N,oiseau,шувуу
202,Schwarm::N,nuée,сүрэг
203,Schwarm::N,volée,сүрэг
204,Huhn::N,poule,тахиа
205,Hahn::N,coq,эр тахиа
206,Gans::N,oie,галуу
207,Adler::N,aigle,бүргэд
208,Ente::N,canard,нугас
209,Eule::N,hibou,ууль
210,Kranich::N,grue,тогоруу
211,Krähe::N,corneille,хэрээ
212,Kuckuck::N,coucou,хөхөө
213,Schwan::N,cygne,хун
214,Fisch::N,poisson,загас
215,Barsch::N,perche,алгана
216,Hecht::N,brochet,цурхай
217,Schlange[Tier]::N,serpent,могой
218,Wurm::N,ver,өт
219,Wurm::N,ver,хорхой
220,Spinne::N,araignée,аалз
221,Ameise::N,fourmi,шоргоолж
222,Laus::N,pou,бөөс
223,Mücke::N,moucheron,шумуул
224,Fliege::N,mouche,ялаа
225,Schmetterling::N,papillon,эрвээхэй
226,Beere::N,baie,жимсгэнэ
227,Apfel::N,pomme,алим
228,Pilz::N,champignon,мөөг
229,Zwiebel::N,oignon,сонгино
230,Saat::N,semence,тариа
231,Korn::N,grain,үр
232,Korn::N,grain,мөхлөг
233,Heu::N,foin,өвс
234,Schale::N,pelure,хальс
235,Grube::N,fosse,алам
236,Grube::N,fosse,нүх
237,Falle::N,piège,хавх
238,Falle::N,piège,занга
239,Schlinge::N,lacs,урхи
240,Spur::N,trace,мөр
241,Asche::N,cendre,үнс
242,Dreck::N,crotte,хир
243,Eisen::N,fer,төмөр
244,Gold::N,or,алт
245,Silber::N,argent,мөнгө
246,Kohle::N,charbon,нүүрс
247,Glas::N,verre,шил
