,Concept_ID,se,vep
0,Auge::N,tjelmie,sil'm
1,Auge::N,tjalmme,sil'm
2,Auge::N,čalbmi,sil'm
3,Auge::N,čalme,sil'm
4,Auge::N,čâ´lmm,sil'm
5,Auge::N,ча̄лльм,sil'm
6,Ohr::N,bieljie,korv
7,Ohr::N,biellje,korv
8,Ohr::N,beallji,korv
9,Ohr::N,pelji,korv
10,Ohr::N,pe´llj,korv
11,Ohr::N,пе̄лльй,korv
12,Nase::N,njuenie,nena
13,Nase::N,njunnje,nena
14,Nase::N,njunni,nena
15,Nase::N,njuṇe,nena
16,Nase::N,njuu´nn,nena
17,Nase::N,нюннҍ,nena
18,Mund::N,njaelmie,su
19,Mund::N,njálmme,su
20,Mund::N,njálbmi,su
21,Mund::N,njälmi,su
22,Mund::N,njä´lmm,su
23,Mund::N,ня̄лльм,su
24,Zahn::N,baenie,pi
25,Zahn::N,baenie,hambaz
26,Zahn::N,bádne,pi
27,Zahn::N,bádne,hambaz
28,Zahn::N,bátni,pi
29,Zahn::N,bátni,hambaz
30,Zahn::N,pääṇi,pi
31,Zahn::N,pääṇi,hambaz
32,Zahn::N,pää´nn,pi
33,Zahn::N,pää´nn,hambaz
34,Zahn::N,па̄ннҍ,pi
35,Zahn::N,па̄ннҍ,hambaz
36,Zunge::N,njoektjeme,kel'
37,Zunge::N,njuovtjav,kel'
38,Zunge::N,njuovčča,kel'
39,Zunge::N,njuovčâ,kel'
40,Zunge::N,njuhččâm,kel'
41,Zunge::N,нюхчем,kel'
42,Lippe::N,bangseme,hul'
43,Lippe::N,njálmmerabdda,hul'
44,Lippe::N,bavssa,hul'
45,Lippe::N,poovsâ,hul'
46,Lippe::N,põõus,hul'
47,Lippe::N,пэ̄кс,hul'
48,Wange::N,skiehrie,modpolišk
49,Wange::N,nierra,modpolišk
50,Wange::N,muohtu,modpolišk
51,Wange::N,nieṛâ,modpolišk
52,Wange::N,njiõrr,modpolišk
53,Wange::N,нӣрр,modpolišk
54,Gesicht::N,ååredæjja,mod
55,Gesicht::N,muohto,mod
56,Gesicht::N,muođut,mod
57,Gesicht::N,ámadadju,mod
58,Gesicht::N,muáđuh,mod
59,Gesicht::N,muâđ,mod
60,Gesicht::N,ка̄ссв,mod
61,Stirn::N,gaalloe,oc
62,Stirn::N,gállo,oc
63,Stirn::N,gállu,oc
64,Stirn::N,kállu,oc
65,Stirn::N,käll,oc
66,Stirn::N,вуэххьц,oc
67,Haar::N,voepte,tuk
68,Haar::N,voepte,hibuz
69,Haar::N,vuoppta,tuk
70,Haar::N,vuoppta,hibuz
71,Haar::N,vuokta,tuk
72,Haar::N,vuokta,hibuz
73,Haar::N,vuop'tâ,tuk
74,Haar::N,vuop'tâ,hibuz
