,Concept_ID,is,it
0,Auge::N,auga,occhio
1,Ohr::N,eyra,orecchio
2,Nase::N,nef,naso
3,Mund::N,munnur,bocca
4,Zahn::N,tönn,dente
5,Zunge::N,tunga,lingua
6,Lippe::N,vör,labbro
7,Wange::N,kinn,guancia
8,Wange::N,vangi,guancia
9,Gesicht::N,andlit,viso
10,Gesicht::N,andlit,faccia
11,Stirn::N,enni,fronte
12,Haar::N,hár,capello
13,Schnurrbart::N,yfirskegg,baffi
14,Schnurrbart::N,yfirskegg,mustacchi
15,Bart::N,skegg,barba
16,Kinn::N,haka,mento
17,Kiefer[Anatomie]::N,kjálki,mascella
18,Kiefer[Anatomie]::N,skoltur,mascella
19,Kehle::N,kverk,gola
20,Hals::N,háls,collo
21,Genick::N,hnakki,nuca
22,Kopf::N,höfuð,capo
23,Kopf::N,höfuð,testa
24,Rücken::N,hryggur,dorso
25,Rücken::N,hryggur,schiena
26,Bauch::N,kviður,ventre
27,Nabel::N,nafli,ombelico
28,Busen::N,barmur,seno
29,Brust::N,brjóst,petto
30,Schulter::N,öxl,spalla
31,Arm::N,armur,braccio
32,Ellenbogen::N,olnbogi,gomito
33,Hand::N,hönd,mano
34,Handfläche::N,lófi,palma
35,Finger::N,fingur,dito
36,Fingernagel::N,fingurnögl,unghia
37,Nagel[Anatomie]::N,nögl,unghia
38,Zeh::N,tá,dito del piede
39,Fuß::N,fótur,piede
40,Ferse::N,hæll,tallone
41,Ferse::N,hæll,calcagno
42,Knie::N,kné,ginocchio
43,Oberschenkel::N,læri,fèmore
44,Bein::N,fótleggur,gamba
45,Körper::N,búkur,corpo
46,Körper::N,líkami,corpo
47,Haut::N,húð,pelle
48,Haut::N,skinn,pelle
49,Blut::N,blóð,sangue
50,Ader::N,æð,vena
51,Sehne::N,sin,tèndine
52,Knochen::N,bein,osso
53,Gehirn::N,heili,cervello
54,Herz::N,hjarta,cuore
55,Magen::N,magi,stòmaco
56,Leber::N,lifur,fegato
57,Atem::N,andi,fiato
58,Atem::N,andi,respiro
59,Atem::N,andardráttur,fiato
60,Atem::N,andardráttur,respiro
61,Hunger::N,hungur,fame
62,Träne::N,tár,làcrima
63,Geschmack::N,smekkur,gusto
64,Geschmack::N,smekkur,sapore
65,Geruch::N,lykt,odore
66,Schlaf::N,svefn,sonno
67,Traum::N,draumur,sogno
68,Himmel::N,himinn,cielo
69,Sonne::N,sól,sole
70,Mond::N,tungl,luna
71,Stern::N,stjarna,stella
72,Luft::N,loft,aria
73,Wind::N,vindur,vento
74,Welle::N,alda,onda
75,Welle::N,bylgja,onda
76,Wasser::N,vatn,acqua
77,Stein::N,steinn,sasso
78,Stein::N,steinn,pietra
79,Boden::N,botn,suolo
80,Boden::N,botn,terreno
81,Erde::N,jörð,terra
82,Staub::N,ryk,polvere
83,Staub::N,duft,polvere
84,Rauch::N,reykur,fumo
85,Funke::N,neisti,scintilla
86,Feuer::N,eldur,fuoco
87,Licht::N,ljós,luce
88,Schatten::N,skuggi,ombra
89,Wetter::N,veður,tempo
90,Nebel::N,þoka,nebbia
91,Wolke::N,ský,nube
92,Wolke::N,ský,nùvola
93,Regen::N,regn,pioggia
94,Schnee::N,snjór,neve
95,Eis::N,ís,ghiaccio
96,Frost::N,frost,gelo
97,Kälte::N,kuldi,freddo
98,Hitze::N,hiti,caldo
99,Hitze::N,hiti,calura
100,Raureif::N,hrím,brina
101,Regenbogen::N,regnbogi,arcobaleno
102,Donner::N,þruma,tuono
103,Strömung::N,straumur,corrente
104,Tropfen::N,dropi,goccia
105,Schaum::N,froða,spuma
106,Schaum::N,froða,schiuma
107,Schmutz::N,óhreinindi,sudiciume
108,See::N,stöðuvatn,lago
109,Sumpf::N,fen,palude
110,Moor::N,mýri,torbiera
111,Wiese::N,engi,prato
112,Wald::N,skógur,bosco
113,Wald::N,skógur,foresta
114,Hügel::N,hæð,colle
115,Hügel::N,hæð,collina
116,Hügel::N,hóll,colle
117,Hügel::N,hóll,collina
118,Anhöhe::N,hæð,altura
119,Anhöhe::N,hóll,altura
120,Berg::N,fell,monte
121,Berg::N,fell,montagna
122,Berg::N,fjall,monte
123,Berg::N,fjall,montagna
124,Gipfel::N,tindur,cima
125,Höhle::N,hellir,grotta
126,Höhle::N,hellir,caverna
127,Abhang::N,hlíð,pendìo
128,Abhang::N,brekka,pendìo
129,Quelle::N,lind,sorgente
130,Quelle::N,uppspretta,sorgente
131,Bach::N,lækur,ruscello
132,Fluss::N,á,fiume
133,Fluss::N,fljót,fiume
134,Ufer::N,árbakki,riva
135,Ufer::N,sjávarbakki,riva
136,Küste::N,strönd,costa
137,Festland::N,meginland,terraferma
138,Meer::N,haf,mare
139,Meer::N,sjór,mare
140,Bucht::N,vík,cala
141,Insel::N,eyja,ìsola
142,Blume::N,blóm,fiore
143,Gras::N,gras,erba
144,Wurzel::N,rót,radice
145,Baum::N,tré,àlbero
146,Stamm::N,stofn,tronco
147,Rinde::N,börkur,corteccia
148,Ast::N,grein,ramo
149,Zweig::N,angi,ramo
150,Zweig::N,kvistur,ramo
151,Blatt::N,blað,foglia
152,Birke::N,birki,betulla
153,Kiefer[Baum]::N,fura,pino
154,Weide[Baum]::N,víðir,sàlice
155,Tanne::N,greni,abete
156,Horn::N,horn,corno
157,Feder::N,fjöður,penna
158,Fell::N,skinn,manto
159,Fell::N,skinn,pelame
160,Flügel::N,vængur,ala
161,Klaue::N,kló,grinfia
162,Kralle::N,kló,unghia
163,Kralle::N,kló,artiglio
164,Schwanz::N,rófa,coda
165,Schwanz::N,skott,coda
166,Ei::N,egg,uovo
167,Nest::N,hreiður,nido
168,Bau::N,greni,covo
169,Bau::N,bæli,covo
170,Tier::N,dýr,bestia
171,Tier::N,dýr,animale
172,Herde::N,hjörð,gregge
173,Kuh::N,kýr,vacca
174,Bulle::N,boli,toro
175,Pferd::N,hestur,cavallo
176,Schaf::N,kind,pècora
177,Schwein::N,svín,porco
178,Schwein::N,svín,maiale
179,Hund::N,hundur,cane
180,Katze::N,köttur,gatta
181,Bär::N,björn,orso
182,Eichhörnchen::N,íkorni,scoiàttolo
183,Elch::N,elgur,alce
184,Fuchs::N,refur,volpe
185,Hase::N,héri,lepre
186,Maus::N,mús,topo
187,Maus::N,mús,sorcio
188,Wolf::N,úlfur,lupo
189,Vogel::N,fugl,uccello
190,Schwarm::N,sægur,stormo
191,Huhn::N,hæna,gallina
192,Hahn::N,hani,gallo
193,Gans::N,gæs,oca
194,Adler::N,örn,àquila
195,Ente::N,önd,ànatra
196,Eule::N,uggla,gufo
197,Eule::N,uggla,civetta
198,Kranich::N,trana,gru
199,Krähe::N,kráka,cornacchia
200,Kuckuck::N,gaukur,cuccù
201,Kuckuck::N,gaukur,cùculo
202,Schwan::N,svanur,cigno
203,Fisch::N,fiskur,pesce
204,Barsch::N,aborri,pèrsico
205,Hecht::N,gedda,luccio
206,Schlange[Tier]::N,naðra,serpente
207,Wurm::N,ormur,baco
208,Wurm::N,ormur,verme
209,Spinne::N,kónguló,ragno
210,Ameise::N,maur,formica
211,Laus::N,lús,pidocchio
212,Mücke::N,mý,zanzara
213,Mücke::N,mýfluga,zanzara
214,Fliege::N,fluga,mosca
215,Schmetterling::N,fiðrildi,farfalla
216,Beere::N,ber,bacca
217,Apfel::N,epli,mela
218,Pilz::N,sveppur,fungo
219,Zwiebel::N,laukur,cipolla
220,Saat::N,fræ,semente
221,Saat::N,útsæði,semente
222,Korn::N,korn,grano
223,Heu::N,hey,fieno
224,Schale::N,hýði,buccia
225,Grube::N,gryfja,cava
226,Grube::N,gryfja,fossa
227,Falle::N,gildra,tràppola
228,Schlinge::N,snara,laccio
229,Spur::N,spor,traccia
230,Asche::N,aska,cenere
231,Dreck::N,óþverri,fango
232,Eisen::N,járn,ferro
233,Gold::N,gull,oro
234,Silber::N,silfur,argento
235,Kohle::N,kol,carbone
236,Glas::N,gler,vetro
237,Lehm::N,leir,argilla
238,Sand::N,sandur,arena
239,Sand::N,sandur,sabbia
240,Mensch::N,maður,uomo
241,Mensch::N,maður,èssere umano
242,Mensch::N,manneskja,uomo
243,Mensch::N,manneskja,èssere umano
244,Mann::N,maður,uomo
245,Mann::N,karlmaður,uomo
246,Frau::N,kona,donna
247,Kind::N,barn,bambino
248,Kind::N,krakki,bambino
249,Junge::N,drengur,ragazzo
250,Mädchen::N,stelpa,ragazza
251,Familie::N,fjölskylda,famiglia
252,Großvater::N,afi,nonno
253,Großmutter::N,amma,nonna
254,Eltern::N,foreldrar,genitori
255,Vater::N,faðir,padre
256,Mutter::N,móðir,madre
257,Sohn::N,sonur,figlio
258,Tochter::N,dóttir,figlia
259,Bruder::N,bróðir,fratello
260,Schwester::N,systir,sorella
261,Onkel::N,föðurbróðir,zio
262,Tante::N,frænka,zia
263,Tante::N,móðursystir,zia
264,Ehemann::N,eiginmaður,marito
265,Ehefrau::N,eiginkona,moglie
266,Freude::N,gleði,gioia
267,Freude::N,gleði,piacere
268,Gelächter::N,hlátur,risata
269,Glück::N,gæfa,felicità
270,Kummer::N,sorg,afflizione
271,Wunsch::N,ósk,desiderio
272,Lust::N,fýsn,voglia
273,Lust::N,löngun,voglia
274,Geist::N,andi,mente
275,Geist::N,andi,spìrito
276,Gedanke::N,hugsun,idea
277,Gedanke::N,hugsun,pensiero
278,Gedächtnis::N,minni,memoria
279,Verstand::N,vit,intelletto
280,Sinn::N,merking,senso
281,Sinn::N,merking,significato
282,Grund::N,ástæða,causa
283,Grund::N,ástæða,motivo
284,Grund::N,ástæða,ragione
285,Wahrheit::N,sannleikur,verità
286,Gespräch::N,samtal,discorso
287,Gespräch::N,samtal,conversazione
288,Märchen::N,ævintýri,fiaba
289,Märchen::N,ævintýri,fàvola
290,Erzählung::N,saga,racconto
291,Erzählung::N,saga,narrazione
292,Nachricht::N,frétt,messaggio
293,Neuigkeit::N,frétt,notizia
294,Name::N,nafn,nome
295,Rätsel::N,gáta,indovinello
296,Rede::N,ræða,discorso
297,Sprache::N,mál,lingua
298,Sprache::N,mál,linguaggio
299,Sprache::N,tungumál,lingua
300,Sprache::N,tungumál,linguaggio
301,Stimme::N,rödd,voce
302,Wort::N,orð,parola
303,Zeichen::N,tákn,segno
304,Zeichen::N,tákn,segnale
305,Zeichen::N,merki,segno
306,Zeichen::N,merki,segnale
307,Ruf::N,kall,chiamata
308,Lärm::N,hávaði,chiasso
309,Lärm::N,hávaði,strèpito
310,Laut::N,hljóð,suono
311,Ton::N,tónn,tono
312,Lied::N,ljóð,canto
313,Lied::N,ljóð,canzone
314,Lied::N,söngur,canto
315,Lied::N,söngur,canzone
316,Ruhe::N,ró,calma
317,Ruhe::N,ró,tranquillità
318,Ruhe::N,kyrrð,calma
319,Ruhe::N,kyrrð,tranquillità
320,Leute::N,fólk,gente
321,Volk::N,þjóð,pòpolo
322,Arbeit::N,vinna,lavoro
323,Gast::N,gestur,òspite
324,Gast::N,gestur,invitato
325,Geschenk::N,gjöf,regalo
326,Spiel::N,leikur,gioco
327,Gesellschaft::N,selskapur,compagnìa
328,Hilfe::N,hjálp,aiuto
329,Hilfe::N,hjálp,soccorso
330,Freund::N,vinur,amico
331,Kamerad::N,félagi,camerata
332,Angelegenheit::N,mál,affare
333,Angelegenheit::N,mál,faccenda
334,Angelegenheit::N,málefni,affare
335,Angelegenheit::N,málefni,faccenda
336,Anzahl::N,tala,nùmero
337,Anzahl::N,tala,quantità
338,Anzahl::N,fjöldi,nùmero
339,Anzahl::N,fjöldi,quantità
340,Art::N,tegund,tipo
341,Art::N,tegund,specie
342,Stück::N,biti,pezzo
343,Stück::N,stykki,pezzo
344,Teil::N,hluti,parte
345,Teil::N,partur,parte
346,Hälfte::N,helmingur,metà
347,Kreis::N,hringur,cìrcolo
348,Kreuz::N,kross,croce
349,Kreuz::N,krossmark,croce
350,Linie::N,lína,lìnea
351,Strich::N,strik,tratto
352,Abstand::N,millibil,distanza
353,Entfernung::N,fjarlægð,distanza
354,Entfernung::N,fjarlægð,lontananza
355,Gegend::N,hérað,regione
356,Platz::N,pláss,posto
357,Platz::N,pláss,spazio
358,Ort::N,staður,luogo
359,Ort::N,staður,località
360,Seite::N,hlið,lato
361,Seite::N,hlið,parte
362,Mitte::N,miðja,mezzo
363,Mitte::N,miðja,centro
364,Gegenstand::N,hlutur,oggetto
365,Sache::N,mál,cosa
366,Rand::N,brún,orlo
367,Rand::N,brún,bordo
368,Kante::N,rönd,spìgolo
369,Ecke::N,horn,canto
370,Spitze::N,oddur,punta
371,Ende::N,endi,capo
372,Ende::N,endi,estremità
373,Loch::N,gat,buco
374,Loch::N,hola,buco
375,Winkel::N,skot,àngolo
376,Winkel::N,krókur,àngolo
377,Muster::N,munstur,disegno
378,Größe::N,stærð,taglia
379,Größe::N,stærð,grandezza
380,Länge::N,lengd,lunghezza
381,Höhe::N,hæð,altezza
382,Gewicht::N,vigt,peso
383,Gewicht::N,þyngd,peso
384,Menge::N,magn,quantità
385,Haufen::N,hrúga,cùmulo
386,Haufen::N,hrúga,mucchio
387,Haufen::N,haugur,cùmulo
388,Haufen::N,haugur,mucchio
389,Reihe::N,röð,fila
390,Boot::N,bátur,barca
391,Boot::N,bátur,battello
392,Ruder::N,ár,remo
393,Schlitten::N,sleði,slitta
394,Ski::N,skíði,sci
395,Lagerfeuer::N,varðeldur,falò
396,Lagerfeuer::N,varðeldur,fuoco di bivacco
397,Last::N,byrði,càrico
398,Last::N,farmur,càrico
399,Gang::N,ganga,andata
400,Schritt::N,skref,passo
401,Norden::N,norður,nord
402,Norden::N,norður,settentrione
403,Süden::N,suður,sud
404,Süden::N,suður,meridione
405,Westen::N,vestur,òvest
406,Westen::N,vestur,occidente
407,Osten::N,austur,est
408,Osten::N,austur,oriente
409,Holz::N,viður,legno
410,Brett::N,fjöl,asse
411,Brett::N,fjöl,tàvola
412,Platte::N,flötur,lastra
413,Platte::N,flötur,piastra
414,Stütze::N,stoð,supporto
415,Stange::N,stöng,sbarra
416,Stange::N,stöng,pèrtica
417,Stock::N,prik,verga
418,Stock::N,prik,bastone
419,Stock::N,prik,bacchetta
420,Stock::N,stafur,verga
421,Stock::N,stafur,bastone
422,Stock::N,stafur,bacchetta
423,Stab::N,prik,asta
424,Stab::N,stafur,asta
425,Rohr::N,rör,tubo
426,Rohr::N,pípa,tubo
427,Haus::N,hús,casa
428,Heim::N,heimili,casa
429,Ofen::N,ofn,stufa
430,Fußboden::N,gólf,pavimento
431,Tisch::N,borð,tàvolo
432,Stuhl::N,stóll,sedia
433,Wiege::N,vagga,culla
434,Bett::N,rúm,letto
435,Bett::N,hvíla,letto
436,Regal::N,hilla,scaffale
437,Kiste::N,kassi,cassa
438,Fenster::N,gluggi,finestra
439,Tür::N,dyr,porta
440,Tür::N,hurð,porta
441,Tor::N,hlið,portone
442,Zaun::N,girðing,recinto
443,Zaun::N,limgarður,recinto
444,Dach::N,þak,tetto
445,Leiter::N,stigi,scala
446,Leiter::N,stigi,scala a pioli
447,Besen::N,sópur,scopa
448,Spaten::N,spaði,vanga
449,Schaufel::N,skófla,pala
450,Gabel::N,gaffall,forchetta
451,Löffel::N,skeið,cucchiaio
452,Messer::N,hnífur,coltello
453,Nagel::N,nögl,chiodo
454,Netz::N,net,rete
455,Haken::N,krókur,uncino
456,Griff::N,tak,mànico
457,Griff::N,tak,maniglia
458,Schloss::N,lás,serratura
459,Bild::N,mynd,quadro
460,Bild::N,mynd,immàgine
461,Figur::N,stytta,figura
462,Puppe::N,brúða,bàmbola
463,Beutel::N,poki,borsa
464,Beutel::N,poki,sacchetto
465,Beutel::N,baggi,borsa
466,Beutel::N,baggi,sacchetto
467,Bündel::N,böggull,fascio
468,Bündel::N,böggull,fagotto
469,Tasche::N,veski,borsa
470,Eimer::N,fata,secchio
471,Deckel::N,lok,coperchio
472,Geschirr::N,leirtau,stoviglie
473,Sack::N,sekkur,sacco
474,Tasse::N,bolli,tazza
475,Topf::N,pottur,pèntola
476,Kessel::N,ketill,paiolo
477,Kessel::N,ketill,calderone
478,Essen::N,matur,pasto
479,Essen::N,matur,mangiare
480,Nahrung::N,fæða,cibo
481,Nahrung::N,fæða,alimento
482,Speise::N,réttur,piatto
483,Speise::N,matarréttur,piatto
484,Fleisch::N,kjöt,carne
485,Getreide::N,korn,cereali
486,Brei::N,grautur,purè
487,Brei::N,grautur,pappa
488,Brot::N,brauð,pane
489,Scheibe::N,sneið,fetta
490,Scheibe::N,sneið,trancia
491,Fett::N,fita,grasso
492,Butter::N,smjör,burro
493,Öl::N,olía,olio
494,Salz::N,salt,sale
495,Suppe::N,súpa,zuppa
496,Suppe::N,súpa,minestra
497,Honig::N,hunang,miele
498,Milch::N,mjólk,latte
499,Tee::N,te,tè
500,Leder::N,skinn,pelle
501,Wolle::N,ull,lana
502,Stoff::N,dúkur,panno
503,Stoff::N,dúkur,tessuto
504,Nadel::N,nál,ago
505,Faden::N,þráður,filo
506,Knopf::N,tala,bottone
507,Knopf::N,hnappur,bottone
508,Knoten::N,hnútur,nodo
509,Farbe::N,málning,pittura
510,Kleidung::N,búningur,vestiti
511,Kleidung::N,búningur,vestiario
512,Kleidung::N,klæðnaður,vestiti
513,Kleidung::N,klæðnaður,vestiario
514,Hemd::N,skyrta,camicia
