,Concept_ID,eu,he
0,Auge::N,begi,עין
1,Ohr::N,belarri,אזן
2,Nase::N,sudur,אף
3,Nase::N,sudur,חטם
4,Mund::N,aho,פה
5,Zahn::N,hortz,שן
6,Zunge::N,mihi,לשון
7,Lippe::N,ezpain,שפה
8,Wange::N,masail,לחי
9,Gesicht::N,aurpegi,פנים
10,Stirn::N,bekoki,מצח
11,Haar::N,ile,שערה
12,Haar::N,bilo,שערה
13,Schnurrbart::N,bibote,שפם
14,Schnurrbart::N,sudurpeko,שפם
15,Bart::N,bizar,זקן
16,Kinn::N,kokots,סנטר
17,Kiefer[Anatomie]::N,masailezur,לסת
18,Kehle::N,eztarri,גרון
19,Hals::N,sama,צואר
20,Genick::N,garondo,ערף
21,Kopf::N,buru,ראש
22,Rücken::N,bizkar,גב
23,Bauch::N,sabel,בטן
24,Nabel::N,zilbor,טבור
25,Busen::N,titi,שד
26,Busen::N,ugatz,שד
27,Brust::N,bular,חזה
28,Schulter::N,besaburu,כתף
29,Arm::N,beso,זרוע
30,Ellenbogen::N,ukondo,מרפק
31,Hand::N,esku,יד
32,Handfläche::N,ahur,כף יד
33,Finger::N,hatz,אצבע
34,Fingernagel::N,azazkal,צפרן
35,Nagel[Anatomie]::N,azazkal,צפרן
36,Zeh::N,behatz,אצבע
37,Fuß::N,oin,רגל
38,Ferse::N,orpo,עקב
39,Ferse::N,oinburu,עקב
40,Knie::N,belaun,ברך
41,Oberschenkel::N,izter,ירך
42,Bein::N,zango,רגל
43,Körper::N,soin,גוף
44,Haut::N,azal,עור
45,Blut::N,odol,דם
46,Ader::N,zain,וריד
47,Sehne::N,gihar-zain,גיד
48,Knochen::N,hezur,עצם
49,Gehirn::N,garun,מוח
50,Gehirn::N,burmuin,מוח
51,Herz::N,bihotz,לב
52,Magen::N,urdail,קבה
53,Leber::N,gibel,כבד
54,Atem::N,hats,נשימה
55,Atem::N,arnasa,נשימה
56,Hunger::N,gose,רעב
57,Träne::N,malko,דמעה
58,Geschmack::N,dasta,טעם
59,Geruch::N,usain,ריח
60,Schlaf::N,lo,שנה
61,Traum::N,amets,חלום
62,Himmel::N,zeru,שמים
63,Sonne::N,eguzki,שמש
64,Mond::N,ilargi,ירח
65,Stern::N,izar,כוכב
66,Luft::N,aire,אויר
67,Wind::N,haize,רוח
68,Welle::N,uhin,גל
69,Welle::N,olatu,גל
70,Wasser::N,ur,מים
71,Stein::N,harri,אבן
72,Boden::N,lur,קרקע
73,Boden::N,zoru,קרקע
74,Erde::N,lur,אדמה
75,Staub::N,hauts,אבק
76,Rauch::N,ke,עשן
77,Funke::N,zirta,ניצוץ
78,Funke::N,txinparta,ניצוץ
79,Feuer::N,su,אש
80,Licht::N,argi,אור
81,Schatten::N,itzal,צל
82,Schatten::N,geriza,צל
83,Wetter::N,eguraldi,מזג אויר
84,Nebel::N,laino,ערפל
85,Wolke::N,hodei,ענן
86,Regen::N,euri,גשם
87,Schnee::N,elur,שלג
88,Eis::N,horma,קרח
89,Frost::N,izotzaldi,צנה
90,Kälte::N,hotz,קר
91,Hitze::N,bero,חם
92,Raureif::N,antzigar,כפור
93,Regenbogen::N,ostadar,קשת
94,Regenbogen::N,ortzadar,קשת
95,Donner::N,ostots,רעם
96,Donner::N,ihurtzuri,רעם
97,Strömung::N,laster,זרימה
98,Tropfen::N,xorta,טפה
99,Schaum::N,bits,קצף
