,Concept_ID,av,uz
0,Ohr::N,гӏин,quloq
1,Nase::N,мегӏер,burun
2,Mund::N,кӏал,og'iz
3,Zahn::N,гӏус,tish
4,Zunge::N,мацӏ,til
5,Lippe::N,кӏветӏ,dudoq
6,Wange::N,гӏоно,bet
7,Gesicht::N,гьумер,yuz
8,Stirn::N,нодо,manglay
9,Haar::N,рас,soch
10,Schnurrbart::N,михъ,mo'ylov
11,Bart::N,мегеж,soqol
12,Kinn::N,нилъу,ängak
13,Kiefer[Anatomie]::N,чанагъ,iyak
14,Kehle::N,щекъер,bo'g'iz
15,Hals::N,габур,bo'yin
16,Genick::N,гъванща,gardan
17,Kopf::N,бетӏер,bosh
18,Rücken::N,мугъ,orqa
19,Bauch::N,чехь,qorin
20,Nabel::N,цӏину,kindik
21,Busen::N,керен,ämchak
22,Brust::N,керен,ko'krak
23,Schulter::N,гъажазубетӏер,elka
24,Arm::N,гъеж,bilak
25,Ellenbogen::N,гӏункӏрукь,tirsak
26,Hand::N,квер,qo'l
27,Handfläche::N,огъохъат,kaft
28,Handfläche::N,жанисахъат,kaft
29,Finger::N,килищ,barmoq
30,Fingernagel::N,малъ,tirnoq
31,Nagel[Anatomie]::N,малъ,tirnoq
32,Zeh::N,килищ,oyoq barmog'i
33,Fuß::N,хӏетӏ,oyoq
34,Fuß::N,хӏетӏе,oyoq
35,Ferse::N,эгъе,tovon
36,Knie::N,наку,tiz
37,Oberschenkel::N,мачӏ,son
38,Bein::N,бох,oyoq
39,Körper::N,къаркъала,badna
40,Haut::N,тӏом,teri
41,Blut::N,би,qon
42,Ader::N,бидурихь,qon tomir
43,Knochen::N,ракьа,suyak
44,Gehirn::N,гӏадалнах,miya
45,Herz::N,ракӏ,qalb
46,Magen::N,кванирукъ,oshqozon
47,Leber::N,тӏул,bag'ir
48,Atem::N,хӏухь,dam
49,Hunger::N,ракъи,ochlik
50,Träne::N,магӏу,yosh
51,Geschmack::N,тату,tam
52,Geruch::N,махӏ,jid
53,Schlaf::N,макьу,uyqu
54,Traum::N,макьу,tush
55,Himmel::N,зоб,osmon
56,Sonne::N,бакъ,quyosh
57,Mond::N,моцӏ,oy
58,Stern::N,цӏва,yulduz
59,Luft::N,гьава,havo
60,Wind::N,гьури,el
61,Welle::N,карачел,to'lqin
62,Wasser::N,лъим,suv
63,Stein::N,гьецӏо,tosh
64,Boden::N,ракь,tuproq
65,Erde::N,ракь,er
66,Erde::N,дуниял,er
67,Staub::N,хӏур,chang
68,Rauch::N,кӏкӏуй,tutun
69,Feuer::N,цӏа,o't
70,Licht::N,канлъи,yorug'
71,Schatten::N,рагӏад,soya
72,Wetter::N,гьава-бакъ,havo
73,Nebel::N,гӏодобнакӏкӏ,tuman
74,Wolke::N,накӏкӏ,bulut
75,Regen::N,цӏад,yomg'ir
76,Schnee::N,гӏазу,qor
77,Eis::N,цӏер,muz
78,Frost::N,замгьари,ajoz
79,Kälte::N,квач,ajoz
80,Hitze::N,багӏари,issiq
81,Raureif::N,мартӏ,qirov
82,Regenbogen::N,нур,kamalak
83,Regenbogen::N,чамбара,kamalak
84,Donner::N,гъугъай,guldur
85,Donner::N,гъугъади,guldur
86,Strömung::N,чвахи,oqim
87,Tropfen::N,резел,tomchi
88,Tropfen::N,тӏинкӏ,tomchi
89,Tropfen::N,къатӏра,tomchi
90,Tropfen::N,тӏенкӏел,tomchi
91,Schaum::N,полоп,ko'pik
92,Schmutz::N,чороклъи,gard
93,See::N,хӏор,ko'l
94,Sumpf::N,хьуцӏ,botqoq
95,Wiese::N,мегъ,o'tzor
96,Wiese::N,гӏурдаллъи,o'tzor
97,Wald::N,рохь,o'rmon
98,Hügel::N,гохӏ,tepa
99,Anhöhe::N,сийитма,adir
100,Berg::N,мегӏер,tog'
101,Gipfel::N,тӏогь,cho'qqi
102,Höhle::N,нохъо,kavak
