,Concept_ID,bg,mn
0,Auge::N,око,нүд
1,Ohr::N,ухо,чих
2,Nase::N,нос,хамар
3,Mund::N,уста,ам
4,Zahn::N,зъб,шүд
5,Zunge::N,език,хэл
6,Lippe::N,устна,уруул
7,Wange::N,буза,хацар
8,Gesicht::N,лице,царай
9,Gesicht::N,лице,нүүр
10,Gesicht::N,образ,царай
11,Gesicht::N,образ,нүүр
12,Stirn::N,чело,дух
13,Haar::N,коса,үс
14,Haar::N,косъм,үс
15,Schnurrbart::N,мустаци,дээд сахал
16,Schnurrbart::N,мустаци,живэр сахал
17,Bart::N,брада,сахал
18,Kinn::N,брада,эрүү
19,Kinn::N,брадичка,эрүү
20,Kiefer[Anatomie]::N,челюст,эрүү
21,Kehle::N,гърло,хоолой
22,Hals::N,врат,хүзүү
23,Genick::N,тил,шил
24,Genick::N,тил,хүзүү
25,Kopf::N,глава,толгой
26,Rücken::N,гръб,ар
27,Rücken::N,гръб,нуруу
28,Bauch::N,корем,хэвлий
29,Bauch::N,корем,гэдэс
30,Nabel::N,пъп,хүйс
31,Busen::N,бозка,хөх
32,Brust::N,гръд,цээж
33,Schulter::N,рамо,мөр
34,Schulter::N,рамо,бугалга
35,Schulter::N,плещи,мөр
36,Schulter::N,плещи,бугалга
37,Arm::N,ръка,гар
38,Ellenbogen::N,лакът,тохой
39,Hand::N,ръка,гар
40,Hand::N,ръка,алга
41,Hand::N,китка,гар
42,Hand::N,китка,алга
43,Handfläche::N,длан,алга
44,Finger::N,пръст,хуруу
45,Fingernagel::N,нокът,хурууны хумс
46,Nagel[Anatomie]::N,нокът,хумс
47,Zeh::N,пръст на крак,хуруу
48,Fuß::N,крак,хөл
49,Fuß::N,нога,хөл
50,Ferse::N,пета,өсгий
51,Knie::N,коляно,өвдөг
52,Oberschenkel::N,бедро,гуя
53,Bein::N,крак,хөл
54,Bein::N,нога,хөл
55,Körper::N,тяло,бие
56,Haut::N,кожа,арьс
57,Blut::N,кръв,цус
58,Ader::N,вена,судас
59,Ader::N,артерия,судас
60,Sehne::N,жила,бүлх
61,Sehne::N,жила,шандас
62,Sehne::N,сухожилие,бүлх
63,Sehne::N,сухожилие,шандас
64,Knochen::N,кост,яс
65,Gehirn::N,мозък,тархи
66,Herz::N,сърце,зүрх
67,Magen::N,стомах,ходоод
68,Leber::N,черен дроб,элэг
69,Atem::N,дишане,амьсгаа
70,Hunger::N,глад,өлсгөлөн
71,Träne::N,сълза,нулимс
72,Geschmack::N,вкус,амт
73,Geruch::N,миризма,үнэр
74,Schlaf::N,сън,нойр
75,Traum::N,сън,зүүд
76,Himmel::N,небе,тэнгэр
77,Himmel::N,небе,огторгуй
78,Sonne::N,слънце,нар
79,Mond::N,луна,сар
80,Mond::N,месец,сар
81,Stern::N,звезда,од
82,Luft::N,въздух,агаар
83,Wind::N,вятър,салхи
84,Welle::N,вълна,долгио
85,Welle::N,вълна,давалгаа
86,Wasser::N,вода,ус
87,Stein::N,камък,чулуу
88,Boden::N,земя,хөрс
89,Boden::N,почва,хөрс
90,Erde::N,земя,газар
91,Erde::N,земя,шороо
92,Erde::N,почва,газар
93,Erde::N,почва,шороо
94,Staub::N,прах,тоос
95,Rauch::N,дим,утаа
96,Rauch::N,пушек,утаа
97,Funke::N,искра,оч
98,Feuer::N,огън,гал
99,Licht::N,светлина,гэрэл
100,Licht::N,светлина,гэгээ
101,Schatten::N,сянка,сүүдэр
102,Wetter::N,време,тэнгэр
103,Wetter::N,време,цаг уур
104,Nebel::N,мъгла,будан
105,Wolke::N,облак,үүл
106,Regen::N,дъжд,бороо
107,Schnee::N,сняг,цас
108,Eis::N,лед,мөс
109,Frost::N,мраз,хүйт
110,Kälte::N,студ,хүйт
111,Hitze::N,жега,халуун
112,Hitze::N,горещина,халуун
113,Raureif::N,скреж,цан
114,Raureif::N,скреж,хяруу
115,Raureif::N,слана,цан
116,Raureif::N,слана,хяруу
117,Regenbogen::N,дъга,солонго
118,Donner::N,гръм,тэнгэрийн дуу
119,Strömung::N,течение,урсгал
120,Tropfen::N,капка,дусал
121,Schaum::N,пяна,хөөс
122,Schmutz::N,кал,хир
123,Schmutz::N,кал,шавхай
124,Schmutz::N,мръсотия,хир
125,Schmutz::N,мръсотия,шавхай
126,See::N,езеро,нуур
127,Sumpf::N,блато,намаг
128,Sumpf::N,блато,балчиг
129,Moor::N,мочурище,хүлрийн намаг
130,Wiese::N,ливада,нуга
131,Wald::N,гора,ой
132,Hügel::N,рид,болдог
133,Hügel::N,хълм,болдог
134,Anhöhe::N,могила,гүвээ
135,Anhöhe::N,възвишение,гүвээ
136,Berg::N,планина,уул
137,Gipfel::N,връх,орой
138,Gipfel::N,връх,оргил
139,Höhle::N,пещера,агуй
140,Abhang::N,склон,хүр
141,Abhang::N,стръмнина,хүр
142,Quelle::N,извор,булаг
143,Bach::N,поток,горхи
144,Fluss::N,река,гол
145,Fluss::N,река,мөрөн
146,Ufer::N,бряг,эрэг
147,Küste::N,бряг,эрэг
148,Küste::N,крайбрежие,эрэг
149,Festland::N,суша,хуурай газар
150,Meer::N,море,далай
151,Meer::N,море,тэнгис
152,Bucht::N,залив,булан
153,Bucht::N,залив,далайн тохой
154,Insel::N,остров,арал
155,Blume::N,цвете,цэцэг
156,Gras::N,трева,өвс
157,Gras::N,трева,ногоо
158,Wurzel::N,корен,үндэс
159,Baum::N,дърво,мод
160,Stamm::N,стъбло,иш
161,Stamm::N,стъбло,гуалин
162,Rinde::N,кора,холтос
163,Ast::N,клон,гишүү
164,Zweig::N,клон,салаа
165,Blatt::N,лист,навч
166,Birke::N,бреза,хус
167,Kiefer[Baum]::N,бор,нарс
168,Weide[Baum]::N,върба,уд
169,Weide[Baum]::N,върба,бургас
170,Tanne::N,ела,гачуур
171,Horn::N,рог,эвэр
172,Feder::N,перо,өд
173,Fell::N,кожа,арьс
174,Flügel::N,крило,жигүүр
175,Flügel::N,крило,далавч
176,Klaue::N,нокът,савар
177,Klaue::N,нокът,хумс
178,Kralle::N,нокът,савар
179,Schwanz::N,опашка,сүүл
180,Ei::N,яйце,өндөг
181,Nest::N,гнездо,үүр
182,Bau::N,дупка,нүх
183,Bau::N,дупка,элүү
184,Tier::N,животно,амьтан
185,Tier::N,животно,адгуус
186,Herde::N,стадо,сүрэг
187,Kuh::N,крава,үнээ
188,Bulle::N,бик,бух
189,Pferd::N,кон,морь
190,Pferd::N,кон,адуу
191,Schaf::N,овца,хонь
192,Schwein::N,свиня,гахай
193,Hund::N,куче,нохой
194,Katze::N,котка,муур
195,Katze::N,котка,мигуй
196,Bär::N,мечка,баавгай
197,Eichhörnchen::N,катерица,хэрэм
198,Elch::N,лос,хандгай
199,Fuchs::N,лисица,үнэг
200,Hase::N,заек,туулай
201,Maus::N,мишка,хулгана
202,Wolf::N,вълк,чоно
