,Concept_ID,lez,ce
0,Auge::N,вил,бӏаьрг
1,Ohr::N,яб,лерг
2,Nase::N,нер,мара
3,Mund::N,сив,бага
4,Zahn::N,сас,церг
5,Zahn::N,свах,церг
6,Zunge::N,мез,мотт
7,Lippe::N,пӏуз,балда
8,Wange::N,хъвехъ,бесни
9,Gesicht::N,ччин,юьхь
10,Stirn::N,пел,хьаж
11,Haar::N,чӏар,мас
12,Schnurrbart::N,спел,мекх
13,Schnurrbart::N,спелар,мекх
14,Bart::N,ччуру,маж
15,Kinn::N,чене,чӏениг
16,Kiefer[Anatomie]::N,чене,мочхал
17,Kehle::N,туьд,къамкъарг
18,Hals::N,гардан,ворта
19,Genick::N,кьам,кӏесаркӏаг
20,Kopf::N,кьил,корта
21,Rücken::N,далу,букъ
22,Bauch::N,руфун,кийра
23,Nabel::N,пицӏ,цӏонга
24,Busen::N,мам,зударийн накха
25,Brust::N,хур,накха
26,Schulter::N,къуьн,белш
27,Arm::N,гъил,пхьарс
28,Ellenbogen::N,кьуьнт,пхьаьрсан гола
29,Hand::N,капаш,куьг
30,Handfläche::N,капан юкь,кераюкъ
31,Finger::N,тӏуб,пӏелг
32,Fingernagel::N,кек,мӏара
33,Nagel[Anatomie]::N,кек,мӏара
34,Zeh::N,кул,кога пӏелг
35,Fuß::N,кӏвач,ког
36,Ferse::N,дабан,кӏажа
37,Knie::N,мет,гола
38,Bein::N,кӏвач,ког
39,Körper::N,беден,хӏума
40,Haut::N,хам,чкъор
41,Blut::N,иви,цӏий
42,Ader::N,дамар,пха
43,Sehne::N,кьуру дамар,хьорзам
44,Knochen::N,кӏараб,даьӏахк
45,Gehirn::N,мефт,хье
46,Herz::N,рикӏ,дог
47,Magen::N,хук,зорх
48,Leber::N,лекь,доӏах
49,Atem::N,ял,садеӏар
50,Atem::N,нефес,садеӏар
51,Hunger::N,каш,мацалла
52,Träne::N,вилин нагъв,бӏаьрхи
53,Geschmack::N,дад,чам
54,Geschmack::N,тӏям,чам
55,Geruch::N,ни,хьожа
56,Schlaf::N,ахвар,наб
57,Traum::N,ахвар,гӏан
58,Himmel::N,цав,стигал
59,Sonne::N,рагъ,малх
60,Mond::N,варз,бутт
61,Stern::N,гъед,седа
62,Luft::N,гьава,xӏаваъ
63,Wind::N,гар,мох
64,Welle::N,лепе,тулгӏе
65,Wasser::N,яд,хи
66,Stein::N,къван,тӏулг
67,Boden::N,накьв,цӏенкъа
68,Erde::N,ччил,латта
69,Staub::N,руг,чан
70,Rauch::N,гум,кӏур
71,Funke::N,цӏелхем,суй
72,Feuer::N,цӏай,цӏе
73,Licht::N,экв,серло
74,Schatten::N,серин,ӏиндагӏ
75,Wetter::N,гьава,хенан хӏоттам
76,Nebel::N,ччилин циф,дохк
77,Wolke::N,циф,марха
78,Regen::N,марф,догӏа
79,Schnee::N,жив,ло
80,Eis::N,мурк,ша
81,Frost::N,аяз,шело
82,Kälte::N,мекь,шело
83,Kälte::N,мекьивал,шело
84,Hitze::N,зегьем,йовхо
85,Raureif::N,къирав,йис
86,Regenbogen::N,яргъируш,стелаӏад
87,Donner::N,цавун ван,ткъес
88,Tropfen::N,стӏал,тӏадам
89,Schaum::N,каф,чопа
90,Schmutz::N,чирк,хатт
91,Schmutz::N,кьуруш,хатт
92,See::N,вир,ӏам
93,Sumpf::N,уьлен,уьшал
94,Wiese::N,векь,бай
95,Wald::N,там,хьун
96,Hügel::N,кӏунтӏ,гу
97,Hügel::N,кӏунтӏ,шу
98,Hügel::N,кӏунтӏ,барз
99,Anhöhe::N,тепе,акъари
100,Anhöhe::N,гьуьндуьрвал,акъари
101,Berg::N,дагъ,лам
102,Gipfel::N,кӏукӏ,бохь
103,Höhle::N,кьветӏ,хьех
104,Abhang::N,гуьне,басе
105,Quelle::N,чешме,шовда
106,Bach::N,булах,татол
107,Fluss::N,вацӏ,хи
108,Ufer::N,къерех,хийист
109,Küste::N,къерех,йист
110,Festland::N,кьурамат,латта
111,Meer::N,гьуьл,xӏорд
112,Bucht::N,бухта,чож
113,Insel::N,остров,гӏайре
114,Blume::N,цуьк,зезаг
115,Gras::N,хъач,буц
116,Wurzel::N,дувул,орам
117,Baum::N,ттар,дитт
118,Stamm::N,тан,гӏад
119,Stamm::N,тан,тайпа
120,Rinde::N,чкал,кевстиг
121,Ast::N,тӏур,га
122,Zweig::N,хел,га
123,Blatt::N,пеш,гӏа
124,Birke::N,верх,дакх
125,Kiefer[Baum]::N,шамагъаж,бага
126,Weide[Baum]::N,цӏвелин ттар,дак
127,Tanne::N,ель,база
128,Horn::N,карч,маӏа
129,Feder::N,цӏакул,пелаг
130,Fell::N,хам,цӏока
131,Flügel::N,лув,тӏам
132,Klaue::N,къармах,мӏара
133,Kralle::N,пац,тlод
134,Kralle::N,тапас,тlод
135,Schwanz::N,ттум,цӏога
136,Ei::N,кака,xӏoa
137,Nest::N,муг,бен
138,Bau::N,тӏеквен,lуьрг
139,Tier::N,гьайван,дийнат
140,Herde::N,суьруь,жа
141,Kuh::N,ккал,етт
142,Bulle::N,яц,сту
143,Bulle::N,бугъа,сту
144,Pferd::N,балкӏан,говр
145,Schaf::N,хеб,жий
146,Schaf::N,хеб,уьстагӏ
