,Concept_ID,is,ab
0,Auge::N,auga,ала
1,Ohr::N,eyra,алымҳа
2,Nase::N,nef,аҧынҵа
3,Mund::N,munnur,аҧышə
4,Zahn::N,tönn,ахаҧыц
5,Zunge::N,tunga,абз
6,Lippe::N,vör,ақьышə
7,Wange::N,kinn,аӡамҩа
8,Wange::N,vangi,аӡамҩа
9,Gesicht::N,andlit,аҿы
10,Stirn::N,enni,алахь
11,Haar::N,hár,ахəыц
12,Schnurrbart::N,yfirskegg,аҧаҵа
13,Bart::N,skegg,ажакьа
14,Kinn::N,haka,ацламкəыгə
15,Kiefer[Anatomie]::N,kjálki,ацламҳəа
16,Kiefer[Anatomie]::N,skoltur,ацламҳəа
17,Kehle::N,kverk,ахəда
18,Hals::N,háls,ахəда
19,Genick::N,hnakki,ахəдаџьал
20,Kopf::N,höfuð,ахы
21,Rücken::N,hryggur,азқəа
22,Bauch::N,kviður,амгəа
23,Nabel::N,nafli,аҷапан
24,Busen::N,barmur,агəыҧҳəы
25,Brust::N,brjóst,агəышҧы
26,Schulter::N,öxl,ажəҩахыр
27,Arm::N,armur,амахəар
28,Ellenbogen::N,olnbogi,амашьхəылҵ
29,Hand::N,hönd,анапы
30,Handfläche::N,lófi,анапсаргəыҵа
31,Finger::N,fingur,анацəа
32,Fingernagel::N,fingurnögl,анапхыц
33,Nagel[Anatomie]::N,nögl,ашьапхыц
34,Zeh::N,tá,ашьацəа
35,Fuß::N,fótur,ашьапсыргəыҵа
36,Ferse::N,hæll,ашьхəа
37,Knie::N,kné,ашьамхы
38,Oberschenkel::N,læri,ауаҭəа
39,Bein::N,fótleggur,ашьапы
40,Körper::N,búkur,ацəеижь
41,Körper::N,líkami,ацəеижь
42,Haut::N,húð,ацəа
43,Haut::N,skinn,ацəа
44,Blut::N,blóð,ашьа
45,Ader::N,æð,ада
46,Sehne::N,sin,адаш
47,Knochen::N,bein,абаҩ
48,Gehirn::N,heili,ахшлыбаҩ
49,Gehirn::N,heili,ахшыбаҩ
50,Herz::N,hjarta,агəы
51,Magen::N,magi,аца
52,Magen::N,magi,ацар
53,Leber::N,lifur,агəаҵəа
54,Atem::N,andi,аҧсыҧлагаҩгара
55,Atem::N,andardráttur,аҧсыҧлагаҩгара
56,Hunger::N,hungur,амла
57,Träne::N,tár,алабжыш
58,Geschmack::N,smekkur,агьама
59,Geruch::N,lykt,афҩы
60,Schlaf::N,svefn,ацəа
61,Traum::N,draumur,аҧхыӡ
62,Himmel::N,himinn,ажəҩан
63,Sonne::N,sól,амра
