,Concept_ID,tt,fr
0,Auge::N,күз,œil
1,Ohr::N,колак,oreille
2,Nase::N,борын,nez
3,Mund::N,авыз,bouche
4,Mund::N,тамак,bouche
5,Zahn::N,теш,dent
6,Zunge::N,тел,langue
7,Lippe::N,ирен,lèvre
8,Wange::N,яңак,joue
9,Gesicht::N,йөз,face
10,Gesicht::N,йөз,visage
11,Stirn::N,маңгай,front
12,Haar::N,чәч,cheveu
13,Schnurrbart::N,мыек,moustache
14,Bart::N,сакал,barbe
15,Kinn::N,ияк,menton
16,Kiefer[Anatomie]::N,казналык,mâchoire
17,Kehle::N,тамак,gorge
18,Hals::N,бугаз,cou
19,Genick::N,җилкә,nuque
20,Kopf::N,баш,tête
21,Rücken::N,сырт,dos
22,Bauch::N,корсак,ventre
23,Nabel::N,кендек,nombril
24,Busen::N,түш,sein
25,Brust::N,имчәк,poitrine
26,Brust::N,күкрәк,poitrine
27,Schulter::N,иңбаш,épaule
28,Schulter::N,кулбаш,épaule
29,Arm::N,кул,bras
30,Ellenbogen::N,терсәк,coude
31,Hand::N,кул,main
32,Handfläche::N,уч,paume
33,Finger::N,бармак,doigt
34,Fingernagel::N,тырнак,ongle
35,Nagel[Anatomie]::N,тырнак,ongle
36,Zeh::N,бармак,orteil
37,Zeh::N,бармак,doigt de pied
38,Fuß::N,табан,pied
39,Ferse::N,үкчә,talon
40,Knie::N,тез,genou
41,Oberschenkel::N,бот,cuisse
42,Bein::N,аяк,jambe
43,Körper::N,тән,corps
44,Körper::N,җисем,corps
45,Haut::N,тире,peau
46,Blut::N,кан,sang
47,Ader::N,тамыр,veine
48,Sehne::N,сеңер,tendon
49,Knochen::N,сөяк,os
50,Gehirn::N,ми,cerveau
51,Herz::N,йөрәк,cœur
52,Magen::N,ашказаны,estomac
53,Leber::N,бавыр,foie
54,Atem::N,сулыш,haleine
55,Hunger::N,ачлык,faim
56,Träne::N,яшь,larme
57,Geschmack::N,тәм,goût
58,Geschmack::N,тәм,saveur
59,Geschmack::N,зәвык,goût
60,Geschmack::N,зәвык,saveur
61,Geruch::N,ис,odeur
62,Schlaf::N,йокы,sommeil
63,Traum::N,төш,songe
64,Himmel::N,күк,ciel
65,Sonne::N,кояш,soleil
66,Mond::N,ай,lune
67,Stern::N,йолдыз,étoile
68,Luft::N,һава,air
69,Wind::N,җил,vent
70,Welle::N,дулкын,vague
71,Wasser::N,су,eau
72,Stein::N,таш,pierre
73,Boden::N,туфрак,sol
74,Boden::N,туфрак,terrain
75,Erde::N,җир,terre
76,Staub::N,тузан,poussière
77,Rauch::N,төтен,fumée
78,Funke::N,очкын,étincelle
79,Feuer::N,ут,feu
80,Licht::N,якты,lumière
81,Schatten::N,күләгә,ombre
82,Wetter::N,һава,temps
83,Nebel::N,томан,brume
84,Nebel::N,томан,brouillard
85,Wolke::N,болыт,nuage
86,Regen::N,яңгыр,pluie
87,Schnee::N,кар,neige
88,Eis::N,боз,glace
89,Frost::N,суык,gel
90,Frost::N,суык,gelée
91,Frost::N,салкын,gel
92,Frost::N,салкын,gelée
93,Kälte::N,суык,froid
94,Kälte::N,салкын,froid
95,Hitze::N,эсселек,chaleur
96,Raureif::N,бәс,givre
97,Raureif::N,сыкы,givre
98,Regenbogen::N,салават күпере,arc-en-ciel
99,Donner::N,күкрәү,tonnerre
100,Strömung::N,агыш'агым,courant
101,Tropfen::N,тамчы,goutte
102,Schaum::N,күбек,écume
103,Schaum::N,күбек,mousse
104,Schmutz::N,пычрак,boue
105,Schmutz::N,пычрак,saleté
106,See::N,күл,lac
107,Sumpf::N,саз,marais
108,Sumpf::N,саз,marécage
109,Moor::N,торфлык,tourbière
110,Wiese::N,болын,pré
111,Wald::N,урман,bois
112,Wald::N,урман,forêt
113,Hügel::N,калку,coteau
114,Hügel::N,калку,colline
115,Anhöhe::N,үр,éminence
116,Anhöhe::N,үр,élévation
117,Berg::N,тау,mont
118,Berg::N,тау,montagne
119,Gipfel::N,оч,cime
120,Gipfel::N,оч,sommet
121,Höhle::N,мәгарә,caverne
