,Concept_ID,ce,et
0,Auge::N,бӏаьрг,silm
1,Ohr::N,лерг,kõrv
2,Nase::N,мара,nina
3,Mund::N,бага,suu
4,Zahn::N,церг,hammas
5,Zunge::N,мотт,keel
6,Lippe::N,балда,huul
7,Wange::N,бесни,põsk
8,Gesicht::N,юьхь,nägu
9,Stirn::N,хьаж,otsmik
10,Haar::N,мас,juus
11,Schnurrbart::N,мекх,vurrud
12,Schnurrbart::N,мекх,vuntsid
13,Bart::N,маж,habe
14,Kinn::N,чӏениг,lõug
15,Kiefer[Anatomie]::N,мочхал,lõualuu
16,Kehle::N,къамкъарг,kõri
17,Hals::N,ворта,kael
18,Genick::N,кӏесаркӏаг,kukal
19,Kopf::N,корта,pea
20,Rücken::N,букъ,selg
21,Bauch::N,кийра,kõht
22,Nabel::N,цӏонга,naba
23,Busen::N,зударийн накха,rind
24,Brust::N,накха,rind
25,Schulter::N,белш,õlg
26,Arm::N,пхьарс,käsivars
27,Ellenbogen::N,пхьаьрсан гола,küünarnukk
28,Hand::N,куьг,käsi
29,Handfläche::N,кераюкъ,pihk
30,Finger::N,пӏелг,sõrm
31,Fingernagel::N,мӏара,küüs
32,Nagel[Anatomie]::N,мӏара,küüs
33,Zeh::N,кога пӏелг,varvas
34,Fuß::N,ког,jalg
35,Ferse::N,кӏажа,kand
36,Knie::N,гола,põlv
37,Oberschenkel::N,варе,reis
38,Bein::N,ког,jalg
39,Körper::N,хӏума,ihu
40,Körper::N,хӏума,keha
41,Haut::N,чкъор,nahk
42,Blut::N,цӏий,veri
43,Ader::N,пха,veen
44,Sehne::N,хьорзам,kõõlus
45,Knochen::N,даьӏахк,luu
46,Gehirn::N,хье,aju
47,Herz::N,дог,süda
48,Magen::N,зорх,magu
49,Leber::N,доӏах,maks
50,Atem::N,садеӏар,hingeõhk
51,Atem::N,садеӏар,hingamine
52,Hunger::N,мацалла,nälg
53,Träne::N,бӏаьрхи,pisar
54,Geschmack::N,чам,maitse
55,Geruch::N,хьожа,lõhn
56,Schlaf::N,наб,uni
57,Traum::N,гӏан,unenägu
58,Himmel::N,стигал,taevas
59,Sonne::N,малх,päike
60,Mond::N,бутт,kuu
61,Stern::N,седа,täht
62,Luft::N,xӏаваъ,õhk
63,Wind::N,мох,tuul
64,Welle::N,тулгӏе,laine
65,Wasser::N,хи,vesi
66,Stein::N,тӏулг,kivi
