,Concept_ID,ba,ca
0,Auge::N,күҙ,ull
1,Ohr::N,ҡолаҡ,orella
2,Nase::N,танау,nas
3,Mund::N,ауыҙ,boca
4,Zahn::N,теш,dent
5,Zunge::N,тел,llēngua
6,Lippe::N,ирен,llavi
7,Wange::N,яцаҡтар,galta
8,Gesicht::N,бит,cara
9,Stirn::N,маңлай,front
10,Haar::N,сәс,cabēll
11,Schnurrbart::N,мылтыҡ,bigoti
12,Bart::N,һаҡал,barba
13,Kinn::N,эйэк,mentó
14,Kinn::N,эйэк,barbeta
15,Kiefer[Anatomie]::N,яңаҡ һөйәге,queix
16,Kiefer[Anatomie]::N,яңаҡ һөйәге,mandíbula
17,Kehle::N,тамаҡ,gola
18,Kehle::N,тамаҡ,gorja
19,Hals::N,муйын,coll
20,Genick::N,соңҡа,nuca
21,Kopf::N,баш,cap
22,Rücken::N,арҡа,esquena
23,Bauch::N,ҡорһаҡ,panxa
24,Nabel::N,кендек,llombrígol
25,Busen::N,күкрәк,pit
26,Busen::N,күкрәк,mama
27,Brust::N,түш,pit
28,Schulter::N,яурын,espatlla
29,Arm::N,ҡул,braç
30,Ellenbogen::N,терһәк,colze
31,Hand::N,ҡул,mà
32,Hand::N,ҡул суғы,mà
33,Handfläche::N,ус төбө,palma
34,Finger::N,бармаҡ,dit
35,Fingernagel::N,тырнаҡ,ungla
36,Nagel[Anatomie]::N,тырнаҡ,ungla
37,Zeh::N,бармаҡ,dit del peu
38,Fuß::N,табан,peu
39,Ferse::N,үксә,taló
40,Knie::N,тубыҡ,genoll
41,Oberschenkel::N,сандыр,cuixa
42,Bein::N,аяҡ,cama
43,Körper::N,тән,cos
44,Haut::N,тире,pell
45,Blut::N,ҡан,sang
46,Ader::N,тамыр,vena
47,Sehne::N,һеңер,tendó
48,Sehne::N,тарамыш,tendó
49,Knochen::N,һойәк,os
50,Gehirn::N,мейе,cervell
51,Herz::N,йорәк,cor
52,Magen::N,ашҡаҙан,estómac
53,Leber::N,бауыр,fetge
54,Atem::N,һулыш,alè
55,Atem::N,һулыш,hàlit
56,Hunger::N,аслыҡ,fam
57,Hunger::N,аслыҡ,gana
