,Concept_ID,ku,myv
0,Auge::N,çav,сельме
1,Ohr::N,guh,пиле
2,Nase::N,bêvil,судо
3,Mund::N,dev,курго
4,Zahn::N,didan,пей
5,Zunge::N,ziman,кель
6,Lippe::N,lêv,турва
7,Wange::N,dêm,чамабока
8,Wange::N,dêm,чамаумарь
9,Wange::N,hinarik,чамабока
10,Wange::N,hinarik,чамаумарь
11,Gesicht::N,rû,чама
12,Stirn::N,enî,коня
13,Haar::N,por,черь
14,Schnurrbart::N,simbêl,ус
15,Schnurrbart::N,simbêl,муюк
16,Bart::N,rih,сакал
17,Kinn::N,zenî,уло
18,Kiefer[Anatomie]::N,arguşk,пейпакар
19,Kiefer[Anatomie]::N,arguşk,пейловажа
20,Kehle::N,qirik,кирьгапарь
21,Hals::N,stû,кирьга
22,Hals::N,qirik,кирьга
23,Genick::N,stû,човонь
24,Kopf::N,serî,пря
25,Rücken::N,pişt,копорь
26,Bauch::N,ûr,пеке
27,Bauch::N,zik,пеке
28,Nabel::N,navik,почо
29,Busen::N,sîng,поте
30,Brust::N,sîng,меште
31,Schulter::N,mil,лавтов
32,Arm::N,çepil,кедь
33,Ellenbogen::N,enîşk,кенерепакарь
34,Hand::N,dest,кедь
35,Handfläche::N,kefadest,кедькуншка
36,Handfläche::N,kefadest,кедьлапушка
37,Finger::N,tilî,сур
38,Fingernagel::N,neynuk,кенже
39,Nagel[Anatomie]::N,bizmar,кенже
40,Zeh::N,tilî linga,пильге сур
41,Fuß::N,ling,пильге
42,Ferse::N,pahnî,кочкаря
43,Knie::N,kabok,эле
44,Knie::N,kabok,эзне
45,Knie::N,kabok,кумажа
46,Oberschenkel::N,rahn,качо
47,Bein::N,çip,пильге
48,Körper::N,laş,рунго
49,Körper::N,gowde,рунго
50,Haut::N,çerm,киське
51,Blut::N,xwîn,верь
52,Ader::N,reh,сан
53,Sehne::N,reh,коське сан
54,Knochen::N,hestî,пакарь
55,Gehirn::N,mêjî,удем
56,Herz::N,dil,седей
57,Magen::N,navêş,пеке
58,Leber::N,kezeb,максо
59,Atem::N,hilm,лексема
60,Atem::N,hilm,оймень таргсема
61,Hunger::N,birçîtî,вачочи
62,Träne::N,hêstir,селведь
63,Geschmack::N,tam,тансть
64,Geruch::N,bêhn,чине
65,Schlaf::N,xew,удома
66,Traum::N,xewn,он
67,Himmel::N,ezman,менель
68,Sonne::N,roj,чи
69,Mond::N,heyv,ков
70,Stern::N,stêrk,теште
71,Luft::N,ba,кошт
72,Wind::N,ba,варма
73,Welle::N,şewl,толкун
74,Wasser::N,av,ведь
75,Stein::N,kevir,кев
76,Boden::N,herd,мода
77,Erde::N,ax,мастор
78,Staub::N,toz,пуль
79,Rauch::N,dû,качамо
80,Funke::N,çirûşk,сятко
81,Feuer::N,agir,тол
82,Licht::N,ronahî,валдо
83,Schatten::N,sî,сулей
84,Schatten::N,sî,сулейкс
