,Concept_ID,ko,ga
0,Auge::N,눈,súil
1,Ohr::N,귀,cluas
2,Nase::N,코,soc
3,Mund::N,입,béal
4,Zahn::N,이,fiacail
5,Zunge::N,혀,teanga
6,Lippe::N,입술,liopa
7,Wange::N,뺨,grua
8,Wange::N,뺨,leiceann
9,Gesicht::N,얼굴,éadan
10,Gesicht::N,얼굴,aghaidh
11,Stirn::N,이마,baithis
12,Stirn::N,이마,clár éadain
13,Haar::N,털,gruaig
14,Schnurrbart::N,윗수몀,croiméal
15,Schnurrbart::N,코밑수염,croiméal
16,Bart::N,수엄,féasóg
17,Kinn::N,아래턱,smig
18,Kiefer[Anatomie]::N,턱,giall
19,Kehle::N,인후,scornach
20,Hals::N,목,muinéal
21,Genick::N,먹덜이,baic
22,Kopf::N,머리,ceann
23,Rücken::N,든,droim
24,Bauch::N,배,bolg
25,Nabel::N,배꼽,imleacán
26,Busen::N,가슴속,cíoch
27,Brust::N,가슴,brollach
28,Schulter::N,어깨,gualainn
29,Arm::N,팔,lámh
30,Ellenbogen::N,팔쿰치,uillinn
31,Hand::N,손,lámh
32,Handfläche::N,손바닥,bos
33,Finger::N,속가락,méar
34,Fingernagel::N,손톱,ionga
35,Nagel[Anatomie]::N,손톱,ionga
36,Zeh::N,발가락,ladhar
37,Fuß::N,발,cos
38,Fuß::N,발,troigh
39,Ferse::N,발꿈치,sáil
40,Knie::N,무릎,glúin
41,Oberschenkel::N,허벅다리,ceathrú
42,Bein::N,다리,cos
43,Körper::N,구간,corp
44,Körper::N,구간,colainn
45,Haut::N,살갗,cneas
46,Haut::N,살갗,craiceann
47,Blut::N,피,fuil
48,Ader::N,정맥,
49,Sehne::N,현,teannán
50,Sehne::N,현,féitheog
51,Knochen::N,뼈,cnámh
52,Gehirn::N,뇌,inchinn
53,Gehirn::N,뇌수,inchinn
54,Herz::N,염통,croí
55,Magen::N,위,bolg
56,Magen::N,위,goile
57,Leber::N,간,ae
58,Atem::N,기식,anáil
59,Hunger::N,공복,ocras
60,Träne::N,눈물,deoir
61,Geschmack::N,기호,blas
62,Geruch::N,냄새,boladh
63,Schlaf::N,수면,suan
64,Schlaf::N,수면,codladh
65,Traum::N,쿰,taibhreamh
66,Himmel::N,하늘,spéir
67,Sonne::N,해,grian
68,Mond::N,달,ré
69,Mond::N,달,gealach
70,Stern::N,별,rinn
71,Stern::N,별,réalta
72,Luft::N,동준,aer
73,Luft::N,가스채,aer
74,Wind::N,바람,gaoth
75,Welle::N,물결,tonn
76,Wasser::N,물,uisce
77,Stein::N,돌,cloch
78,Boden::N,바닥,talamh
79,Erde::N,흙,cré
80,Erde::N,흙,ithir
81,Staub::N,먼지,dusta
