,Concept_ID,kv,os
0,Auge::N,син,цӕст
1,Ohr::N,пель,хъус
2,Nase::N,ныр,фындз
3,Mund::N,ӧм,дзых
4,Zahn::N,пинь,дӕндаг
5,Zunge::N,кыв,ӕвзаг
6,Lippe::N,тырп,был
7,Wange::N,рожабан,рус
8,Wange::N,рожабан,уадул
9,Wange::N,рожабан,ӕхсӕрфарс
10,Gesicht::N,бан,цӕсгом
11,Stirn::N,кымӧс,ных
12,Haar::N,юрси,хил
13,Schnurrbart::N,уссэз,рихи
14,Bart::N,тош,зачъе
15,Kinn::N,тшӧка,роцъо
16,Kiefer[Anatomie]::N,ан,ӕфсӕр
17,Kehle::N,юан,хъуыр
18,Hals::N,юан,къубал
19,Genick::N,юр бӧр,къӕбут
20,Kopf::N,юр,сӕр
21,Rücken::N,мышк,фӕсонтӕ
22,Bauch::N,кынӧм,гуыбын
23,Nabel::N,гӧг,бикъ
24,Busen::N,морос,дзидзи
25,Brust::N,морос,риу
26,Schulter::N,пельпон,уӕхск
27,Arm::N,ки,цонг
28,Ellenbogen::N,гырдзза,рæмбын
29,Hand::N,кикар,къух
30,Handfläche::N,ки пыдӧс,армытъӕпӕн
31,Finger::N,чунь,ӕнруылдз
32,Fingernagel::N,гыж,ных
33,Nagel[Anatomie]::N,гыж,ных
34,Zeh::N,чунь,къух
35,Fuß::N,кокпыдӧс,фад
36,Ferse::N,кокдзир,зӕвӕт
37,Knie::N,пидзӧс,уӕраг
38,Oberschenkel::N,лядьбей,агъд
39,Bein::N,кок,зӕнг
40,Körper::N,вывтыр,буар
41,Haut::N,кучик,царм
42,Blut::N,вир,туг
43,Ader::N,сӧн,дадзин
44,Ader::N,сӧн,тугдадзин
45,Sehne::N,жила,хъиутæ
46,Sehne::N,жила,нуар
47,Knochen::N,коска,стӕг
48,Gehirn::N,вем,магъз
49,Herz::N,сьӧлӧм,зӕрдӕ
50,Magen::N,жӧвдӧк,ахсӕн
51,Leber::N,мус,игæр
52,Atem::N,лолалӧм,улӕфт
53,Hunger::N,тшыг,стонг
54,Träne::N,синва,цæссыг
55,Geschmack::N,кӧр,ад
56,Geruch::N,дук,смаг
57,Schlaf::N,он,хуыссӕг
58,Traum::N,вӧт,фын
59,Himmel::N,небо,арв
60,Himmel::N,небо,уӕларв
61,Sonne::N,шондi,хур
62,Mond::N,тӧлiсь,мӕй
63,Stern::N,кӧдзыв,стъалы
64,Luft::N,ру,уӕлдӕф
65,Wind::N,тӧв,дымгӕ
66,Welle::N,гы,уылӕн
67,Wasser::N,ва,дон
68,Stein::N,из,дур
69,Boden::N,му,зӕхх
70,Erde::N,му,сыджыт
71,Staub::N,бус,рыг
72,Rauch::N,тшын,фӕздӕг
73,Funke::N,бичир,цӕхӕр
74,Feuer::N,би,зынг
75,Licht::N,би,рухс
76,Schatten::N,вуджӧр,аууон
77,Wetter::N,погоддя,боныхъӕд
78,Nebel::N,туман,мигъ
79,Wolke::N,кымӧр,ӕврагъ
80,Regen::N,зэр,уарын
81,Schnee::N,лым,мит
82,Eis::N,йы,их
83,Frost::N,мороз,ихæн
84,Kälte::N,кӧдзыт,уазал
85,Hitze::N,ӧд,ӕнтӕф
86,Raureif::N,кижа,халас
87,Regenbogen::N,енӧшка,арвырон
88,Regenbogen::N,енӧшка,арвырдын
89,Donner::N,гым,æрвнæрын
90,Strömung::N,визывтӧм,цыд
91,Tropfen::N,тёп,æртах
92,Schaum::N,быг,фынк
93,Schmutz::N,нять,цъыф
94,See::N,ты,цад
95,Sumpf::N,арай,цъыфдзаст
96,Moor::N,нюр,цъыфдзаст
97,Wiese::N,видз,уыгӕрдӕн
98,Wald::N,вӧр,хъӕд
99,Hügel::N,мыльк,обау
100,Hügel::N,мыльк,къуыбыр
101,Anhöhe::N,вывтас,уæлвæз
102,Anhöhe::N,вывтас,уæлхох
103,Anhöhe::N,вылынін,уæлвæз
104,Anhöhe::N,вылынін,уæлхох
105,Berg::N,керӧс,хох
106,Gipfel::N,йыв,цъупп
107,Höhle::N,нора,лӕгӕт
108,Abhang::N,покат,къул
109,Quelle::N,больган,суадон
110,Bach::N,шор,мӕсчъыдон
111,Fluss::N,ю,дон
112,Fluss::N,ю,цӕугӕдон
113,Ufer::N,берег,был
114,Küste::N,берег,донбыл
115,Festland::N,му,сурзæхх
116,Meer::N,море,денджыз
117,Bucht::N,курья,донбакæлæн
118,Blume::N,цветок,дидинӕг
119,Gras::N,турун,кӕрдӕг
120,Wurzel::N,вуж,уидаг
121,Baum::N,пу,бӕлас
122,Stamm::N,мыр,хӕтӕл
123,Stamm::N,кер,хӕтӕл
124,Rinde::N,кач,цъар
125,Ast::N,ув,арх
126,Zweig::N,ув,къалиу
127,Blatt::N,лист,сыф
128,Birke::N,кыдз,бæрз
129,Kiefer[Baum]::N,пожум,нӕзы
130,Weide[Baum]::N,бадь,хӕрис
131,Tanne::N,кӧз,наз
132,Horn::N,сюр,сыкъа
133,Feder::N,гӧн,сис
