,Concept_ID,tr,sl
0,Auge::N,göz,okó
1,Ohr::N,kulak,uhó
2,Nase::N,burun,nós
3,Mund::N,ağız,ústa
4,Zahn::N,diş,zób
5,Zunge::N,dil,jêzik
6,Lippe::N,dudak,ústnica
7,Wange::N,yanak,líce
8,Gesicht::N,yüz,oblíčje
9,Stirn::N,alın,čêlo
10,Haar::N,saç,lás
11,Schnurrbart::N,bıyık,bŕki
12,Bart::N,sakal,bráda
13,Kinn::N,çene,bráda
14,Kiefer[Anatomie]::N,çene,čeljúst
15,Kehle::N,boğaz,gŕlo
16,Hals::N,boyun,vrát
17,Hals::N,gerdan,vrát
18,Genick::N,ense,zatílnik
19,Kopf::N,baş,gláva
20,Kopf::N,kafa,gláva
21,Rücken::N,arka,hrbèt
22,Bauch::N,karın,trébuh
23,Nabel::N,göbek,pópek
24,Busen::N,koyun,nédrja
25,Brust::N,göğüs,pŕsi
26,Schulter::N,omuz,ráma
27,Schulter::N,omuz,plêče
28,Arm::N,kol,rôka
29,Ellenbogen::N,dirsek,komólec
30,Hand::N,el,rôka
31,Handfläche::N,avuç,dlán
32,Handfläche::N,el ayası,dlán
33,Finger::N,parmak,pŕst
34,Fingernagel::N,el tırnağı,nóht na rôki
35,Nagel[Anatomie]::N,tırnak,nóht
36,Zeh::N,ayak parmağı,pŕst na nôgi
37,Fuß::N,ayak,nôga
38,Ferse::N,topuk,pêta
39,Knie::N,diz,koléno
40,Oberschenkel::N,uyluk,stêgno
41,Bein::N,bacak,nôga
42,Körper::N,vücut,teló
43,Haut::N,cilt,kóža
44,Blut::N,kan,krí
45,Ader::N,damar,žíla
46,Sehne::N,kiriş,kíta
47,Knochen::N,kemik,kóst
48,Gehirn::N,beyin,možgáni
49,Herz::N,kalp,srcé
50,Herz::N,yürek,srcé
51,Magen::N,mide,želódec
52,Leber::N,karaciğer,jétra
53,Atem::N,nefes,díh
54,Hunger::N,açlık,glád
55,Träne::N,gözyaşı,sólza
56,Geschmack::N,tat,okús
57,Geschmack::N,lezzet,okús
58,Geruch::N,koku,vónj
59,Schlaf::N,uyku,sèn
60,Schlaf::N,uyku,spánec
61,Traum::N,düş,sánje
62,Traum::N,rüya,sánje
63,Himmel::N,gök,nebó
64,Sonne::N,güneş,sónce
65,Mond::N,ay,lúna
66,Mond::N,ay,mésec
67,Stern::N,yıldız,zvézda
68,Luft::N,hava,zràk
69,Wind::N,yel,véter
70,Wind::N,rüzgâr,véter
71,Welle::N,dalga,vál
72,Wasser::N,su,vôda
73,Stein::N,taş,kámen
74,Boden::N,yer,tlà
75,Boden::N,zemin,tlà
76,Erde::N,toprak,pŕst
77,Erde::N,toprak,zêmlja
78,Staub::N,toz,práh
79,Rauch::N,duman,dìm
80,Funke::N,kıvılcım,ískra
81,Feuer::N,ateş,ôgenj
82,Licht::N,ışık,lúč
83,Schatten::N,gölge,sénca
84,Wetter::N,hava,vrême
85,Nebel::N,pus,meglà
86,Wolke::N,bulut,oblák
87,Regen::N,yağmur,dèž
88,Schnee::N,kar,snég
89,Eis::N,buz,léd
90,Frost::N,don,zmrzál
91,Kälte::N,soğukluk,mràz
92,Hitze::N,sıcaklık,pripéka
93,Raureif::N,kırç,ívje
94,Raureif::N,kırç,slána
95,Regenbogen::N,gökkuşağı,mávrica
