,Concept_ID,el,ce
0,Auge::N,μάτι,бӏаьрг
1,Auge::N,οφθαλμός,бӏаьрг
2,Ohr::N,αυτί,лерг
3,Nase::N,μύτη,мара
4,Mund::N,στόμα,бага
5,Zahn::N,δόντι,церг
6,Zunge::N,γλώσσα,мотт
7,Lippe::N,χείλος,балда
8,Wange::N,παρειά,бесни
9,Wange::N,μάγουλο,бесни
10,Gesicht::N,πρόσωπο,юьхь
11,Stirn::N,μέτωπο,хьаж
12,Haar::N,μαλλιά,мас
13,Schnurrbart::N,μουστάκι,мекх
14,Bart::N,γένια,маж
15,Kinn::N,πιγούνι,чӏениг
16,Kiefer[Anatomie]::N,σαγόνι,мочхал
17,Kehle::N,λαρύγγι,къамкъарг
18,Hals::N,λαιμός,ворта
19,Genick::N,σβέρκος,кӏесаркӏаг
20,Kopf::N,κεφάλι,корта
21,Rücken::N,ράχη,букъ
22,Bauch::N,κοιλιά,кийра
23,Nabel::N,αφαλός,цӏонга
24,Busen::N,στήθος,зударийн накха
25,Brust::N,στήθος,накха
26,Schulter::N,ώμος,белш
27,Arm::N,χέρι,пхьарс
28,Arm::N,μπράτςο,пхьарс
29,Ellenbogen::N,αγκώνας,пхьаьрсан гола
30,Hand::N,χέρι,куьг
31,Handfläche::N,παλάμη,кераюкъ
32,Finger::N,δάχτυλο,пӏелг
33,Fingernagel::N,νύχι,мӏара
34,Nagel[Anatomie]::N,νύχι,мӏара
35,Zeh::N,δάχτυλο του ποδιού,кога пӏелг
36,Fuß::N,πόδι,ког
37,Ferse::N,φτέρνα,кӏажа
38,Knie::N,γόνατο,гола
39,Oberschenkel::N,μηρός,варе
40,Bein::N,πόδι,ког
41,Körper::N,σώμα,хӏума
42,Körper::N,κορμί,хӏума
43,Haut::N,πετσί,чкъор
44,Blut::N,αίμα,цӏий
45,Ader::N,φλέβα,пха
46,Sehne::N,νεύρο,хьорзам
47,Sehne::N,τένοντας,хьорзам
48,Knochen::N,οστό,даьӏахк
49,Knochen::N,κόκκαλο,даьӏахк
50,Gehirn::N,μυαλό,хье
51,Gehirn::N,εγκέφαλος,хье
52,Herz::N,καρδιά,дог
53,Magen::N,στομάχι,зорх
54,Leber::N,ήπαρ,доӏах
55,Leber::N,συκωτί,доӏах
56,Atem::N,αναπνοή,садеӏар
57,Hunger::N,πείνα,мацалла
58,Träne::N,δάκρυ,бӏаьрхи
59,Geschmack::N,γεύση,чам
60,Geruch::N,οσμή,хьожа
61,Geruch::N,μυρωδία,хьожа
62,Schlaf::N,ύπνος,наб
63,Traum::N,όνειρο,гӏан
64,Himmel::N,ουρανός,стигал
65,Sonne::N,ήλιος,малх
66,Mond::N,σελήνη,бутт
67,Mond::N,φεγγάρι,бутт
68,Stern::N,άστρο,седа
69,Stern::N,αστέρι,седа
70,Luft::N,αέρας,xӏаваъ
71,Wind::N,αέρας,мох
72,Wind::N,άνεμος,мох
73,Welle::N,κύμα,тулгӏе
74,Wasser::N,νερό,хи
75,Stein::N,πέτρα,тӏулг
76,Boden::N,χώμα,цӏенкъа
77,Erde::N,γη,латта
78,Staub::N,σκόνη,чан
79,Rauch::N,καπνός,кӏур
80,Funke::N,σπίθα,суй
81,Funke::N,σπινθήρας,суй
82,Feuer::N,φωτιά,цӏе
83,Licht::N,φως,серло
84,Schatten::N,σκιά,ӏиндагӏ
85,Schatten::N,ίσκιος,ӏиндагӏ
86,Wetter::N,καιρός,хенан хӏоттам
87,Nebel::N,ομίχλη,дохк
88,Wolke::N,σύννεφο,марха
89,Regen::N,βροχή,догӏа
90,Schnee::N,χιόνι,ло
91,Eis::N,πάγος,ша
92,Frost::N,παγωνία,шело
93,Kälte::N,κρύο,шело
94,Kälte::N,ψύχος,шело
95,Hitze::N,ζέστη,йовхо
96,Raureif::N,πάχνη,йис
97,Regenbogen::N,ουράνιο τόξο,стелаӏад
98,Donner::N,βροντή,ткъес
99,Strömung::N,ρεύμα,дӏаэхар
100,Strömung::N,ρεύμα,дӏасалелар
101,Tropfen::N,στάλα,тӏадам
102,Schaum::N,αφρός,чопа
103,Schmutz::N,βρωμιά,хатт
104,See::N,λίμνη,ӏам
105,Sumpf::N,βάλτος,уьшал
106,Moor::N,έλος,уьшал
107,Wiese::N,λιβάδι,бай
108,Wald::N,δάσος,хьун
109,Hügel::N,λόφος,гу
110,Hügel::N,λόφος,шу
111,Hügel::N,λόφος,барз
112,Anhöhe::N,ύψωμα,акъари
113,Berg::N,όρος,лам
114,Berg::N,βουνό,лам
115,Gipfel::N,κορυφή,бохь
116,Höhle::N,σπηλιά,хьех
117,Abhang::N,πλαγιά,басе
118,Quelle::N,πηγή,шовда
119,Quelle::N,βρύση,шовда
120,Bach::N,ρυάκι,татол
121,Fluss::N,ποτάμι,хи
122,Fluss::N,ποταμός,хи
123,Ufer::N,όχθη,хийист
124,Küste::N,ακτή,йист
125,Küste::N,ακρογιαλιά,йист
126,Festland::N,στεριά,латта
127,Meer::N,θάλασσα,xӏорд
128,Bucht::N,κόλπος,чож
129,Insel::N,νησί,гӏайре
130,Insel::N,νήσος,гӏайре
131,Blume::N,άνθος,зезаг
132,Blume::N,λουλούδι,зезаг
133,Gras::N,χόρτο,буц
134,Gras::N,χορτάρι,буц
135,Wurzel::N,ρίζα,орам
136,Baum::N,δέντρο,дитт
137,Stamm::N,κορμός,гӏад
138,Stamm::N,κορμός,тайпа
139,Rinde::N,φλούδα,кевстиг
140,Ast::N,κλαδί,га
141,Zweig::N,κλαδί,га
142,Zweig::N,κλάδος,га
143,Blatt::N,φύλλο,гӏа
144,Birke::N,σημύδα,дакх
145,Kiefer[Baum]::N,πεύκο,бага
146,Weide[Baum]::N,ιτιά,дак
147,Tanne::N,έλατο,база
148,Horn::N,κέρας,маӏа
149,Horn::N,κέρατο,маӏа
