,Concept_ID,kv,ady
0,Auge::N,син,нэ
1,Ohr::N,пель,тхьакӏу́м
2,Nase::N,ныр,пэ
3,Mund::N,ӧм,жэ
4,Zahn::N,пинь,цэ
5,Zunge::N,кыв,бзэгу
6,Lippe::N,тырп,ӏупшӏэ́
7,Wange::N,рожабан,нэкӏу́шъу
8,Gesicht::N,бан,нэ́гу
9,Stirn::N,кымӧс,натӏэ́
10,Haar::N,юрси,шъхьацы́
11,Schnurrbart::N,уссэз,
12,Bart::N,тош,жакӏэ́
13,Kinn::N,тшӧка,жэкӏэпэпкъ
14,Kiefer[Anatomie]::N,ан,жэпкъы́
15,Kehle::N,юан,чый
16,Hals::N,юан,пшъэ
17,Genick::N,юр бӧр,шъхьэпхэтыку
18,Kopf::N,юр,шъхьэ́
19,Rücken::N,мышк,кӏыбы́
20,Bauch::N,кынӧм,ныбэ́
21,Nabel::N,гӧг,
22,Busen::N,морос,бгъэ́
23,Brust::N,морос,бгъэ́
24,Schulter::N,пельпон,блыпкъ
25,Arm::N,ки,ӏэ
26,Ellenbogen::N,гырдзза,ӏэнтэ́гъу
27,Hand::N,кикар,ӏэтхьэцу
28,Handfläche::N,ки пыдӧс,ӏэ́гу
29,Finger::N,чунь,ӏэхъуа́мб
30,Fingernagel::N,гыж,ӏэбжъа́н
31,Nagel[Anatomie]::N,гыж,ӏэбжъа́н
32,Zeh::N,чунь,ӏэхъуа́мб
33,Fuß::N,кокпыдӧс,лъэгу
34,Ferse::N,кокдзир,лъэдакъэ
35,Knie::N,пидзӧс,лъагуа́ндж
36,Oberschenkel::N,лядьбей,ко
37,Bein::N,кок,лъакъо́
38,Körper::N,вывтыр,пкъышъол
39,Haut::N,кучик,кӏы́шъу
40,Blut::N,вир,лъы
41,Ader::N,сӧн,льытф
42,Sehne::N,жила,фэ
43,Knochen::N,коска,къупшъхьэ́
44,Gehirn::N,вем,куцӏы
45,Herz::N,сьӧлӧм,гу
46,Magen::N,жӧвдӧк,мышкӏу
47,Leber::N,мус,шӏу
48,Atem::N,лолалӧм,къэщэныр
49,Hunger::N,тшыг,гъаблэ́
50,Träne::N,синва,нэпсы
51,Geschmack::N,кӧр,ӏэшӏугъа́кӏ
52,Geruch::N,дук,мэ
53,Schlaf::N,он,пчыхьы́пӏ
54,Traum::N,вӧт,пчыхьы́пӏ
55,Himmel::N,небо,уашъо́
56,Sonne::N,шондi,тыгъэ
57,Mond::N,тӧлiсь,мазэ
58,Stern::N,кӧдзыв,жъуагъо́
59,Luft::N,ру,жьы
60,Wind::N,тӧв,жьыбгъэ́
61,Welle::N,гы,ор
62,Welle::N,гы,оры
63,Wasser::N,ва,псы
64,Stein::N,из,мыжъо́
65,Boden::N,му,чӏ́ыгу
66,Erde::N,му,чӏ́ыгу
67,Staub::N,бус,сап
68,Rauch::N,тшын,ӏугъо́
69,Funke::N,бичир,мэшӏуа́ч
70,Feuer::N,би,машӏо́
71,Licht::N,би,нэфы
72,Licht::N,би,нэфын
73,Schatten::N,вуджӧр,жьау́
74,Schatten::N,вуджӧр,ныбжьыкъу
75,Wetter::N,погоддя,
76,Nebel::N,туман,пща́гъу
77,Wolke::N,кымӧр,ошъуапщэ
78,Regen::N,зэр,ощхы
79,Schnee::N,лым,осы́
80,Eis::N,йы,мылы
81,Frost::N,мороз,
82,Kälte::N,кӧдзыт,чъыӏэ́
83,Hitze::N,ӧд,фэба́е
84,Raureif::N,кижа,
85,Regenbogen::N,енӧшка, лэгъупэкъо́пс
86,Donner::N,гым,шыблэ́
87,Strömung::N,визывтӧм,ток
88,Tropfen::N,тёп,ткӏопс
89,Tropfen::N,тёп,гъуаткӏу
90,Schaum::N,быг,тхъурбэ
91,Schmutz::N,нять,псынжъы
92,See::N,ты,хыку́м
93,See::N,ты,псыхъура́й
94,Sumpf::N,арай,орыжъ
95,Moor::N,нюр,орыжъ
96,Wiese::N,видз,хъупӏэ́
97,Wiese::N,видз,мэкъупӏ
98,Wald::N,вӧр,мэзы́
99,Hügel::N,мыльк,ӏуашъхь
100,Anhöhe::N,вывтас,чӏыӏэтыгъ
101,Anhöhe::N,вылынін,чӏыӏэтыгъ
102,Berg::N,керӧс,къушъхьэ́
103,Gipfel::N,йыв,шыгу
104,Höhle::N,нора,гъочӏэгъ
105,Abhang::N,покат,чапэ
106,Quelle::N,больган,псынэчэ́чъ
107,Bach::N,шор,псышкуашку
108,Fluss::N,ю,псыхъо́
109,Ufer::N,берег,нэпкъы
110,Küste::N,берег,ӏушъо
111,Festland::N,му,чӏл́ыгу
112,Meer::N,море,хы
113,Bucht::N,курья,хыблыгу
114,Blume::N,цветок,къэгъа́гь
115,Gras::N,турун,уцы́
116,Wurzel::N,вуж,лъапсэ́
117,Baum::N,пу,чъыгы́
118,Stamm::N,мыр,пкъы
119,Stamm::N,кер,пкъы
120,Rinde::N,кач,пхъашъо́
121,Ast::N,ув,куамэ
122,Zweig::N,ув,къутамэ́
123,Blatt::N,лист,тхьап
124,Birke::N,кыдз,пчэн
125,Kiefer[Baum]::N,пожум,сэснэй
126,Weide[Baum]::N,бадь,пце́л
127,Tanne::N,кӧз,ель
128,Horn::N,сюр,бжъэ
129,Feder::N,гӧн,къамӏы́й
130,Fell::N,кучик,шъо
131,Flügel::N,борд,тамэ́
132,Klaue::N,гыж,лъэбжъа́н
133,Kralle::N,кабыр,лъакъо
134,Schwanz::N,бӧж,кӏэ
135,Ei::N,кольть,кӏэнкӏэ́
136,Nest::N,поз,набгъо́
137,Bau::N,осьта,гъу
138,Bau::N,осьта,бы
139,Bau::N,нора,гъу
140,Bau::N,нора,бы
141,Tier::N,зверь,псэу́шъхь
142,Herde::N,гурт,ӏэхъогъу
143,Kuh::N,мӧс,чэмы́
144,Bulle::N,ӧшка,цу
145,Pferd::N,вӧв,шы
146,Schaf::N,баля,мэлы́
147,Schwein::N,порсь,къо
148,Hund::N,пон,бьэ
149,Katze::N,кань,чэты́у
150,Bär::N,ош,мышъэ́
151,Eichhörnchen::N,ур,цызэ́
152,Elch::N,вӧр мӧс,лось
153,Fuchs::N,руч,баджэ́
154,Hase::N,кӧч,тхьакӏумкӏы́хь
155,Maus::N,шыр,цыгъо́
156,Wolf::N,кӧин,тыгъу́жъ
157,Vogel::N,кай,бзы́у
158,Schwarm::N,стая,отэр
159,Schwarm::N,чукӧр,отэр
160,Huhn::N,курӧг,чэты́
161,Hahn::N,петух,атакъэ́
162,Hahn::N,ай курӧг,атакъэ́
163,Gans::N,дзодзог,къа́з
164,Adler::N,куч,
165,Adler::N,кутш,
166,Ente::N,утка,псычэ́т
167,Eule::N,тупка,тыгъурыгъу
168,Kranich::N,тури,къэрэ́у
169,Krähe::N,рака,къолэ́жъ
170,Kuckuck::N,кӧк,куку́у
171,Schwan::N,юсь,
172,Fisch::N,чери,пцэжъы́й
173,Barsch::N,ёкыш,тхыкъэц
174,Hecht::N,сирпинь,лэнд
175,Schlange[Tier]::N,змей,блэ́
176,Wurm::N,номыр,хьамлыу
177,Spinne::N,черань,бэдж
178,Ameise::N,кӧдзывкар,къамзэ́гу
179,Laus::N,ляпа той,цӏэ
180,Mücke::N,ном,аргъо́й
181,Fliege::N,гут,бадзэ́
182,Schmetterling::N,бабыв,хьампӏыра́шъу
183,Beere::N,ягӧд,маткӏо
184,Apfel::N,яблоко,мыӏэры́с
185,Pilz::N,тшак,хьаӏу
186,Zwiebel::N,грез,бжьыны́
187,Saat::N,кӧдзыс,чылапхъ
188,Korn::N,сю,цэ
189,Heu::N,турун,мэкъу
190,Schale::N,кыш,кӏы́шъу
191,Schale::N,киль,кӏы́шъу
192,Grube::N,яма,машэ́
193,Falle::N,нальк,зэраубытырэ́ ӏэмэпсы́м
194,Falle::N,кляпча,зэраубытырэ́ ӏэмэпсы́м
195,Schlinge::N,лӧч,бзыуубыт
196,Spur::N,туй,ужы
197,Spur::N,туй,лъэуж
198,Asche::N,пӧим,яжьэ́
199,Dreck::N,нять,псынжъы
200,Eisen::N,кӧрт,гыучӏы́
201,Eisen::N,кӧрт,къэнджа́л
202,Gold::N,зарни,дышъэ́
203,Silber::N,язісь,тыжьы́н
204,Kohle::N,шом,шӏомыкӏ
205,Kohle::N,уголь,шӏомыкӏ
206,Glas::N,стекло,апч
207,Lehm::N,сёй,етӏагъо́
208,Sand::N,лыа,пшахъо
209,Mensch::N,морт,цӏыфы́
210,Mann::N,мужик,хъулъфы́гъ
211,Frau::N,инька,бӏылъфыгъэ́
212,Kind::N,кага,кӏэлэцӏы́кӏу
213,Junge::N,зонка,кӏэлэцӏы́кӏу
214,Mädchen::N,нывкаок,пшъэшъэжъый
215,Familie::N,семья,быны́
216,Familie::N,семья,уна́гъу
217,Großvater::N,дед,тэтэ́жъ
218,Großmutter::N,баб,нэнэ́жъ
219,Eltern::N,ай-мам,ны-тыхэ́р
220,Vater::N,ай,ты
221,Mutter::N,мам,ны
222,Sohn::N,зон,къо
223,Tochter::N,ныв,пхъу
224,Bruder::N,вон,шы
225,Schwester::N,сой,шы́пхъу
226,Onkel::N,дядь,янэ́ш
227,Tante::N,айӧлӧн сой,атэшыпхъу
228,Tante::N,ичинь,атэшыпхъу
229,Ehemann::N,жӧник,лӏы
230,Ehefrau::N,инь,шъу́з
231,Freude::N,гаж,гушӏуа́гъу
232,Freude::N,радъялӧм,гушӏуа́гъу
233,Gelächter::N,сералӧм,щхыныр
234,Glück::N,мичлун,насы́п
235,Kummer::N,шог,тхьамыкӏагъу
236,Wunsch::N,мӧдӧм,шӏонгъоны́гъ
237,Wunsch::N,охотитӧм,шӏонгъоны́гъ
238,Lust::N,охота,шӏонгъоны́гъ
239,Geist::N,лов,гу
240,Gedanke::N,дума,гупшыс
241,Gedächtnis::N,тӧдвыв,память
242,Verstand::N,вежӧр,акъы́л
243,Sinn::N,ылӧс,мэхьанэ
244,Grund::N,мог,ушъхьагъу
245,Wahrheit::N,правда,шъыпкъэ́
246,Gespräch::N,сёрни,гущыӏ
247,Märchen::N,сказка,пшысэ
248,Erzählung::N,висьт,къэба́р
249,Nachricht::N,юӧр,къэба́р
250,Nachricht::N,висьталӧм,къэба́р
251,Neuigkeit::N,новость,къэбарыкӏ
252,Name::N,ним,цӏэ
253,Rätsel::N,загадка,коджэхь-къоджэшх
254,Rede::N,сёрни,гущыӏ
255,Sprache::N,кыв,бзэ
256,Stimme::N,голос,макъэ́
257,Wort::N,кыв,гущыӏ
258,Zeichen::N,пас,тамы́гъ
259,Ruf::N,чуксӧм,джэ макъ
260,Ruf::N,чукӧстӧм,джэ макъ
261,Lärm::N,шум,макъэ
262,Laut::N,шы,макъэ
263,Ton::N,гор,
