,Concept_ID,pt,uz
0,Auge::N,olho,ko'z
1,Ohr::N,orelha,quloq
2,Nase::N,nariz,burun
3,Mund::N,boca,og'iz
4,Zahn::N,dente,tish
5,Zunge::N,língua,til
6,Lippe::N,lábio,dudoq
7,Wange::N,face,bet
8,Gesicht::N,cara,yuz
9,Gesicht::N,rosto,yuz
10,Stirn::N,testa,manglay
11,Haar::N,cabelo,soch
12,Schnurrbart::N,bigode,mo'ylov
13,Bart::N,barba,soqol
14,Kinn::N,queixo,ängak
15,Kiefer[Anatomie]::N,maxila,iyak
16,Kiefer[Anatomie]::N,mandíbula,iyak
17,Kehle::N,garganta,bo'g'iz
18,Hals::N,colo,bo'yin
19,Hals::N,pescoço,bo'yin
20,Genick::N,nuca,gardan
21,Kopf::N,cabeça,bosh
22,Rücken::N,dorso,orqa
23,Rücken::N,costas,orqa
24,Bauch::N,ventre,qorin
25,Bauch::N,barriga,qorin
26,Nabel::N,umbigo,kindik
27,Busen::N,seio,ämchak
28,Brust::N,peito,ko'krak
29,Schulter::N,ombro,elka
30,Arm::N,braço,bilak
31,Ellenbogen::N,cotovelo,tirsak
32,Hand::N,mão,qo'l
33,Handfläche::N,palma,kaft
34,Handfläche::N,palma da mão,kaft
35,Finger::N,dedo,barmoq
36,Fingernagel::N,unha,tirnoq
37,Nagel[Anatomie]::N,unha,tirnoq
38,Zeh::N,dedo do pé,oyoq barmog'i
39,Fuß::N,pé,oyoq
40,Ferse::N,calcanhar,tovon
41,Knie::N,joelho,tiz
42,Oberschenkel::N,coxa,son
43,Bein::N,perna,oyoq
44,Körper::N,corpo,badna
45,Haut::N,pele,teri
46,Blut::N,sangue,qon
47,Ader::N,veia,qon tomir
48,Sehne::N,tendão,tomir
49,Knochen::N,osso,suyak
50,Gehirn::N,cérebro,miya
51,Herz::N,coração,qalb
52,Magen::N,estômago,oshqozon
53,Leber::N,fígado,bag'ir
54,Atem::N,fôlego,dam
55,Hunger::N,fome,ochlik
56,Träne::N,lágrima,yosh
57,Geschmack::N,gosto,tam
58,Geruch::N,odor,jid
59,Geruch::N,cheiro,jid
60,Schlaf::N,sono,uyqu
61,Traum::N,sonho,tush
62,Himmel::N,céu,osmon
63,Sonne::N,sol,quyosh
64,Mond::N,lua,oy
65,Stern::N,estrela,yulduz
66,Luft::N,ar,havo
67,Wind::N,vento,el
68,Welle::N,onda,to'lqin
69,Wasser::N,água,suv
70,Stein::N,pedra,tosh
71,Boden::N,solo,tuproq
72,Erde::N,terra,er
73,Staub::N,pó,chang
74,Rauch::N,fumo,tutun
75,Funke::N,faísca,yalt
76,Funke::N,centelha,yalt
77,Feuer::N,fogo,o't
78,Licht::N,luz,yorug'
79,Schatten::N,sombra,soya
80,Wetter::N,tempo,havo
81,Nebel::N,nevoeiro,tuman
82,Wolke::N,nuvem,bulut
83,Regen::N,chuva,yomg'ir
84,Schnee::N,neve,qor
85,Eis::N,gelo,muz
86,Frost::N,gelo,ajoz
87,Frost::N,geada,ajoz
88,Kälte::N,frio,ajoz
89,Hitze::N,ardor,issiq
90,Raureif::N,geada,qirov
91,Regenbogen::N,arco-iris,kamalak
92,Donner::N,trovão,guldur
93,Strömung::N,corrente,oqim
94,Tropfen::N,gota,tomchi
95,Schaum::N,espuma,ko'pik
96,Schmutz::N,sujidade,gard
97,Schmutz::N,imundície,gard
98,See::N,lago,ko'l
99,Sumpf::N,charco,botqoq
100,Sumpf::N,pântano,botqoq
101,Moor::N,pântano,qir-adir
102,Wiese::N,prado,o'tzor
103,Wald::N,bosque,o'rmon
104,Wald::N,floresta,o'rmon
105,Hügel::N,colina,tepa
106,Anhöhe::N,alto,adir
107,Anhöhe::N,outeiro,adir
108,Berg::N,monte,tog'
109,Berg::N,montanha,tog'
110,Gipfel::N,pico,cho'qqi
111,Höhle::N,caverna,kavak
112,Abhang::N,encosta,to'sh
113,Quelle::N,fonte,buloq
114,Bach::N,regato,o'zan
115,Bach::N,ribeiro,o'zan
116,Fluss::N,rio,daryo
117,Ufer::N,beira,sohil
118,Küste::N,costa,qirg'oq
119,Festland::N,terra firme,materik
120,Meer::N,mar,dengiz
121,Bucht::N,baía,qo'ltiq
122,Insel::N,ilha,orol
123,Blume::N,flor,gul
124,Gras::N,erva,sabza
125,Wurzel::N,raiz,tub
126,Wurzel::N,raiz,tomir
127,Baum::N,árvore,daraxt
128,Stamm::N,tronco,o'simta
129,Rinde::N,casca,qobiq
130,Ast::N,ramo,shox
131,Zweig::N,galho,butoq
132,Blatt::N,folha,barg
133,Birke::N,bétula,qayin
134,Kiefer[Baum]::N,pinheiro,qarag'ay
135,Weide[Baum]::N,salgueiro,shum
136,Tanne::N,abeto,archa
137,Horn::N,corno,mugiz
138,Horn::N,chifre,mugiz
139,Feder::N,pena,par
140,Fell::N,pele,mo'yna
141,Flügel::N,asa,qanot
142,Klaue::N,pata,tirnoq
143,Kralle::N,unha,tirnoq
144,Kralle::N,garra,tirnoq
145,Schwanz::N,rabo,quyruq
146,Schwanz::N,cauda,quyruq
147,Ei::N,ovo,tuxum
148,Nest::N,ninho,oshyon
149,Bau::N,toca,o'pqon
150,Bau::N,covil,o'pqon
151,Tier::N,animal,hayvon
152,Herde::N,rebanho,gala
153,Kuh::N,vaca,inak
154,Bulle::N,touro,ho'kiz
155,Pferd::N,cavalo,ot
156,Schaf::N,ovelha,qo'y
157,Schwein::N,porco,cho'chqa
158,Hund::N,cão,it
159,Katze::N,gata,mushuk
160,Bär::N,urso,ayiq
161,Eichhörnchen::N,esquilo,tiyin
162,Elch::N,alce,los
163,Fuchs::N,raposa,tulki
164,Hase::N,lebre,kuyon
165,Maus::N,rato,sichqon
166,Wolf::N,lobo,bo'ri
167,Vogel::N,ave,qush
168,Vogel::N,pássaro,qush
169,Schwarm::N,bando,to'da
170,Schwarm::N,enxame,to'da
171,Huhn::N,galinha,tovuq
172,Hahn::N,galo,xo'roz
173,Gans::N,ganso,g'oz
174,Adler::N,águia,burgut
175,Ente::N,pata,o'rdak
176,Eule::N,mocho,boyo'g'li
177,Eule::N,coruja,boyo'g'li
178,Kranich::N,grou,turna
179,Krähe::N,gralha,qarg'a
180,Kuckuck::N,cuco,kakku
181,Schwan::N,cisne,oqkush
182,Fisch::N,peixe,baliq
183,Barsch::N,perca,olabug'a
184,Hecht::N,lúcio,cho'rtan
185,Schlange[Tier]::N,serpente,ilon
186,Wurm::N,verme,qurt
187,Spinne::N,aranha,o'rgimchak
188,Ameise::N,formiga,chumoli
189,Laus::N,piolho,bit
190,Mücke::N,mosquito,chivin
